SA4_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
597,0,0,15,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,13,78,73,0,4,0,21,55,9,250
599,3,5,29,8,6,4,8,17,3,85,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,9,7,0,22,0,0,9,3,0,0,9,9,8,42,73,214,279,110,77,41,139,193,42,1169
601,448,86,1559,656,469,381,126,338,50,4128,4,12,9,16,12,12,6,25,6,101,148,232,86,138,158,50,52,57,33,948,158,164,263,210,183,149,128,252,191,1699,8279,20710,10233,8480,8267,3467,1748,3036,1011,65228
602,264,56,894,374,241,243,106,266,10,2459,3,3,4,5,4,3,4,11,9,41,66,81,50,53,43,27,38,40,17,418,147,84,215,144,126,106,155,220,124,1325,4844,9520,6221,4668,3796,2003,1609,2388,490,35540
603,79,15,226,101,59,44,25,91,7,638,3,0,0,0,0,0,0,4,7,12,23,26,10,12,20,11,8,11,5,120,55,29,73,41,26,41,50,95,40,460,1435,1833,1700,1161,950,428,422,858,160,8938
604,194,50,697,323,169,201,84,257,23,1995,6,3,3,0,0,4,7,6,3,36,40,56,31,28,31,11,26,35,7,258,128,54,158,114,87,129,136,221,106,1140,3408,5604,5248,3684,2721,1469,1406,2251,453,26238
697,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
699,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,7,45,31,22,13,4,5,23,3,149
701,276,88,846,433,378,207,148,222,38,2639,7,7,18,11,12,3,10,31,10,109,113,124,108,183,96,27,67,60,32,814,150,116,281,180,177,117,138,207,253,1617,6519,12574,9825,5877,6132,2160,1970,2735,925,48723
702,129,60,323,193,163,92,38,100,19,1134,3,11,9,4,0,4,3,7,3,46,41,74,34,95,44,13,20,28,16,361,97,162,113,225,108,59,83,182,211,1225,2598,5731,2820,3265,2148,717,716,1287,546,19827
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,18
799,0,0,9,4,0,0,4,7,0,24,0,0,18,3,0,0,0,0,0,20,0,0,3,0,0,0,0,3,0,9,0,0,4,0,0,0,0,3,0,11,28,102,85,54,22,12,31,54,4,387
801,656,246,2025,816,914,407,152,318,85,5611,10,18,9,13,6,13,3,30,4,105,591,676,141,311,505,94,66,94,133,2610,279,384,287,263,349,148,89,188,419,2397,26614,57086,14328,13494,23010,5442,2091,4248,3583,149895
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,47,11,21,29,7,3,8,9,139
901,11,0,33,14,12,8,10,7,0,89,0,0,0,0,0,0,0,0,0,5,3,0,11,4,3,0,4,0,0,18,7,5,14,13,9,4,10,13,4,90,241,214,278,195,150,48,64,111,29,1335
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
