SA4_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
312,400,601,264,335,253,107,116,99,23,2193,766,609,559,928,710,215,221,220,51,4278,2203,928,10564,1896,1984,1054,3386,1882,330,24224,97,64,93,175,194,195,128,220,13,1184,196,107,168,262,255,156,256,199,18,1617,45,71,60,50,54,24,59,78,7,459,212,126,312,195,144,172,331,378,170,2038,5422,9507,12541,4645,4424,2202,4721,3434,693,47591
313,525,829,351,606,493,234,93,155,45,3330,945,969,635,1887,1328,519,219,400,87,6986,2325,1144,9476,3762,2948,1827,2220,2944,368,27016,105,68,118,245,277,294,125,302,12,1532,207,134,183,487,406,251,183,293,36,2185,79,96,81,71,86,47,34,122,10,632,163,203,321,270,228,227,278,401,235,2321,5946,11136,11676,8452,7076,3858,3273,5131,942,57500
314,742,1081,404,583,703,220,96,115,48,4002,1341,1274,816,1901,1696,617,184,278,89,8187,2287,1221,8642,3013,2958,1558,1536,1792,293,23299,107,70,109,170,289,216,98,163,9,1234,226,157,153,405,418,231,157,196,27,1967,67,146,79,85,114,56,38,53,12,648,122,180,166,183,215,136,119,182,146,1451,8400,17168,11198,7970,8915,3782,2459,3178,855,63936
315,243,239,82,190,96,20,33,46,9,973,310,260,149,446,304,66,78,90,24,1730,1003,439,3320,873,827,319,1121,884,153,8941,87,48,70,119,99,70,57,151,15,710,129,56,75,95,75,50,63,93,6,641,25,29,20,18,15,7,18,41,5,179,163,111,135,170,122,72,154,223,109,1248,2811,4148,4024,2349,1921,692,1580,1670,352,19551
316,1190,1908,649,1121,1006,510,159,296,80,6930,1662,1842,1180,2808,2027,1005,259,607,131,11525,4216,1672,14960,4919,3814,3040,2281,3697,497,39104,148,116,170,324,392,405,101,300,19,1972,404,275,343,710,642,521,220,387,40,3551,145,209,140,123,164,123,46,108,29,1085,311,354,422,383,295,350,206,382,286,2983,12599,26615,19065,12961,11308,7226,3522,6570,1399,101274
317,347,644,184,355,328,106,57,102,16,2142,662,698,521,1050,881,271,158,217,42,4508,1555,715,6162,2248,1926,1103,1183,1502,147,16531,70,35,89,124,204,196,75,205,6,1004,145,79,89,333,228,171,97,159,10,1319,30,79,34,47,54,21,20,63,10,356,112,103,144,170,127,135,125,212,95,1223,4808,12135,7754,5299,5085,2398,1819,3024,428,42750
318,487,813,341,574,414,130,91,88,19,2966,1010,957,634,1929,1187,378,185,264,86,6629,2532,1100,10143,3853,2880,1505,2573,2276,336,27180,101,72,143,298,279,246,105,208,11,1459,177,132,143,431,334,182,156,208,18,1778,74,126,62,84,83,44,47,57,18,599,157,218,237,255,163,183,207,317,162,1898,7042,16949,12406,8944,6955,3128,3557,3857,805,63637
319,549,903,248,654,416,178,78,154,28,3218,888,901,471,1873,998,374,186,383,60,6138,2826,990,9340,4160,2544,1846,2329,3174,325,27533,154,62,147,297,345,399,146,430,16,2000,261,128,200,562,353,262,191,355,25,2335,64,113,64,79,73,51,48,102,10,614,311,218,271,314,205,245,251,513,243,2575,6819,13278,11122,9086,5990,3645,3325,5558,816,59653
397,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
399,13,22,11,8,3,5,6,14,3,93,15,29,13,42,20,7,8,41,0,171,49,38,242,68,52,28,72,132,14,696,0,0,7,7,0,0,0,10,0,30,6,7,4,7,3,7,5,13,0,43,3,3,0,4,3,0,5,15,5,39,3,13,17,15,4,4,11,25,22,105,163,407,308,245,129,83,129,441,58,1957
401,1193,2202,528,908,996,419,111,228,77,6670,1479,1678,870,1515,1364,598,167,321,95,8081,2519,1163,6951,2433,2307,1419,874,1476,260,19399,138,98,96,205,298,222,52,163,6,1282,326,284,203,474,597,336,101,151,28,2490,165,359,114,103,166,82,35,78,25,1135,255,344,234,210,256,207,94,212,175,1989,15197,41090,10850,9395,11132,5333,1898,3997,1258,100156
402,934,1730,711,1387,1019,336,197,270,79,6672,1742,1876,1324,3340,2025,766,395,598,153,12215,3438,1948,14983,6530,5262,2953,3099,3925,647,42791,230,134,255,475,632,574,255,626,47,3235,342,248,345,929,757,410,292,423,52,3791,116,230,199,194,205,99,117,205,40,1402,257,273,415,467,365,298,358,520,334,3277,10904,25644,19882,16767,13684,6912,5500,8334,1665,109295
403,1231,2337,643,1520,1200,434,145,272,99,7889,1733,1960,1249,2716,2031,757,222,415,128,11206,3474,1845,13308,5363,4379,2531,1880,2803,428,36021,203,120,221,384,511,473,116,345,19,2399,369,303,344,790,766,423,168,299,46,3508,136,283,139,175,173,77,60,112,34,1191,225,339,339,393,332,288,158,314,244,2626,13472,33846,17817,15116,13595,6696,3148,5730,1387,110803
404,668,1282,451,830,669,241,129,179,58,4515,1038,1146,820,1510,1237,451,227,371,89,6880,2036,1048,7371,2781,2410,1367,1274,1645,268,20198,97,80,115,225,281,226,84,186,22,1306,229,189,173,459,496,227,139,185,39,2136,74,187,92,103,135,62,50,96,18,828,159,261,227,276,220,188,131,247,174,1888,8238,20570,10464,8813,8560,4055,2540,4132,946,68317
405,379,533,106,361,246,90,43,80,13,1861,472,361,191,738,342,145,59,145,28,2474,1754,449,3914,1580,1046,627,943,1458,140,11920,114,38,80,121,167,103,64,183,7,878,216,63,100,243,168,120,93,211,12,1229,47,26,25,27,41,21,21,51,8,268,248,104,149,125,101,107,147,254,93,1315,4388,5501,4733,3578,2546,1370,1432,2617,346,26520
406,210,295,58,260,109,43,32,36,14,1052,298,282,160,512,265,73,71,67,24,1745,1060,398,3461,1189,830,453,1080,885,167,9517,83,33,59,108,121,89,77,115,9,691,122,77,58,175,115,78,86,110,13,838,30,31,27,22,33,13,25,38,9,226,136,89,105,137,60,73,107,165,88,953,2608,4409,4090,2776,1845,906,1532,1528,377,20061
407,679,820,156,547,352,150,76,173,33,2976,776,604,278,1103,625,261,107,281,37,4073,2767,736,6387,2771,1798,1349,1455,2425,234,19927,193,64,124,197,305,295,119,367,19,1684,345,101,152,462,302,219,152,309,26,2063,84,66,64,66,50,24,36,144,7,532,364,165,239,251,167,204,211,474,157,2225,6892,8527,7686,6164,4295,2701,2229,4718,574,43790
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
499,4,5,3,0,0,0,3,5,0,23,0,6,3,8,6,3,3,13,0,40,11,3,67,11,9,9,18,33,3,157,0,0,0,0,0,4,0,3,0,7,0,0,3,3,0,0,0,7,0,12,0,0,0,0,0,0,3,4,0,16,4,0,3,0,0,0,8,11,4,31,35,96,77,32,34,20,36,109,7,444
501,602,835,377,479,453,189,139,211,31,3311,661,577,606,924,597,310,180,299,39,4187,1929,768,9056,2440,1806,1138,2006,2006,315,21468,125,63,118,217,286,307,104,284,12,1517,244,117,198,398,368,210,172,244,22,1965,72,81,61,68,68,35,52,87,7,544,236,133,229,244,196,194,223,345,148,1945,5855,10370,11186,5649,4720,2823,3053,4181,680,48519
502,259,432,166,252,238,86,66,72,16,1589,299,315,313,543,315,205,94,129,39,2255,779,411,4513,1325,850,588,1079,881,165,10593,40,18,65,102,86,105,70,95,14,599,81,61,111,199,161,116,90,105,13,954,21,43,30,33,45,34,16,45,5,269,55,75,118,111,110,89,100,104,65,826,2257,4520,5608,3002,2220,1433,1637,1621,380,22678
503,710,1339,381,416,587,289,82,150,40,3992,745,778,551,726,652,363,96,240,53,4198,950,545,2699,880,753,474,251,468,113,7134,49,39,42,92,116,84,16,67,0,512,185,127,101,193,250,116,32,84,24,1105,121,267,60,83,101,49,19,62,22,774,147,294,115,128,137,84,36,107,109,1152,11446,31935,5388,4868,6724,3223,866,2270,929,67652
504,814,1334,741,834,803,305,248,250,58,5390,1134,1243,1200,1692,1376,622,380,435,87,8171,2309,1263,11004,3369,2850,1487,2290,2020,440,27038,129,79,130,259,344,244,132,243,21,1580,229,191,259,554,602,258,222,254,33,2607,128,195,137,139,190,80,70,91,27,1060,173,256,334,313,313,236,266,256,195,2342,8901,19750,15178,9460,9490,4494,4219,4492,1178,77166
505,2089,3579,1607,1916,2065,873,391,581,159,13255,2485,2919,2471,3599,3107,1369,573,897,206,17625,4890,2620,23470,6391,5337,3032,3281,4149,810,53984,234,168,289,511,713,547,187,430,40,3122,553,480,556,1136,1381,610,331,495,71,5616,327,531,299,304,396,198,119,258,47,2471,397,635,581,617,679,512,302,547,437,4699,22392,52297,32505,19773,21277,10443,6338,9418,2520,176968
506,1398,2390,1397,1342,1537,587,511,540,118,9810,1880,2096,2261,3015,2505,1141,838,952,185,14875,3823,1979,18754,5590,4549,2500,3939,3504,686,45317,207,121,276,487,609,486,215,448,35,2877,448,332,511,910,1009,454,403,441,60,4558,203,436,297,238,311,148,154,189,42,2022,310,463,523,578,545,355,423,534,398,4134,16766,42302,27786,17075,18181,8666,8176,9298,2199,150452
507,1425,2422,1160,1208,1360,513,281,367,118,8850,1722,1931,1679,2472,1980,967,436,582,160,11928,3616,2007,17384,5093,3917,2188,3076,3111,704,41092,191,123,269,426,516,433,161,359,29,2511,365,309,446,849,896,431,278,354,46,3978,200,373,215,182,291,130,82,146,26,1649,294,457,444,477,441,315,318,437,336,3504,15953,38235,23938,14060,14439,6929,5394,6577,1962,127491
509,672,616,170,365,329,95,92,142,26,2506,611,368,282,669,471,178,103,180,37,2893,2108,554,5027,1685,1142,668,1294,1561,200,14248,154,39,104,153,217,163,86,225,15,1147,309,78,134,278,245,128,122,196,14,1494,96,52,42,52,58,22,23,77,8,426,350,105,189,179,172,141,210,316,106,1777,6195,6621,6267,3924,3340,1605,2043,3058,468,33518
510,272,387,281,213,185,60,128,86,17,1633,379,377,459,503,393,106,224,168,36,2659,970,589,7464,874,980,327,1937,1179,302,14628,60,79,89,127,140,83,94,157,15,842,97,85,131,149,161,68,164,144,18,1012,28,46,33,29,23,13,43,59,5,278,98,103,157,151,128,97,206,191,126,1257,3134,6063,9218,2640,2706,948,3030,2299,611,30650
511,375,493,190,277,243,83,91,84,27,1857,435,468,312,622,431,151,158,148,34,2757,1437,633,6164,1320,1134,598,1710,1226,241,14451,106,57,84,149,209,158,98,202,16,1085,160,89,120,210,221,107,139,156,20,1233,46,64,38,42,40,16,46,40,13,343,169,113,169,173,121,96,224,243,129,1440,4017,6715,7399,3329,2961,1357,2653,2338,530,31299
597,3,20,9,0,3,0,0,5,0,37,0,11,0,0,0,0,3,0,0,18,3,13,63,0,0,0,9,35,3,124,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,78,73,0,4,0,21,55,9,250
599,3,18,9,0,3,3,4,9,3,49,3,15,11,16,8,0,9,22,0,84,22,13,233,38,32,17,75,69,11,508,0,3,0,3,3,3,8,7,0,34,0,0,3,9,6,3,12,12,0,49,0,5,0,0,0,3,6,4,0,22,3,7,4,0,0,0,7,10,4,41,73,214,279,110,77,41,139,193,42,1169
601,616,1023,364,566,625,179,60,91,53,3565,943,964,621,1245,1133,403,104,185,93,5687,2293,1019,7724,3437,2758,1363,1071,1479,329,21469,96,74,118,256,326,316,58,269,12,1530,191,168,136,537,453,214,81,201,46,2019,72,171,62,75,125,41,30,57,14,638,164,218,235,283,200,180,139,262,164,1847,8279,20710,10233,8480,8267,3467,1748,3036,1011,65228
602,401,551,184,306,271,94,32,85,25,1955,540,538,332,763,589,215,85,147,46,3250,1910,545,4897,2033,1460,922,1096,1251,173,14287,84,31,96,183,199,192,62,208,13,1060,136,70,102,347,272,151,87,146,21,1344,44,67,26,46,57,28,20,36,6,332,170,124,195,195,137,122,148,250,130,1472,4844,9520,6221,4668,3796,2003,1609,2388,490,35540
603,142,128,71,89,83,27,6,33,14,592,155,118,84,179,117,51,16,54,12,792,488,162,1277,486,342,173,297,432,55,3715,25,9,28,55,45,28,15,67,0,284,57,31,40,84,53,39,23,53,0,373,10,20,17,17,9,6,3,10,0,90,72,44,54,44,34,43,46,107,46,494,1435,1833,1700,1161,950,428,422,858,160,8938
604,269,415,130,258,178,45,34,66,25,1408,401,391,245,678,430,141,57,123,37,2497,1564,439,4435,1727,1218,720,1005,1280,214,12597,62,28,67,166,161,169,62,195,18,927,117,66,72,303,211,114,54,177,21,1140,28,39,17,34,33,17,16,35,7,229,143,81,127,149,97,153,146,244,84,1218,3408,5604,5248,3684,2721,1469,1406,2251,453,26238
697,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
699,0,4,0,0,0,0,3,0,0,7,0,4,4,4,5,0,0,0,0,15,4,0,20,11,3,0,4,9,0,49,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,7,45,31,22,13,4,5,23,3,149
701,474,596,316,398,352,105,76,106,34,2464,855,790,662,1116,883,258,131,204,78,4977,1749,905,7335,2012,2105,744,1167,1258,347,17620,80,80,115,181,240,126,76,125,14,1043,153,125,147,307,311,122,85,134,25,1417,56,115,95,63,74,33,26,69,21,546,149,165,244,191,184,135,135,243,206,1652,6519,12574,9825,5877,6132,2160,1970,2735,925,48723
702,200,329,80,241,131,30,22,37,23,1102,335,323,175,523,306,67,49,83,22,1893,767,536,2103,1084,769,257,435,578,157,6678,58,99,49,182,124,78,27,105,31,755,77,92,53,199,107,43,48,83,33,736,23,49,17,38,32,17,15,30,10,227,98,186,108,226,116,70,76,189,191,1264,2598,5731,2820,3265,2148,717,716,1287,546,19827
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,0,0,0,0,7,0,18
799,0,3,3,3,0,0,0,6,0,19,3,3,3,7,3,3,5,5,0,37,7,12,52,12,5,3,17,25,0,136,0,0,10,3,0,0,0,0,0,13,0,0,9,7,0,3,0,3,0,22,0,3,3,3,0,0,0,0,0,7,0,3,0,0,0,0,0,7,0,16,28,102,85,54,22,12,31,54,4,387
801,1632,2235,684,1075,1788,423,107,233,194,8370,2484,2590,1344,2243,3054,627,177,400,339,13257,3153,2267,9060,3743,4287,1394,1039,1525,563,27020,198,174,158,375,486,262,67,183,30,1940,386,394,191,501,916,266,103,204,74,3029,207,443,130,150,238,77,33,83,48,1423,252,388,289,264,391,180,74,224,311,2371,26614,57086,14328,13494,23010,5442,2091,4248,3583,149895
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,3,0,0,0,0,0,0,8,0,3,0,3,3,0,0,0,3,14,0,0,5,8,9,0,3,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,47,11,21,29,7,3,8,9,139
901,24,15,12,12,8,6,3,8,0,88,19,15,16,36,28,4,0,11,5,131,69,20,211,64,45,11,35,43,12,503,3,3,5,12,7,3,3,11,0,48,8,7,9,19,14,5,10,7,3,78,0,0,3,3,3,0,0,3,3,18,16,10,10,17,15,9,10,23,6,110,241,214,278,195,150,48,64,111,29,1335
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
999,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
