SA4_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
123,4477,6744,13544,13455,12846,8530,1370,92,21,61078,3951,1709,4715,4360,3766,6151,8029,3939,1572,38193,378,461,1000,864,798,770,654,477,491,5894,8803,8917,19256,18683,17410,15453,10047,4505,2083,105160,2101,7442,19378,19421,18355,12147,1733,68,20,80656,4606,4416,6096,6850,6093,4954,1555,161,17,34744,234,280,1164,732,579,652,169,16,0,3831,210,391,603,496,457,285,99,17,4,2572,7148,12528,27243,27500,25478,18046,3561,266,48,121806,571,880,1054,865,757,488,38,5,0,4660,1062,524,598,537,405,297,56,3,3,3491,1635,1406,1660,1397,1164,786,94,7,3,8152,8781,13932,28895,28902,26643,18824,3653,274,53,129960,8535,2968,6131,5793,5463,9565,14792,7197,2426,62868,799,938,1934,1733,1583,1476,1281,815,688,11255,18115,17847,36961,36430,33690,29869,19726,8285,3174,204085
124,5354,7730,15572,15829,15936,11509,2121,163,15,74230,4018,1756,4830,4298,3959,7226,10608,5817,2682,45193,440,529,1127,961,1011,943,858,555,318,6732,9806,10019,21524,21095,20906,19675,13582,6533,3017,126160,2606,8799,22391,22591,22188,15196,2310,110,20,96218,5733,5201,7244,8074,7736,6952,2519,280,13,43755,274,372,1387,827,746,823,229,19,7,4692,239,371,631,502,478,319,105,26,7,2670,8855,14735,31661,31998,31155,23287,5156,433,46,147331,565,895,1044,858,751,613,45,4,3,4781,1184,521,551,501,388,403,84,9,0,3651,1748,1419,1601,1354,1144,1019,130,11,3,8431,10601,16157,33262,33357,32293,24305,5291,451,52,155762,8722,3093,6537,5993,6080,11591,19450,10342,4034,75849,856,1053,2290,2010,2017,1906,1613,954,482,13186,20179,20301,42089,41356,40393,37803,26357,11739,4571,244791
125,4244,9617,27435,20211,16873,10490,1916,132,26,90947,7095,4313,12487,9519,7982,10382,11907,8059,4198,75936,516,907,2787,1738,1436,1175,889,709,592,10756,11862,14832,42711,31472,26289,22042,14710,8903,4823,177642,1241,8614,40763,32679,24563,14769,2297,127,20,125082,4839,8922,14136,10865,8766,6596,2135,254,21,56538,251,449,1682,1062,594,585,189,26,0,4828,245,688,1619,994,819,484,105,23,19,4996,6570,18671,58206,45601,34736,22431,4727,431,66,191445,431,1358,3432,2037,1458,968,65,7,3,9763,1489,1562,1762,1139,847,681,85,12,8,7578,1923,2919,5192,3177,2307,1652,155,15,4,17344,8490,21596,63399,48778,37043,24088,4884,453,77,208788,15064,8644,18716,13865,12396,16817,22168,14711,6623,128990,1115,1943,5890,3887,2925,2440,1769,1273,885,22137,24671,32185,87999,66525,52359,43343,28819,16438,7583,359916
126,2094,4640,11068,10053,9525,6262,1389,151,26,45210,2781,2225,2988,2728,2395,4036,5524,4377,2748,29795,141,303,643,463,382,361,316,318,371,3306,5016,7170,14699,13242,12304,10656,7230,4845,3141,78304,339,3425,16027,14843,13394,8171,1530,101,25,57844,2658,4287,4416,4812,4667,3950,1694,292,25,26814,165,229,732,515,274,353,146,12,0,2436,88,193,430,257,257,181,55,20,17,1506,3252,8135,21607,20430,18597,12660,3422,424,69,88601,79,304,864,558,530,361,32,9,3,2735,690,760,561,386,281,255,56,9,0,3000,767,1066,1430,941,807,620,86,13,3,5737,4015,9210,23035,21371,19410,13272,3510,437,70,94336,6486,4450,4545,3513,3406,6293,9829,7640,4340,50507,326,577,1271,982,817,715,604,558,526,6377,10835,14231,28852,25863,23636,20279,13945,8639,4930,151220
127,4939,9989,18777,17306,16399,9768,1425,99,16,78716,8439,3902,9388,9679,9462,12336,11872,7340,3116,75537,635,782,1790,1629,1482,1278,946,645,305,9500,14007,14665,29957,28617,27349,23386,14236,8087,3432,163744,1770,9690,27408,24712,23994,14591,2148,88,20,104417,5179,7456,8516,9385,8703,5946,1553,162,11,46906,259,451,1322,776,647,602,137,25,0,4216,294,708,1129,928,910,550,125,34,4,4679,7501,18298,38375,35798,34254,21694,3962,305,35,160218,595,1464,1943,1539,1435,1011,44,3,3,8042,1791,1188,945,1028,1008,856,84,11,0,6907,2380,2651,2892,2567,2443,1865,129,11,3,14949,9886,20948,41266,38365,36698,23554,4090,314,40,175172,17784,7209,13214,13663,14510,19496,22004,13412,5013,126305,1369,1716,3654,3241,3067,2552,1823,1169,493,19098,29037,29874,58131,55278,54282,45607,27920,14897,5545,320571
128,3622,5296,11112,12672,12831,8979,1910,150,21,56588,2561,666,1750,2253,2215,4476,8060,5612,3543,31124,193,217,607,571,511,506,403,323,258,3599,6373,6176,13476,15494,15550,13966,10370,6079,3824,91312,1318,5771,16272,17160,17552,11457,1824,113,13,71489,4478,4072,4372,7217,6832,5969,2449,280,40,35705,206,227,1027,698,527,697,195,31,3,3602,115,211,352,307,352,208,60,23,9,1642,6118,10283,22019,25385,25265,18338,4527,443,62,112434,173,309,426,365,438,315,31,10,3,2063,705,282,195,264,278,252,61,10,7,2054,875,593,620,629,715,569,90,20,5,4116,6995,10873,22642,26011,25981,18900,4618,467,72,116552,5721,1351,2351,2888,3138,7255,14506,10020,5500,52733,373,444,1188,1175,1069,1047,807,559,381,7049,13095,12667,26178,30079,30190,27203,19937,11043,5949,176329
197,9,3,17,13,17,13,11,0,0,72,0,0,0,4,10,32,40,13,5,110,0,0,3,0,8,5,14,8,0,41,7,4,24,14,31,53,60,24,7,220,3,3,16,5,16,6,0,0,0,48,3,0,3,4,4,6,7,0,0,25,0,3,7,8,15,3,6,0,0,43,0,0,0,3,0,3,0,0,0,4,6,3,23,27,30,25,10,0,0,130,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,6,3,23,27,30,25,10,0,0,130,3,3,5,4,12,36,73,24,9,185,0,3,4,0,8,10,20,17,0,63,12,9,32,34,50,74,108,42,10,374
199,84,295,554,250,241,194,35,3,0,1646,106,192,265,203,236,400,352,87,35,1876,46,131,271,182,169,131,88,30,14,1063,232,615,1091,629,646,732,477,120,48,4590,53,288,703,408,289,194,38,3,3,1977,49,193,294,165,168,135,40,3,0,1047,6,19,49,19,26,30,8,0,0,148,8,33,44,37,21,15,0,0,0,158,112,528,1094,630,507,376,89,7,4,3331,45,112,204,133,120,82,5,0,0,699,26,48,72,29,25,34,7,3,0,245,68,152,277,169,143,113,11,3,0,941,183,683,1372,797,653,491,96,8,4,4272,221,394,575,437,539,786,852,203,56,4062,114,285,759,662,610,445,240,72,21,3220,517,1358,2703,1900,1798,1722,1196,282,78,11545
201,2427,3573,6375,7102,8156,5984,1175,101,38,34928,2012,1024,2078,2063,2252,4305,7053,4209,2113,27111,262,302,534,539,655,732,702,469,307,4506,4705,4900,8982,9704,11065,11020,8929,4783,2456,66545,755,3118,7961,8463,9707,6692,1096,116,38,37943,2866,2868,3704,4654,4947,4503,1519,191,38,25289,139,234,632,492,497,598,198,28,6,2833,138,198,213,208,255,198,83,37,5,1333,3904,6414,12516,13821,15406,11982,2894,380,77,67396,268,558,639,439,518,371,19,0,0,2818,549,370,310,290,274,239,50,5,3,2084,813,930,957,727,791,604,70,5,3,4899,4719,7341,13469,14544,16196,12591,2966,378,83,72295,4408,1899,2988,3117,3799,7355,13124,7664,3200,47546,530,632,1056,1089,1301,1391,1384,840,467,8684,9654,9873,17520,18747,21290,21334,17469,8886,3745,128519
202,2397,3408,6180,6892,8017,6077,1226,125,42,34364,1949,968,1996,1995,1972,3935,6576,4079,1978,25455,287,253,564,584,654,739,664,558,484,4788,4627,4634,8738,9480,10643,10756,8472,4759,2500,64603,691,3174,7926,8144,9469,6676,1037,142,28,37281,2855,2673,3552,4509,4936,4711,1574,226,40,25072,156,229,612,510,514,629,209,23,5,2880,123,148,206,203,212,198,78,33,10,1215,3822,6229,12296,13363,15134,12208,2894,415,86,66444,230,437,490,418,398,364,14,5,0,2362,556,317,254,256,227,223,54,4,0,1897,784,756,741,679,625,587,71,11,0,4258,4603,6982,13042,14039,15759,12796,2961,429,87,70699,4199,1711,2952,3045,3366,6677,12280,7452,3154,44834,570,539,1116,1126,1353,1478,1362,997,713,9245,9372,9235,17108,18211,20471,20946,16603,8878,3961,124780
203,4473,6401,12867,13735,14523,10220,1954,157,44,64364,3510,1601,3683,3653,3484,7086,11984,7579,4020,46601,372,484,893,851,975,1024,1001,813,598,7009,8363,8475,17444,18239,18979,18329,14941,8547,4657,117970,1053,5531,16845,16911,17671,11280,1605,131,26,71046,5399,5621,6863,8924,8850,7991,2715,320,45,46725,319,378,1239,959,838,944,300,29,4,5010,229,311,453,394,399,302,101,38,18,2244,6989,11845,25391,27194,27753,20517,4716,520,86,125026,380,746,946,750,837,614,16,10,3,4301,1083,646,509,479,389,415,87,14,0,3621,1461,1392,1457,1227,1222,1023,106,23,4,7917,8451,13236,26851,28424,28977,21547,4823,544,94,132944,7890,3234,5429,5354,5527,11565,21755,13546,6332,80628,777,978,1810,1764,1956,1997,1950,1410,902,13551,17118,17452,34086,35537,36470,35106,28527,15504,7326,227122
204,2589,2873,6266,7433,9159,7569,1705,222,49,37878,1982,748,1948,1958,2074,4427,7821,4732,2340,28044,332,290,587,664,807,860,850,622,447,5466,4909,3914,8811,10058,12040,12854,10378,5576,2840,71384,1177,3658,8186,8957,11412,8600,1795,277,69,44130,3026,1903,3506,4659,5365,5512,2091,334,65,26463,165,214,639,527,577,859,289,53,15,3334,148,186,261,271,309,249,131,56,11,1615,4520,5960,12592,14410,17661,15221,4310,717,165,75545,235,396,454,417,443,402,22,0,0,2373,429,179,210,238,229,295,51,0,0,1636,661,571,662,658,678,696,76,3,0,4011,5179,6535,13255,15066,18336,15915,4383,722,161,79553,4445,1335,2672,2863,3411,7541,14765,8705,3712,49448,660,634,1195,1348,1619,1825,1657,1141,716,10791,10287,8501,17119,19275,23366,25285,20812,10558,4590,139788
205,3757,4689,9990,10832,13377,11064,2400,342,55,56497,3205,1415,3606,3305,3901,8244,13807,7973,3710,49170,437,535,1009,1032,1292,1491,1467,1173,720,9158,7394,6639,14612,15166,18570,20800,17673,9486,4489,114826,1344,5096,12444,12645,15443,11783,2374,331,68,61524,4469,3165,5913,7121,8514,8487,3041,500,67,41270,235,302,1096,759,1037,1360,432,71,5,5299,236,250,362,381,442,412,198,83,25,2391,6284,8808,19808,20910,25433,22040,6039,989,173,110486,476,871,969,887,977,927,40,4,3,5163,748,371,482,435,399,527,89,3,4,3068,1225,1242,1446,1321,1375,1460,137,10,6,8227,7508,10049,21254,22231,26811,23500,6172,1001,181,118717,6994,2416,5149,5095,6447,13810,26172,15016,5963,87069,918,1074,2011,2009,2660,2968,2951,2107,1105,17812,15423,13540,28423,29340,35918,40282,35293,18127,7251,223600
206,5562,21403,64510,34448,25060,15378,3824,359,80,170631,8095,11489,10138,6708,5831,8892,12573,9700,4867,78287,1098,2991,7473,3723,2653,2184,1541,1122,843,23623,14754,35890,82124,44880,33541,26459,17939,11181,5790,272543,682,13754,90137,49955,34582,18855,3918,355,99,212343,5817,17748,26422,15949,12494,9917,4571,657,102,93688,253,890,3364,2388,1132,905,347,57,14,9349,267,730,1709,827,616,389,167,53,20,4780,7022,33131,121641,69127,48822,30065,9007,1121,230,320165,270,1596,3947,2161,1708,997,99,18,0,10795,2375,4180,2582,1035,806,643,205,20,3,11851,2647,5773,6526,3198,2510,1645,307,37,6,22651,9662,38901,128169,72324,51335,31711,9309,1155,234,342809,15856,21263,16761,9870,9500,14749,22072,16755,7877,134697,2057,5647,14908,7823,5510,4414,3120,2046,1262,46782,27570,65808,159836,90017,66343,50874,34506,19956,9372,524285
207,4858,9531,18707,17563,20042,12684,3406,363,51,87209,6846,3729,4511,5267,5405,7908,12860,10697,6276,63493,379,544,1164,888,971,869,877,849,766,7312,12087,13803,24381,23716,26420,21461,17148,11908,7094,158013,428,5927,25512,23370,26132,15854,3077,277,25,100607,6255,10225,8944,9752,11359,8857,4506,729,93,60717,232,459,1238,961,690,726,307,51,13,4671,153,346,625,462,507,302,143,49,18,2608,7064,16955,36323,34540,38682,25748,8033,1107,146,168603,132,685,1474,940,1065,705,73,8,0,5078,1801,1735,974,650,625,493,126,15,6,6428,1934,2419,2448,1591,1692,1194,199,22,6,11510,8997,19374,38768,36134,40371,26942,8234,1130,153,180109,14539,8061,7215,6801,7418,12004,21698,18781,9833,106357,771,1130,2326,1770,2003,1697,1552,1506,1129,13888,24314,28564,48315,44705,49792,40646,31487,21417,11110,300350
208,5049,8936,21284,23047,24230,15025,3852,317,72,101815,5869,3113,4366,5333,5089,7891,13354,10437,6997,62452,383,578,1421,1325,1307,1113,1030,971,996,9129,11304,12623,27074,29702,30631,24027,18237,11732,8064,173391,635,6172,29297,31258,32199,18716,3502,274,37,122078,6599,9203,9260,12603,13322,10433,5102,701,103,67328,265,387,1540,1418,867,892,343,54,10,5780,155,340,688,588,597,384,168,49,38,3002,7657,16100,40783,45864,46984,30418,9109,1071,186,198179,203,697,1402,1027,1162,768,90,7,3,5358,1611,1311,801,694,640,507,172,21,0,5761,1813,2009,2197,1724,1809,1273,263,31,7,11121,9463,18110,42984,47586,48791,31692,9365,1104,195,209300,12848,6055,6398,6791,7128,12393,22750,17820,10881,103073,779,1207,2845,2708,2675,2206,1928,1666,1462,17472,23090,25368,52231,57088,58600,46291,34044,20587,12538,329844
209,6806,12071,27808,26748,25038,15640,2711,224,42,117089,6744,3806,8722,8033,7165,11064,15978,10505,4771,76794,621,858,2127,1674,1593,1413,1264,1024,822,11398,14170,16738,38654,36458,33805,28117,19953,11750,5632,205282,1466,9584,37890,35723,32917,19859,2877,171,33,140525,8185,10936,14368,16202,14413,10976,3475,398,43,79008,327,591,2346,1678,1138,1112,298,38,4,7521,296,562,1191,907,817,533,174,52,11,4551,10273,21665,55799,54507,49291,32489,6826,657,100,231609,546,1352,2451,1699,1479,915,62,4,3,8512,2285,1623,1315,1036,753,577,113,8,3,7716,2829,2973,3764,2736,2229,1494,176,13,6,16224,13106,24640,59567,57238,51523,33982,6998,670,107,247829,14844,7462,12563,11044,10800,17329,28896,18999,7732,129675,1228,1748,4289,3476,3162,2715,2354,1799,1220,21999,29178,33852,76421,71765,65482,54028,38246,21466,9057,399503
210,4697,8231,18393,17317,16850,9734,1660,129,25,77036,6038,2829,7605,7088,6553,8288,11448,8003,3592,61442,501,609,1575,1326,1250,1095,1015,809,447,8624,11237,11668,27571,25726,24652,19115,14124,8940,4063,147096,1103,7289,26297,23899,23080,12813,1872,108,16,96484,5499,7320,9600,10379,9470,6548,2075,218,27,51140,214,401,1546,1071,745,779,195,13,3,4970,222,550,1025,749,674,405,116,47,17,3811,7041,15563,38466,36103,33970,20542,4254,393,64,156400,537,1245,2001,1439,1177,686,34,4,0,7123,1705,1018,868,767,625,463,86,9,5,5536,2243,2259,2867,2206,1799,1150,116,13,5,12659,9279,17823,41339,38305,35775,21693,4373,407,67,169060,12793,5274,10629,9842,9951,13252,20440,14374,5855,102406,1045,1329,3245,2753,2544,2161,1907,1424,728,17127,23121,24425,55208,50908,48264,37105,26721,16209,6650,288599
211,8217,11974,24799,26480,29050,19811,3957,323,49,124661,6740,2423,6216,7090,6492,11341,19115,11770,5872,77065,470,509,1367,1288,1380,1289,1205,1045,884,9438,15434,14911,32387,34854,36924,32439,24276,13136,6801,211158,2065,11303,35171,34997,37869,24482,3859,218,42,150004,10221,10373,11787,16265,16811,14148,5238,625,54,85509,435,559,2161,1631,1282,1500,522,68,8,8168,298,470,861,763,844,551,168,76,21,4043,13015,22708,49990,53647,56808,40675,9793,985,115,247729,476,1156,1544,1264,1345,950,83,5,3,6835,2441,1039,798,903,781,618,142,18,3,6734,2920,2194,2339,2163,2123,1571,223,22,9,13566,15930,24904,52331,55812,58931,42245,10015,1009,123,261299,14914,4821,8431,9343,9448,17600,33794,21187,9225,128760,971,1120,2674,2623,2755,2543,2271,1745,1288,17997,31809,30848,63435,67780,71134,62391,46081,23943,10639,408056
212,10302,18201,39967,37040,34885,20715,3672,325,64,165170,12851,8183,15255,13397,11669,16982,23564,15486,7172,124571,968,1343,2995,2419,2258,1959,1757,1406,1026,16124,24123,27727,58222,52854,48805,39657,28990,17225,8254,305863,2411,15661,56293,52831,49111,28118,4172,249,68,208894,11989,16583,21383,21585,18975,13973,4633,639,67,109820,501,798,2897,1903,1478,1410,446,48,12,9495,437,1078,2058,1453,1312,787,235,87,31,7479,15341,34114,82632,77765,70881,44290,9486,1026,167,335693,923,2484,4039,2932,2492,1594,108,10,4,14587,4071,3009,2151,1670,1317,966,205,29,4,13415,4991,5494,6190,4606,3813,2559,310,34,9,28003,20327,39602,88824,82372,74691,46848,9793,1060,177,363697,27703,15993,21366,18149,17233,26576,42226,28258,11570,209080,2061,2891,6199,5110,4660,3926,3338,2595,1559,32344,50095,58490,116387,105635,96584,77349,55358,31914,13311,605115
213,8996,16793,43970,39967,32451,17971,2396,153,50,162754,10932,5697,16377,14038,10982,16490,19018,10874,4717,109123,965,1403,3741,3013,2532,2105,1693,1181,768,17412,20898,23892,64081,57022,45971,36570,23107,12204,5539,289288,2013,13965,61105,58015,45069,24333,2898,133,43,207579,10426,15004,22261,21552,17078,11652,3021,238,26,101264,401,724,3206,2449,1457,1313,292,30,7,9880,406,1000,2221,1625,1308,696,183,41,14,7486,13247,30695,88798,83639,64907,37991,6398,442,88,326215,1027,2761,4850,3593,2977,1823,83,3,4,17126,3379,2540,2421,1904,1365,1139,155,10,4,12928,4408,5308,7271,5497,4342,2958,236,14,10,30051,17657,36006,96062,89140,69252,40954,6633,457,97,356265,23184,11104,22876,19348,16693,25986,35346,19581,7413,181525,2029,2987,7601,6219,5080,4171,3251,2159,1188,34699,42871,50091,126540,114709,91031,71110,45235,22199,8698,572482
214,4544,6037,12146,13985,15824,11203,2605,203,33,66576,3322,1268,3462,3872,3886,7155,13618,8691,4056,49335,398,451,957,1017,1084,1097,1179,989,628,7795,8262,7747,16562,18877,20793,19457,17406,9878,4721,123705,1483,6305,16251,17713,20027,13001,2153,150,21,77116,5527,4649,6325,8785,9287,8217,3456,418,48,46697,237,276,1128,851,786,994,365,40,4,4683,213,307,447,461,451,338,144,28,22,2403,7460,11540,24153,27805,30550,22543,6121,632,96,130907,377,701,825,809,841,703,43,3,0,4306,1139,408,437,497,447,461,147,14,0,3551,1520,1106,1265,1305,1290,1173,193,21,0,7856,8978,12643,25416,29113,31838,23715,6309,649,96,138757,7148,2348,4660,5363,6021,11228,24126,15963,6710,83566,830,927,1901,2016,2219,2162,2176,1746,966,14949,16958,15920,31974,36487,40081,37104,32608,18360,7772,237269
215,2170,2682,5473,5908,7475,6137,1404,213,38,31506,1922,807,2063,1786,1960,3578,6353,4702,2552,25724,296,303,610,566,744,846,768,660,444,5238,4381,3792,8149,8259,10179,10565,8529,5575,3034,62466,896,3244,7370,7251,9410,7604,1578,281,39,37677,2578,1693,3106,3679,4316,4225,1628,299,56,21576,150,164,536,352,457,688,254,45,10,2653,111,137,263,228,258,277,113,68,23,1477,3731,5238,11268,11515,14437,12792,3565,694,129,63374,246,407,545,417,447,344,23,3,3,2424,391,178,244,211,194,197,41,4,0,1467,642,583,786,625,645,539,60,7,3,3891,4367,5821,12058,12141,15082,13331,3634,702,134,67272,4151,1359,2988,2881,3480,6377,11951,8457,4001,45638,581,647,1335,1150,1549,1700,1601,1200,685,10443,9101,7825,16382,16175,20112,21405,17186,10355,4819,123356
216,2109,2225,4869,5376,6620,4950,1047,149,40,27380,1641,785,1795,1622,1632,3192,5580,3810,1819,21867,236,226,540,506,600,676,712,531,357,4385,3989,3233,7201,7501,8852,8816,7341,4495,2213,53639,863,2738,6471,6654,8355,6123,1160,161,32,32563,2411,1357,2633,3288,3698,3483,1275,221,40,18407,137,172,478,391,431,612,182,29,7,2441,163,163,188,205,229,182,95,49,19,1294,3579,4429,9778,10541,12718,10404,2713,460,88,54705,226,326,428,351,376,237,7,3,0,1960,427,169,216,177,171,168,22,0,3,1350,650,494,640,527,544,404,30,4,3,3306,4229,4923,10421,11063,13259,10803,2746,464,92,58011,3645,1300,2581,2536,2839,5310,10521,7166,2935,38841,499,474,1071,1025,1265,1379,1413,979,552,8657,8377,6706,14067,14628,17361,17490,14681,8616,3579,105507
217,2004,2202,4419,5216,6819,5349,1253,196,38,27490,1453,603,1432,1328,1463,3119,5258,3614,1894,20163,220,212,383,419,550,635,630,515,323,3883,3680,3015,6232,6960,8831,9101,7140,4321,2260,51535,816,2635,5798,6242,8190,6180,1398,242,42,31542,2498,1578,2642,3593,4152,4018,1455,267,45,20253,129,164,507,384,511,611,224,35,12,2565,150,138,174,190,210,205,100,57,12,1248,3594,4509,9122,10411,13068,11015,3176,607,109,55609,180,291,317,289,301,231,10,0,0,1619,289,143,141,150,159,176,32,3,0,1089,473,433,465,431,455,402,39,8,0,2711,4065,4944,9588,10839,13523,11418,3214,612,111,58316,3134,1007,1908,1925,2446,5187,9798,6366,2917,34686,444,461,802,860,1166,1262,1247,932,500,7664,7635,6408,12295,13624,17133,17876,14254,7910,3529,100676
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,8,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,4,3,11,5,0,0,0,25
299,52,191,377,169,132,102,19,0,0,1038,90,157,230,172,129,178,157,40,23,1175,38,102,182,144,89,73,32,7,5,669,178,453,795,479,347,352,204,49,28,2883,27,136,482,250,171,109,19,0,0,1194,32,136,187,94,91,86,17,3,0,641,3,5,35,21,22,20,3,3,0,111,6,12,22,20,16,3,0,0,0,84,64,289,726,386,300,215,42,7,0,2033,21,52,148,83,72,30,5,0,0,410,29,59,54,29,13,20,3,0,0,204,47,111,202,111,90,48,10,0,0,613,117,397,921,499,388,268,51,7,0,2647,165,284,449,311,262,338,355,95,28,2291,74,215,474,477,328,210,80,16,5,1886,357,898,1848,1295,975,816,482,121,38,6825
301,4430,4898,9978,12527,13625,8732,1531,113,16,55838,2352,861,2238,2627,2649,5382,8990,5179,2435,32715,231,237,528,563,587,608,581,524,531,4394,7015,5989,12745,15726,16863,14726,11095,5813,2985,92945,1369,5077,13742,16840,18614,11330,1558,99,20,68634,5354,3768,4672,6537,6543,5360,1876,187,20,34326,171,253,874,688,646,709,163,21,0,3523,149,192,344,334,342,202,64,16,11,1643,7050,9292,19629,24394,26139,17594,3661,320,52,108128,508,690,778,662,741,626,40,0,0,4042,1142,321,341,381,310,329,77,7,0,2904,1647,1010,1119,1042,1049,954,117,9,0,6948,8700,10300,20744,25434,27185,18551,3780,328,53,115073,5411,1532,3019,3564,3948,8672,16487,9469,3859,55960,453,489,1070,1215,1316,1311,1124,918,793,8689,14560,12324,24839,30218,32454,28539,21383,10711,4703,179726
