SOS_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOS69,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,31,52,55,43,38,17,9,3,0,248,31,52,55,43,38,17,9,3,0,248,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS70,..,134,3109,4461,3593,2776,1606,546,75,16308,..,652,2456,1218,950,552,182,38,3,6043,..,23,77,196,271,176,88,23,10,868,10746,..,..,..,..,..,..,..,..,10746,..,1908,..,..,..,..,..,..,..,1908,..,1730,813,294,162,34,4,0,0,3035,..,420,359,151,117,93,68,34,19,1257,..,314,612,221,156,80,39,4,4,1433,..,608,1282,489,382,259,130,30,6,3187,..,241,806,716,871,880,569,209,57,4354,191,291,323,190,176,131,69,25,4,1392,10933,6329,9824,7932,6668,4975,2760,915,180,50521,..,375,4194,4620,3490,2438,1157,292,27,16596,..,1035,2522,1187,902,433,133,10,0,6221,..,171,578,879,838,395,196,102,38,3192,10316,..,..,..,..,..,..,..,..,10316,..,1897,..,..,..,..,..,..,..,1897,..,1009,448,142,65,34,9,0,0,1712,..,360,235,97,147,247,186,132,46,1451,..,271,413,85,72,54,23,3,0,921
SOS71,..,181,1118,1413,1375,1059,462,117,17,5748,..,212,672,496,366,231,52,8,0,2039,..,23,44,89,105,56,33,8,3,355,5219,..,..,..,..,..,..,..,..,5219,..,686,..,..,..,..,..,..,..,686,..,864,391,123,51,10,0,0,0,1449,..,443,305,211,177,100,43,19,0,1304,..,87,103,42,39,19,9,3,0,301,..,124,258,101,91,70,25,4,3,675,..,97,281,236,383,359,234,86,17,1686,125,124,129,87,82,61,32,4,0,638,5349,2850,3304,2788,2661,1972,888,257,45,20105,..,284,1426,1483,1347,943,278,74,4,5842,..,303,776,496,365,168,39,10,0,2155,..,146,380,455,383,205,75,31,16,1696,4774,..,..,..,..,..,..,..,..,4774,..,583,..,..,..,..,..,..,..,583,..,620,240,77,38,9,0,0,0,987,..,354,225,135,176,178,90,47,14,1219,..,81,59,40,33,24,10,0,0,253
SOS72,..,288,808,729,631,470,200,41,15,3172,..,87,274,255,177,87,37,5,0,923,..,13,44,52,66,41,21,10,0,237,3222,..,..,..,..,..,..,..,..,3222,..,260,..,..,..,..,..,..,..,260,..,642,276,85,26,8,0,0,0,1039,..,473,264,160,137,63,51,31,5,1181,..,34,23,25,12,11,11,7,0,119,..,48,58,31,36,27,12,3,0,215,..,58,126,127,176,167,84,22,3,772,77,62,66,47,46,25,4,3,0,337,3302,1967,1945,1509,1302,909,416,115,22,11479,..,416,859,734,633,386,122,18,7,3175,..,106,310,246,170,81,20,6,3,946,..,129,292,271,234,138,70,27,4,1170,3043,..,..,..,..,..,..,..,..,3043,..,240,..,..,..,..,..,..,..,240,..,477,184,62,51,9,0,0,0,782,..,349,217,156,180,190,112,49,18,1268,..,31,16,17,13,6,6,0,0,91
SOS73,..,99,563,968,1116,868,552,127,12,4305,..,126,423,366,382,228,74,9,0,1607,..,3,35,55,85,61,36,12,6,293,3147,..,..,..,..,..,..,..,..,3147,..,454,..,..,..,..,..,..,..,454,..,627,247,101,46,11,0,0,0,1035,..,232,149,93,87,67,49,33,8,723,..,70,56,46,46,48,17,5,0,292,..,69,103,54,80,63,40,13,0,422,..,36,120,147,264,316,217,49,8,1167,79,92,55,53,41,61,30,4,0,415,3227,1807,1754,1887,2157,1723,1014,255,35,13852,..,146,754,1118,1120,800,379,70,7,4394,..,196,462,361,383,190,54,7,0,1657,..,42,146,194,186,91,56,39,10,751,2997,..,..,..,..,..,..,..,..,2997,..,400,..,..,..,..,..,..,..,400,..,408,142,66,29,15,0,0,0,663,..,138,81,65,90,101,91,39,17,629,..,90,60,14,23,15,10,0,0,211
SOS77,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS79,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,38,19,32,24,32,31,20,3,0,188,38,19,32,24,32,31,20,3,0,188,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS80,..,273,10046,16811,14643,12035,8960,4022,1022,67816,..,1567,6007,3335,2461,1423,563,121,25,15495,..,42,169,612,1019,599,232,107,74,2842,36169,..,..,..,..,..,..,..,..,36169,..,9242,..,..,..,..,..,..,..,9242,..,5554,3223,1079,592,239,29,0,0,10721,..,1137,873,277,267,246,154,92,67,3113,..,960,957,341,174,99,29,9,7,2581,..,3101,3733,838,546,413,191,82,24,8924,..,838,3166,2701,2839,2626,1816,943,502,15441,493,729,872,511,373,336,253,98,32,3714,36658,23448,29042,26513,22912,18019,12234,5476,1748,176046,..,707,13451,17326,14507,11455,7737,2893,487,68560,..,2362,6190,3269,2386,1190,402,73,7,15869,..,303,1455,2967,3454,1679,673,463,266,11263,33950,..,..,..,..,..,..,..,..,33950,..,9163,..,..,..,..,..,..,..,9163,..,3999,1935,521,309,169,39,0,0,6987,..,909,631,218,271,595,585,392,260,3856,..,866,724,182,79,54,21,9,5,1935
SOS82,..,0,0,5,12,9,18,11,0,61,..,0,0,4,4,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,28,..,..,..,..,..,..,..,..,28,..,4,..,..,..,..,..,..,..,4,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,3,4,0,11,0,0,0,0,0,0,0,0,0,3,28,10,7,13,22,17,16,16,3,123,..,0,0,13,10,12,15,9,0,59,..,0,4,0,3,0,0,0,0,7,..,0,0,0,3,0,0,0,0,4,27,..,..,..,..,..,..,..,..,27,..,11,..,..,..,..,..,..,..,11,..,3,0,4,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS83,..,0,17,45,38,19,8,3,0,133,..,0,5,11,11,6,0,0,0,38,..,0,0,0,0,0,0,0,0,0,87,..,..,..,..,..,..,..,..,87,..,19,..,..,..,..,..,..,..,19,..,18,3,0,3,0,0,0,0,18,..,0,3,0,0,3,0,0,0,5,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,4,0,0,9,..,0,4,0,3,11,0,0,0,19,4,5,3,0,0,4,0,0,0,10,90,38,35,57,59,37,17,5,0,340,..,0,30,40,27,18,8,3,0,127,..,0,8,9,8,4,0,0,0,33,..,0,3,4,6,3,0,0,0,11,65,..,..,..,..,..,..,..,..,65,..,22,..,..,..,..,..,..,..,22,..,7,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3
SOS87,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS89,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,16,26,42,35,25,14,8,0,0,161,16,26,42,35,25,14,8,0,0,161,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS91,..,0,27,57,58,49,42,5,0,229,..,3,3,6,13,3,0,0,0,28,..,0,0,0,9,3,0,0,0,11,129,..,..,..,..,..,..,..,..,129,..,19,..,..,..,..,..,..,..,19,..,22,19,0,3,0,0,0,0,45,..,0,3,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,4,0,4,0,0,0,0,8,..,3,5,10,15,16,9,3,0,66,6,6,7,3,5,12,3,0,0,34,132,54,67,76,93,85,55,9,0,580,..,5,41,60,51,47,12,5,0,220,..,5,6,9,9,3,0,0,0,33,..,0,3,3,12,3,3,3,0,24,127,..,..,..,..,..,..,..,..,127,..,17,..,..,..,..,..,..,..,17,..,11,3,3,3,0,0,0,0,15,..,7,3,0,0,0,3,0,0,13,..,0,0,0,0,0,0,0,0,4
SOS92,..,3,28,57,50,61,60,15,3,273,..,4,11,22,13,8,3,0,0,59,..,0,0,4,3,0,0,0,0,6,139,..,..,..,..,..,..,..,..,139,..,12,..,..,..,..,..,..,..,12,..,25,3,9,0,0,0,0,0,34,..,3,0,0,0,0,3,7,0,13,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,5,0,10,23,16,8,7,4,77,0,3,3,0,6,0,4,4,0,18,135,53,46,93,97,91,76,33,10,637,..,6,46,59,55,60,42,11,3,276,..,4,12,15,12,12,3,0,0,63,..,4,3,10,8,10,4,0,0,40,121,..,..,..,..,..,..,..,..,121,..,17,..,..,..,..,..,..,..,17,..,20,3,0,8,0,0,0,0,30,..,3,0,0,3,3,4,6,0,24,..,4,0,0,0,0,0,0,0,5
SOS93,..,0,11,33,34,49,42,18,7,190,..,3,4,12,19,10,0,0,0,56,..,0,0,3,3,5,3,3,0,12,109,..,..,..,..,..,..,..,..,109,..,20,..,..,..,..,..,..,..,20,..,20,10,9,0,0,0,0,0,39,..,0,3,0,9,3,0,0,0,17,..,0,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,3,..,3,0,0,10,20,9,3,0,54,0,0,0,0,0,3,0,0,0,8,112,46,27,68,80,90,56,32,10,525,..,3,16,35,41,44,42,14,0,197,..,4,10,13,19,12,5,0,0,58,..,0,3,13,14,10,3,3,3,44,108,..,..,..,..,..,..,..,..,108,..,20,..,..,..,..,..,..,..,20,..,3,5,5,8,0,0,0,0,20,..,3,0,3,3,0,7,0,0,20,..,0,0,0,0,0,0,0,0,7
SOS97,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS99,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,15,0,0,0,4,0,4,3,0,0,15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
