SOS_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOS69,4,15,56,26,28,16,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,11,0,0,4,3,3,0,0,0,0,10,0,0,3,5,5,6,0,0,0,24,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SOS70,1364,3310,9829,7720,6320,4141,1007,95,10,33793,9,16,22,15,32,17,6,0,0,121,0,10,51,52,42,30,0,0,0,190,46,35,96,96,83,41,12,0,0,394,3,14,90,103,64,34,3,0,0,316,10,71,315,246,175,125,15,0,0,958,8,38,102,73,68,31,11,0,0,328,403,389,624,440,419,272,63,3,0,2604,362,397,708,405,286,151,33,3,0,2337,13,68,187,149,168,86,13,3,0,688,21,36,100,66,33,24,6,0,0,297,9,54,215,146,100,40,4,0,0,571,11,81,201,106,105,62,31,0,0,601,29,120,540,378,309,190,37,0,0,1609,18,95,286,251,258,131,28,3,0,1062,60,459,1432,1333,1161,707,121,5,0,5280,57,227,840,962,876,585,111,11,0,3658,88,349,1549,1081,865,631,123,5,0,4701,66,77,212,127,99,61,15,0,0,655,57,98,278,172,153,89,21,4,0,880
SOS71,477,758,2404,2060,2039,1590,392,36,0,9746,3,16,15,13,5,7,3,0,0,65,3,0,11,16,13,0,0,0,0,49,8,13,6,16,16,3,0,0,0,61,0,7,8,7,15,8,0,0,0,45,9,19,49,42,44,30,4,0,0,200,3,7,18,4,5,16,3,0,0,62,107,85,154,149,138,99,27,4,0,770,94,71,193,94,107,75,15,3,0,648,5,12,42,40,49,27,10,0,0,183,8,7,22,23,11,9,3,0,0,74,4,15,42,22,13,3,0,0,0,97,4,14,26,34,27,20,3,0,0,131,4,18,97,98,88,58,17,0,0,383,3,35,68,54,74,41,13,3,0,297,18,96,406,347,378,253,37,0,0,1535,31,76,390,368,405,317,48,3,0,1638,47,159,621,586,557,385,86,5,0,2438,16,20,41,36,41,28,3,0,0,192,18,26,113,95,108,51,15,0,0,433
SOS72,115,331,881,809,770,572,143,8,3,3638,3,3,7,7,7,5,3,0,0,38,0,5,31,17,20,4,0,0,0,75,3,0,3,4,6,4,0,0,0,27,0,0,0,8,4,0,0,0,0,12,0,3,6,9,17,7,3,0,0,43,0,0,5,4,7,3,0,0,0,16,15,30,72,60,56,37,3,0,0,269,34,51,115,38,41,23,7,0,0,306,0,3,24,14,17,10,0,0,0,66,0,0,0,3,4,3,0,0,0,10,0,0,6,6,8,4,0,0,0,24,0,3,3,3,8,3,0,0,0,20,0,3,25,20,16,15,3,0,0,80,3,20,41,30,27,10,5,0,0,141,6,28,135,134,128,84,14,0,0,528,9,33,188,163,163,146,19,3,0,728,6,36,125,119,135,84,16,0,0,517,3,10,25,37,30,10,3,0,0,118,6,26,46,54,36,28,10,0,0,205
SOS73,383,686,1501,1621,1834,1206,323,43,3,7587,24,82,107,72,93,57,23,7,0,468,0,5,16,16,21,3,0,0,0,58,11,4,21,30,26,16,3,0,0,104,0,3,15,19,13,13,0,0,0,60,6,18,78,98,80,35,16,0,0,329,10,13,21,28,26,13,3,0,0,114,70,51,59,84,111,84,22,0,0,488,67,42,93,54,79,59,15,4,0,408,7,15,36,39,52,25,3,0,0,170,0,8,7,6,6,6,0,0,0,35,0,6,20,21,13,14,0,0,0,74,3,6,15,22,14,17,7,0,0,84,10,14,52,85,80,44,10,0,0,299,0,11,43,64,60,31,13,0,0,218,13,50,215,240,293,143,15,0,0,974,29,37,159,235,270,157,39,3,0,929,22,58,132,154,180,136,31,4,0,719,14,11,25,36,31,11,9,0,0,130,9,23,46,51,62,30,5,0,0,232
SOS77,0,0,10,9,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,11,39,84,62,70,44,13,0,0,320,0,9,7,3,3,0,0,0,0,26,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,15,0,10,22,3,12,11,0,0,0,58,0,0,3,0,3,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,6,0,0,3,0,3,8,0,0,0,16,5,3,0,3,3,5,0,0,0,21,0,0,9,4,3,0,3,0,0,19,0,3,11,10,9,7,0,0,0,41,0,0,3,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SOS80,4987,10469,26641,24743,20949,12693,3412,389,44,104319,3,15,49,38,33,34,20,6,5,209,0,0,7,3,3,3,0,0,0,19,161,88,175,193,169,117,55,8,0,962,4,41,151,111,62,22,6,0,0,403,33,114,302,315,288,133,49,3,0,1242,28,61,109,121,123,49,19,0,0,517,1558,1705,1539,984,924,683,201,18,0,7622,1969,1556,1187,649,512,328,59,7,0,6266,23,93,256,244,231,176,35,0,0,1064,87,171,380,351,273,167,40,3,0,1476,26,164,541,401,297,195,41,3,4,1672,49,198,382,283,220,155,60,9,0,1362,115,829,2331,2000,1483,858,211,18,3,7848,52,225,689,555,568,363,86,10,0,2559,194,1573,8866,8928,7891,3542,372,14,0,31385,433,947,2858,3122,3017,2004,430,34,3,12845,401,1640,4306,3452,3330,2400,467,30,6,16022,222,282,417,356,298,205,52,6,0,1838,210,443,761,687,603,336,101,3,0,3142
SOS82,4,4,7,11,20,15,8,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,0,0,0,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,8,4,3,0,0,0,12,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS83,13,18,41,63,56,32,8,3,0,231,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,11,3,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,8,3,4,0,0,0,21,0,0,4,0,0,0,0,0,0,6,0,3,13,11,6,9,0,0,0,43,0,0,6,13,11,3,0,0,0,32,0,3,5,5,3,4,0,0,0,22,0,3,4,3,0,0,4,0,0,9,0,0,3,0,3,0,0,0,0,7
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,3,18,31,20,15,9,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,10,6,0,6,0,0,0,29,0,0,3,0,0,3,0,0,0,9,0,0,6,3,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4
SOS91,4,27,89,95,115,99,63,4,0,502,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,3,0,0,0,19,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,3,0,0,17,0,0,14,0,3,4,3,0,0,20,0,0,0,3,5,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,5,6,10,0,0,0,23,0,9,17,18,19,21,3,0,0,91,0,4,9,15,12,10,0,0,0,48,0,3,3,10,7,9,3,0,0,29,0,3,4,3,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,6
SOS92,17,34,57,88,92,75,28,8,0,403,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,8,8,12,18,10,0,0,57,4,8,12,24,21,6,5,0,0,85,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,5,0,0,0,4,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,3,6,5,8,0,0,0,27,0,4,7,9,3,3,5,0,0,29,4,0,16,7,6,10,3,0,0,51,0,0,0,6,3,8,3,0,0,27,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,8
SOS93,10,8,27,50,68,75,22,11,3,276,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,3,3,3,17,10,6,8,0,52,3,3,11,8,7,17,3,0,0,48,0,0,4,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3,3,0,0,0,9,0,0,0,8,3,0,0,0,0,16,0,0,3,11,5,0,3,0,0,29,0,0,4,4,8,8,3,0,0,26,0,0,4,7,6,5,0,0,0,26,0,0,0,5,9,8,4,0,0,30,0,0,4,4,0,3,0,0,0,17,0,0,3,0,0,0,0,0,0,7
SOS97,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
