SOS_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOS63,943,0,0,4,6,959,659,0,0,4,5,667,593,3,0,7,4,603,958,0,0,13,9,983,1234,3,0,5,11,1254,2832,4,0,13,16,2863,2440,8,0,7,12,2469,1922,3,0,12,10,1946,686,0,0,3,4,688,468,0,0,3,3,475,287,0,0,3,4,289,639,3,0,9,4,654,13661,29,4,72,86,13850
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,267,37,66,0,3,376,110,13,21,0,0,147,99,11,20,0,0,128,175,20,42,3,3,247,237,37,80,3,0,353,809,136,232,12,0,1191,987,182,303,5,0,1473,1849,266,499,19,0,2639,1687,142,259,6,3,2103,1678,88,190,7,4,1962,923,38,94,6,3,1067,392,44,58,0,3,492,9208,1021,1870,61,21,12182
SOS71,56,11,0,0,0,69,43,8,0,0,0,51,34,12,0,0,0,54,67,18,3,7,0,91,118,31,6,9,0,161,340,98,14,17,0,474,494,139,12,15,4,662,677,128,9,27,7,842,373,34,3,18,0,431,257,17,0,9,0,288,97,9,0,3,0,111,105,7,0,9,3,124,2670,512,46,111,8,3350
SOS72,13,0,0,3,0,12,10,0,0,0,0,10,10,0,0,0,0,10,14,0,0,0,0,14,16,0,0,0,0,16,47,0,0,0,0,49,61,0,0,4,0,65,63,0,5,0,0,72,50,0,0,4,0,50,55,0,0,0,0,54,36,0,0,0,0,35,18,0,0,0,3,21,380,0,13,11,10,413
SOS73,95,0,0,3,0,102,43,0,0,0,0,43,43,0,0,0,0,45,82,0,0,4,0,81,100,0,0,8,0,107,305,0,0,6,4,318,335,0,0,10,3,350,560,0,0,17,7,587,457,0,0,5,8,469,652,0,0,5,7,663,343,0,0,6,3,345,178,0,0,9,0,192,3186,5,0,75,45,3308
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,1926,312,141,0,3,2380,735,101,49,0,0,885,609,90,48,0,0,755,1006,205,108,0,0,1320,1355,292,168,0,0,1828,3819,901,599,3,3,5323,5004,1611,1168,4,7,7793,10601,2247,1187,5,9,14047,6849,821,395,4,3,8076,5961,631,288,0,3,6885,3340,279,168,0,0,3788,1317,193,102,0,0,1618,42524,7688,4421,26,31,54700
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11,3,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,29,0,0,0,0,29
SOS83,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,8,8,0,0,0,0,8,22,0,0,0,0,22,15,0,0,0,0,15,19,0,0,0,0,19,8,0,0,0,0,8,7,0,0,0,0,7,101,0,0,0,0,103
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,3,3,0,0,10,10,0,3,0,0,13,4,3,0,0,0,8,3,0,0,0,0,3,6,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,44,9,11,0,0,58
SOS92,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,11,27,0,0,0,0,32,17,0,0,0,0,17,8,0,0,0,0,8,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,103,0,0,0,0,106
SOS93,13,0,0,0,0,13,5,0,0,0,0,5,4,0,0,0,0,4,6,0,0,0,0,6,14,0,0,0,0,14,30,0,0,0,0,30,30,0,0,0,0,30,25,0,0,0,0,25,4,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,134,0,0,0,0,135
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
