SOS_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,22,0,0,0,0,0,21,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0,11,0,0,5,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,18,35,3,7,4,0,0,75,12,21,41,115,94,60,29,6,0,374,91,129,439,978,474,403,271,59,22,2863
SOS50,13,171,164,572,338,145,17,16,3,1438,419,3463,3700,10376,3868,1732,640,138,27,24357,8,94,129,1564,545,1290,673,417,324,5040,107,1200,1477,5099,4265,4209,3355,1957,627,22298,158,1039,2106,4520,2205,2336,1263,557,132,14321,208,3149,5587,11826,6766,3811,1968,819,268,34404,0,0,28,385,314,458,358,269,97,1921,80,676,608,3256,1022,726,536,247,96,7237,43,52,373,2946,193,159,93,11,0,3879,171,841,1069,2852,861,489,156,32,11,6480,5,27,111,791,547,607,507,280,61,2939,12,42,111,553,223,93,57,30,10,1130,211,999,930,2410,1160,1047,671,183,72,7674,118,457,1417,6048,3026,2412,936,393,144,14941,25,277,379,1373,1154,876,795,412,174,5451,27,534,1377,3700,1860,1298,472,145,35,9460,861,4896,7959,27539,9391,6840,4550,2412,1026,65465,6466,10514,13691,38659,15921,13706,10708,7471,4593,121733,122879,234304,244385,562244,247498,203928,145991,79433,33920,1874578
SOS51,4,62,43,146,86,38,5,5,0,389,115,781,662,2158,806,344,113,7,0,4986,0,9,13,100,28,54,60,52,49,365,10,79,84,407,439,475,429,246,71,2242,4,22,40,130,85,66,38,16,0,398,41,530,679,1611,963,446,222,97,21,4617,0,0,0,15,5,15,30,17,14,96,7,58,19,203,70,28,13,7,3,409,0,4,61,458,3,0,0,0,0,536,25,159,170,411,184,60,15,7,0,1029,0,0,0,20,11,17,14,18,3,80,0,3,0,25,16,7,3,0,0,48,21,72,73,304,155,148,117,32,10,935,9,33,51,222,80,51,21,4,0,470,5,13,29,125,124,112,97,59,16,579,7,127,191,605,296,210,77,17,12,1543,52,300,261,1590,717,534,437,231,102,4226,2090,3813,3542,10384,5218,4496,3171,1971,867,35555,26367,51620,41542,100521,48895,42357,29846,15608,6189,362942
SOS52,0,3,0,17,17,3,0,0,0,37,14,118,68,302,93,41,19,12,0,660,0,0,0,3,0,13,7,3,8,34,0,7,13,49,74,82,104,31,11,367,0,3,9,8,17,14,7,0,0,49,9,38,44,150,98,61,24,16,0,436,0,0,0,0,4,3,3,0,0,14,0,3,0,19,0,3,3,4,0,32,4,0,16,88,0,0,0,0,0,107,3,3,0,41,21,3,0,0,0,77,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,8,35,26,32,14,8,0,122,0,0,0,21,3,3,0,0,0,38,0,0,3,16,20,33,18,13,4,99,4,14,14,34,25,22,13,0,0,120,6,10,24,153,107,110,92,49,12,564,356,719,637,1854,1066,1175,806,464,178,7263,4339,8910,6857,15834,9179,9195,6744,3265,1011,65334
SOS53,3,4,3,59,54,20,9,0,0,157,13,69,41,413,181,82,16,0,0,811,0,0,4,43,12,35,24,6,3,131,3,12,37,221,256,300,186,78,11,1099,0,10,12,54,44,47,16,8,3,202,5,107,161,513,362,187,124,32,8,1493,0,0,0,7,6,18,26,7,0,58,0,0,4,56,19,11,13,0,0,102,0,3,21,94,3,4,0,0,0,122,11,26,12,82,43,18,11,5,3,209,0,0,0,4,8,10,3,6,0,32,0,0,0,8,3,0,0,0,0,12,3,25,27,140,101,116,83,27,4,539,3,11,18,193,80,63,13,5,0,382,0,3,13,55,70,61,64,6,5,279,0,12,25,187,106,127,49,8,3,520,9,54,120,689,483,461,324,100,38,2274,601,1460,1657,5773,3300,2858,1758,723,160,18287,7989,19881,16866,43147,28322,25541,16447,5691,1288,165175
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,16,0,0,3,44,15,8,0,0,0,67,0,0,20,250,105,43,8,3,3,434
SOS59,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,6,12,3,12,4,0,0,43,0,0,0,3,0,3,0,0,0,12,0,0,5,22,6,9,5,0,0,44,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,10,18,0,0,0,0,0,31,3,3,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,8,11,3,3,3,0,0,29,0,0,3,3,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,7,0,0,0,3,4,0,4,0,0,9,0,0,23,79,25,25,13,0,0,164,28,36,113,352,151,160,100,13,5,956,161,237,656,2216,957,977,633,98,23,5950
SOS60,0,0,10,45,34,20,4,3,0,121,14,47,78,223,119,99,43,8,3,640,3,3,8,73,29,50,79,51,59,347,0,22,22,98,133,138,201,155,51,814,3,15,128,88,27,26,13,10,3,308,3,37,60,241,114,101,88,38,18,697,0,0,0,3,3,13,4,16,0,38,0,8,19,75,22,22,15,15,0,179,9,4,12,87,9,5,0,0,0,125,7,58,59,158,29,20,9,0,0,336,0,0,0,0,0,4,0,0,0,8,0,4,0,8,11,5,3,3,0,33,12,64,63,201,117,101,95,26,9,687,13,14,38,128,18,28,9,0,0,243,0,5,4,19,28,45,34,28,10,182,0,9,12,26,24,26,10,0,3,109,49,214,343,1133,411,371,292,216,123,3152,499,872,1140,2739,1537,1630,1402,1014,503,11325,10290,21057,22810,45773,23022,22751,17594,10056,4651,178009
SOS61,0,5,0,43,34,22,10,0,0,108,8,45,55,257,124,122,59,13,5,683,0,0,0,22,16,26,20,22,28,139,0,15,9,64,112,171,292,155,59,874,3,13,39,67,20,12,4,3,0,168,0,26,48,144,77,58,57,32,6,446,0,0,0,0,5,8,13,12,0,36,4,25,7,78,28,12,7,3,0,170,3,0,17,83,10,0,0,0,0,115,5,21,32,78,34,16,9,0,0,192,0,0,0,0,0,0,5,0,0,5,0,0,0,11,7,3,4,0,0,27,13,47,29,114,70,67,61,26,9,433,3,13,19,70,17,8,0,0,0,131,0,3,5,22,25,32,65,40,18,199,0,4,13,23,24,14,10,3,0,100,23,133,205,690,318,284,246,185,102,2184,577,1061,1416,3093,1979,2244,2269,1470,655,14762,11670,24286,24963,45441,26447,26533,23111,13256,5538,201247
SOS62,0,3,0,11,7,3,3,0,0,28,0,4,3,29,11,13,7,3,0,79,0,0,0,4,4,4,3,6,0,18,0,3,3,9,16,38,57,27,6,165,0,0,4,4,7,7,5,0,0,23,0,3,0,30,13,14,11,4,0,75,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,3,0,0,0,10,0,0,0,0,0,14,0,0,0,12,6,3,0,0,0,25,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,7,3,3,6,32,12,32,23,4,0,110,0,0,0,6,0,0,0,0,0,6,0,0,0,0,12,13,12,11,0,49,0,0,0,9,8,4,7,0,0,20,5,12,3,64,33,50,51,25,15,257,72,210,210,489,427,534,462,264,96,2764,1573,3648,2938,6227,4268,5220,4435,2055,642,31013
SOS63,0,0,0,21,19,16,4,3,0,66,4,21,5,86,40,33,22,3,0,216,0,0,0,9,6,18,20,3,3,67,0,4,9,35,74,106,145,57,6,433,0,8,4,15,17,18,6,0,0,68,0,13,24,69,57,79,43,16,4,300,0,0,0,0,3,6,3,7,0,23,0,0,3,11,6,5,3,3,0,31,0,0,4,49,0,3,0,0,0,52,3,3,4,28,12,6,3,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,10,7,19,27,62,66,93,90,17,6,390,0,0,0,13,0,0,0,0,0,14,0,0,5,15,23,35,45,13,3,137,0,0,0,14,13,17,8,3,0,61,6,34,32,160,140,186,178,85,14,833,269,705,645,1709,1406,1711,1210,505,106,8272,4898,12713,10066,20056,16160,17527,12150,4225,926,98715
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,10,32,15,12,7,0,0,68
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,13,0,5,14,44,21,13,14,3,0,116,40,36,153,329,135,113,84,12,3,912
SOS70,0,17,30,163,112,48,23,9,0,397,86,600,611,2244,703,383,149,38,16,4823,0,3,0,40,4,24,9,5,3,84,6,19,26,119,95,96,61,34,7,463,3,11,15,81,41,51,25,12,0,252,7,50,78,252,106,50,23,12,0,574,0,0,0,4,8,6,5,9,0,31,25,64,45,312,77,55,30,19,6,626,11,5,33,387,15,10,0,3,0,472,26,68,100,298,145,62,25,14,0,731,0,0,0,6,5,3,3,0,0,15,0,3,0,18,6,3,5,0,0,41,13,60,47,148,67,40,34,9,0,409,8,32,69,289,94,78,34,9,0,616,0,3,7,51,22,13,18,8,0,121,3,34,48,205,51,32,6,0,0,375,69,308,335,1487,684,467,322,171,38,3889,850,1256,1602,5377,1867,1444,726,249,80,13448,8966,14697,15025,43534,15672,11658,6161,2169,572,118456
SOS71,0,0,12,33,26,12,4,0,0,90,12,72,118,332,148,89,17,7,3,796,0,0,0,7,3,6,0,0,0,18,0,0,3,24,29,24,20,13,0,111,0,3,0,20,5,3,0,0,0,30,0,18,20,71,49,16,5,3,0,187,0,0,0,0,0,3,4,0,0,9,8,14,7,76,17,12,0,0,0,138,0,0,18,92,3,4,0,0,0,121,0,14,16,46,16,3,4,0,0,103,0,0,0,3,0,3,0,0,0,10,0,0,0,3,0,0,0,0,0,3,41,100,70,251,122,90,28,7,0,706,0,5,11,44,26,7,3,0,0,97,0,0,0,8,5,7,0,5,0,29,3,35,23,104,44,17,3,0,0,225,7,45,44,281,133,85,44,19,0,657,335,593,627,1775,813,678,337,115,49,5317,3865,7406,6421,15452,6653,4971,2139,731,209,47847
SOS72,0,6,0,21,8,4,0,0,0,40,0,15,0,31,14,12,9,0,0,74,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,10,3,5,0,24,0,0,0,3,0,0,0,0,0,9,0,8,0,26,13,14,0,0,0,57,0,0,0,0,0,0,3,0,0,7,0,0,0,6,0,0,0,0,0,6,0,0,0,18,0,4,0,0,0,21,0,4,0,20,9,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,8,0,0,0,33,0,0,8,4,4,0,0,0,0,15,0,0,0,0,3,0,0,0,0,3,0,0,0,9,5,4,0,0,0,21,0,8,3,55,27,19,13,7,0,137,97,196,229,587,319,244,122,31,6,1828,2353,4676,4304,8062,3289,2251,980,289,69,26270
SOS73,3,3,0,22,14,14,5,0,0,63,3,14,3,78,44,27,16,4,0,197,0,0,0,5,0,3,0,0,0,11,0,0,4,10,16,34,24,4,0,84,0,0,0,6,3,3,0,0,0,11,0,0,5,23,23,8,4,0,0,67,0,0,0,0,0,3,3,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,14,3,7,3,28,21,14,5,3,0,84,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,3,16,4,20,6,0,0,57,3,13,5,85,54,34,3,4,0,201,0,0,0,8,3,6,8,0,0,20,0,3,5,18,14,15,4,0,0,50,3,6,17,81,47,46,51,10,6,271,243,516,525,1311,851,695,337,100,11,4594,2364,4949,4746,9716,5235,3962,2104,541,88,33706
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,5,47,9,3,0,3,0,70
SOS79,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,3,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,11,16,0,9,3,0,0,36,16,23,71,290,150,99,52,9,0,702,81,123,218,850,461,438,278,38,0,2489
SOS80,11,24,57,262,238,104,27,7,3,741,49,271,435,1784,619,375,185,49,19,3790,3,11,20,282,100,219,153,82,73,942,11,37,59,272,322,355,426,253,93,1834,21,88,206,388,142,98,56,21,7,1028,9,180,329,688,409,199,121,44,22,1999,0,0,7,49,76,90,62,68,10,360,14,183,227,1128,479,387,219,101,29,2769,10,15,72,319,50,31,15,3,3,522,29,106,210,631,148,116,49,8,3,1302,0,3,19,123,66,102,55,27,3,405,8,4,21,96,44,26,20,8,0,231,99,382,356,922,382,325,224,68,13,2767,26,112,259,1326,695,620,182,98,30,3340,3,18,26,101,62,82,82,61,22,449,0,43,111,260,113,68,23,3,0,626,158,798,1226,5015,2017,1670,1261,808,351,13301,1133,1660,2774,7102,2763,2387,1919,1342,959,22040,26710,47504,55689,124014,50749,41302,29352,14316,6151,395790
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,0,3,0,0,4,0,10,8,51,30,43,44,39,29,19,4,271
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,15,7,8,7,25,13,13,3,3,0,75,66,108,107,249,118,91,42,11,3,793
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,3,0,0,0,19,0,0,13,28,8,14,0,0,0,64,12,22,114,213,68,78,24,8,3,538
SOS91,0,0,0,0,0,0,0,0,0,0,0,4,3,6,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,7,8,14,8,0,0,42,0,3,3,6,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,4,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,14,9,25,30,70,59,59,29,7,0,291,105,208,138,436,272,261,139,30,3,1599
SOS92,0,0,0,0,3,0,0,0,0,3,0,3,0,16,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,4,0,0,0,8,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,0,0,0,13,3,11,12,35,21,33,18,12,0,147,90,181,141,365,219,223,169,71,22,1495
SOS93,0,0,3,4,3,0,0,0,0,5,0,4,0,8,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,6,0,0,6,15,3,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,12,0,3,0,0,72,3,4,12,40,22,18,16,12,10,127,61,157,126,398,215,214,150,82,29,1429
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
