SOS_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS51,..,985,1035,328,436,413,222,90,30,3536,..,628,1437,1133,2039,3391,3364,2979,1467,16443,686,789,741,390,538,658,482,226,98,4608,35023,18041,23056,22579,21640,18477,12817,7009,2457,161083,..,958,16400,24593,23695,21130,15605,6980,1467,110829,..,4985,11514,7171,5629,3237,1148,310,41,34033,..,784,2671,4133,3925,1644,711,471,272,14620,70382,..,..,..,..,..,..,..,..,70382,..,11650,..,..,..,..,..,..,..,11650,..,10112,3063,1183,764,366,67,6,0,15553,..,1976,935,445,643,765,601,407,229,6001,..,1216,977,384,298,199,75,28,13,3193,..,2188,2619,960,1101,935,474,180,56,8513,..,1410,3693,3312,5111,6746,5785,4240,1996,32296,1456,1555,1642,1026,1081,1184,871,377,145,9333,71836,36833,43513,43213,42242,36208,25334,13000,4215,316406
SOS52,..,83,122,49,97,92,59,17,3,514,..,124,223,202,436,676,618,559,206,3040,160,164,135,67,94,144,112,45,16,950,5892,2956,3591,3396,4046,3890,2679,1391,384,28219,..,272,2275,3210,3887,4167,3345,1426,257,18834,..,650,1777,1287,1251,863,311,67,12,6218,..,175,535,631,671,375,173,116,55,2726,11710,..,..,..,..,..,..,..,..,11710,..,1566,..,..,..,..,..,..,..,1566,..,1786,685,311,197,76,9,0,0,3071,..,596,281,173,224,237,190,97,52,1856,..,159,110,68,48,42,22,3,5,463,..,171,253,138,225,217,140,33,5,1186,..,255,556,591,1125,1552,1327,901,304,6617,312,317,303,194,217,277,214,96,28,1955,12020,5956,6770,6603,7849,7804,5725,2740,717,56192
SOS53,..,109,126,77,159,176,113,26,11,798,..,112,200,220,513,865,851,533,204,3506,183,283,188,150,233,314,196,63,16,1632,12172,6006,5948,8349,10749,9946,6237,2167,549,62131,..,284,4582,10107,14143,14063,9803,3077,447,56500,..,885,2668,2551,2863,1913,718,140,20,11760,..,134,498,793,1078,541,256,186,121,3615,24995,..,..,..,..,..,..,..,..,24995,..,5061,..,..,..,..,..,..,..,5061,..,4466,1639,634,357,155,20,3,0,7269,..,595,308,162,209,330,340,272,136,2348,..,352,263,157,151,133,73,26,5,1159,..,241,344,227,349,391,252,76,22,1900,..,360,743,878,1770,2476,2173,1029,346,9779,404,588,529,420,537,641,437,127,32,3721,25396,12967,11560,15925,21461,20637,14075,4952,1122,128100
SOS57,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,74,125,164,88,86,134,70,14,3,755,74,125,164,88,86,134,70,14,3,755,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,160,270,433,273,261,272,169,29,7,1876,160,270,433,273,261,272,169,29,7,1876
SOS60,..,1215,988,235,263,274,129,68,22,3210,..,437,991,890,1367,2434,2658,2274,1309,12363,301,476,319,182,188,265,240,135,49,2158,14509,10206,11222,10827,11130,10935,8331,4852,1994,84000,..,354,6635,10548,11207,11549,9084,4413,995,54789,..,1974,5208,3253,2713,1671,689,153,20,15676,..,426,1458,2270,2530,1231,540,351,229,9031,29298,..,..,..,..,..,..,..,..,29298,..,7845,..,..,..,..,..,..,..,7845,..,4355,2227,834,560,327,48,4,0,8353,..,889,470,195,247,453,351,277,142,3021,..,699,546,158,134,72,39,11,3,1666,..,2491,2360,611,536,565,289,134,38,7026,..,845,2143,2109,2935,4228,3986,3074,1750,21076,600,900,755,441,388,468,405,219,62,4240,29901,20763,21798,20423,21260,20567,15430,8632,3239,162026
SOS61,..,782,455,167,270,324,182,84,18,2279,..,605,910,834,1743,2911,3352,3050,1470,14873,353,547,329,165,264,390,413,194,94,2754,16841,11237,10983,11181,12949,12638,10714,6379,2318,95241,..,603,7173,10650,12852,13928,12082,5809,1199,64293,..,2665,5228,3323,2788,1639,754,193,29,16619,..,586,1894,2718,2756,1066,546,455,274,10287,33538,..,..,..,..,..,..,..,..,33538,..,7831,..,..,..,..,..,..,..,7831,..,5702,1990,934,701,366,57,0,0,9746,..,927,361,154,298,394,400,235,139,2911,..,567,298,142,129,97,39,15,8,1302,..,1747,1186,410,577,617,409,164,33,5150,..,1193,2167,2206,3747,5091,5121,4199,1987,25720,696,1048,808,432,565,643,677,344,124,5333,34234,22875,21096,20962,24414,23855,20079,11418,3794,182735
SOS62,..,48,32,20,30,70,45,17,5,276,..,46,78,78,201,417,455,364,157,1794,62,83,41,40,54,89,87,25,6,476,2407,1287,1357,1668,1985,2325,1897,879,239,14054,..,52,925,1688,2167,2724,2413,964,138,11080,..,303,744,594,532,445,200,44,4,2865,..,53,199,305,298,153,80,58,30,1175,4811,..,..,..,..,..,..,..,..,4811,..,1014,..,..,..,..,..,..,..,1014,..,772,269,136,97,45,13,0,0,1333,..,78,37,15,25,55,51,33,22,328,..,70,34,20,26,14,3,3,0,174,..,107,85,56,70,138,107,43,7,606,..,102,219,254,559,885,840,564,239,3656,110,147,103,80,95,172,168,48,10,938,4921,2697,2626,3154,3865,4643,3871,1753,443,27978
SOS63,..,71,101,66,121,172,102,29,4,667,..,86,146,181,491,863,806,480,180,3233,142,201,123,80,141,255,171,73,10,1203,7953,4275,3928,5493,7411,7513,4814,1686,425,43505,..,196,3005,6303,9173,10208,7227,2223,308,38643,..,682,1870,2010,2194,1491,582,99,21,8954,..,104,390,678,800,470,202,186,94,2926,16211,..,..,..,..,..,..,..,..,16211,..,3920,..,..,..,..,..,..,..,3920,..,2967,1126,451,311,149,22,0,0,5026,..,224,118,51,105,206,163,153,79,1108,..,238,121,80,71,68,31,18,3,627,..,156,216,158,290,339,237,60,13,1464,..,210,471,671,1459,2183,1831,935,301,8065,281,470,310,232,334,473,364,127,19,2603,16487,9172,7615,10638,14739,15581,10660,3813,847,89552
SOS67,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS69,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,29,41,31,37,29,22,17,0,0,201,29,41,31,37,29,22,17,0,0,201,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,59,92,88,74,66,38,28,3,0,445,59,92,88,74,66,38,28,3,0,445
SOS70,..,458,957,262,245,190,82,23,3,2223,..,153,496,527,558,825,633,367,96,3653,194,235,275,126,159,155,96,25,3,1269,10515,5962,10114,7927,6483,4767,2510,951,218,49437,..,506,7302,9088,7086,5216,2760,837,103,32901,..,1687,4975,2400,1857,981,308,52,3,12262,..,195,651,1072,1104,572,284,133,50,4066,21061,..,..,..,..,..,..,..,..,21061,..,3797,..,..,..,..,..,..,..,3797,..,2740,1260,434,226,65,15,0,0,4742,..,779,593,242,260,336,251,161,66,2702,..,593,1023,304,224,137,60,8,4,2346,..,1064,2236,759,627,448,215,54,15,5408,..,394,1305,1236,1430,1705,1202,581,153,8009,389,523,593,320,336,288,165,50,10,2663,21449,12289,19938,15861,13154,9748,5263,1867,395,99954
SOS71,..,119,270,80,86,78,25,8,0,673,..,86,212,183,300,385,227,112,38,1540,121,122,132,89,97,81,28,6,0,668,4895,2705,3721,3030,2819,2072,768,293,76,20384,..,469,2541,2895,2721,2007,738,196,23,11593,..,524,1445,989,730,397,94,17,0,4200,..,166,427,545,484,260,105,40,16,2051,9993,..,..,..,..,..,..,..,..,9993,..,1265,..,..,..,..,..,..,..,1265,..,1485,630,200,91,19,0,0,0,2434,..,801,537,342,351,277,138,68,17,2525,..,172,159,80,77,47,12,3,0,555,..,250,534,186,175,147,46,11,3,1352,..,176,496,414,679,740,459,200,55,3227,249,247,252,175,172,145,58,9,0,1311,10239,5554,7026,5819,5483,4046,1659,549,118,40494
SOS72,..,48,63,15,24,16,8,3,0,174,..,27,96,75,105,134,64,22,5,523,75,77,69,39,54,36,13,0,3,364,3121,1910,2100,1615,1464,992,411,128,36,11782,..,705,1663,1466,1261,852,320,56,14,6355,..,194,583,505,343,168,59,9,3,1867,..,147,332,328,297,177,92,38,4,1407,6270,..,..,..,..,..,..,..,..,6270,..,501,..,..,..,..,..,..,..,501,..,1119,460,140,82,17,0,0,0,1827,..,817,484,314,316,255,160,77,19,2447,..,71,38,39,29,23,16,7,0,209,..,97,124,51,57,44,17,10,0,395,..,90,223,195,279,305,151,44,13,1292,151,141,128,93,104,61,14,8,3,697,6422,3881,4039,3126,2765,1898,824,243,59,23262
SOS73,..,34,43,24,38,45,27,8,3,221,..,23,57,46,109,158,110,31,6,533,60,85,64,40,46,40,28,10,0,375,3057,1555,1804,1933,2023,1456,752,207,38,12832,..,239,1320,2082,2242,1666,930,198,17,8697,..,320,885,725,767,417,131,19,3,3263,..,46,180,250,270,150,91,47,14,1046,6149,..,..,..,..,..,..,..,..,6149,..,858,..,..,..,..,..,..,..,858,..,1033,387,173,72,29,0,0,0,1696,..,373,233,157,186,171,138,74,22,1346,..,156,115,62,68,62,25,5,0,505,..,100,147,77,125,107,58,16,3,642,..,56,169,196,377,470,332,87,12,1703,139,178,118,94,88,104,54,16,0,793,6287,3359,3554,3818,4181,3175,1766,463,74,26685
SOS77,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,35,21,29,27,29,47,19,3,0,209,35,21,29,27,29,47,19,3,0,209,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,66,40,58,50,57,77,40,4,0,397,66,40,58,50,57,77,40,4,0,397
SOS80,..,3173,2829,441,372,438,185,92,16,7542,..,839,2845,2262,2498,3600,3826,2647,1403,19918,439,859,814,369,363,426,391,214,81,3957,34389,23186,30861,27551,24238,19612,13856,6780,2529,183006,..,983,23496,34137,29143,23494,16704,6914,1505,136370,..,3927,12191,6600,4844,2611,959,189,37,31367,..,347,1623,3579,4470,2280,901,570,338,14110,70115,..,..,..,..,..,..,..,..,70115,..,18407,..,..,..,..,..,..,..,18407,..,9556,5156,1602,898,411,73,3,0,17705,..,2043,1505,490,541,842,736,485,330,6965,..,1830,1678,526,253,156,45,15,7,4519,..,6276,6555,1278,922,850,373,173,41,16463,..,1680,6007,4964,5341,6232,5643,3588,1909,35356,931,1595,1687,882,741,761,647,320,117,7670,71044,46634,59907,54061,47148,37628,26090,12256,4278,359056
SOS82,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,8,3,3,0,13,0,3,0,0,0,0,0,0,0,3,27,17,6,19,25,21,12,6,0,134,..,0,0,20,25,25,30,15,0,122,..,0,3,3,5,0,0,0,0,15,..,0,0,0,3,0,0,0,0,7,56,..,..,..,..,..,..,..,..,56,..,13,..,..,..,..,..,..,..,13,..,10,0,9,0,0,0,0,0,11,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,3,3,5,3,8,0,22,0,3,3,0,0,0,0,0,0,7,56,28,13,30,45,33,29,22,4,261
SOS83,..,0,0,0,0,0,3,0,0,7,..,0,0,3,3,3,3,3,0,17,3,0,0,0,0,0,0,0,0,6,67,39,43,57,46,32,14,8,0,304,..,0,45,89,67,38,16,3,0,258,..,4,15,15,19,7,3,0,0,66,..,0,3,4,5,3,0,0,0,16,156,..,..,..,..,..,..,..,..,156,..,39,..,..,..,..,..,..,..,39,..,26,3,0,3,0,0,0,0,31,..,3,3,0,0,3,3,0,0,12,..,0,4,0,0,0,0,0,0,9,..,0,3,0,0,0,7,0,0,11,..,0,4,4,7,13,3,7,0,32,6,5,5,0,0,3,0,0,0,16,157,76,85,113,98,68,33,13,0,646
SOS87,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,13,32,24,23,13,19,3,0,0,114,13,32,24,23,13,19,3,0,0,114,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,26,57,61,56,35,30,8,0,0,276,26,57,61,56,35,30,8,0,0,276
SOS91,..,3,4,0,0,0,0,0,0,5,..,3,5,7,0,10,4,0,0,29,4,0,7,3,9,10,0,0,0,24,134,46,64,86,82,71,27,9,3,521,..,5,65,112,110,99,50,8,0,453,..,8,12,19,19,7,5,0,0,60,..,0,3,3,14,5,7,3,0,38,253,..,..,..,..,..,..,..,..,253,..,39,..,..,..,..,..,..,..,39,..,34,24,3,6,0,0,0,0,63,..,7,10,0,0,0,3,0,0,21,..,0,0,0,0,0,0,0,0,3,..,3,12,3,4,0,0,0,0,17,..,7,16,15,13,23,17,0,0,96,9,4,7,7,10,18,3,0,0,60,261,108,132,161,173,160,86,21,3,1099
SOS92,..,0,0,3,3,3,0,0,0,8,..,0,3,3,4,21,20,13,4,66,3,0,3,3,5,4,0,5,0,29,126,56,80,99,99,106,77,33,11,677,..,10,76,109,105,121,105,24,7,553,..,6,20,40,30,19,5,0,0,121,..,4,3,15,11,6,4,0,0,49,258,..,..,..,..,..,..,..,..,258,..,34,..,..,..,..,..,..,..,34,..,40,8,5,8,0,0,0,0,63,..,3,0,0,3,5,8,7,0,32,..,4,0,0,3,0,0,0,0,9,..,0,0,3,3,3,0,4,0,8,..,3,6,17,26,35,25,19,7,143,0,3,3,3,8,8,10,6,0,44,262,106,121,192,189,202,155,64,21,1311
SOS93,..,0,0,0,0,3,0,0,0,4,..,0,7,11,7,17,18,11,9,75,0,3,0,0,0,4,3,0,0,14,108,35,46,73,90,87,79,39,10,562,..,3,26,72,73,88,82,36,9,394,..,6,11,27,35,25,5,0,0,115,..,0,3,15,15,13,3,3,3,61,217,..,..,..,..,..,..,..,..,217,..,39,..,..,..,..,..,..,..,39,..,22,16,10,10,0,0,0,0,63,..,3,3,4,14,4,6,0,0,39,..,0,0,0,0,3,0,0,0,12,..,0,0,0,0,4,0,3,0,6,..,3,7,9,20,38,27,18,11,132,0,3,0,0,0,7,3,3,0,24,220,79,72,138,169,178,134,72,25,1087
SOS97,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,15,0,0,0,3,0,3,3,0,0,15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,3,0,8,4,8,4,0,0,25,3,3,0,8,4,8,4,0,0,25
