SOS_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOS49,54,10,0,0,0,0,0,15,80,60,5,7,0,0,0,0,18,99,71,10,3,0,0,0,0,27,118,46,11,9,8,0,0,0,14,93,30,3,13,4,3,3,0,20,80,13,7,7,9,0,0,0,23,61,24,12,16,6,5,3,3,35,96,21,9,23,16,6,3,0,14,91,22,5,19,9,9,0,0,13,81,9,10,32,20,4,0,0,13,82,8,4,28,9,3,3,0,5,68,0,0,5,7,0,0,0,6,27,3,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,7,370,92,180,99,33,16,11,209,1016
SOS50,50055,476,53,13,3,9,13,5821,56441,50920,4215,1597,312,71,15,27,5958,63114,46540,11055,6760,2097,539,128,75,6489,73681,29163,16901,16859,5466,1554,458,235,5604,76240,14269,12150,23087,9407,2642,757,504,4057,66868,10174,9641,25203,11640,3511,1075,751,3803,65802,9254,9028,25281,12033,3731,1093,797,3701,64915,8008,7470,22975,12296,4135,1135,788,3485,60288,6585,6204,20842,12460,4323,1197,677,3376,55658,5179,5302,18678,11567,4175,1059,669,3107,49730,3744,4051,16899,10573,3952,1093,613,2910,43837,2396,2447,10870,8257,3454,1040,660,2459,31584,1630,1602,6734,6679,3709,1329,944,2373,25003,1149,1111,4159,4602,3025,1330,1090,2237,18705,1257,1478,4466,4384,2944,1419,1389,4232,21571,240320,93144,204461,111781,41770,13145,9230,59603,773447
SOS51,8808,195,28,6,0,0,0,1514,10550,6501,1299,599,136,34,4,9,1063,9641,5822,2205,1981,740,220,59,29,1298,12349,3645,2482,3655,1724,567,151,90,1283,13594,1888,1720,4210,2280,855,280,167,1062,12455,1521,1491,4508,2488,954,291,259,1040,12551,1495,1497,4286,2558,1035,335,258,1111,12569,1337,1175,3840,2579,1077,355,239,1076,11685,1053,969,3786,2721,1193,396,255,1081,11457,860,775,3277,2450,984,328,210,843,9722,607,574,2947,2260,986,293,181,856,8706,396,358,1829,1630,856,322,189,642,6227,248,227,1012,1264,884,352,266,585,4835,178,129,594,808,682,344,298,511,3543,191,195,636,735,638,330,365,713,3803,34560,15278,37177,24386,10958,3823,2816,14689,143683
SOS52,1291,61,9,3,0,0,0,340,1697,968,283,131,29,7,0,3,226,1649,816,369,344,186,60,14,5,266,2055,471,350,504,330,114,40,28,266,2105,321,216,485,368,183,66,62,210,1907,268,220,578,347,169,85,63,229,1966,298,223,674,428,224,87,87,217,2237,275,225,673,509,225,93,93,237,2326,238,191,703,510,275,88,72,219,2300,183,193,624,527,220,109,86,242,2187,137,116,569,460,220,81,49,197,1831,74,72,330,342,194,79,67,149,1304,36,48,181,255,171,83,84,119,983,23,22,72,146,150,71,77,108,671,21,21,82,107,97,50,66,112,561,5420,2610,5954,4555,2317,957,843,3136,25786
SOS53,3406,41,3,0,0,0,0,668,4125,2304,269,107,30,3,4,3,403,3124,1808,524,448,203,43,16,6,483,3536,1142,626,1059,567,184,36,32,459,4109,690,482,1379,937,299,75,56,434,4349,666,518,1845,1132,426,114,91,515,5318,723,566,2111,1346,513,142,94,574,6072,745,565,2077,1526,612,177,96,602,6401,621,485,2002,1548,665,182,92,539,6142,448,389,1801,1408,659,172,81,477,5441,285,257,1509,1105,511,149,86,408,4312,173,166,843,770,447,130,72,268,2858,77,66,346,433,303,136,74,165,1610,32,37,133,219,145,106,69,105,848,26,35,131,127,101,59,62,81,633,13152,5038,15802,11360,4919,1499,920,6186,58873
SOS57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,0,9,26
SOS59,45,3,0,0,0,0,0,20,65,156,9,6,0,3,0,0,71,242,184,15,8,9,3,3,3,87,309,108,8,22,11,3,0,0,78,230,55,12,16,17,7,0,0,47,155,44,7,24,10,4,3,0,53,147,33,14,20,8,4,3,0,50,137,29,13,52,32,8,3,3,48,185,37,19,65,38,12,11,0,40,216,33,14,56,57,14,6,4,33,218,14,13,67,29,16,8,0,29,176,6,3,23,14,10,3,3,20,83,0,3,3,3,6,4,0,3,24,0,0,3,0,6,0,0,4,15,0,0,0,0,0,0,0,3,11,753,137,375,233,86,37,17,589,2220
SOS60,4682,83,14,0,0,0,0,562,5343,4680,494,199,57,11,3,3,487,5926,3794,896,643,236,67,18,3,413,6067,2164,1300,1388,520,190,51,27,364,6005,1243,1004,1844,750,287,96,68,310,5606,1060,891,2109,973,350,131,82,319,5908,957,847,2159,1080,376,120,81,327,5950,916,821,2177,1109,371,130,103,362,5982,916,802,2160,1301,476,158,84,391,6292,763,656,2002,1246,470,138,85,351,5711,613,527,1919,1201,443,144,80,363,5285,404,354,1347,1014,448,131,103,331,4132,252,216,879,801,434,191,143,268,3179,178,143,530,605,422,208,148,237,2465,244,271,680,617,434,200,201,360,2999,22865,9306,20031,11513,4763,1724,1209,5438,76850
SOS61,5358,123,12,0,0,0,0,639,6137,4389,788,344,79,11,0,4,483,6103,2811,1159,984,384,103,39,16,392,5894,1495,1114,1676,827,266,88,56,359,5889,913,875,1960,994,382,133,97,334,5681,887,831,2178,1205,452,187,128,352,6221,907,941,2478,1372,530,179,109,370,6879,945,796,2496,1472,536,209,142,430,7029,895,734,2429,1648,637,200,116,473,7124,724,655,2369,1647,680,191,108,483,6855,667,573,2219,1723,691,230,126,556,6779,477,359,1591,1412,682,272,160,467,5432,312,243,897,1050,721,337,238,415,4219,225,175,627,731,524,291,241,369,3171,275,275,697,727,513,300,325,479,3583,21278,9643,22961,15276,6721,2651,1858,6597,86997
SOS62,657,13,0,0,0,0,0,108,777,434,77,47,8,3,0,3,70,642,302,126,145,48,12,4,3,45,689,190,148,224,104,32,7,6,54,773,121,109,271,160,61,18,10,45,796,133,123,363,210,52,24,23,69,999,143,153,342,214,69,28,20,71,1034,153,156,370,239,96,23,23,86,1144,174,131,464,306,123,36,11,88,1339,151,127,440,279,122,31,14,103,1270,124,118,451,287,125,46,16,96,1258,83,64,263,225,116,44,21,78,899,50,45,136,151,115,52,39,67,645,21,31,76,80,61,26,39,65,385,40,21,69,70,57,42,31,53,369,2777,1437,3664,2381,1036,378,257,1089,13020
SOS63,2389,29,5,0,0,0,5,399,2826,1404,199,80,13,8,0,0,164,1868,963,345,304,103,34,12,7,149,1913,544,451,678,386,115,33,20,163,2392,417,388,929,510,187,62,31,176,2700,453,406,1177,644,244,68,48,217,3267,602,464,1389,820,295,104,68,234,3971,594,430,1420,857,347,106,56,276,4097,669,425,1504,960,431,120,82,320,4522,496,384,1296,876,384,119,67,292,3912,363,306,1127,770,387,122,62,283,3409,188,158,597,510,274,109,66,165,2067,95,65,263,337,193,88,69,117,1229,33,35,117,136,103,76,60,57,625,34,38,86,90,77,46,44,35,456,9246,4136,10986,7012,3083,1066,674,3055,39262
SOS67,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,8,0,0,0,0,18
SOS69,22,0,0,0,0,0,0,3,33,14,3,4,0,0,0,0,8,29,29,4,0,0,0,0,0,4,38,10,3,5,0,0,0,0,3,29,14,3,7,5,0,0,0,3,30,8,4,0,3,0,0,0,3,24,4,8,4,3,4,0,0,9,29,7,0,7,4,3,0,0,10,36,3,0,6,3,0,0,0,3,25,7,3,6,10,4,0,0,3,30,4,3,11,7,0,0,0,7,31,3,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,34,57,46,20,5,0,56,350
SOS70,2506,48,3,0,0,0,0,502,3058,2817,363,143,24,0,0,4,579,3926,3498,846,505,173,43,16,10,824,5903,2219,1191,1118,430,128,40,26,682,5828,1052,845,1389,642,220,70,30,477,4729,772,628,1289,680,275,71,63,441,4210,644,522,1217,661,265,92,75,394,3866,604,433,999,663,259,97,53,359,3470,415,366,934,607,283,85,50,354,3099,274,245,768,489,218,84,50,307,2436,181,193,525,375,197,61,53,206,1804,101,90,317,227,124,33,39,126,1056,65,52,151,158,84,55,57,89,726,30,28,61,61,59,35,66,43,369,21,30,50,54,38,26,49,59,323,15188,5877,9477,5250,2193,760,625,5446,44816
SOS71,994,96,12,4,0,0,0,390,1493,826,311,148,32,5,5,0,280,1609,932,378,318,164,46,6,6,397,2237,609,395,435,239,103,55,33,368,2243,360,247,422,299,139,74,54,264,1859,298,200,434,254,132,58,59,275,1703,286,218,390,308,150,87,50,250,1744,257,182,406,298,138,56,67,274,1673,195,140,353,285,118,66,57,201,1420,135,116,261,203,114,48,54,169,1099,74,53,134,120,55,47,36,88,618,44,33,72,70,45,30,35,66,385,19,26,46,25,28,26,24,32,218,19,9,29,10,24,18,22,30,166,17,10,21,13,25,7,16,27,136,5052,2413,3480,2336,1118,583,506,3128,18607
SOS72,537,86,15,3,3,0,0,328,977,419,280,157,34,11,3,3,242,1147,379,224,233,126,43,12,6,212,1235,270,173,222,163,97,30,11,153,1118,162,102,188,138,93,66,37,156,940,152,91,160,128,115,61,40,146,879,151,98,185,132,104,59,45,165,940,113,71,139,109,99,67,42,117,766,75,65,112,129,74,34,34,95,628,50,46,99,92,62,40,41,87,518,29,25,55,62,36,26,31,52,310,17,16,29,22,21,20,35,24,179,12,5,11,13,8,4,12,15,83,11,3,7,3,9,9,15,15,65,3,3,3,3,10,4,7,4,40,2370,1286,1613,1169,775,425,365,1808,9815
SOS73,675,43,3,0,0,0,0,332,1055,533,142,84,8,8,0,0,253,1032,438,166,159,63,18,8,6,213,1066,302,183,256,149,59,22,11,194,1177,191,134,303,187,81,31,23,168,1127,188,121,325,193,100,29,20,170,1149,176,126,357,231,101,41,34,191,1268,182,103,309,196,89,51,37,166,1144,109,108,246,228,97,39,40,177,1034,77,86,195,130,74,32,28,116,740,48,43,153,124,54,29,24,84,557,32,23,78,61,36,22,23,49,324,12,6,32,26,27,12,16,18,152,4,0,13,13,13,6,11,21,85,4,4,3,12,0,3,13,7,45,2975,1289,2535,1624,760,323,285,2173,11958
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9
SOS79,16,0,0,0,0,0,0,0,17,51,0,0,0,0,0,0,37,85,62,11,5,3,0,0,0,50,129,35,8,9,6,5,0,0,41,106,21,13,14,6,0,0,0,27,83,15,9,18,9,6,3,3,31,95,17,9,19,12,7,0,3,31,99,13,0,29,19,5,0,5,36,104,16,6,30,16,10,4,0,20,100,18,15,34,23,5,0,3,19,107,6,0,32,10,4,4,3,6,67,3,3,6,4,6,0,0,8,30,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,75,201,106,54,17,20,302,1043
SOS80,10920,46,13,0,0,0,4,1092,12080,13335,624,214,48,6,0,3,1272,15502,11617,2118,1115,292,88,24,4,1227,16487,7117,3926,3624,1002,216,74,44,1085,17084,3633,2810,5263,1938,460,147,69,789,15108,2595,2092,5544,2302,688,179,103,729,14234,2295,1917,5138,2327,711,164,105,683,13343,2062,1633,4677,2425,780,213,98,641,12535,1719,1499,4105,2389,821,208,132,638,11503,1239,1138,3612,2252,829,228,86,602,9991,972,968,3335,2138,786,230,132,494,9052,590,548,2239,1599,654,225,121,444,6413,348,358,1275,1187,632,249,177,384,4616,228,237,789,790,487,210,195,352,3286,215,317,794,759,494,244,242,773,3836,58881,20232,41725,21477,7644,2393,1512,11209,165069
SOS82,14,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,0,17,0,0,3,3,0,0,0,0,9,4,3,5,3,0,0,0,3,13,0,0,3,3,0,0,0,0,5,3,0,7,5,0,0,0,0,14,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,9,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,29,29,6,5,0,9,116
SOS83,28,0,0,0,0,0,0,8,31,15,0,0,0,0,0,0,3,20,12,3,3,0,0,0,0,3,28,9,6,8,4,3,0,0,4,32,9,11,10,8,0,0,0,0,33,3,0,17,14,0,0,0,3,34,11,3,3,4,6,0,0,4,24,0,4,3,11,6,0,0,3,24,0,3,12,8,7,0,0,0,27,3,0,3,0,3,0,0,0,12,0,0,0,3,5,0,0,3,11,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,88,36,59,50,29,3,0,36,295
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,14,0,0,0,0,0,0,3,20,31,0,0,0,0,0,0,9,42,20,0,0,0,0,0,0,0,21,14,0,3,0,0,0,0,3,20,12,4,4,0,0,0,0,9,25,8,0,3,0,0,0,0,0,9,0,0,3,3,0,0,0,0,11,0,0,6,3,0,0,0,3,15,6,3,3,3,3,0,0,0,22,3,0,3,4,0,0,0,0,15,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,101,14,30,21,7,7,0,29,209
SOS91,22,0,0,0,0,0,0,5,34,24,0,0,0,0,0,0,4,36,22,7,4,3,0,0,0,5,47,19,11,11,3,4,0,0,9,61,10,9,12,14,0,0,0,4,57,10,3,19,13,0,0,0,6,48,6,9,23,8,3,0,3,7,62,6,3,14,6,7,0,0,20,65,6,6,15,13,11,0,0,16,66,3,4,16,11,3,3,0,5,49,0,0,6,0,3,0,3,3,23,0,0,0,0,0,3,0,3,14,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,140,48,141,73,35,10,14,98,562
SOS92,31,0,0,0,0,0,0,8,43,16,3,0,0,0,0,0,6,26,15,7,9,5,0,0,0,0,39,15,13,14,10,0,0,0,7,52,9,5,14,6,3,0,0,3,42,9,13,16,7,6,3,0,3,63,14,7,14,10,3,3,0,5,48,4,3,17,14,8,3,0,3,53,12,3,21,19,7,0,0,5,66,8,3,23,5,4,3,0,7,60,9,6,17,14,3,0,0,5,55,6,7,11,9,7,3,0,3,32,3,0,8,9,0,0,0,3,21,0,0,0,4,0,0,3,5,17,3,0,3,3,0,0,3,0,12,154,83,153,105,44,14,10,63,623
SOS93,24,0,0,0,0,0,0,7,28,7,0,0,0,0,0,0,0,9,7,6,0,0,0,0,0,0,15,5,6,6,4,0,0,0,4,32,9,3,15,12,0,0,0,5,43,12,6,8,8,0,0,0,7,41,11,5,18,12,4,0,5,3,51,7,10,16,14,0,0,0,7,54,4,8,25,12,0,0,0,11,55,7,3,16,4,7,4,0,5,50,9,4,12,11,3,0,0,6,45,5,6,11,12,4,0,0,3,42,3,0,7,4,4,3,0,3,23,0,3,3,0,3,3,3,7,22,0,0,3,4,3,0,0,0,13,109,62,124,98,35,10,11,67,519
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,6,3,0,0,0,4,30
