SOS_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS49,25,53,103,54,66,51,3,0,0,367,33,32,69,51,77,91,77,12,7,454,10,19,36,36,46,22,14,7,0,191,80,99,209,140,192,164,97,21,7,1016,4,42,139,70,73,57,9,3,0,404,18,35,68,39,44,30,12,0,0,250,0,5,13,7,13,8,3,0,0,53,0,7,13,6,3,5,0,0,0,32,23,88,242,125,131,102,24,3,0,734,16,43,65,47,45,32,3,0,0,238,17,7,14,17,4,3,0,0,0,68,34,49,71,64,46,33,5,0,0,301,59,138,316,186,179,137,28,3,0,1038,87,72,148,119,149,187,204,44,23,1040,25,51,97,112,149,82,42,13,0,571,173,266,556,421,474,403,271,59,22,2648
SOS50,29672,47211,108733,96523,95761,62600,12623,1036,133,454290,24390,12111,31532,29213,23133,37066,57919,38327,17588,271271,2381,3792,9668,6939,6312,5727,4873,4344,3848,47884,56441,63114,149926,132670,125204,105395,75422,43707,21571,773447,7713,42014,149830,130024,127247,76857,11982,691,98,546457,34227,39121,54409,55997,51794,41812,16239,2070,181,295861,1375,2523,9359,6529,5472,5311,1557,172,11,32305,1033,1993,3799,2884,2586,1578,510,144,40,14577,44345,85651,217399,195435,187098,125554,30293,3079,339,889202,3509,6743,11485,9313,9115,6082,484,45,12,46787,9526,5553,5689,4652,3262,2722,750,84,5,32245,13036,12290,17168,13967,12380,8798,1234,131,18,79030,57384,97942,234574,209396,199482,134359,31529,3216,355,968229,52982,23318,43325,38553,33978,57675,104991,68667,27913,451409,4992,7769,20879,15513,14037,11892,9464,7551,5651,97748,115359,129031,298774,263462,247498,203928,145991,79433,33920,1517390
SOS51,5567,6723,17017,17950,18050,12198,2248,227,33,80007,4196,2046,6618,5100,4222,7198,11284,7079,3119,50864,785,876,2309,1951,1984,1778,1399,1080,650,12811,10550,9641,25948,25005,24259,21179,14930,8381,3803,143683,2676,8598,23534,23500,23931,15145,2256,166,32,99833,6004,3530,8523,10417,9667,8082,2786,385,38,49435,315,528,2044,1510,1558,1556,421,48,4,7979,258,334,665,593,630,387,131,47,15,3068,9251,12984,34771,36024,35788,25165,5600,648,91,160316,819,1178,1683,1544,1508,1044,72,6,0,7856,953,400,758,716,494,527,143,10,0,4000,1773,1579,2449,2257,2004,1570,212,18,0,11859,11022,14559,37218,38279,37789,26739,5812,665,92,172173,9200,3374,8564,7110,6686,11750,21233,13011,5059,85974,1609,1783,4985,4367,4423,3871,2805,1932,1035,26809,21827,19714,50764,49760,48895,42357,29846,15608,6189,284961
SOS52,631,940,2321,2428,3078,2343,522,67,4,12336,919,534,1362,1051,1077,1716,2301,1353,440,10747,147,178,475,393,412,420,319,230,122,2698,1697,1649,4162,3873,4562,4486,3135,1654,561,25786,388,1095,3080,3184,3965,2969,610,62,8,15364,559,496,1199,1383,1666,1539,621,95,13,7571,31,76,270,231,325,320,95,24,0,1370,64,73,104,112,133,105,44,22,0,656,1038,1738,4667,4905,6085,4934,1378,204,18,24959,163,247,394,361,343,279,14,0,0,1804,128,88,133,105,115,124,28,0,0,731,291,336,528,467,453,408,44,3,0,2529,1326,2072,5188,5372,6542,5336,1426,205,18,27485,1886,849,1906,1546,1717,2908,4633,2608,789,18846,362,355,945,868,922,943,682,456,205,5752,3579,3277,8045,7790,9179,9195,6744,3265,1011,52084
SOS53,1884,2234,5017,6861,9229,7121,1924,292,36,34596,1908,564,1812,1925,2181,3504,4592,1890,521,18891,325,326,817,882,1060,956,660,276,79,5382,4125,3124,7644,9668,12472,11581,7171,2457,633,58873,1224,3388,9561,10776,14328,9888,2562,408,54,52190,1977,1344,2601,4346,5234,4977,2255,479,59,23271,118,166,715,677,958,1030,314,52,7,4041,112,124,213,305,369,305,138,67,14,1657,3436,5026,13096,16105,20884,16199,5265,1003,135,81157,232,360,471,502,616,472,49,3,0,2696,366,124,191,201,227,244,52,3,0,1404,600,479,654,697,838,722,96,5,0,4095,4035,5505,13756,16804,21725,16917,5360,1012,140,85253,4307,1379,3620,3503,3694,6224,9582,4047,995,37357,742,898,2777,2683,2906,2398,1502,634,157,14696,9078,7782,20155,22994,28322,25541,16447,5691,1288,137303
SOS57,0,3,6,3,6,0,0,0,0,17,0,0,0,0,0,3,0,0,0,6,0,0,3,0,3,0,0,0,0,8,0,3,6,3,8,7,0,0,0,26,0,15,92,89,69,31,4,0,0,301,0,7,7,6,4,0,0,0,0,23,0,0,0,3,3,3,0,0,0,16,0,0,0,3,0,0,0,0,0,4,0,19,100,98,82,35,4,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,100,101,82,35,4,0,0,341,0,3,0,7,4,5,3,0,0,20,0,3,24,21,17,8,0,0,0,76,0,20,127,127,105,43,8,3,3,434
SOS59,27,118,257,117,119,138,9,0,0,792,21,63,130,91,113,232,203,33,5,882,16,62,145,95,95,71,48,6,3,547,65,242,534,305,325,442,254,37,11,2220,10,123,410,223,192,169,18,0,0,1143,19,59,128,71,72,73,20,0,0,431,0,3,37,30,37,23,4,0,0,140,3,10,24,9,12,8,0,0,0,60,26,202,598,332,308,266,40,0,0,1773,19,44,103,61,69,50,0,0,0,352,8,15,15,16,15,19,3,0,0,88,26,56,119,80,84,74,7,0,0,444,57,256,714,407,393,339,48,3,0,2215,56,125,232,199,233,437,471,73,14,1845,43,121,358,300,339,198,117,17,3,1490,151,503,1306,910,957,977,633,98,23,5559
SOS60,2707,4138,8816,8830,9153,6757,1247,130,21,41791,2380,1487,2645,2134,2200,4595,7566,5020,2664,30687,260,303,616,552,577,650,602,490,318,4369,5343,5926,12079,11514,11935,12000,9417,5643,2999,76850,626,3327,10532,10305,11375,7524,978,55,16,44729,3178,3576,5248,5572,5253,4754,1695,240,17,29533,176,277,808,626,538,581,132,12,3,3151,89,132,268,180,196,154,51,19,15,1096,4065,7310,16854,16685,17352,13012,2848,327,50,78514,274,584,839,531,433,285,15,4,0,2966,817,506,483,275,238,246,56,8,0,2615,1094,1091,1319,805,670,531,65,13,0,5583,5156,8405,18173,17493,18024,13541,2919,341,50,84100,5239,2905,4275,3443,3761,7916,13513,8866,4133,54056,488,624,1292,1102,1233,1287,1163,849,471,8504,10883,11926,23740,22036,23022,22751,17594,10056,4651,146664
SOS61,3263,4226,8013,8542,10186,7305,1242,104,20,42896,2589,1529,3103,2757,3000,5812,10046,6577,3150,38568,290,342,663,607,726,858,918,706,413,5534,6137,6103,11776,11904,13904,13979,12210,7390,3583,86997,1034,4118,9799,9554,11781,7944,953,63,11,45263,3539,3171,4940,5704,6064,5328,1643,221,28,30637,201,288,820,583,660,756,192,21,0,3511,144,135,259,238,246,232,95,26,9,1397,4914,7716,15816,16085,18754,14257,2887,330,47,80808,501,835,859,781,823,548,24,5,3,4376,786,431,450,347,361,330,45,14,0,2755,1290,1260,1306,1126,1187,881,66,17,3,7134,6203,8976,17120,17208,19939,15137,2952,343,53,87942,5772,2699,4409,4154,5017,9761,18392,11711,4875,66791,576,736,1331,1219,1484,1636,1765,1199,613,10553,12550,12410,22857,22585,26447,26533,23111,13256,5538,165288
SOS62,363,448,1003,1294,1577,1326,263,20,3,6295,362,139,368,393,459,1117,1729,882,310,5759,51,55,90,105,145,169,167,125,59,963,777,642,1466,1793,2179,2612,2156,1032,369,13020,162,481,1223,1438,1839,1373,216,21,4,6761,393,313,631,882,1003,1083,343,46,4,4703,21,41,124,104,130,185,45,11,0,650,26,29,53,43,59,33,17,14,3,270,604,867,2033,2472,3034,2666,614,82,14,12383,59,81,95,86,113,130,12,0,0,576,67,24,42,51,50,64,7,3,0,309,120,108,140,138,168,194,14,3,0,887,726,969,2173,2609,3205,2863,636,84,12,13274,822,227,497,587,769,2016,3441,1735,533,10629,103,91,168,195,296,347,357,235,95,1899,1651,1294,2831,3395,4268,5220,4435,2055,642,25793
SOS63,1394,1387,3008,4440,5985,4565,921,133,19,21840,1271,362,1024,1150,1610,3287,4114,1534,394,14742,166,124,276,376,469,585,447,190,48,2682,2826,1868,4305,5965,8066,8438,5483,1856,456,39262,647,1666,3704,5217,7218,5193,1067,146,27,24889,1500,1022,1875,3100,3911,3755,1221,210,27,16625,106,106,352,304,469,561,159,22,3,2077,79,74,119,158,247,169,85,38,5,982,2341,2869,6053,8776,11851,9679,2539,423,63,44577,164,230,240,266,364,334,22,0,0,1629,261,93,118,141,174,212,33,5,0,1038,424,320,356,414,538,549,60,5,0,2665,2760,3186,6407,9188,12386,10225,2593,427,63,47247,2832,677,1428,1716,2759,6068,8603,3390,759,28232,330,275,561,754,1011,1232,956,409,103,5627,5929,4134,8396,11659,16160,17527,12150,4225,926,81103
SOS67,0,3,3,0,3,0,0,0,0,15,0,3,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,3,17,5,12,4,0,0,0,40,0,3,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,21,3,14,9,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,3,11,9,0,0,0,50,0,3,3,0,0,4,4,0,0,12,0,0,4,3,0,0,0,0,0,4,0,8,23,5,15,12,7,0,0,73
SOS69,11,15,37,31,28,19,0,0,0,136,19,12,18,23,25,37,33,5,0,168,3,7,12,3,17,4,6,0,0,48,33,29,69,54,59,56,38,5,0,350,4,10,58,21,28,13,0,0,0,139,10,8,20,21,17,11,0,0,0,91,0,0,3,3,0,3,0,0,0,14,0,3,3,0,0,0,0,0,0,10,12,22,86,47,46,23,0,0,0,247,9,16,14,10,10,4,0,0,0,69,4,3,5,3,0,8,0,0,0,32,12,21,22,18,11,13,0,0,0,95,25,41,112,65,63,33,3,0,0,345,29,27,30,50,45,63,66,10,3,329,5,20,44,29,38,13,10,7,0,164,62,90,183,147,135,113,84,12,3,835
SOS70,1571,2924,8450,6689,5676,3502,715,44,9,29571,1231,557,1983,1438,983,1442,1855,930,279,10698,258,443,1292,812,681,601,296,116,38,4549,3058,3926,11727,8939,7340,5533,2864,1098,323,44816,772,4037,13577,10871,9312,5601,1011,59,9,45251,1743,1557,3098,2479,1832,1447,562,70,3,12784,89,247,839,524,422,364,91,7,0,2588,96,193,399,234,229,125,40,5,3,1335,2697,6037,17916,14111,11788,7535,1701,144,14,61953,175,313,488,390,339,216,29,0,0,1950,305,145,231,166,119,83,33,0,0,1087,483,464,721,557,458,301,58,0,0,3038,3183,6493,18637,14673,12250,7834,1761,143,21,64984,2689,1104,2889,2198,1710,2463,3713,1787,478,19032,548,1007,3067,2072,1712,1367,683,235,76,10771,6422,8610,24590,18940,15672,11658,6161,2169,572,94796
SOS71,504,823,2624,2233,2269,1532,296,27,0,10303,823,606,1197,866,699,661,564,310,113,5834,173,180,656,458,449,331,146,53,26,2462,1493,1609,4479,3568,3412,2518,1004,389,136,18607,296,1054,3600,3059,3270,2346,410,19,0,14064,517,299,851,826,689,526,217,25,0,3954,44,49,227,167,156,162,36,4,0,839,47,69,149,104,94,48,16,4,0,536,898,1475,4830,4159,4204,3077,684,61,4,19395,133,202,296,214,189,74,13,0,0,1118,58,49,118,82,56,29,8,0,0,401,196,247,411,296,246,105,16,0,0,1521,1093,1727,5238,4455,4456,3182,699,57,4,20916,1761,1088,2046,1554,1315,1118,1123,552,166,10723,376,378,1246,911,877,672,315,121,40,4939,3230,3197,8531,6924,6653,4971,2139,731,209,36577
SOS72,201,397,1098,909,895,534,108,14,3,4149,676,597,1002,713,597,467,323,121,30,4523,101,149,245,204,211,143,65,13,3,1141,977,1147,2351,1824,1709,1146,491,147,40,9815,92,399,1178,1001,1084,748,147,9,4,4666,97,153,421,415,325,232,75,4,3,1719,7,18,89,86,70,53,9,0,0,332,23,40,80,58,59,40,12,0,0,316,219,600,1767,1560,1539,1070,237,20,4,7025,167,257,383,260,193,54,5,0,0,1322,37,60,118,83,66,36,10,0,0,398,199,315,499,348,257,90,14,0,0,1720,427,916,2269,1905,1792,1156,258,17,4,8744,1401,1042,1768,1242,1034,805,600,227,51,8173,239,280,499,378,457,292,124,40,11,2318,2063,2241,4538,3522,3289,2251,980,289,69,19234
SOS73,393,561,1342,1510,1677,974,240,23,4,6724,439,267,572,480,415,542,529,182,37,3460,218,205,334,283,321,261,117,33,11,1783,1055,1032,2248,2273,2410,1779,889,242,45,11958,312,867,2030,2182,2527,1446,304,38,3,9713,324,203,462,626,616,486,200,27,3,2944,12,50,130,141,182,140,25,4,0,688,33,51,82,72,80,55,16,3,0,400,682,1169,2707,3019,3401,2134,555,67,4,13740,123,152,236,209,207,108,21,0,0,1067,49,32,50,35,45,40,4,0,0,263,173,186,290,252,253,151,26,0,0,1331,857,1354,2990,3271,3656,2286,581,67,9,15066,1000,542,1127,910,827,1075,1218,399,73,7164,467,516,770,652,749,609,312,80,13,4173,2328,2417,4891,4827,5235,3962,2104,541,88,26395
SOS77,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,0,9,0,0,8,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,8,9,9,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,0,0,0,0,25,0,4,12,12,3,0,0,0,0,29,0,0,4,5,0,0,0,0,0,17,0,3,30,19,9,3,0,3,0,72
SOS79,7,36,88,47,46,50,3,0,0,280,4,18,59,59,79,118,83,6,0,427,0,32,89,73,71,46,17,5,0,338,17,85,239,180,203,212,105,10,0,1043,15,55,107,70,81,61,12,0,0,399,0,10,26,10,23,23,0,0,0,103,0,0,24,13,6,6,0,0,0,52,0,4,9,3,0,3,0,0,0,18,18,75,169,97,111,89,11,0,0,574,0,7,9,14,12,8,0,0,0,56,0,0,8,5,7,0,0,0,0,24,0,5,21,18,16,16,0,0,0,76,23,78,182,117,129,108,14,0,0,647,8,39,89,122,158,236,210,27,0,889,3,68,189,148,175,97,54,9,0,745,32,183,457,396,461,438,278,38,0,2281
SOS80,6838,11254,26855,24034,21268,12385,2455,210,37,105339,4760,3388,4833,3949,3443,7977,12111,6968,3048,50490,481,858,1887,1360,1163,1136,892,724,750,9238,12080,15502,33573,29342,25880,21502,15462,7902,3836,165069,2006,10812,38366,34464,31595,16691,2485,151,17,136589,7950,8862,10649,11101,8352,6637,2879,376,32,56839,412,663,2738,1851,1267,1125,333,39,10,8435,330,532,723,572,449,255,98,21,17,3009,10698,20867,52482,47990,41658,24706,5791,590,78,204869,375,798,1277,1011,774,538,73,7,0,4856,1956,1120,767,511,355,407,156,22,6,5294,2330,1914,2047,1521,1131,942,230,24,4,10151,13027,22786,54528,49513,42794,25649,6020,617,81,215016,10412,6754,7414,5708,5462,13494,21599,12408,4998,88246,951,1758,3948,2913,2497,2156,1734,1299,1072,18316,24393,31297,65889,58129,50749,41302,29352,14316,6151,321581
SOS82,10,5,6,14,19,12,3,0,0,65,3,0,0,3,8,13,15,6,0,49,0,0,0,0,3,0,0,0,0,7,18,5,9,19,26,25,12,6,0,116,0,3,3,16,31,15,4,0,0,67,10,6,3,7,4,10,4,0,0,47,0,0,0,4,0,4,0,0,0,9,0,0,0,0,3,0,0,0,0,3,14,7,12,29,38,24,10,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,15,7,12,29,38,24,10,0,0,133,3,0,0,8,9,12,26,21,4,81,0,5,0,0,3,0,0,0,0,9,18,12,13,30,44,39,29,19,4,217
SOS83,13,11,47,54,41,25,8,0,0,198,16,3,7,3,7,13,13,0,0,61,3,3,5,3,8,8,3,0,0,36,31,20,61,65,55,39,21,6,3,295,3,21,60,79,73,32,10,0,0,281,16,8,14,29,23,19,3,6,0,112,0,3,9,11,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,8,25,34,85,114,94,52,20,5,0,424,3,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,9,31,34,90,117,97,55,20,5,0,438,21,6,11,3,9,24,16,7,0,109,7,5,13,12,13,13,3,0,0,70,58,41,111,133,118,91,42,11,3,610
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,7,22,28,23,11,18,0,0,0,115,10,7,11,8,10,10,8,4,3,66,3,8,3,9,5,7,0,0,0,32,20,42,44,40,26,34,9,4,3,209,3,21,38,28,18,15,0,0,0,126,9,19,7,9,7,10,3,0,0,62,0,3,7,6,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,6,10,39,57,41,28,26,3,0,0,202,3,3,11,4,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,8,8,6,15,11,5,3,0,0,0,44,15,45,71,50,34,32,0,0,0,248,15,21,21,28,21,22,19,4,3,153,9,9,12,30,18,21,3,0,0,107,35,79,108,107,68,78,24,8,3,506
SOS91,9,21,66,72,80,63,14,0,0,326,19,8,16,23,13,27,15,9,3,137,4,3,18,11,30,22,6,0,0,95,34,36,103,106,126,113,38,9,3,562,5,32,110,122,140,120,61,3,0,587,5,11,29,25,43,32,11,0,0,161,0,3,16,12,11,9,0,0,0,55,0,3,3,5,6,0,0,0,0,17,9,48,155,163,197,161,81,4,0,820,0,0,0,4,0,4,0,0,0,12,0,0,0,0,0,3,0,0,0,11,0,0,0,7,0,8,0,0,0,16,10,48,159,164,202,170,83,4,0,840,46,10,17,29,22,40,38,26,3,224,13,16,43,22,55,48,26,3,0,226,65,76,221,218,272,261,139,30,3,1285
SOS92,21,17,65,82,78,77,32,4,0,367,15,5,20,18,25,33,46,26,10,203,3,0,6,3,10,10,4,11,0,55,43,26,93,103,110,126,84,40,12,623,13,34,76,108,109,89,34,6,0,463,17,11,32,39,50,37,25,4,0,212,3,3,8,8,3,18,3,0,0,43,8,0,3,5,4,4,3,0,0,30,39,50,124,169,164,150,63,10,0,756,3,0,4,0,0,0,0,0,0,11,0,0,0,3,0,6,0,0,0,9,3,0,5,8,0,11,0,0,0,24,41,46,125,174,166,154,63,10,0,781,33,7,23,24,32,51,93,46,20,332,6,11,19,9,19,23,11,9,4,107,79,64,169,200,219,223,169,71,22,1222
SOS93,11,5,33,65,77,60,35,6,0,305,13,0,8,15,11,31,43,31,13,157,3,0,3,6,6,16,8,5,0,58,28,9,47,80,98,101,88,46,13,519,3,12,34,78,105,93,28,0,0,348,23,6,15,31,27,36,29,15,4,189,0,0,3,3,7,3,4,0,0,20,0,0,3,3,5,3,0,3,0,16,29,18,56,112,141,136,62,14,4,573,3,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,32,18,61,117,144,135,62,14,4,581,32,37,107,82,51,62,76,57,24,525,3,3,15,10,19,18,13,11,4,99,66,60,185,213,215,214,150,82,29,1207
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SOS99,0,4,0,4,3,0,0,0,0,11,0,0,0,3,0,3,5,0,0,14,0,0,0,0,0,0,0,0,0,4,3,4,0,5,4,4,6,0,0,30,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,4,0,3,3,3,3,0,0,18,0,0,0,3,3,5,9,0,0,22,4,4,0,0,0,0,0,0,0,4,3,10,0,5,9,11,13,0,0,46
