SOS_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,5,43,43,152,418,196,148,102,27,4,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,13,25,13,3,4,91,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,3,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,10,7,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,18,126,822,1666,323,138,38,11,3,3140,56138,91690,81348,140901,58149,48748,31452,14901,5262,528592,24,105,104,790,138,70,28,6,0,1257,0,5,90,522,233,240,116,40,9,1255,10,17,38,182,100,80,38,7,11,480,35,191,183,754,351,313,136,57,20,2037,9,32,42,273,123,135,76,22,6,719,133,733,2591,5366,1459,811,439,195,94,11819,5,12,63,373,257,393,484,416,96,2094,16,152,62,298,111,156,164,79,22,1068,446,4426,5838,17143,18027,13521,11986,6643,2041,80071,3,20,30,184,95,62,30,9,0,442,22,97,123,832,231,126,97,38,9,1579,15,109,202,912,572,440,1060,399,91,3807,3,25,16,75,84,159,278,306,90,1041,22,140,499,1286,287,296,148,82,14,2784,440,1608,2858,13391,2449,1521,1413,640,233,24546,75,366,768,1833,456,292,253,115,27,4188,26,204,281,1582,430,242,134,53,18,2968,36,154,219,763,384,154,46,18,4,1775
SOS51,0,6,48,102,28,5,0,0,0,191,12177,21981,16728,33493,15785,14007,9205,4265,1406,129040,0,13,3,42,21,4,3,0,0,91,0,0,0,10,3,3,0,3,3,32,0,0,5,4,0,5,0,0,0,16,0,17,26,85,54,33,20,10,8,238,0,0,0,14,8,6,4,0,0,39,4,18,146,193,49,22,3,3,0,445,0,0,0,11,11,26,29,27,3,99,0,3,0,35,3,12,6,7,0,73,34,379,390,1712,2007,1702,1871,1029,317,9450,0,12,12,69,17,12,9,3,0,136,0,16,29,120,26,24,13,6,3,234,3,13,24,121,90,83,242,64,23,668,0,0,3,3,6,11,17,10,3,55,0,4,11,55,17,9,3,3,0,100,28,80,59,725,121,60,60,37,8,1176,17,38,27,69,26,10,3,9,0,204,0,3,3,54,11,3,0,0,0,70,0,3,3,18,11,7,0,5,0,47
SOS52,0,0,0,0,0,0,0,0,0,0,2014,3967,2940,5667,3055,3199,2243,934,275,24288,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,11,10,5,6,0,0,38,0,0,0,5,0,3,0,0,0,12,0,0,5,11,7,0,0,0,0,24,0,0,0,3,0,6,3,0,0,14,0,0,0,3,0,0,0,0,0,4,0,32,51,231,440,351,465,232,54,1870,0,3,0,7,8,6,3,0,0,20,0,0,5,13,3,9,5,0,0,32,0,0,0,16,12,13,43,18,4,106,0,0,0,3,0,0,5,0,0,16,0,0,0,9,0,0,0,0,0,6,0,6,3,57,11,9,13,6,0,103,0,7,0,8,3,3,4,3,0,28,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOS53,0,0,14,37,13,0,0,0,0,65,3858,9113,7757,16896,10057,9060,5641,1855,375,64618,0,0,0,36,3,0,0,0,0,39,0,0,0,5,8,3,0,0,0,18,0,0,0,30,18,11,0,0,0,57,0,3,3,45,19,31,12,3,0,115,0,0,0,14,6,0,0,0,0,23,0,3,20,118,38,6,3,0,0,195,0,0,0,10,6,19,24,17,4,77,0,0,0,9,3,3,13,3,0,33,6,115,242,834,1454,1258,1166,469,87,5630,0,0,0,16,8,12,0,0,0,42,0,5,10,37,17,10,14,3,0,97,0,6,14,71,63,73,128,31,4,388,0,0,0,0,0,5,6,12,0,29,0,3,9,17,4,5,0,0,0,39,0,0,3,182,64,35,32,15,0,320,0,4,10,38,13,4,10,0,3,86,0,0,6,69,11,5,0,0,0,87,0,0,5,12,4,0,0,0,0,23
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,6,117,38,14,3,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,62,93,192,827,403,312,211,27,3,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,3,0,0,10,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,17,58,36,48,41,4,3,211,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,19,0,0,0,10,0,0,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,16,3,0,0,0,0,25,3,0,0,5,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,0,3,29,24,7,4,0,0,0,72,4915,9751,9587,17117,8635,8298,5671,2813,1055,67842,0,0,6,32,0,0,0,0,0,41,0,0,4,10,7,12,5,3,0,39,0,0,0,4,3,0,0,0,0,9,4,10,12,71,29,28,18,4,0,176,0,3,0,22,11,12,4,3,0,60,4,25,322,573,36,32,27,11,7,1045,0,0,0,3,4,13,23,31,3,79,0,4,3,8,5,0,5,0,0,30,11,69,86,367,582,607,730,457,161,3075,0,4,3,14,12,14,3,0,0,48,3,6,3,39,18,9,10,3,0,84,8,5,13,56,44,53,124,55,44,396,0,0,7,14,17,34,49,53,15,184,0,10,26,61,12,19,16,4,0,143,11,28,77,389,58,24,23,18,7,639,0,7,9,21,4,0,14,4,3,65,5,30,38,66,5,10,7,0,0,157,0,8,0,19,0,3,0,0,0,35
SOS61,0,3,17,38,16,4,0,0,0,76,5477,11304,11163,18220,10245,10036,7864,4002,1308,79622,0,0,3,15,3,3,0,0,0,23,0,0,3,3,3,0,4,3,0,15,0,0,0,3,0,0,0,0,0,3,0,5,8,40,11,20,11,3,0,94,0,3,0,5,3,0,4,0,0,22,6,12,71,117,21,17,8,3,0,254,0,0,0,0,5,6,11,19,3,47,3,6,3,10,3,7,4,3,0,36,10,62,56,244,478,621,974,601,171,3201,0,3,6,18,8,3,3,0,0,40,0,0,0,12,7,3,9,4,0,37,0,3,8,26,32,37,105,58,25,293,0,0,0,0,0,14,17,7,0,43,0,3,18,22,7,12,3,0,0,72,5,22,38,201,39,25,17,8,0,349,4,4,3,15,3,3,10,4,5,47,17,53,16,20,7,4,0,0,0,122,3,0,0,7,3,0,0,0,0,15
SOS62,0,0,0,0,0,0,0,0,0,0,756,1702,1401,2523,1660,1967,1568,672,176,12422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,11,4,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,3,14,4,52,93,172,250,123,28,739,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,8,0,0,3,5,4,11,24,14,3,70,0,0,0,0,0,5,0,3,0,10,0,0,0,0,0,3,0,0,0,4,0,0,0,7,4,5,0,4,0,23,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS63,0,0,0,0,0,0,0,0,0,0,2361,6091,4859,8234,6456,6886,4550,1481,319,41233,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,8,3,24,14,16,18,10,0,87,0,0,0,4,0,0,0,0,0,12,0,3,0,9,0,9,8,0,0,33,0,0,0,0,4,0,0,3,0,10,0,0,0,0,0,4,8,0,0,11,0,41,55,182,416,601,748,305,41,2397,0,0,0,5,4,3,0,0,0,16,0,0,3,6,6,10,5,0,0,33,0,3,8,28,32,51,73,40,7,240,0,0,0,0,0,6,3,8,0,19,0,0,0,3,0,4,0,0,0,14,0,0,3,4,3,6,8,3,0,29,0,0,3,0,5,0,9,3,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,3,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,27,11,68,147,55,36,24,7,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,0,0,19,28,3,0,0,0,0,49,3812,5625,5513,12576,4743,3560,1679,476,114,38102,0,10,59,138,17,11,3,0,0,237,0,0,0,4,3,0,8,0,0,15,0,3,4,18,17,16,3,0,0,69,3,13,3,38,19,14,14,3,0,111,0,0,0,5,3,3,3,0,0,19,7,35,73,209,51,17,26,10,0,438,0,0,0,3,3,0,6,3,0,21,0,4,3,8,4,0,0,0,0,19,18,103,131,532,435,351,267,71,25,1925,0,12,9,46,18,15,3,0,3,102,0,9,13,68,24,4,10,0,0,130,0,4,15,64,37,34,53,38,3,249,12,58,73,164,84,110,123,57,11,694,0,3,7,44,13,20,10,3,0,101,36,109,145,946,129,67,23,14,4,1463,12,26,62,135,29,16,31,0,0,317,0,4,0,59,5,3,0,0,0,78,0,0,0,10,0,0,0,0,0,13
SOS71,0,0,3,0,0,0,0,0,0,3,1764,3242,2647,5070,2192,1616,672,197,42,17439,0,0,0,11,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,12,0,0,0,12,3,9,0,3,0,26,0,0,0,3,0,0,0,0,0,5,0,5,8,24,6,3,0,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,9,3,22,13,79,132,103,78,27,0,471,0,6,7,27,17,5,0,0,0,79,0,0,0,19,4,5,3,0,0,27,0,0,0,12,12,14,20,5,5,74,0,3,0,8,0,4,4,3,0,21,0,0,3,18,0,3,0,0,0,23,7,51,11,277,42,15,4,4,0,414,0,3,0,7,3,3,0,0,0,17,0,0,0,5,4,0,0,0,0,9,0,0,3,10,3,0,0,0,0,21
SOS72,0,0,0,0,0,0,0,0,0,0,1135,2280,2013,3342,1280,847,350,109,22,11382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,18,30,22,24,5,0,108,0,3,0,8,8,0,0,0,0,18,0,0,0,4,0,3,3,0,0,12,0,0,3,3,3,9,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,33,3,0,0,0,0,43,0,0,0,4,0,0,4,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOS73,0,0,0,0,0,0,0,0,0,0,1049,2264,2262,4051,2009,1427,725,184,32,13998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,5,3,0,0,28,0,0,0,4,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,0,12,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,25,55,100,104,90,22,3,404,0,0,3,5,0,3,3,0,0,21,0,0,9,9,3,3,4,0,0,26,0,0,3,7,3,15,17,10,0,59,0,0,0,3,5,7,3,0,0,12,0,0,0,0,3,0,0,0,0,3,0,0,0,15,3,4,3,3,0,32,0,3,3,5,0,3,3,0,0,22,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,35,36,59,207,144,148,105,9,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,12,12,5,0,52,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,6,0,0,4,0,4,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,0,9,53,112,37,30,13,3,0,254,12595,20731,20451,38635,16022,12528,8073,3166,1163,133359,7,39,55,439,86,61,17,4,0,707,0,3,9,58,32,47,24,23,7,196,0,3,21,70,33,20,11,3,0,163,16,51,58,179,121,60,41,12,0,534,4,5,8,125,58,56,54,24,3,332,32,101,1953,1955,400,356,186,69,29,5085,0,0,5,54,95,95,176,169,23,627,9,22,18,88,31,33,26,12,3,239,32,315,343,1090,1313,1278,1179,646,227,6427,0,21,33,183,82,61,20,12,3,415,3,31,28,132,68,18,15,14,6,320,11,27,49,172,127,112,334,132,59,1016,3,11,18,39,37,71,130,131,33,464,6,33,162,312,99,132,46,26,6,832,103,372,427,3491,485,276,142,72,29,5386,15,79,69,256,60,26,26,11,3,555,0,29,34,251,69,39,22,8,0,458,4,34,36,131,41,25,19,0,0,302
SOS82,0,0,0,0,0,0,0,0,0,0,0,26,10,14,19,11,10,7,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,43,51,42,93,49,33,13,4,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,5,7,37,88,30,27,13,3,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,0,54,71,49,100,56,56,16,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS92,0,0,0,0,0,0,0,0,0,0,36,86,59,106,67,56,62,22,11,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,4,0,0,23,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS93,0,0,0,3,0,0,0,0,0,6,26,74,45,71,48,66,40,26,5,399,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,0,0,18,3,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,0,29,0,0,0,9,0,0,0,0,0,15
