SOS_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SOS49,0,0,3,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,10,10,19,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,148,629,2151,6860,2110,1253,463,259,127,14001,0,15,34,365,308,472,431,354,135,2116,16,150,57,252,96,116,156,84,55,984,445,4138,5323,16760,17061,13359,12008,7383,2920,79404,0,30,32,220,102,93,34,13,4,532,18,68,134,799,226,106,96,62,14,1525,18,89,272,1225,686,531,1046,375,272,4519,3,25,13,82,71,140,264,360,158,1118,36,122,471,1328,369,417,176,70,22,3010,413,1459,1920,11556,2144,1736,1484,820,359,21889,65,364,763,3080,900,595,339,129,63,6297,30,197,221,1446,307,209,125,49,23,2612,34,155,233,754,222,96,41,9,4,1546,63,541,444,3659,863,811,607,407,164,7550,24,111,171,840,562,1123,2193,2075,1095,8189,46,136,198,1550,483,165,107,43,13,2740,47,177,387,2072,345,153,48,14,4,3256,6,23,26,158,102,91,42,23,9,464,95,676,1907,5501,2354,2421,1508,593,161,15208,0,0,8,25,41,98,122,48,15,367
SOS51,6,21,23,228,96,34,9,6,3,427,0,0,0,12,13,22,7,11,0,74,0,0,3,15,0,3,11,0,0,34,29,385,381,1906,2069,1892,1860,1101,472,10096,0,17,8,54,18,13,9,3,0,121,0,3,27,107,33,19,19,6,3,217,0,18,44,224,105,98,245,59,42,842,0,0,0,3,3,9,3,11,0,35,0,3,12,61,18,13,7,0,0,116,30,90,60,595,85,77,49,45,18,1046,15,31,29,249,62,27,10,9,3,427,0,5,4,43,3,3,0,3,0,56,0,0,4,14,6,3,0,4,0,31,8,69,35,296,69,89,62,23,22,673,0,8,17,63,27,68,152,154,88,593,0,11,13,120,26,3,0,0,0,171,6,3,37,152,14,3,0,0,0,206,0,0,0,6,6,7,3,3,0,19,3,8,17,148,65,74,34,16,3,363,0,0,0,0,9,13,11,3,0,34
SOS52,0,0,0,12,7,0,3,0,0,21,0,0,0,0,0,3,3,0,0,11,0,0,0,5,0,0,3,0,0,7,5,32,53,275,427,409,419,215,46,1871,0,0,0,4,3,0,0,0,0,20,0,0,3,16,3,4,3,3,0,27,0,0,4,44,15,22,47,13,3,149,0,0,0,0,0,0,0,0,0,4,0,0,0,14,3,0,0,0,0,18,3,8,4,47,6,13,18,3,0,103,0,0,4,16,7,3,4,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,43,7,8,8,8,0,85,0,0,3,6,3,3,13,16,14,63,0,0,0,6,4,0,0,0,0,17,0,6,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,3,5,3,0,42,0,0,0,0,0,4,3,0,0,10
SOS53,0,5,8,44,17,18,5,3,0,104,0,0,3,4,7,16,21,10,4,64,0,0,0,0,0,3,3,0,0,11,14,103,193,767,1450,1344,1016,392,83,5361,0,0,0,7,3,0,0,0,0,11,0,3,3,30,13,9,13,0,0,74,0,4,20,115,84,64,113,23,6,426,0,0,0,4,0,3,3,3,0,14,0,0,4,17,3,11,0,0,0,36,0,5,4,40,29,35,29,15,3,160,4,0,3,50,18,13,10,6,0,95,0,0,0,6,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,11,95,29,28,31,13,0,209,0,3,3,20,16,48,98,51,33,281,0,0,0,35,12,3,4,0,0,53,0,0,3,17,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,4,0,3,4,35,44,38,10,12,3,147,0,0,0,0,4,6,3,3,0,13
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,3,3,13,10,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,30,39,30,10,0,167,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,13,0,0,11,7,0,3,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,3,19,0,0,3,7,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,3
SOS60,12,32,362,674,84,60,23,23,8,1276,0,3,4,14,3,20,19,13,5,80,3,3,0,4,0,3,0,7,4,27,16,81,82,307,533,603,732,497,237,3082,0,0,3,21,13,20,4,6,3,76,0,4,7,38,14,10,8,5,7,84,0,5,19,65,57,63,125,73,52,460,0,4,7,5,19,27,54,61,11,186,0,7,32,48,16,19,9,6,0,131,10,41,82,325,40,27,25,12,9,587,0,0,12,26,19,7,7,4,4,83,9,31,38,50,8,11,0,3,0,142,0,6,3,15,0,0,0,0,0,33,0,12,7,33,19,25,16,28,10,150,0,0,3,14,10,31,44,69,37,220,3,5,21,89,31,12,7,3,5,171,4,4,30,106,34,16,0,0,0,193,0,0,0,9,3,7,5,0,0,20,3,8,147,144,50,47,27,11,3,442,0,0,0,0,0,6,6,0,0,16
SOS61,3,16,58,149,50,19,8,5,0,310,0,0,0,0,4,4,5,6,0,23,3,3,7,9,0,3,4,0,0,24,3,63,46,257,462,661,949,694,282,3407,0,0,0,21,11,5,3,0,0,45,0,0,3,7,6,4,8,7,3,40,0,5,4,31,21,51,99,65,25,304,0,0,4,3,3,5,9,8,0,27,3,4,7,29,13,9,0,0,0,69,7,17,28,144,35,25,13,8,3,277,0,7,4,35,10,6,11,0,0,78,20,64,16,18,4,4,0,0,0,122,0,0,0,9,0,0,0,0,0,10,0,5,6,17,6,16,29,18,0,99,0,0,0,3,3,17,30,36,15,112,0,0,5,36,7,5,3,0,0,58,0,3,15,45,6,4,0,0,0,83,0,0,3,0,3,3,0,0,0,9,12,7,113,78,26,25,14,3,0,277,0,0,0,0,0,4,9,0,0,11
SOS62,0,3,3,6,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,51,96,179,217,105,30,706,0,0,0,3,3,0,0,0,0,4,0,0,0,8,3,3,0,3,0,19,0,0,3,11,6,11,28,19,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,10,3,0,3,3,0,21,0,0,0,9,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,0,13,0,0,0,3,0,3,3,5,0,12,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,9,0,0,0,14,0,0,0,0,3,0,0,0,0,3
SOS63,0,11,6,28,12,13,5,0,0,75,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,3,0,0,6,0,22,41,157,450,602,596,214,51,2128,0,0,0,3,4,7,4,0,0,20,0,0,3,9,7,10,5,3,0,28,0,4,5,41,52,60,51,40,4,264,0,0,0,3,0,3,5,0,0,13,0,0,0,3,5,5,0,3,0,19,0,0,0,4,9,14,8,3,0,47,0,0,0,12,5,5,10,0,0,30,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,16,19,11,21,3,0,78,0,0,0,3,3,6,12,4,0,28,0,0,0,22,8,8,3,0,0,40,0,7,0,25,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,9,6,0,0,41,0,0,0,0,0,4,3,5,0,16
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,3,45,71,290,111,39,25,15,9,601,0,0,3,0,0,0,0,0,0,8,3,4,0,6,0,0,6,0,0,23,22,89,122,511,339,283,206,103,33,1706,3,3,16,61,16,12,3,0,0,121,0,5,16,55,15,7,12,3,0,115,3,7,18,142,42,36,52,22,9,322,4,42,40,145,61,94,77,47,9,519,0,3,9,38,16,35,11,3,3,113,46,117,93,733,88,68,34,6,6,1197,6,36,58,296,125,58,34,6,0,618,0,6,0,40,4,0,0,0,0,50,0,0,0,3,0,0,0,0,0,4,4,18,33,277,10,14,12,3,3,376,0,7,13,44,10,16,25,28,9,146,16,19,5,85,26,6,3,3,0,173,4,3,21,110,12,3,0,0,0,152,0,0,0,3,6,0,0,0,0,10,3,14,18,113,50,62,38,26,0,323,0,0,0,3,3,0,3,0,0,12
SOS71,0,4,4,39,16,4,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,22,18,107,100,104,45,20,5,420,0,4,8,23,18,3,9,0,0,69,0,0,7,10,5,4,0,3,0,30,0,0,12,36,11,15,12,4,4,88,0,0,0,3,0,0,0,0,0,8,0,0,0,18,4,3,0,0,0,28,7,34,21,266,33,27,3,0,0,395,0,3,4,16,6,3,0,0,0,38,0,0,0,5,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,3,0,24,11,0,9,0,0,48,0,0,0,11,3,5,9,8,3,42,0,0,0,23,9,0,0,0,0,33,0,0,9,26,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,15,9,14,0,0,0,39,0,0,0,0,0,0,0,0,0,5
SOS72,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,27,26,8,3,0,92,0,6,0,4,0,0,0,0,0,12,0,0,0,6,0,0,3,0,0,13,0,0,0,7,8,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,0,0,0,0,0,26,3,3,4,8,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,15,0,0,0,16,0,0,0,0,0,20,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0
SOS73,0,0,0,8,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,75,109,69,54,12,3,342,0,0,0,3,0,5,0,0,0,12,0,0,3,7,3,3,3,0,0,21,0,0,3,30,11,10,12,3,0,69,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,0,6,0,3,3,0,0,22,0,3,3,30,10,8,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,5,0,3,0,21,0,0,0,3,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,7,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,3,0,0,26,0,0,0,0,0,0,0,0,0,0
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,4,15,8,0,0,68,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,5,0,0,3,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SOS80,40,142,2229,2382,626,494,190,106,42,6252,0,0,6,69,69,154,192,152,24,675,0,33,13,66,19,27,29,10,4,203,34,341,332,1050,1217,1172,1104,709,325,6277,0,19,52,199,97,68,45,12,3,485,5,31,44,136,53,31,20,13,13,348,3,20,64,216,140,135,389,140,89,1198,0,7,8,28,40,79,173,140,34,512,14,29,147,316,131,143,48,13,9,851,118,341,381,3181,420,287,180,83,26,5013,21,51,71,385,83,68,40,20,12,749,0,18,21,221,47,47,18,7,0,383,7,15,22,111,39,20,8,4,0,235,4,41,11,130,64,58,50,39,11,409,3,13,24,80,94,175,253,210,102,946,12,32,58,254,94,49,29,15,7,560,12,76,198,703,122,65,25,7,0,1216,0,5,8,53,45,30,26,10,7,188,18,41,173,470,240,197,115,47,12,1311,0,3,5,11,12,29,60,18,10,145
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,61,37,42,14,8,0,177,0,0,0,0,0,0,0,0,0,0
SOS92,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,5,3,6,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,17,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
