SOS_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SOS62,0,8,762,777,13,106,446,568,397,383,428,1205,758,290,397,1445,1008,268,554,1830,1356,234,643,2236,1268,121,498,1891,577,27,248,852,102,0,101,199,5473,1446,4084,11004,0,24,645,675,38,162,337,533,520,370,422,1319,918,317,397,1634,1139,283,518,1940,1359,227,656,2236,1125,99,587,1812,389,18,447,854,38,4,198,239,5526,1500,4202,11225,0,34,1414,1447,51,271,780,1101,919,757,852,2522,1677,606,794,3073,2149,550,1067,3770,2708,463,1297,4468,2394,215,1088,3704,964,44,702,1709,139,3,298,436,11001,2947,8288,22228
SOS63,0,21,2720,2747,62,248,1576,1889,1219,887,1396,3501,2869,994,1130,4996,4258,1160,1710,7136,5098,839,1911,7850,3927,392,1336,5652,1387,63,613,2069,206,19,184,410,19035,4627,12581,36249,0,45,2464,2503,120,380,1060,1569,1757,1009,1044,3810,3370,1081,961,5413,4817,1127,1324,7274,5032,727,1503,7259,3234,252,1149,4639,828,45,743,1613,99,8,306,419,19265,4670,10555,34493,3,66,5178,5248,188,629,2641,3452,2977,1896,2436,7312,6245,2074,2093,10411,9079,2291,3037,14404,10126,1564,3415,15111,7158,645,2488,10297,2218,110,1361,3684,304,24,491,827,38299,9299,23140,70740
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,3,45,2768,2818,124,616,2482,3226,3077,2487,3946,9506,4429,1247,2065,7739,3558,990,1947,6494,2742,584,1520,4847,1580,203,904,2687,535,47,302,892,76,3,97,175,16136,6212,16036,38381,8,114,2463,2593,353,931,1853,3136,4156,2557,3122,9841,4583,1227,1994,7803,3440,950,1929,6323,2409,458,1744,4612,1138,150,1125,2415,291,11,625,930,27,0,188,215,16405,6407,15043,37856,10,159,5235,5407,482,1542,4333,6357,7232,5041,7069,19345,9011,2477,4053,15544,7001,1940,3879,12814,5150,1039,3267,9459,2718,348,2033,5105,827,57,931,1821,104,4,282,386,32543,12619,31078,76235
SOS71,22,23,1398,1438,153,206,925,1281,1082,705,1386,3177,1386,519,802,2709,1347,393,840,2581,1049,248,611,1906,452,64,343,859,115,10,126,250,17,0,22,44,5631,2166,6455,14250,50,53,1165,1259,222,272,833,1321,1379,823,1394,3592,1455,516,965,2942,1330,384,1016,2726,928,178,883,1996,276,46,424,744,74,10,197,281,4,0,70,76,5720,2279,6946,14941,71,69,2565,2703,378,477,1754,2604,2462,1524,2781,6772,2835,1040,1769,5650,2672,775,1857,5310,1980,425,1493,3898,731,108,763,1600,192,17,321,537,23,0,94,117,11347,4446,13397,29185
SOS72,44,10,894,952,234,83,629,950,789,289,792,1878,713,270,472,1463,616,192,449,1249,465,96,318,882,193,38,177,411,36,5,68,114,15,0,12,23,3107,994,3823,7920,80,27,752,861,331,94,554,975,844,325,861,2028,717,265,592,1578,621,182,607,1413,368,92,495,963,117,27,256,406,18,6,106,123,7,3,30,31,3103,1019,4255,8379,121,38,1647,1814,566,172,1188,1925,1635,617,1657,3908,1438,531,1066,3036,1239,371,1055,2668,832,190,817,1843,308,67,431,813,56,14,171,242,14,3,40,55,6212,2016,8079,16296
SOS73,10,12,889,910,83,114,606,802,551,430,712,1699,946,381,504,1833,1096,409,611,2113,849,249,563,1664,531,100,357,986,126,11,117,253,14,3,25,35,4202,1705,4384,10288,22,18,722,766,113,180,416,706,744,479,522,1737,1094,388,412,1892,1091,413,477,1983,776,208,427,1412,376,66,288,724,68,10,116,194,7,0,29,41,4291,1758,3407,9453,36,31,1605,1675,195,293,1014,1507,1291,909,1232,3437,2040,767,919,3725,2190,820,1088,4096,1628,455,993,3078,900,161,646,1709,192,25,227,441,18,3,51,73,8492,3468,7788,19750
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,0,71,10465,10536,264,1506,10411,12181,9978,6072,12118,28167,16713,3435,5850,25998,14522,2575,5437,22537,11946,1507,4223,17683,8870,655,2447,11976,3993,151,1231,5371,1017,29,671,1715,67304,16008,52857,136174,14,155,9891,10061,679,2213,9370,12268,13360,6276,10416,30050,17203,3389,6586,27177,14376,2513,6984,23873,11365,1282,6543,19189,7672,468,5324,13462,2866,91,3607,6565,484,10,1949,2449,68024,16402,60666,145094,13,231,20356,20595,941,3722,19781,24448,23338,12349,22532,58219,33919,6823,12436,53179,28897,5086,12422,46412,23318,2794,10768,36872,16542,1122,7777,25439,6865,246,4837,11942,1498,42,2623,4160,135328,32415,113530,281271
SOS82,0,0,5,5,0,0,4,4,0,0,0,3,5,4,6,13,12,4,3,22,9,0,0,17,18,0,3,16,11,0,4,16,0,0,0,0,61,9,22,92,0,0,14,14,0,0,3,3,0,4,0,5,13,0,4,19,10,3,4,25,12,0,8,21,15,0,3,12,9,0,3,6,0,0,0,0,59,7,37,105,0,0,16,16,0,0,10,10,0,3,3,10,20,3,9,30,25,5,8,45,25,0,5,33,30,0,5,29,15,0,8,22,0,0,0,3,122,15,58,197
SOS83,0,0,26,26,0,0,12,9,17,5,8,35,45,11,3,53,38,11,6,59,19,6,15,39,8,0,9,17,3,0,3,5,0,0,0,0,133,38,73,238,0,0,28,28,0,0,7,13,30,8,8,44,40,9,7,57,27,8,9,46,18,4,8,32,8,0,3,14,3,0,3,8,0,0,0,0,127,33,70,230,0,0,49,49,0,4,21,24,45,15,17,81,89,15,9,114,67,19,19,98,38,7,16,67,16,3,13,33,3,0,5,13,0,0,0,0,258,66,147,471
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,25,25,0,0,26,25,27,3,37,66,57,6,12,75,58,13,21,89,49,3,26,74,42,0,15,58,5,0,3,9,0,0,0,0,229,28,165,423,0,0,25,22,5,3,16,20,41,6,17,59,60,9,11,83,51,9,14,75,47,3,14,65,12,0,12,27,5,0,3,7,0,0,3,3,220,33,107,360,0,3,50,50,5,4,39,49,65,12,50,124,112,19,21,154,110,19,40,163,99,7,37,139,50,5,25,80,8,0,6,16,0,0,3,3,453,60,274,780
SOS92,0,0,26,26,3,4,21,27,28,11,3,42,57,22,18,96,50,13,27,87,61,8,22,91,60,3,10,76,15,0,14,28,3,0,4,10,273,59,144,477,0,3,37,36,6,0,8,14,45,17,15,76,59,15,19,99,55,12,23,93,60,12,34,102,42,3,25,73,11,0,17,30,3,0,4,11,272,62,190,528,0,3,65,64,10,3,27,38,72,22,22,119,109,40,39,189,105,30,53,182,121,19,59,199,105,5,36,151,24,0,34,55,7,0,14,21,550,125,335,1010
SOS93,0,0,28,28,0,3,14,11,8,7,12,31,33,16,19,63,36,16,20,72,49,10,31,91,38,3,17,56,18,0,13,34,7,0,3,10,190,57,154,398,0,0,24,24,0,3,0,4,20,13,19,46,37,15,29,73,35,18,29,91,44,12,26,83,42,3,26,76,14,0,19,40,0,0,11,10,192,63,190,448,0,0,53,53,0,6,16,18,24,19,30,73,70,26,45,141,70,39,56,165,88,25,57,172,81,10,40,127,36,0,28,68,9,0,13,25,377,125,340,846
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
