SOS_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,11,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,4,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,12,0,0,0,0,0,0,0,8,0,0,0,0,3,16,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,4,16,108,529,447,578,931,766,191,238,153,165,163,80,105,4476,19,42,58,117,409,2131,4149,7758,1318,1687,1765,1955,2109,1165,1132,25820,56,208,986,1052,177,437,954,104,17,35,21,23,15,12,117,4212,3,173,189,220,89,240,295,252,82,113,156,89,69,38,48,2047,8,8,39,70,117,188,118,185,46,61,37,33,24,12,33,973,17,1641,678,926,1130,732,998,1058,201,206,142,168,144,73,213,8326,40,466,703,462,115,70,45,38,25,42,28,36,16,8,73,2160,6,21,66,300,633,1100,1111,773,158,256,313,300,357,170,236,5793,35,587,450,3709,1107,2496,4600,15592,2147,2899,2927,3206,3206,2214,1267,46436,13,147,84,167,492,1481,3327,2105,386,448,389,445,450,290,249,10487,0,11,13,38,318,656,957,960,482,652,521,361,369,164,95,5584,0,0,14,24,24,258,1220,653,144,182,227,237,179,51,106,3319,14,225,372,1473,1060,2287,1301,2964
SOS51,0,3,14,78,57,48,119,105,33,35,6,21,25,13,27,569,4,8,7,9,9,30,100,233,54,57,88,52,100,55,74,872,3,12,47,47,14,13,18,3,0,4,0,0,3,0,5,167,0,7,9,7,3,10,8,21,5,3,7,5,0,4,3,106,0,0,4,10,22,34,38,68,18,24,3,16,12,0,5,256,0,407,155,130,170,99,134,179,40,33,17,40,27,17,57,1508,0,23,22,19,4,5,3,0,0,0,3,0,0,0,3,90,4,0,3,20,18,15,15,34,4,12,10,16,16,13,31,218,3,48,33,144,39,61,166,816,144,160,166,144,120,88,83,2221,4,12,10,10,25,51,124,149,36,29,24,47,54,27,31,633,0,0,0,0,10,8,8,12,19,11,26,7,9,3,4,128,0,0,0,0,3,11,15,15,0,5,10,0,0,6,0,80,3,27,51,167,89,158,92,250
SOS52,0,0,3,14,6,3,28,12,0,0,5,4,0,3,0,85,0,0,0,0,0,0,3,24,0,3,11,6,3,0,0,49,4,0,5,5,0,3,0,0,0,0,0,0,3,0,0,22,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,12,0,0,0,3,0,6,3,7,5,0,5,0,0,0,4,42,0,61,36,37,32,11,17,22,4,4,9,5,3,0,6,258,0,3,0,8,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,25,0,9,5,30,8,6,11,30,20,20,14,20,7,10,6,206,0,5,8,4,3,3,3,6,27,0,7,0,3,0,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,30,17,28,6,23
SOS53,0,0,14,42,50,59,33,33,6,10,3,0,3,3,11,281,0,0,3,0,0,8,33,72,19,20,20,20,39,18,37,297,0,5,48,55,3,10,8,0,0,0,0,0,0,0,7,146,0,8,12,11,3,5,0,4,0,7,0,0,0,0,0,39,0,0,5,4,5,8,3,14,3,0,0,0,0,0,7,50,3,144,70,102,154,78,88,83,9,5,3,12,16,6,20,815,0,8,12,6,3,0,4,0,0,0,0,0,0,0,6,40,0,0,3,8,14,5,14,4,0,0,0,0,3,3,20,76,4,21,30,91,13,28,42,123,15,24,23,14,8,7,46,480,0,16,4,3,3,20,38,32,13,6,10,8,13,8,17,187,0,0,0,0,3,3,3,3,5,9,4,0,0,0,50,92,0,0,0,0,0,0,4,0,0,0,0,0,0,0,22,31,0,13,19,82,42,79,60,112
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SOS59,0,0,0,0,3,4,0,0,0,0,0,0,8,3,4,26,0,0,0,0,0,3,4,3,0,0,3,4,5,10,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,5,3,0,0,3,4,11,3,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,14,0,0,0,3,0,0,0,5,0,0,4,3,3,12,6,31,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,8
SOS60,0,3,14,63,27,59,61,53,7,6,13,9,10,5,9,347,6,13,27,16,19,68,222,490,106,138,213,285,344,238,135,2315,0,8,61,56,4,8,6,5,0,0,0,0,3,0,8,161,0,10,6,3,3,3,7,6,4,0,0,3,5,0,0,56,0,0,15,8,19,35,21,8,0,0,11,0,3,0,3,124,5,247,157,104,84,46,71,40,12,3,11,10,14,9,40,855,3,32,149,102,27,17,0,8,0,0,9,3,3,0,17,373,0,0,7,24,25,31,42,43,10,12,6,19,20,12,26,280,7,19,14,51,16,44,124,397,46,66,61,136,142,83,27,1224,0,18,6,9,8,8,39,21,6,7,3,6,8,0,4,147,0,0,0,6,15,6,23,41,15,17,58,45,46,28,15,305,0,0,0,0,0,3,6,13,3,17,3,10,4,4,0,69,0,12,24,55,36,45,32,34
SOS61,0,3,18,43,30,26,38,30,3,0,7,4,17,3,3,224,0,5,6,7,10,38,64,123,39,36,42,57,63,44,36,569,0,4,23,22,3,0,4,0,0,0,0,0,0,0,9,66,0,4,8,4,0,3,8,9,0,0,12,0,0,3,7,61,0,0,0,9,17,12,20,5,0,3,3,5,3,4,4,83,0,172,147,87,72,29,24,33,3,4,0,3,6,3,17,602,0,5,26,13,4,3,0,0,0,0,0,0,3,0,12,67,0,0,9,6,11,25,16,19,5,8,13,9,12,3,12,139,0,5,16,38,20,30,85,204,31,33,26,52,35,42,19,630,0,12,4,6,9,6,17,20,0,0,9,7,16,9,0,122,0,0,0,0,4,9,10,17,3,8,75,58,32,33,9,247,0,0,0,0,0,0,3,7,0,0,3,3,6,0,0,31,0,9,13,62,23,17,27,19
SOS62,0,0,0,6,10,3,15,12,0,0,0,0,0,4,0,62,0,4,4,0,0,4,8,3,0,6,0,0,0,3,0,29,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,13,0,36,44,16,17,4,10,6,0,0,0,0,0,0,8,146,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,10,0,4,3,6,0,6,4,11,0,0,5,0,4,0,0,48,0,0,3,0,0,3,8,5,0,0,0,3,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,7,3,3
SOS63,0,0,11,42,32,26,21,29,3,4,14,0,4,0,3,180,4,3,10,4,5,3,19,24,3,4,4,11,5,5,0,109,0,4,3,3,0,3,0,0,0,0,0,0,0,0,0,17,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,3,6,3,7,0,0,0,0,0,0,0,4,33,0,83,93,78,74,58,54,37,4,0,0,9,3,0,10,506,0,4,13,11,7,4,0,0,0,0,0,0,0,0,0,33,0,0,4,3,5,6,0,0,0,0,0,0,0,0,0,32,3,3,12,24,11,3,4,3,0,3,0,0,0,0,3,78,0,7,12,3,3,3,7,8,0,0,0,0,0,0,3,47,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,17,36,23,24,15,6
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,0,5,5,36,22,26,20,46,16,17,9,9,12,7,3,236,0,10,10,14,33,59,101,432,31,51,53,79,84,43,35,1039,0,0,11,10,0,3,5,0,0,0,0,0,0,0,0,29,0,0,0,8,0,3,4,10,0,4,3,0,0,5,0,41,0,0,6,7,20,43,47,49,3,4,15,9,10,0,7,224,0,69,63,71,41,37,77,92,12,14,11,27,19,13,16,570,0,34,209,249,131,60,108,115,47,74,76,30,30,20,46,1214,3,0,11,21,39,56,29,15,0,10,6,5,5,4,13,220,0,11,8,54,46,59,217,945,180,200,182,232,286,170,65,2658,0,0,3,41,67,134,184,199,42,27,46,44,49,64,35,932,0,0,0,0,3,7,7,39,6,16,21,11,18,0,0,129,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,13,0,7,6,39,19,38,40,222
SOS71,0,0,4,11,10,7,10,8,3,3,0,3,3,3,0,64,0,0,0,0,0,5,15,40,3,7,5,0,9,9,8,112,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0,0,3,9,3,17,15,38,7,11,7,8,4,12,3,147,0,27,22,12,20,11,21,14,0,3,4,3,4,5,6,162,0,0,5,4,3,4,0,3,3,0,0,0,0,0,3,27,0,0,0,3,3,0,4,7,3,0,4,0,8,0,5,50,0,3,0,7,3,12,65,381,36,77,52,63,47,37,24,808,0,0,3,0,5,3,7,16,0,0,0,3,11,0,3,58,0,0,0,0,3,0,6,3,3,3,0,0,0,3,0,17,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,19,0,0,4,18,11,10,14,19
SOS72,0,0,0,3,0,3,4,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,3,4,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,0,11,0,0,0,0,3,30,0,9,7,0,3,0,3,3,3,0,3,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,3,5,4,3,25,0,4,7,3,4,9,0,71,0,3,0,0,0,0,4,3,0,5,3,3,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,0
SOS73,0,0,3,8,9,3,5,4,0,0,0,0,5,0,0,34,0,0,3,0,0,0,8,9,0,0,0,0,0,0,11,24,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,5,0,0,0,8,0,5,0,28,0,13,4,22,12,11,11,12,5,8,0,4,6,3,7,125,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,4,3,5,5,3,14,12,4,0,0,4,4,0,0,55,0,0,0,3,6,11,11,9,7,0,3,3,4,3,4,69,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,11,4,4
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,6,0,0,0,0,3,6,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,0,5,38,186,140,174,218,137,38,30,36,38,64,24,20,1153,8,26,65,64,205,909,1904,2032,469,494,689,1211,1668,1098,493,11334,0,11,311,634,65,121,76,18,0,7,9,6,3,0,40,1299,0,24,26,53,16,46,72,71,4,8,38,31,23,13,19,441,5,3,14,34,95,243,204,161,7,19,18,27,32,10,29,902,4,704,384,219,149,155,225,134,18,32,16,28,44,24,71,2217,0,113,403,253,57,15,31,11,12,3,16,11,17,4,32,978,13,11,40,100,240,422,336,140,28,45,43,80,72,53,52,1681,3,40,44,261,228,712,2098,3232,500,502,563,802,764,393,262,10396,0,28,37,48,80,106,230,184,37,54,60,99,144,170,18,1298,0,4,8,21,65,119,136,154,73,86,65,47,37,15,12,841,0,0,0,7,11,31,120,141,15,18,22,38,51,80,0,536,0,32,56,120,80,139,85,90
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,5,0,3,3,33,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,3,0,3,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0
