SOS_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOS70,10,0,48,25,71,17,162,64,4,126,75,467,24,764,24,5,113,97,583,54,870,61,9,163,85,296,17,625,124,12,446,367,3013,176,4145,28,5,98,76,270,16,494,83,11,229,127,496,60,992,76,9,371,196,395,63,1112,57,23,226,245,655,70,1273,9,8,64,54,128,7,279,17,3,68,78,47,3,217,16,10,71,58,138,17,309,234,77,714,204,896,64,2189,29,9,109,80,259,21,494,418,213,1058,994,1944,131,4756,279,140,376,110,193,24,1117,239,71,535,164,180,47,1232,39,9,85,68,141,17,363,29,10,105,70,561,39,819,60,15,159,115,604,192,1142,1890,644,5157,3293,11341,1047,23367,3,0,24,15,19,0,59,4,4,41,23,40,3,124,16,3,38,40,95,13,199,23,20,77,41,72,10,238,27,13,142,128,236,30,566,9,3,36,34,75,15,167,49,21,294,185,442,75,1065,64,11,427,221
SOS71,0,0,4,8,34,9,61,11,3,23,27,177,5,253,3,0,12,20,130,5,175,3,6,24,24,129,3,190,3,3,33,54,606,30,733,3,0,9,11,52,10,87,14,5,50,52,214,31,360,8,3,51,44,138,17,258,5,3,49,78,167,29,336,3,3,23,17,34,0,73,4,3,5,7,3,4,24,0,0,10,7,35,0,57,32,12,120,63,113,13,351,7,0,29,23,78,16,147,122,46,283,339,530,48,1365,80,60,219,32,111,21,519,101,38,252,139,209,45,788,11,3,20,10,47,9,101,19,11,47,28,228,28,359,14,3,35,26,137,58,268,435,209,1304,1002,3169,391,6511,4,0,10,14,21,4,44,0,0,11,7,11,0,33,0,0,6,4,25,3,39,0,3,3,8,14,0,27,3,4,15,23,66,3,122,0,0,6,3,14,3,29,11,10,68,44,155,30,310,13,8,74,60
SOS72,0,0,4,6,37,7,48,15,4,53,28,157,9,270,0,0,0,3,37,3,44,0,0,3,5,29,0,37,0,0,7,9,124,10,145,0,0,0,3,10,0,13,0,0,5,9,45,5,75,13,0,36,40,127,14,230,0,0,18,23,53,3,96,0,0,6,3,9,3,21,0,0,0,0,3,0,3,0,0,0,0,9,0,13,0,0,3,4,26,0,40,0,0,9,11,34,10,63,14,7,46,63,196,42,376,30,21,79,10,62,14,217,11,6,45,18,57,26,160,3,3,15,4,27,3,55,8,3,13,5,131,33,202,6,0,12,3,54,60,142,107,55,356,263,1230,244,2247,0,0,3,3,3,3,15,3,0,17,10,14,4,52,0,0,0,0,7,0,8,0,0,0,3,4,0,5,0,0,7,7,13,3,28,0,0,0,3,3,0,13,3,0,15,8,46,21,104,10,0,45,35
SOS73,4,0,35,65,268,37,415,3,3,33,18,230,12,300,0,0,3,14,160,8,184,0,0,6,23,90,5,119,4,3,17,60,925,68,1084,0,0,10,7,75,3,103,4,0,10,13,108,14,148,3,0,12,19,82,19,140,0,4,11,42,184,26,266,0,0,3,10,19,3,36,0,0,4,7,5,0,17,0,0,0,7,35,3,44,11,7,31,32,120,12,205,4,0,4,9,65,12,90,26,17,115,165,443,32,799,16,24,56,19,80,12,208,5,9,34,13,37,5,110,0,0,15,14,38,9,77,0,0,7,8,236,10,267,3,4,17,23,173,48,270,86,69,442,571,3379,338,4881,5,3,56,53,115,20,243,0,0,8,4,14,0,32,0,0,3,14,35,3,58,3,3,10,7,7,3,30,3,9,36,36,92,13,193,0,0,7,13,21,3,46,3,3,23,29,121,20,200,7,3,28,30
SOS77,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,0,3,0,6,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,3,8,3,7,0,0,0,0,3,0,6,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,3,0,31,0,36,0,0,0,0,0,0,0,0,0,3,3,5,0,9,0,0,3,3,11,0,14,0,0,0,7,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,23,0,0,0,0,5,3,6,5,0,3,3,26,0,39,0,0,3,0,3,0,6,3,0,3,3,0,0,8,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,14,4,16,11,5,28,28,127,12,207,0,0,3,4,9,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,3,3,3,0,8,0,0,15,6
SOS80,37,13,62,47,73,11,231,6,0,10,9,38,0,69,134,27,300,222,900,47,1638,93,19,175,112,339,25,757,120,51,743,764,5394,217,7294,82,31,268,148,335,39,910,277,59,888,494,1290,124,3133,255,28,878,667,1217,122,3164,241,70,449,372,842,83,2059,225,82,566,270,363,30,1540,230,79,480,246,145,29,1211,90,34,256,194,299,23,896,2541,629,4449,1121,844,195,9782,166,55,502,247,576,68,1615,6606,2064,9950,3830,3393,399,26234,2231,518,1929,408,523,83,5691,968,248,1700,611,669,116,4308,140,58,352,152,285,25,1010,223,59,413,220,1242,50,2216,276,54,476,229,623,287,1945,14934,4171,24871,10360,19381,1978,75701,17,3,53,20,35,7,138,3,0,0,6,0,0,7,45,22,151,88,148,22,480,35,12,122,51,66,5,299,60,20,223,193,277,28,804,25,14,94,67,72,8,286,283,70,1072,589,1062,142,3225,197,39,784,458
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,3,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,3,25,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,3,0,6,3,3,0,15,0,0,0,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,3,0,3,0,0,0,3,30,0,36,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,17,0,0,0,0,0,0,0,7,0,8,14,11,0,36,11,0,0,0,4,0,18,0,0,4,0,0,0,5,0,0,3,4,6,0,12,0,0,0,0,3,0,3,0,0,0,3,5,0,7,23,7,31,28,89,8,182,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,5,0,3,0,19,0,0,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,11,4,17,8,22,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
SOS91,0,0,0,0,0,0,3,0,0,6,6,47,7,65,0,0,0,0,3,0,3,0,0,0,0,13,0,12,0,0,0,0,25,3,26,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,7,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,0,10,0,0,3,0,3,0,5,8,4,15,17,43,3,85,3,3,5,0,0,0,14,0,0,3,0,4,0,9,0,0,6,0,3,0,11,0,0,0,0,15,0,15,0,0,3,3,7,4,20,11,11,39,39,182,27,308,0,0,0,0,0,0,0,0,0,0,9,3,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,8,0,0,3,4
SOS92,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,11,0,15,0,0,0,0,24,3,29,0,0,0,0,0,0,3,0,0,0,3,11,3,15,0,0,4,4,11,6,29,0,0,0,0,9,4,13,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,3,4,0,0,0,0,12,0,15,8,3,24,8,28,3,74,0,0,11,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,6,0,11,0,0,0,0,9,0,8,0,0,0,0,5,3,13,11,4,50,26,139,29,250,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,3,25,0,0,6,10
SOS93,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,5,0,13,0,0,0,0,0,0,3,0,0,3,0,26,0,34,0,0,0,0,3,0,3,0,0,4,3,11,0,20,0,0,0,3,15,3,23,0,0,0,0,10,0,8,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,4,0,0,0,3,8,0,9,0,0,3,3,14,0,22,3,0,3,0,0,0,7,0,0,3,0,0,0,7,0,0,3,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,3,0,10,10,0,29,23,113,9,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,20,3,0,3,6
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
