SOS_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SOS61,2547,512,52,36,2708,553,6413,2244,1139,193,93,2172,472,6309,3505,3371,741,362,2286,810,11077,2916,3548,1022,482,1946,771,10680,3340,4006,1025,508,2686,973,12540,2986,3619,1197,560,3166,1020,12560,1505,2605,1448,920,3143,1271,10897,646,996,661,560,2093,895,5865,200,225,147,115,891,371,1954,19898,20022,6490,3642,21107,7136,78296,2621,742,133,61,2042,543,6137,1708,1770,496,470,1239,418,6103,1755,3620,1948,2521,1188,753,11776,1154,3654,2662,2610,1118,712,11904,1539,4872,2916,1975,1716,887,13904,1447,4204,2834,2101,2288,1103,13979,745,2283,2335,2470,2949,1430,12210,532,1077,1024,1063,2406,1281,7390,335,384,210,195,1822,640,3583,11835,22612,14552,13466,16759,7776,86997,5164,1257,191,97,4748,1099,12550,3954,2914,686,557,3407,888,12410,5253,6996,2692,2881,3474,1563,22857,4066,7199,3680,3089,3062,1483,22585,4877,8881,3941,2487,4402,1865,26447,4435,7822,4031,2662,5455,2124,26533,2248,4888,3780,3392,6098,2701,23111,1186,2072,1688,1628,4504,2181,13256,538,608,356,315
SOS62,353,62,8,6,319,121,868,253,104,18,15,204,57,652,461,405,105,50,252,97,1369,438,527,165,82,267,125,1604,520,673,197,98,419,190,2091,514,779,297,172,593,246,2610,266,595,296,266,568,291,2280,106,168,124,112,331,176,1021,34,31,18,15,106,68,276,2943,3347,1235,818,3069,1363,12777,316,103,13,14,235,108,777,175,164,51,69,119,58,642,207,425,270,341,110,104,1466,148,534,424,426,134,123,1793,222,747,494,331,222,166,2179,262,774,559,475,343,200,2612,109,403,448,513,401,281,2156,57,131,147,173,311,213,1032,30,52,27,12,168,82,369,1532,3325,2441,2350,2037,1336,13020,668,171,20,14,556,227,1651,425,273,72,78,326,115,1294,669,830,377,393,364,200,2831,594,1059,592,510,400,250,3395,737,1421,695,425,643,359,4268,775,1554,856,646,939,448,5220,378,991,747,786,963,568,4435,165,300,273,287,639,386,2055,63,75,44,29
SOS63,1331,262,33,19,1041,419,3108,826,370,80,38,759,187,2266,1194,1212,336,172,812,362,4095,1351,2054,665,340,808,473,5693,2023,2644,870,461,1409,686,8089,1923,2735,1044,731,1840,817,9090,942,1605,991,833,1571,728,6675,282,433,309,306,659,390,2371,57,78,42,45,151,86,466,9930,11388,4373,2944,9051,4153,41846,1272,338,52,27,787,353,2826,567,516,145,144,353,153,1868,536,1267,821,1030,329,317,4305,450,1818,1447,1437,398,409,5965,770,2755,1912,1409,654,571,8066,711,2483,2006,1628,928,681,8438,261,1068,1206,1459,889,588,5483,138,284,310,378,434,312,1856,48,67,59,53,156,82,456,4761,10592,7959,7557,4928,3464,39262,2601,606,81,44,1827,773,5929,1392,884,226,173,1114,348,4134,1733,2477,1158,1203,1139,682,8396,1809,3869,2109,1779,1208,885,11659,2792,5392,2783,1871,2060,1257,16160,2638,5213,3049,2357,2770,1502,17527,1207,2673,2200,2295,2464,1311,12150,420,719,616,682,1090,700,4225,109,144,103,98
SOS67,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,9,4,15,0,0,0,0,3,3,5,0,0,0,3,8,0,10,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,31,3,49,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,18,0,0,0,0,0,0,0,0,0,0,3,5,0,8,4,0,0,0,14,4,23,0,0,0,0,3,3,5,3,0,0,3,8,0,15,0,0,0,0,5,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
SOS69,7,4,0,0,12,3,34,12,4,3,0,22,18,56,28,16,0,0,39,34,120,18,11,4,0,34,22,93,12,12,4,4,27,20,77,9,16,0,3,16,7,52,9,5,3,3,15,11,48,0,0,0,0,3,6,8,0,0,0,0,0,0,0,88,72,17,11,164,123,481,8,8,0,0,12,3,33,3,7,5,3,15,7,29,12,16,10,9,16,12,69,17,14,4,8,10,7,54,11,18,3,5,10,13,59,13,16,10,3,14,4,56,6,6,3,3,10,9,38,0,3,0,0,3,0,5,0,0,0,0,0,0,0,60,81,33,28,85,58,350,18,9,3,0,31,6,62,18,11,5,3,35,21,90,37,33,7,9,51,41,183,33,24,10,10,39,29,147,21,30,11,6,37,37,135,16,26,7,8,37,13,113,9,15,6,11,22,17,84,0,0,0,0,9,4,12,0,0,0,0
SOS70,1357,326,34,20,1169,458,3362,1418,719,108,54,1591,795,4680,3888,2901,507,173,3132,2258,12865,2651,2727,647,285,2083,1617,9999,2126,2394,540,240,1729,1305,8332,1441,1703,423,213,1432,915,6128,551,809,290,181,981,475,3296,113,212,108,68,413,168,1071,35,41,15,8,102,43,245,13577,11834,2668,1253,12622,8029,49980,1259,391,55,20,929,412,3058,1171,995,239,177,815,529,3926,2513,3414,1258,1456,1649,1432,11727,1217,2808,1531,1363,1077,943,8939,1057,2681,1181,712,923,781,7340,749,1878,907,511,799,690,5533,279,660,523,420,610,373,2864,101,198,152,121,352,165,1098,37,30,20,4,177,52,323,8376,13059,5863,4789,7346,5379,44816,2621,718,84,39,2095,871,6422,2590,1714,347,227,2408,1319,8610,6402,6315,1769,1632,4778,3694,24590,3867,5530,2180,1647,3160,2554,18940,3182,5081,1718,956,2655,2085,15672,2183,3580,1334,724,2233,1607,11658,827,1477,810,605,1591,853,6161,218,405,256,193,763,335,2169,69,72,31,20
SOS71,645,198,39,10,525,305,1735,517,300,72,24,440,240,1590,1173,1031,214,104,872,659,4053,892,954,259,106,628,525,3357,859,906,219,76,683,487,3235,603,681,150,63,550,400,2455,182,263,76,42,358,205,1137,48,60,28,16,116,78,344,6,4,9,3,30,14,74,4934,4393,1069,447,4207,2920,17971,541,254,58,16,373,255,1493,485,398,113,64,331,209,1609,982,1235,509,473,586,698,4479,616,1078,539,377,440,521,3568,627,1093,458,237,513,490,3412,454,725,374,178,426,361,2518,129,222,129,87,260,173,1004,44,60,30,28,144,73,389,15,4,12,7,68,37,136,3880,5062,2226,1468,3145,2821,18607,1185,452,104,26,895,560,3230,1004,697,185,89,777,451,3197,2153,2262,718,582,1458,1359,8531,1506,2032,795,482,1068,1045,6924,1486,1998,681,310,1199,977,6653,1061,1402,522,242,981,765,4971,310,483,209,133,622,377,2139,97,118,54,48,258,152,731,16,12,16,9
SOS72,330,187,40,13,288,234,1083,350,212,85,33,270,145,1092,659,542,191,78,434,290,2188,435,458,184,70,343,218,1700,417,381,130,73,293,278,1578,268,267,86,34,277,170,1111,85,96,31,22,171,78,493,19,25,10,7,51,28,140,3,6,3,0,15,3,27,2573,2177,761,334,2140,1439,9422,287,218,82,30,174,192,977,337,265,145,71,167,166,1147,550,621,317,241,334,280,2351,340,487,292,240,229,234,1824,334,479,267,149,234,233,1709,233,344,142,98,174,155,1146,84,95,65,48,122,75,491,25,18,15,12,57,21,147,5,4,5,0,18,4,40,2207,2535,1335,876,1512,1360,9815,615,407,118,37,464,427,2063,688,479,228,99,435,310,2241,1209,1160,510,319,765,574,4538,777,937,471,306,578,450,3522,756,862,403,217,528,512,3289,503,617,235,134,450,324,2251,172,197,94,73,293,151,980,50,42,21,18,115,47,289,12,13,10,0
SOS73,402,152,26,12,334,353,1276,381,214,42,19,310,428,1392,629,608,178,83,463,678,2640,550,690,248,127,402,547,2556,588,766,271,151,514,539,2826,377,561,216,123,490,421,2185,161,269,149,110,280,252,1215,50,53,26,40,77,61,306,4,4,4,3,21,9,45,3146,3315,1162,665,2875,3278,14437,344,157,46,20,208,273,1055,264,239,86,64,135,242,1032,382,640,352,318,181,375,2248,281,701,447,359,151,327,2273,302,809,459,271,202,361,2410,189,540,301,244,201,306,1779,98,197,147,158,148,142,889,28,48,35,33,50,48,242,9,10,3,3,16,12,45,1894,3340,1870,1470,1301,2074,11958,745,314,77,31,543,627,2328,640,456,128,81,446,664,2417,1016,1239,534,402,640,1055,4891,830,1396,697,489,555,872,4827,888,1580,724,420,716,896,5235,570,1095,517,365,689,726,3962,259,462,293,267,427,395,2104,74,98,60,71,130,105,541,13,12,4,5
SOS77,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,19,5,23,0,0,0,0,12,5,16,0,0,0,0,4,3,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,20,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,17,3,30,0,0,0,0,12,11,19,0,0,0,0,4,3,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SOS79,7,5,0,0,4,3,16,18,16,0,0,26,35,98,31,28,11,9,55,102,219,30,28,14,3,47,95,215,36,28,3,5,66,112,257,31,43,13,7,71,63,229,30,37,9,9,53,40,174,0,4,0,0,7,11,20,0,0,0,0,0,0,0,186,182,49,30,322,456,1240,0,6,0,0,3,0,17,11,7,0,0,27,40,85,44,20,16,12,50,94,239,19,28,23,12,24,80,180,28,37,12,4,30,88,203,33,58,26,15,34,49,212,10,24,12,14,24,19,105,0,3,0,0,6,5,10,0,0,0,0,0,0,0,145,180,85,62,198,375,1043,6,12,0,0,5,3,32,35,19,0,4,49,74,183,68,49,19,24,108,198,457,45,49,31,17,73,170,396,66,68,17,9,104,198,461,62,101,39,16,101,117,438,43,63,27,20,75,56,278,0,6,3,3,9,13,38,0,0,0,0
SOS80,5993,1050,72,38,4422,745,12311,6443,2708,261,95,5204,1087,15795,11897,9766,1511,549,6165,2424,32310,8504,10768,2746,883,3991,1896,28789,7152,9738,2370,666,3369,1580,24876,4983,7516,2282,744,3068,1203,19803,2673,4794,1970,831,2543,1070,13888,993,1750,837,471,1586,779,6417,334,416,227,135,796,410,2319,48972,48510,12275,4413,31147,11196,156508,6159,1542,150,53,3495,677,12080,6196,3786,606,355,3582,983,15502,8188,11731,4141,3785,3698,2024,33573,3849,10736,6338,4707,2204,1507,29342,3539,10791,5641,2604,1964,1329,25880,2826,8087,4605,2454,2216,1315,21502,1260,4335,3748,2744,2258,1122,15462,748,1740,1461,1188,1797,970,7902,418,555,305,232,1399,922,3836,33186,53308,26999,18117,22618,10849,165069,12153,2589,217,88,7915,1421,24393,12635,6493,872,452,8779,2065,31297,20085,21494,5652,4328,9869,4453,65889,12358,21504,9087,5586,6188,3401,58129,10691,20531,8005,3275,5334,2907,50749,7806,15603,6883,3199,5289,2520,41302,3940,9135,5717,3570,4802,2189,29352,1744,3491,2297,1654,3384,1744,14316,755,972,533,367
SOS82,5,0,0,0,0,0,5,3,0,0,0,3,5,10,0,0,0,0,0,0,5,6,10,0,0,0,0,13,4,6,3,0,3,0,23,6,5,4,0,0,0,16,4,5,3,0,3,0,16,3,4,3,0,3,0,14,0,0,0,0,0,3,3,33,30,13,5,9,9,103,14,0,0,0,0,0,18,4,0,0,0,0,0,5,3,0,5,0,3,0,9,4,3,3,8,0,0,19,3,3,9,3,0,4,26,0,8,6,3,0,3,25,0,0,7,10,0,0,12,0,0,0,3,0,3,6,0,0,0,0,0,0,0,23,22,28,27,8,11,116,17,0,0,0,0,0,18,3,0,0,0,3,5,12,3,3,5,0,3,0,13,10,7,5,9,0,0,30,9,16,10,3,3,4,44,5,15,7,3,0,3,39,4,9,5,10,3,0,29,3,3,3,3,3,3,19,0,0,0,0
SOS83,22,3,0,0,4,5,28,9,3,0,0,5,0,25,17,16,5,0,5,11,50,15,28,7,4,12,10,65,18,31,6,5,4,10,64,4,17,5,0,14,9,50,4,7,4,0,3,0,18,0,3,0,0,4,0,6,0,0,0,0,0,0,0,93,107,22,8,51,38,317,14,5,0,0,4,8,31,3,5,0,0,4,3,20,11,24,8,3,3,5,61,4,23,17,7,3,5,65,3,19,11,4,0,8,55,0,16,12,4,3,3,39,0,10,3,3,0,3,21,0,3,0,0,0,3,6,0,0,0,0,0,0,3,44,105,54,36,22,41,295,29,10,0,0,9,12,58,18,5,4,0,13,3,41,28,38,8,4,9,18,111,17,51,23,13,12,11,133,19,45,19,13,6,16,118,8,34,14,4,20,13,91,4,13,3,7,4,4,42,0,9,0,0,4,3,11,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,7,0,0,0,3,3,16,14,3,0,0,9,3,36,24,6,3,0,21,9,63,10,9,4,0,21,22,67,7,4,3,0,15,18,43,5,4,3,0,14,15,38,6,3,0,0,3,4,15,0,0,0,0,3,0,5,0,0,0,0,0,0,0,73,39,7,3,92,82,297,8,4,0,0,7,4,20,16,4,0,0,9,8,42,16,12,3,0,4,3,44,11,5,5,0,9,9,40,3,18,0,0,7,5,26,3,12,4,0,8,6,34,4,4,0,0,4,0,9,0,0,0,0,4,0,4,0,0,0,0,3,0,3,61,53,7,5,47,30,209,12,4,0,0,11,10,35,30,13,0,0,20,14,79,42,20,3,0,27,15,108,20,20,9,3,32,30,107,10,24,3,0,19,18,68,10,16,3,0,18,21,78,7,3,3,0,7,7,24,0,0,0,0,3,3,8,0,0,0,0
SOS91,9,0,0,0,12,9,37,9,0,0,0,13,14,41,23,25,7,0,40,27,114,32,31,10,0,17,22,112,29,34,11,4,38,27,145,32,23,9,6,49,36,147,19,21,4,3,38,26,106,4,3,0,0,10,3,24,0,0,0,0,0,0,0,164,144,32,18,208,152,724,10,3,0,0,7,5,34,3,13,0,3,5,3,36,22,21,9,13,19,26,103,7,37,11,23,13,9,106,16,33,21,10,22,29,126,14,28,16,14,16,26,113,3,9,3,3,6,8,38,0,3,0,0,3,0,9,0,0,0,0,3,0,3,74,153,59,66,96,109,562,27,8,0,0,16,16,65,15,15,0,3,24,18,76,41,48,9,11,51,50,221,39,75,14,29,28,29,218,44,62,31,15,63,55,272,47,52,21,22,62,60,261,21,34,11,7,41,32,139,6,10,0,0,10,3,30,0,0,0,0
SOS92,7,7,0,0,16,7,35,5,6,0,3,16,11,45,11,18,3,0,27,16,77,24,30,11,3,17,6,98,28,29,8,4,28,14,116,18,29,8,6,27,13,104,24,9,17,3,18,14,88,3,3,3,4,13,9,34,0,3,0,0,3,0,10,125,139,49,33,164,82,599,9,4,0,0,11,13,43,7,4,3,0,6,3,26,17,24,10,15,22,7,93,15,31,15,17,20,10,103,16,37,15,10,21,12,110,15,32,18,21,24,12,126,13,15,17,9,17,11,84,4,6,3,5,12,9,40,3,3,0,0,3,0,12,85,156,84,75,144,76,623,23,15,0,0,24,17,79,16,11,5,0,20,15,64,25,41,15,12,51,20,169,40,65,24,19,41,15,200,37,67,24,12,49,31,219,33,62,32,23,58,25,223,36,32,30,19,40,24,169,6,6,5,12,29,12,71,3,3,0,0
SOS93,17,7,0,0,8,4,30,5,0,0,0,4,40,54,13,10,0,0,9,108,132,17,24,5,8,9,72,131,15,30,8,5,12,40,115,14,39,14,13,12,18,112,12,18,13,5,13,9,64,0,8,3,5,16,7,37,3,0,0,3,3,3,14,98,138,41,38,85,288,693,8,7,0,0,5,5,28,0,3,0,0,3,0,9,12,9,9,3,0,8,47,13,24,15,14,5,8,80,7,38,19,14,12,8,98,14,35,18,18,10,16,101,6,22,16,17,15,12,88,4,7,10,10,6,6,46,0,0,4,0,10,5,13,66,159,99,67,57,72,519,21,10,0,0,17,11,66,5,4,0,0,7,38,60,24,17,9,4,6,115,185,29,47,27,21,15,76,213,29,68,29,15,16,54,215,25,80,30,28,23,29,214,15,40,28,21,27,22,150,6,18,11,16,25,10,82,3,0,4,3
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,4,0,3,0,0,0,0,4,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,8,4,30,0,0,0,0,0,4,3,0,0,0,0,5,4,10,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,3,0,0,3,0,9,0,0,0,0,3,0,11,0,3,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0
