SOS_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SOS42,0,0,0,0,4,6,10,4,0,20,0,0,0,0,0,0,0,0,0,9,0,0,5,16,0,0,0,0,0,22,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,4,4,3,5,0,31,0,0,0,12,12,7,0,0,0,33,0,0,0,0,6,7,7,3,0,28,0,3,0,4,5,0,0,0,0,11,0,3,5,28,29,37,52,27,8,192,74,155,169,397,323,372,361,168,69,2105,1479,3252,2729,5438,3739,4299,3722,1781,575,27010,0,0,0,0,0,0,0,0,0,0,1380,2770,2320,4718,2860,3109,2491,1314,721,21686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,3,4,0,0,22,0,0,0,0,0,0,0,0,0,0
SOS43,0,0,0,0,3,5,10,3,0,32,0,0,0,24,6,3,0,0,0,34,0,0,8,5,0,3,0,0,0,16,0,4,10,13,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,4,0,0,17,0,12,19,25,27,28,24,10,0,147,0,4,10,71,63,62,18,7,5,239,0,0,7,9,15,22,25,6,3,86,0,6,3,11,13,9,4,3,0,43,3,18,30,108,99,132,104,56,18,576,185,488,535,1241,1051,1144,863,313,77,5897,3715,9589,8160,14913,12316,12995,9364,3263,754,75073,0,0,0,0,0,0,0,0,0,0,3209,8270,6243,11695,8890,8441,5311,1671,556,54297,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,6,0,0,6,16,4,15,7,0,0,51,0,3,3,34,8,17,7,0,0,81,0,3,0,0,0,3,0,0,0,7
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,17,23,3,3,5,0,0,54,3,12,29,73,55,39,23,0,0,231,50,56,259,626,282,239,168,43,13,1734,0,0,0,0,0,0,0,0,0,0,32,52,128,215,126,106,73,14,6,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS50,0,0,18,206,150,229,195,144,48,989,38,348,343,1793,534,358,274,120,38,3843,22,25,133,1142,55,53,40,7,0,1474,103,403,534,629,102,54,27,10,4,1870,4,21,57,370,267,287,296,134,29,1457,6,17,62,309,127,56,33,21,3,632,101,530,473,1098,605,575,367,110,35,3888,61,234,610,2435,1484,1132,464,165,58,6647,15,148,202,743,581,452,431,200,79,2851,4,273,687,1734,951,659,234,75,16,4641,447,2529,3955,12766,4624,3339,2295,1187,392,31548,3397,5432,7025,20645,8562,6986,5168,3208,1588,62010,62987,120253,124837,279645,122291,98533,70572,35729,12346,927190,9,108,425,746,179,91,48,17,0,1635,53492,87470,78630,140262,60377,52578,35665,19836,10212,538537,31,121,89,711,74,55,23,5,4,1106,0,10,80,484,303,283,95,53,14,1324,13,21,41,309,114,101,28,15,9,658,37,175,242,1056,409,281,143,59,26,2436,0,29,46,260,165,139,89,36,5,772
SOS51,0,0,0,5,3,9,14,9,3,47,3,26,8,112,49,13,8,5,3,222,3,3,27,173,0,0,0,0,0,209,14,80,94,41,11,0,0,0,0,241,0,0,0,13,7,9,16,6,0,48,0,3,0,16,8,7,4,0,0,39,14,46,34,133,69,79,58,19,5,459,3,20,19,76,50,23,12,3,0,204,0,7,17,60,57,60,56,34,7,290,7,62,102,281,169,118,37,3,0,778,23,156,137,709,323,270,225,115,42,2000,1087,1963,1783,5500,2799,2426,1564,890,331,18360,13624,26417,21350,49575,24641,21181,14920,7227,2384,181308,0,13,18,33,4,0,0,0,0,73,11418,20922,15832,34041,15545,14022,9305,5182,2325,128589,0,5,8,45,6,3,0,0,0,73,0,0,0,14,3,4,3,0,0,29,0,3,3,19,3,5,0,0,0,30,0,25,27,165,54,37,17,3,3,333,0,0,0,22,7,9,0,0,0,42
SOS52,0,0,0,0,0,3,3,0,0,11,0,0,0,10,0,3,3,0,0,23,0,0,3,29,0,0,0,0,0,36,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,13,14,11,6,4,0,55,0,0,0,12,0,3,0,0,0,12,0,0,0,7,7,23,12,3,3,51,4,7,7,13,12,15,9,0,0,69,4,7,13,66,48,52,59,30,10,284,190,360,342,960,581,634,431,250,74,3814,2237,4519,3513,7798,4612,4709,3608,1612,445,33052,0,0,0,0,0,0,0,0,0,0,1904,3826,2787,5767,3046,2971,1968,1072,373,23709,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,3,17,8,10,3,5,3,43,0,0,0,0,0,0,0,0,0,3
SOS53,0,0,0,6,7,9,13,6,0,38,0,0,4,40,15,12,4,0,0,75,0,0,7,41,0,4,0,0,0,47,4,13,10,15,4,0,3,0,0,47,0,0,0,3,3,11,3,3,0,23,0,0,0,5,0,0,0,0,0,13,0,17,20,71,58,68,49,20,3,296,3,7,16,115,60,37,9,3,0,244,0,3,4,33,38,32,28,7,5,144,0,7,9,118,65,69,32,3,3,305,6,25,65,424,274,236,191,55,13,1298,310,734,990,3895,2024,1672,1005,431,78,11152,4221,10271,9615,25838,15848,13957,9278,3230,659,92918,0,0,0,3,3,0,0,0,0,5,3428,8528,5956,12184,8082,7465,4320,1442,368,51782,0,0,0,3,0,0,0,0,0,9,0,0,0,5,4,5,3,0,0,11,0,0,0,5,4,0,0,0,0,10,0,7,10,63,30,45,15,3,0,164,0,0,0,5,0,0,0,0,0,6
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,19,0,0,0,38,17,8,0,0,0,62,0,0,17,245,94,43,8,3,3,408,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,3,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,4,3,3,3,0,0,17,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,13,44,16,17,12,0,0,95,17,16,57,216,104,85,55,7,3,548,81,120,341,1376,638,540,375,58,12,3532,0,0,0,0,0,0,0,0,0,0,56,95,160,447,205,255,140,20,7,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,13,0,0,0,3,0,0,0,0,0,4
SOS60,0,0,0,0,3,9,4,7,0,24,0,3,10,34,10,10,7,8,0,89,0,6,5,34,0,3,0,0,0,46,3,27,23,45,3,6,0,0,0,113,0,0,0,0,0,3,0,0,0,4,0,0,0,4,5,0,0,0,0,18,3,39,30,89,57,56,48,15,3,337,5,3,22,50,12,6,3,0,0,107,0,5,3,10,16,17,19,15,4,94,0,3,9,9,8,14,10,0,0,51,29,95,175,538,215,170,154,127,54,1551,270,448,538,1381,779,792,667,448,177,5496,5313,10830,11540,22185,11089,10747,8176,4416,1652,85960,0,3,13,48,13,3,3,0,0,79,4611,9158,9163,18190,9344,9278,6845,3846,2060,72495,0,3,0,26,0,0,0,0,0,30,0,0,0,13,9,4,3,3,0,33,0,0,0,5,3,0,0,0,0,11,0,3,11,67,34,22,28,0,0,174,0,0,0,19,16,7,3,3,0,57
SOS61,0,0,0,0,4,0,10,10,0,26,0,9,4,39,13,8,0,3,0,83,0,0,0,37,0,0,0,0,0,42,3,13,19,14,3,0,0,0,0,45,0,0,0,0,0,0,3,0,0,3,0,0,0,4,3,3,4,0,0,12,10,25,22,48,32,31,25,16,7,215,3,8,4,29,9,5,0,0,0,51,0,0,0,13,14,20,34,18,9,109,0,0,4,15,16,11,9,3,0,51,12,60,114,326,164,130,124,112,52,1100,281,538,708,1516,979,1058,1084,632,237,7032,5880,12365,12728,21757,12540,12560,10897,5865,1954,96538,0,0,20,51,8,0,0,0,0,74,5405,10911,10804,19713,11439,11108,8966,5292,2650,86289,0,0,3,11,0,0,0,0,0,19,0,0,0,4,3,3,0,3,0,16,0,0,0,5,3,0,0,0,0,7,0,4,5,53,25,23,11,0,0,134,0,0,0,7,7,0,6,0,0,24
SOS62,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,3,12,4,15,11,4,0,60,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,7,4,3,0,23,0,0,0,3,0,3,3,0,0,13,3,5,0,30,15,29,26,18,12,129,30,115,98,219,211,282,236,123,49,1357,804,1860,1521,2974,2091,2610,2280,1021,276,15443,0,0,0,0,0,0,0,0,0,0,720,1642,1261,2694,1721,1991,1500,690,258,12468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,15,7,8,0,0,0,35,0,0,0,0,0,0,0,0,0,3
SOS63,0,0,0,0,0,9,5,3,0,13,0,0,0,4,4,4,3,3,0,17,0,0,0,17,0,0,0,0,0,17,0,3,4,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,10,33,30,43,50,14,3,195,0,0,0,3,0,0,0,0,0,8,0,0,0,10,13,18,23,9,3,72,0,0,0,9,11,6,8,0,0,30,6,18,17,59,56,96,109,53,5,418,138,360,332,844,740,915,647,281,51,4310,2518,6605,5370,9788,8089,9090,6675,2371,466,50967,0,0,0,0,0,0,0,0,0,0,2226,5614,4210,8475,6309,6321,3730,1205,313,38406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,21,15,26,15,3,3,90,0,0,0,3,0,0,0,0,0,11
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,3,25,10,8,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,9,33,9,10,9,3,0,75,27,16,90,207,77,52,48,8,0,524,0,0,0,0,0,0,0,0,0,0,14,13,47,93,42,36,26,3,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS70,0,0,0,3,5,3,3,5,0,22,11,24,24,162,52,21,9,10,4,325,5,5,8,122,4,4,0,3,0,158,20,43,47,67,24,11,4,3,0,211,0,0,0,3,3,3,0,0,0,10,0,0,0,9,5,3,0,0,0,24,12,22,25,76,36,18,22,3,0,216,3,15,31,108,43,39,22,3,0,260,0,0,5,28,14,4,9,3,0,61,3,17,25,95,36,12,0,0,0,183,40,170,179,746,351,241,175,102,17,2021,447,630,884,3131,1116,803,408,119,34,7579,4550,7512,8041,22864,8332,6128,3296,1071,245,62041,0,0,0,3,0,0,0,0,0,4,3722,5373,4753,11043,4151,3075,1448,475,158,34198,4,12,17,79,7,4,0,0,0,137,0,0,0,6,3,4,0,0,0,16,0,3,5,43,10,7,10,0,0,84,0,3,8,70,11,15,10,3,0,123,0,0,0,5,3,3,3,0,0,17
SOS71,0,0,0,0,0,0,4,0,0,5,3,14,7,36,13,6,0,0,0,75,0,0,4,41,0,0,0,0,0,50,0,6,8,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,21,45,45,147,62,49,19,4,0,394,0,3,3,14,12,3,3,0,0,45,0,0,0,0,6,4,0,0,0,12,3,24,12,40,23,10,5,0,0,110,9,26,24,155,67,41,34,6,0,358,194,331,336,857,401,360,185,63,16,2733,2036,3899,3323,7406,3235,2455,1137,344,74,23913,0,0,0,3,0,0,0,0,0,4,1622,2941,2490,5392,2290,1661,676,245,78,17396,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,10,0,0,4,12,6,10,5,0,0,36,0,0,0,3,0,0,0,0,0,6
SOS72,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,0,0,0,11,0,3,3,31,15,10,6,4,0,75,46,94,125,293,172,135,67,18,3,961,1187,2412,2180,3892,1578,1111,493,140,27,13019,0,0,0,0,0,0,0,0,0,0,1108,2136,1978,3560,1431,939,377,123,34,11681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,3
SOS73,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,10,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,10,4,0,0,25,0,3,3,31,35,27,3,0,0,100,0,0,0,3,3,3,0,0,0,13,0,0,0,6,7,7,4,0,0,20,3,4,7,35,30,29,28,7,4,149,122,277,301,745,479,397,207,54,3,2591,1181,2591,2665,5201,2826,2185,1215,306,45,18212,0,0,0,0,0,0,0,0,0,0,1043,2077,1770,3442,1678,1180,580,142,31,11940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,22,0,0,3,5,4,3,0,0,0,16,0,0,0,0,0,4,0,0,0,3
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,44,11,3,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,3,0,0,16,8,10,34,155,90,51,32,9,0,386,45,48,121,438,257,229,174,20,0,1332,0,0,0,0,0,0,0,0,0,0,28,56,33,193,125,132,55,9,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOS80,0,0,3,19,38,51,25,31,3,168,9,93,125,534,236,197,122,50,10,1366,7,8,36,134,21,12,4,0,0,233,18,58,101,196,32,31,12,5,0,439,0,8,7,56,33,52,25,12,0,197,0,3,17,65,25,6,10,4,0,128,56,192,191,408,186,156,107,36,4,1334,13,53,124,533,317,291,81,46,12,1468,0,10,11,57,40,53,44,28,9,246,0,15,51,119,65,33,12,0,0,301,93,429,614,2428,987,796,593,375,125,6439,618,860,1383,3731,1446,1140,928,621,299,11019,13843,24524,28109,61101,24876,19803,13888,6417,2319,194879,3,10,39,93,39,22,8,3,0,210,11771,19369,19930,39125,16685,13396,9094,4199,1916,135475,6,40,55,420,80,47,11,0,0,654,0,0,0,58,45,29,27,16,5,185,6,14,28,98,32,24,19,12,0,224,3,42,47,236,133,87,54,16,6,612,0,11,9,137,78,78,71,21,14,417
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,7,0,26,13,24,23,16,16,14,3,135,0,0,0,0,0,0,0,0,0,0,5,21,17,24,16,18,7,4,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,6,3,11,5,9,0,0,0,39,45,57,52,121,64,50,18,6,0,422,0,0,0,0,0,0,0,0,0,0,19,45,43,97,38,24,14,3,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,0,5,21,9,8,0,0,0,45,5,10,53,131,43,38,15,5,0,312,0,0,0,0,0,0,0,0,0,0,3,7,37,50,13,18,6,0,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
