SOS_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SOS49,4,0,0,0,5,3,0,15,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,4,11,13,5,7,0,4,0,0,0,0,16,59,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,12,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,1785,1999,965,495,400,172,342,15845,146,4075,5212,2919,634,340,436,525,183,381,464,412,319,126,850,17033,0,24,31,51,118,497,1147,721,141,173,184,226,248,151,199,3926,0,0,0,22,249,355,1049,1761,430,438,479,427,467,261,332,6270,3,7,29,175,174,233,150,102,16,20,28,20,16,15,31,1015,59,72,415,1770,3387,6132,4428,4800,1001,1162,1143,1047,1124,733,775,28042,4,205,190,153,68,51,29,25,3,6,0,4,4,0,18,763,12,2598,908,675,689,341,539,433,93,117,109,95,65,32,193,6922,42,101,490,2860,7021,9606,10200,11624,4151,4473,2873,1767,1373,657,1903,59147,0,19,29,110,92,213,519,1146,383,545,575,617,448,304,133,5124,0,5,13,133,1024,2060,1918,7747,2217,2507,1959,1605,1644,952,579,24357,14,373,183,169,1615,1227,354,370,92,116,142,119,100,35,129,5040,44,77,229,1013,1575,2316,3593,2524,399,446,440,488,514,333,341,14321
SOS51,95,149,94,39,29,17,44,1317,32,413,347,156,17,14,25,36,13,24,33,43,28,19,87,1284,0,0,0,3,3,12,61,44,10,12,20,18,24,5,32,252,0,0,0,0,27,12,33,91,10,23,20,21,80,66,83,458,0,0,3,10,4,16,8,5,0,0,0,0,0,0,3,57,5,3,43,78,93,106,79,102,16,26,27,24,20,8,35,648,0,18,20,22,4,0,3,3,0,0,0,0,0,0,0,71,0,469,200,112,103,54,72,76,10,13,16,8,15,0,47,1201,5,28,96,670,1643,2013,2169,2692,802,866,488,357,260,120,563,12778,0,0,0,5,3,8,25,70,9,37,40,24,12,11,3,252,0,3,0,9,182,292,297,1673,358,494,492,387,424,213,154,4986,0,93,23,22,73,38,24,35,6,10,3,5,8,0,15,365,4,9,20,47,49,55,76,55,6,4,4,18,8,4,19,398
SOS52,19,26,10,3,3,3,6,180,3,60,38,10,0,0,4,0,0,0,5,3,4,0,9,150,0,0,0,0,0,0,3,7,0,0,0,0,4,0,0,24,0,0,0,0,0,0,3,3,0,3,0,5,3,3,0,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,13,12,7,9,13,0,0,0,0,0,3,0,71,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,12,0,97,45,37,33,15,12,15,3,0,0,0,4,3,4,266,0,3,22,120,341,359,328,261,65,87,61,35,49,17,100,1849,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,0,0,0,0,28,30,37,151,56,87,86,45,74,31,28,660,0,6,0,0,9,7,3,0,0,0,0,0,0,0,0,34,0,0,4,14,3,3,16,13,0,0,0,3,0,0,0,49
SOS53,63,72,16,13,4,0,35,638,13,218,234,108,13,10,14,18,3,7,7,7,9,9,34,701,0,0,0,0,0,6,18,12,0,3,0,0,4,0,14,73,0,0,0,0,5,11,34,21,0,0,3,0,3,3,11,94,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,21,3,7,13,50,39,50,36,29,8,7,7,13,5,4,48,328,0,14,13,15,4,0,0,0,0,0,0,0,0,0,5,53,0,264,97,76,86,43,58,27,3,9,8,8,10,0,26,713,8,11,57,368,869,916,961,812,243,230,115,102,81,21,358,5145,0,3,4,3,6,3,3,9,3,4,3,0,0,0,11,47,0,0,0,5,41,66,84,198,58,89,66,77,58,34,38,811,0,7,9,7,48,29,5,13,0,0,0,0,0,0,9,131,3,8,14,28,17,35,47,24,4,3,11,6,0,0,15,202
SOS57,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,12,3,3,0,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,3,3,0,0,3,9,0,49,0,0,4,0,0,0,0,0,3,0,0,3,10,4,8,33,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,18,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,3,3,4,4,8,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,7,0,3,0,3,0,0,0,0,0,9,4,0,34,0,0,0,22,32,36,33,43,13,17,8,6,3,4,42,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,3,0,5,0,0,3,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,12
SOS60,17,8,8,5,3,3,11,283,6,89,214,73,11,12,12,3,0,4,5,4,0,4,33,470,0,3,5,5,15,32,60,54,14,10,7,10,17,11,16,246,0,0,0,3,18,50,68,99,6,18,7,21,24,17,21,357,0,3,3,11,16,6,4,0,0,0,3,0,0,0,0,49,0,8,29,41,48,62,115,84,19,50,49,48,90,102,24,770,0,13,11,7,3,4,0,0,0,0,0,0,0,0,0,32,0,244,159,39,55,22,34,15,3,7,0,4,3,0,15,595,13,23,71,189,320,287,267,135,29,33,28,30,18,18,64,1527,0,0,0,0,3,5,11,37,14,31,36,41,41,17,7,234,0,0,3,18,68,136,100,139,24,32,17,23,38,13,22,640,0,64,56,24,79,59,18,22,0,3,0,5,3,3,17,347,6,3,9,15,14,17,46,29,12,25,28,23,36,35,13,308
SOS61,5,3,5,17,0,3,3,210,0,63,114,34,10,3,5,3,0,3,0,0,0,0,18,250,0,0,0,0,5,10,17,18,3,4,3,7,3,5,3,84,0,0,0,3,4,18,33,34,4,10,4,11,19,14,15,176,0,0,0,9,8,5,0,0,0,0,0,0,0,0,0,19,3,0,10,26,26,26,45,61,24,38,42,62,94,65,18,538,0,12,6,10,6,0,0,0,0,0,0,0,0,0,0,36,3,382,287,73,83,19,31,9,4,6,0,0,0,0,24,925,9,20,63,235,387,353,315,164,42,29,23,23,22,20,78,1784,0,0,0,0,0,4,3,13,6,14,7,15,26,9,0,98,0,0,3,7,82,125,138,133,35,32,30,26,25,21,29,683,0,34,12,3,38,26,7,6,4,3,0,0,0,0,5,139,3,0,5,17,7,7,15,20,5,4,7,11,31,22,4,168
SOS62,0,0,0,0,0,0,0,31,0,3,10,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,13,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,0,3,5,0,0,0,0,3,0,0,28,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,52,45,25,11,6,10,0,0,0,0,0,0,0,3,148,0,0,11,75,86,64,61,22,7,13,3,4,0,0,20,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,10,12,6,4,8,7,3,4,3,79,0,0,3,0,8,3,0,0,0,0,0,3,0,0,0,18,0,0,0,3,4,0,10,0,0,0,0,0,0,0,0,23
SOS63,7,0,4,4,3,0,4,150,0,22,35,8,10,3,0,8,0,0,6,0,0,0,9,92,0,0,0,0,0,11,15,8,0,3,0,4,7,3,4,62,0,0,0,0,0,3,11,5,3,3,0,3,0,18,5,51,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,14,3,12,13,8,0,3,0,0,0,3,0,71,0,9,10,12,0,0,0,0,0,0,0,0,0,0,0,37,0,147,128,57,64,32,52,27,0,0,0,3,3,0,15,521,6,6,45,174,294,265,272,77,16,22,22,17,28,8,43,1289,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,14,0,0,0,4,23,28,32,53,8,5,15,17,14,8,14,216,0,10,0,4,35,12,7,0,0,0,0,0,0,0,0,67,0,3,11,13,3,5,11,10,0,0,4,3,4,0,0,68
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SOS70,152,130,67,47,39,23,24,832,0,32,77,63,15,12,16,34,6,12,23,16,12,4,19,345,0,0,3,7,5,21,37,29,3,14,20,69,105,45,38,387,0,0,0,0,14,22,55,83,10,11,13,21,32,17,22,312,0,0,0,3,9,3,5,9,3,3,5,0,0,0,4,44,3,0,23,72,123,92,58,76,21,6,23,17,19,18,12,581,0,9,0,9,3,0,0,4,0,0,0,0,0,0,0,19,0,39,45,23,21,13,19,23,4,4,4,3,18,0,12,228,4,6,43,223,487,421,435,350,94,143,98,63,51,35,100,2557,0,0,3,5,9,10,14,88,22,39,31,29,30,22,10,308,0,0,3,43,288,443,388,1506,289,389,391,340,344,224,165,4823,0,4,4,3,18,15,10,6,0,3,0,3,3,7,4,84,0,0,8,47,32,41,33,23,8,6,4,13,9,6,18,252
SOS71,8,7,4,4,0,0,0,107,0,14,20,10,3,0,4,11,3,0,8,3,5,3,7,86,0,0,0,0,0,4,10,5,0,0,0,5,8,3,4,40,0,0,0,0,3,6,3,13,3,3,3,5,8,7,4,58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,14,11,11,3,6,0,3,0,0,0,3,57,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,10,11,10,3,13,12,4,0,0,0,0,0,3,89,0,0,8,76,153,139,166,178,57,96,88,83,80,41,58,1224,0,0,0,0,0,0,0,21,3,4,3,4,0,0,0,41,0,0,0,0,44,116,86,210,64,51,55,62,56,18,36,796,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,18,0,0,0,5,0,3,3,9,0,0,3,0,0,0,0,30
SOS72,6,0,0,0,0,0,0,21,0,3,0,0,0,3,0,3,0,0,0,0,3,5,10,32,0,0,0,0,0,0,6,6,0,0,0,0,6,0,4,21,0,0,0,0,0,0,0,3,3,0,0,0,3,6,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,4,16,52,29,41,50,13,11,6,12,12,4,23,274,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,8,7,10,14,4,8,3,5,4,7,3,74,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SOS73,0,0,3,3,3,3,3,49,0,0,9,11,0,0,0,0,0,0,0,0,0,0,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,4,3,0,0,0,0,3,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,11,3,0,0,0,0,0,0,0,0,4,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,16,11,3,0,5,5,0,0,0,0,7,0,10,70,0,0,10,63,143,89,80,54,6,14,13,6,4,6,30,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39,20,24,13,7,12,8,13,3,17,197,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,3,0,0,0,0,0,0,0,3,0,0,16,0,0,0,16,7,10,9,9,3,0,4,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
SOS80,78,67,41,19,8,7,15,844,12,320,713,423,98,61,62,49,21,37,17,23,30,6,75,1939,5,16,13,30,54,87,223,141,30,26,22,33,30,30,56,791,0,0,0,19,92,207,499,600,135,175,135,122,115,90,97,2283,0,5,10,72,82,106,54,37,6,7,0,9,6,0,12,399,11,12,118,310,370,419,295,237,64,91,76,116,137,113,67,2430,0,83,78,62,15,15,3,15,0,3,0,0,0,0,9,283,0,336,269,103,77,45,60,63,16,14,13,7,18,10,15,1041,25,50,176,523,794,784,910,457,184,188,168,110,125,64,160,4715,0,4,3,17,25,123,419,468,109,150,189,173,191,88,44,1993,0,3,20,101,300,650,560,757,208,229,221,267,238,153,88,3790,0,80,90,52,268,255,67,52,3,15,6,13,6,3,23,942,7,6,44,134,97,123,182,115,26,32,42,35,87,76,21,1028
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,151,65,22,27,3,7,4,3,0,9,14,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,7,3,3,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,6,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,17,0,3,0,0,0,0,0,0,0,0,42
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,6,3,0,0,0,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,25,19,18,22,7,0,0,0,4,3,5,34,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,8,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,28,30,22,28,9,0,0,3,0,4,0,49,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
