SOS_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SOS52,0,0,6,16,32,35,122,119,22,26,12,19,7,18,9,436,0,5,3,3,6,3,0,9,3,0,0,0,0,0,5,32,0,0,0,0,3,8,20,11,4,8,4,7,7,4,5,77,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,238,495,1568,528,379,357,280,57,65,55,57,21,13,167,4294,0,3,11,27,10,10,23,19,0,0,3,0,4,3,8,122,0,0,0,0,3,8,3,4,0,3,4,0,0,0,4,38,0,0,8,3,11,16,32,26,0,4,0,7,0,9,0,120,0,38,66,144,71,75,78,85,15,27,21,27,52,42,71,818,29,557,780,2103,1170,1014,1129,1146,304,382,306,260,273,167,468,10075
SOS53,0,3,21,66,146,129,406,444,48,67,49,42,16,16,40,1493,0,4,0,5,6,11,8,17,4,0,0,0,0,3,46,102,0,0,0,4,15,25,45,46,8,9,9,3,22,6,24,209,0,8,5,9,0,7,0,0,0,0,0,0,0,0,8,32,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,12,25,530,1346,4033,1561,1466,1400,1076,175,198,157,77,88,28,545,12696,0,7,28,100,70,68,85,58,20,18,22,26,15,5,18,539,0,3,0,3,78,85,34,38,5,12,6,3,0,7,98,382,0,0,9,14,113,57,132,107,17,17,12,9,10,0,17,520,0,91,205,548,314,328,416,348,59,84,69,83,93,47,334,3021,62,1401,2273,5862,3751,3647,4132,3782,776,908,620,531,510,233,2003,30491
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,11,13,0,3,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,5,0,0,0,22,0,0,0,10,11,16,31,26,8,17,0,17,9,3,18,168
SOS59,0,0,0,0,7,4,18,8,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,42,96,33,51,20,24,9,3,11,20,36,43,52,446,0,0,0,0,0,3,0,0,0,4,0,3,4,3,3,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,9,0,0,11,14,18,16,15,21,4,5,3,19,29,40,41,242,0,42,75,143,109,141,125,137,35,51,50,82,128,158,211,1484
SOS60,3,3,39,47,84,92,171,154,25,15,9,11,8,17,17,697,0,3,8,8,3,32,27,34,13,23,3,3,4,9,9,179,0,0,0,3,5,32,64,103,13,23,21,24,14,11,19,336,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,3,12,4,3,3,0,0,0,0,0,0,33,42,752,1430,2237,786,512,572,391,105,79,63,58,49,38,234,7341,0,7,19,92,62,85,158,102,19,21,25,39,31,16,15,687,0,0,0,5,29,27,21,32,11,17,25,16,34,22,7,243,0,0,3,3,16,16,22,34,0,0,0,4,3,0,0,109,5,186,247,386,228,404,617,773,215,228,343,289,285,220,159,4592,88,1769,2796,3705,2140,2278,3054,3393,749,895,1068,1189,1304,953,967,26346
SOS61,3,0,22,32,51,64,81,133,9,19,3,6,12,6,6,446,0,0,0,5,9,11,8,42,3,25,21,7,14,17,3,170,0,0,0,0,12,24,47,49,10,12,19,0,6,8,4,192,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,9,0,7,0,0,0,0,0,0,0,27,33,907,1656,2847,804,431,382,322,55,39,32,44,21,3,287,7875,0,10,15,82,35,45,69,72,19,25,15,7,29,10,7,433,0,0,0,0,9,4,9,23,3,13,9,11,32,4,5,131,0,0,4,8,11,11,30,19,0,4,3,3,0,5,0,100,5,134,229,329,156,179,322,586,189,153,264,250,143,149,149,3234,67,1797,2707,4013,1942,1588,1886,2203,505,538,671,687,673,513,781,20571
SOS62,0,0,5,3,15,12,16,4,15,0,4,0,0,0,3,75,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,6,0,0,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,174,339,564,218,128,107,62,17,7,9,7,7,8,53,1691,0,0,3,18,25,7,28,15,3,4,0,3,0,3,6,110,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,3,0,13,7,0,0,0,0,0,0,0,20,0,23,47,65,38,32,34,31,10,3,15,16,13,3,7,324,13,300,534,828,469,319,350,194,54,43,40,42,33,34,111,3363
SOS63,0,3,18,24,39,46,85,57,0,0,11,5,9,0,5,300,0,0,3,3,7,0,6,4,0,4,0,0,0,0,0,31,0,0,0,0,3,3,11,22,3,0,5,0,3,3,3,56,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,10,7,384,952,1741,632,437,407,311,37,23,15,16,13,11,201,5201,0,0,15,77,60,53,72,51,7,4,8,12,8,9,5,390,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,14,0,0,3,6,20,5,16,4,0,4,0,0,0,0,0,61,3,57,147,213,140,123,115,71,12,19,20,22,31,15,48,1042,30,760,1546,2578,1509,1181,1264,811,116,120,132,132,136,86,405,10798
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,3,0,3,3,0,0,0,6,18
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,6,4,3,0,0,0,3,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,21,0,7,7,16,10,12,12,13,3,7,4,11,13,14,14,139
SOS70,0,0,7,14,22,38,145,154,49,30,27,18,27,31,14,574,0,0,3,19,36,63,49,135,33,54,57,58,51,49,17,626,0,0,0,14,56,105,137,170,35,29,27,55,33,18,49,731,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,3,4,8,0,0,0,5,5,0,3,41,4,142,491,886,368,323,429,543,158,212,189,164,199,103,164,4390,0,0,5,39,39,35,65,59,23,27,25,19,38,21,10,409,0,0,0,3,120,126,74,94,16,32,41,34,28,16,26,616,0,0,7,3,10,10,73,144,14,28,15,32,16,8,17,375,5,52,114,630,779,579,752,1341,247,280,473,401,544,338,306,6842,21,424,1181,2654,2890,2909,3642,7047,1540,1880,1954,1875,2129,1299,1251,32703
SOS71,0,0,0,3,4,8,44,59,21,6,7,7,6,4,0,187,0,0,3,0,0,8,15,30,5,18,18,8,17,8,0,138,0,0,0,0,9,6,20,32,7,6,6,6,3,5,3,103,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,47,165,301,114,75,97,96,26,34,36,23,21,8,30,1066,0,0,3,25,18,34,92,47,25,65,43,119,144,83,16,706,0,0,0,0,14,10,9,18,10,4,9,5,3,0,4,97,0,0,0,3,4,8,32,90,17,21,9,12,14,4,4,225,0,10,20,83,89,102,199,238,57,45,35,53,70,46,71,1124,0,124,292,600,548,617,978,1618,375,471,406,492,538,321,304,7702
SOS72,0,0,0,0,4,3,6,19,0,0,8,0,3,5,4,57,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,6,8,3,3,0,3,0,5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,60,26,20,20,24,0,3,3,4,12,3,18,237,0,0,0,6,0,4,4,5,3,3,0,0,0,0,3,33,0,0,0,0,3,0,5,0,0,0,3,3,4,3,0,15,0,0,0,0,0,3,9,8,0,0,0,0,0,0,0,21,0,0,9,34,15,22,32,51,12,9,11,12,24,11,13,260,0,29,66,150,122,112,179,245,53,60,58,50,75,61,105,1378
SOS73,0,0,0,0,12,7,21,16,3,0,0,0,0,0,0,67,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,11,17,10,11,0,7,7,3,5,3,10,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,57,149,229,80,82,82,76,10,16,4,18,16,9,57,888,0,0,5,12,5,3,12,8,0,0,3,4,3,0,6,57,0,0,0,3,44,54,17,20,3,12,21,6,0,4,12,201,0,0,3,0,8,3,18,12,8,0,0,0,0,0,0,50,0,10,34,89,72,49,30,44,5,9,16,10,23,16,46,448,3,114,260,518,458,394,367,335,64,75,93,82,102,59,248,3169
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33,11,53
SOS79,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,24,6,8,14,3,0,0,3,11,18,11,8,138,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,3,0,0,10,17,11,9,67,0,15,23,51,35,35,30,29,15,7,15,26,57,33,31,402
SOS80,3,18,57,99,181,203,512,388,127,112,77,89,81,28,29,1999,0,4,39,106,201,646,508,615,118,122,106,94,110,57,32,2769,0,0,8,43,118,169,280,288,48,58,77,66,80,27,47,1302,0,3,14,132,43,94,51,28,4,11,3,7,3,0,9,405,0,3,8,29,29,33,53,41,3,11,10,3,6,5,8,231,69,1157,2801,4131,1725,1333,1420,1081,348,341,207,243,191,89,373,15499,7,21,60,325,287,355,476,350,139,117,113,157,170,131,64,2767,0,5,4,93,928,811,376,448,85,88,95,127,105,84,79,3340,0,0,18,13,61,42,151,222,32,16,12,24,21,5,7,626,18,507,1162,2333,1859,2672,3548,3115,580,682,882,914,955,699,510,20428,183,3639,7124,11129,9126,12425,16430,16060,3579,3888,4084,5076,5626,3651,2893,104916
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,12,7,4,6,3,3,0,0,0,0,0,0,0,40
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,3,0,0,0,0,0,0,0,22,0,3,10,13,7,14,12,13,0,3,0,4,3,4,3,86
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,0,3,0,4,32,0,3,9,7,13,7,10,18,5,4,3,7,14,12,6,130
SOS91,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,3,8,0,0,0,0,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,4,0,0,0,0,3,5,0,30,0,3,10,76,192,94,51,66,15,10,15,15,11,14,28,615
SOS92,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,4,7,3,5,3,0,0,0,0,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,4,23,0,7,20,35,37,34,49,54,9,3,7,13,15,11,47,331
SOS93,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,4,0,0,0,0,0,0,3,23,51,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,3,0,69,81,0,14,20,39,46,38,37,23,0,5,4,9,11,3,263,507
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,3,0,4,0,3,0,0,0,0,0,3,3,8,22
