RA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,5545,459,712,438,37,7193,12066,1022,1883,99,45,15110,3777,1469,4468,38,31,9785,1201,614,687,7,9,2518,2155,640,1237,50,34,4122,114,51,34,0,3,205,1326,144,580,88,41,2181,158,37,72,11,8,286,8728,2956,7086,200,129,19096,129,37,37,17,10,226,765,166,350,100,38,1420,27239,4646,10062,850,256,43043
RA73,1730,140,21,331,54,2272,3190,513,37,132,35,3904,886,767,223,40,14,1933,1089,312,101,21,14,1542,606,223,52,66,27,976,306,44,11,4,18,388,827,271,84,124,31,1336,153,35,8,13,10,215,3858,1647,481,279,117,6390,81,23,4,20,3,129,337,88,35,70,39,571,9192,2413,578,824,248,13262
RA74,288,9,7,179,12,493,190,3,11,23,0,226,125,13,44,3,0,187,3176,362,140,25,9,3718,131,8,36,23,0,200,680,50,26,8,3,773,1297,241,399,84,20,2034,276,39,14,15,3,351,5689,715,661,151,41,7254,165,11,3,33,7,220,338,58,47,109,8,561,6667,796,725,500,65,8752
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,31594,4906,1906,69,50,38521,42558,7688,4421,26,31,54735,7827,6017,9377,9,62,23283,4461,2469,1621,3,17,8566,4900,2434,2688,8,43,10075,230,230,179,3,17,655,1442,382,365,47,13,2244,280,112,70,0,0,466,19133,11634,14303,65,156,45293,333,387,223,0,7,955,1723,661,551,22,24,2977,95345,25278,21404,184,274,142479
RA81,30,0,0,0,0,30,99,0,0,0,0,100,0,0,0,0,0,3,14,0,0,0,0,14,25,0,0,0,0,25,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,5,49,0,0,0,0,50,3,0,0,0,0,3,4,0,0,0,0,4,173,0,0,3,0,182
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,5,0,0,0,0,11,0,0,0,0,0,0,21,0,0,0,0,21,21,0,0,0,0,21,0,0,0,0,0,0,64,0,3,0,0,69,3,0,0,3,0,6,6,0,0,3,0,11,80,0,4,7,3,86
RA94,352,14,27,3,3,399,282,11,11,0,3,297,60,0,3,3,0,72,52,26,29,0,0,104,129,16,13,3,0,161,4,0,0,0,0,4,70,16,25,0,0,110,29,0,3,0,0,39,350,58,66,10,5,488,39,0,0,0,0,39,33,4,10,0,3,49,1048,87,110,13,15,1270
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
