RA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,498,243,181,54,108,15,1098,204,106,78,32,74,8,504,460,218,209,71,143,9,1102,327,255,192,74,134,13,999,668,605,383,215,260,28,2166,889,1090,500,338,332,23,3170,1083,1555,586,392,336,24,3971,1307,1929,648,432,316,31,4653,1108,1890,529,293,230,19,4074,1049,1909,506,244,198,34,3941,616,1196,275,118,77,19,2308,819,1529,375,107,94,19,2935,264,575,122,34,25,7,1018,171,316,64,21,23,0,585,394,731,211,43,53,7,1444,410,769,245,44,26,5,1504,157,258,71,7,14,5,518,68,171,46,7,3,0,302,317,398,197,80,95,10,1096,10806,15742,5426,2603,2529,280,37383
RA62,294,167,97,29,42,3,637,170,57,50,15,23,0,320,325,144,126,52,52,9,717,325,195,119,60,66,4,760,512,405,211,132,120,3,1384,615,664,272,148,158,5,1871,685,865,284,167,117,11,2132,610,849,240,120,87,4,1905,467,714,198,81,66,6,1536,409,662,195,57,43,3,1370,181,354,81,26,8,4,650,304,398,143,35,24,3,907,103,147,32,15,6,3,308,46,75,30,10,8,0,162,140,189,61,18,11,0,422,120,193,59,16,6,0,392,62,44,12,3,0,0,124,40,48,13,0,0,0,106,280,202,110,28,39,3,667,5691,6380,2336,997,869,75,16355
RA63,13,8,4,0,0,0,28,7,8,0,4,0,0,18,23,16,5,7,3,0,61,17,18,7,3,3,0,44,27,29,3,6,0,0,70,26,24,4,7,5,0,69,22,30,3,7,6,0,62,16,20,3,3,0,0,45,10,15,3,0,3,0,26,12,10,3,0,0,0,31,3,5,0,0,0,0,16,9,7,3,0,0,0,25,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,5,3,3,0,0,0,0,10,3,0,0,0,0,0,3,0,3,0,0,0,0,3,11,12,5,0,3,0,27,227,207,47,35,28,3,540
RA64,12,4,0,0,0,0,18,3,0,0,0,0,0,3,7,3,0,0,0,0,12,3,3,0,0,0,0,13,12,6,0,0,0,0,19,10,6,0,3,0,0,17,3,4,0,0,0,0,11,7,8,3,0,0,0,16,6,3,0,0,0,0,8,3,3,0,0,0,0,5,4,3,0,0,0,0,5,3,0,3,0,0,0,7,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,5,3,0,0,0,0,0,7,75,49,13,10,6,0,153
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,101,78,44,14,23,3,270,23,13,10,10,4,0,59,63,36,20,6,14,0,141,50,28,26,8,11,7,133,79,56,49,19,31,5,231,122,91,59,25,18,6,326,173,160,82,38,61,6,523,194,194,108,57,38,5,596,194,220,85,56,55,4,622,254,287,113,72,74,14,811,223,281,89,51,39,13,692,393,565,204,79,66,6,1310,182,319,59,50,35,6,644,179,301,66,34,16,7,596,528,810,195,78,59,13,1688,738,1257,274,111,62,13,2451,244,428,123,38,24,3,853,136,232,76,17,14,3,479,177,199,102,31,34,12,553,4053,5553,1780,799,669,132,12982
RA73,33,15,3,5,5,0,60,0,3,3,3,0,0,13,11,8,7,3,0,0,39,12,8,3,12,7,0,46,37,17,11,7,9,3,80,43,39,27,11,9,0,117,58,37,29,18,14,0,159,91,70,29,25,24,0,243,75,91,36,21,10,0,228,103,138,32,35,20,7,333,61,107,27,18,9,3,231,128,187,44,27,19,0,405,54,91,19,13,4,0,172,49,75,17,9,0,0,153,79,169,33,20,6,4,307,93,179,34,7,13,0,332,29,47,18,0,4,0,95,23,23,8,0,3,0,56,40,48,9,8,6,0,110,1011,1358,379,248,156,23,3180
RA74,0,3,3,0,0,0,11,0,0,0,0,0,0,5,7,9,3,10,0,0,21,4,0,0,0,0,0,9,5,6,0,0,0,0,8,7,5,0,0,0,0,15,8,11,0,3,0,0,20,4,11,0,0,0,0,19,13,7,0,5,0,0,22,9,15,0,0,0,0,26,3,3,0,3,0,0,10,9,0,0,0,0,0,6,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,4,0,0,0,0,0,4,3,0,0,0,0,0,3,4,3,0,0,0,0,8,73,81,10,23,6,0,195
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,566,439,306,52,79,25,1469,148,99,89,12,20,4,368,248,168,150,45,63,4,677,179,178,118,27,62,5,576,301,266,229,53,117,11,972,432,425,276,103,145,15,1397,546,647,359,135,205,20,1913,592,820,356,145,190,21,2122,724,1081,341,181,189,32,2543,923,1402,441,259,231,35,3294,837,1467,356,214,177,42,3093,1515,2712,797,300,297,43,5661,765,1603,294,161,126,17,2970,563,1285,245,96,64,11,2269,1258,2790,642,199,160,33,5084,1449,3673,906,193,178,33,6436,525,1174,376,65,50,6,2195,331,796,269,42,27,3,1467,344,602,224,64,78,22,1333,12244,21617,6777,2346,2450,389,45818
RA81,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,0,0,5,0,9,0,0,0,0,10,3,3,0,0,0,0,10,0,3,0,0,0,0,3,3,4,0,0,0,0,13,5,9,7,0,0,0,20,0,4,0,0,0,0,3,3,6,0,0,0,0,7,3,3,0,0,0,0,4,29,48,10,5,3,0,96
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,8,3,0,0,0,0,12,3,0,0,0,0,0,5,3,0,0,0,0,0,8,3,3,0,0,0,0,3,3,4,0,0,0,0,10,11,4,0,0,0,0,19,11,15,0,0,3,0,30,11,10,0,0,0,0,22,11,9,3,0,0,0,18,11,16,0,3,4,0,31,6,6,0,0,0,0,14,0,11,4,3,0,0,21,3,3,3,0,0,0,7,0,3,0,0,0,0,3,3,6,0,0,0,0,9,3,6,5,3,0,0,9,0,3,0,0,0,0,3,0,0,0,0,0,0,3,6,4,0,0,0,0,10,91,111,14,16,12,0,253
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
