RA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA62,77235,77566,154807,4012,3828,7843,9701,9048,18755,4771,4367,9138,3745,3391,7133,6781,7298,14084,8029,8718,16750,10930,11516,22450,12634,12615,25248,10595,10097,20696,4788,4852,9637,1243,1837,3080,71409,72540,143944,5827,5031,10860,4341,4495,8838,213,189,401,163,185,341,4713,4869,9589,62980,63078,126065,7649,7992,15637,70381,70562,140943,1511,1855,3364,69507,69886,139391,604,549,1152,8647,8105,16758,3121,3079,6195,509,649,1157,1046,2381,3428,16659,21016,37672,5394,6265,11663,23735,21618,45353,7091,6170,13259,4069,3163,7232,207,139,341,69111,70063,139178,5913,5666,11574
RA63,3969,3711,7681,215,203,421,407,402,811,143,141,282,156,156,313,378,409,788,405,393,793,616,536,1152,748,677,1419,616,507,1116,243,222,466,53,69,121,3595,3347,6941,376,360,736,219,212,426,23,15,36,16,11,27,252,240,490,3140,2929,6069,412,389,804,3506,3275,6787,119,115,232,3470,3195,6663,44,38,79,363,341,701,79,73,157,8,16,32,48,94,146,866,928,1792,272,287,553,1226,1073,2306,357,263,617,200,144,338,10,14,30,3379,3143,6525,766,573,1337
RA64,1298,1189,2487,76,61,141,128,113,238,51,31,84,62,45,100,133,145,273,130,122,243,175,169,345,242,223,469,199,154,356,85,86,171,21,34,59,1163,1044,2210,128,143,273,88,85,180,3,0,3,0,0,0,95,84,182,1050,945,1991,142,138,278,1171,1053,2222,42,37,83,1156,1032,2185,10,9,13,117,91,205,26,14,40,6,8,11,8,24,38,333,387,720,100,102,209,397,296,695,87,62,153,54,44,98,0,0,0,1147,1008,2155,139,134,268
RA65,49,21,68,0,0,0,0,0,0,0,0,0,6,4,8,15,3,23,5,0,5,10,3,15,8,4,12,4,3,7,0,0,0,0,0,0,46,18,65,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,16,49,15,3,18,37,18,60,9,0,10,34,19,51,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,18,11,25,8,4,10,16,4,22,0,0,0,0,0,0,0,0,0,0,0,0,471,218,691
RA69,524,393,912,27,20,40,16,22,36,34,33,62,56,29,90,120,69,183,93,54,147,77,59,135,52,56,113,48,38,84,8,5,12,0,0,3,0,0,0,524,393,912,34,22,54,4,0,4,3,0,3,34,22,55,376,286,659,72,66,139,378,300,680,31,31,67,363,301,666,3,9,11,12,18,33,10,21,28,4,6,9,15,15,28,141,149,296,32,24,62,121,85,209,37,23,51,19,13,34,0,0,3,0,0,0,0,0,0
RA72,71889,64939,136828,5137,5018,10155,8931,8444,17377,4039,3560,7600,5198,4355,9555,14046,12810,26858,11472,10315,21789,10094,8858,18951,7434,6612,14042,4021,3393,7413,1246,1226,2470,273,356,626,67703,61814,129513,4189,3126,7314,5448,5080,10533,278,235,509,466,459,923,6186,5771,11960,45391,40447,85840,17484,17493,34979,48748,44199,92942,13639,14079,27712,53998,49721,103721,908,917,1822,7816,7406,15222,2514,2377,4895,890,1157,2052,2367,4279,6649,26831,28033,54868,7133,5570,12697,10336,7759,18097,2340,1911,4245,1734,1658,3390,315,359,670,59309,57794,117096,18870,11348,30210
RA73,22707,21919,44625,1706,1579,3284,3173,2957,6131,1449,1201,2654,1502,1352,2856,3766,3899,7662,3111,3185,6297,3341,3390,6726,2726,2600,5327,1415,1184,2596,428,423,850,84,152,238,21086,20493,41578,1617,1427,3044,5861,5877,11741,54,55,109,114,105,225,6033,6041,12069,15682,15014,30695,3808,3949,7762,13983,13463,27448,4874,5335,10213,17089,16867,33951,293,320,606,2603,2454,5061,748,639,1383,123,174,299,562,1149,1713,6262,7433,13696,2211,1986,4195,3426,2996,6426,1050,919,1969,1034,886,1924,204,195,400,17811,18060,35875,8366,7227,15590
RA74,22585,22235,44819,2125,1989,4112,4307,3911,8220,1965,1819,3788,2040,2000,4044,3936,4090,8029,3030,3105,6136,2541,2617,5159,1715,1766,3483,703,667,1371,195,224,411,30,36,68,21147,20689,41838,1439,1544,2987,16199,16660,32860,64,56,117,256,281,540,16517,16998,33516,19851,19749,39598,1107,1109,2211,5733,5128,10855,14283,14857,29143,20292,20231,40521,457,465,923,3601,3364,6964,652,625,1274,67,86,151,294,543,837,3607,4096,7697,1633,1902,3540,3160,2965,6127,1671,1576,3249,2597,2576,5167,560,557,1121,19510,19666,39180,6861,5066,11926
RA75,61,14,70,0,0,0,0,3,3,0,0,0,4,0,3,23,3,30,16,0,19,11,0,9,3,0,3,0,0,0,0,3,3,0,0,0,61,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,16,47,3,53,16,10,27,37,3,37,11,7,21,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,42,3,42,0,3,6,5,3,8,8,0,8,0,0,0,0,0,0,0,0,0,185,68,252
RA79,1332,1157,2489,45,34,81,48,76,123,16,17,32,98,85,183,219,239,457,215,180,396,257,203,461,229,212,438,174,105,278,20,10,38,0,0,0,0,0,0,1332,1157,2489,381,297,683,5,4,11,4,3,7,394,305,696,750,630,1379,191,209,402,720,642,1364,234,218,455,945,813,1750,0,0,4,33,44,84,14,9,18,18,3,21,20,16,33,304,348,654,97,78,170,262,175,434,81,60,144,80,44,124,15,7,19,0,0,0,0,0,0
RA80,195078,201114,396195,13861,12875,26730,24559,23005,47562,12323,12100,24420,15810,15511,31319,32326,33586,65909,28816,29363,58180,24909,25910,50816,19825,21533,41358,13914,15485,29400,6436,7911,14346,2316,3837,6150,185110,191440,376543,9976,9678,19651,3065,3038,6098,88,92,183,91,93,184,3246,3221,6465,133519,135638,269161,50526,54442,104970,142562,145519,288077,41422,45126,86552,165137,169867,335011,2416,2303,4715,23100,21763,44862,9876,9947,19827,7899,8263,16164,9972,12714,22688,109681,113768,223445,7823,7682,15503,19179,22174,41351,5134,5709,10846,3419,4337,7753,615,781,1398,176408,183089,359492,18653,16925,35578
RA81,347,311,657,34,15,56,50,48,98,21,25,50,19,17,31,48,55,105,57,60,118,55,47,96,38,32,72,16,9,27,6,4,8,0,3,3,329,301,623,20,15,32,5,0,12,0,0,0,0,0,0,5,0,12,285,239,528,25,42,67,297,262,563,17,14,34,304,263,572,11,0,9,42,42,87,15,21,36,6,5,16,3,16,27,149,158,303,20,10,32,53,40,92,10,8,17,7,0,8,0,0,0,286,254,544,80,63,144
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12
RA89,312,228,538,5,6,12,10,12,22,16,20,35,36,42,79,63,44,108,67,40,107,43,26,68,38,34,78,15,9,24,5,4,8,0,3,3,0,0,0,312,228,538,13,12,29,0,0,0,0,0,0,15,12,33,209,144,351,58,65,130,190,160,355,42,41,82,208,166,372,3,0,5,10,12,20,3,13,16,17,11,29,20,21,42,120,138,257,11,10,20,63,23,86,17,10,23,8,5,12,3,0,3,0,0,0,0,0,0
RA91,216,172,391,15,18,32,32,23,53,15,19,35,28,7,39,40,23,61,25,36,58,34,23,59,21,18,33,9,12,15,8,0,6,0,0,0,213,173,380,9,3,12,98,103,201,0,0,0,0,0,0,97,107,207,158,140,299,21,11,30,156,119,277,23,26,48,180,146,327,0,3,3,23,13,36,9,7,16,4,0,4,6,3,10,68,49,117,14,12,20,29,26,52,11,8,19,8,4,17,4,0,4,145,147,295,187,62,248
RA94,2215,1916,4133,122,105,234,254,244,496,90,84,173,104,53,161,288,221,507,323,253,576,334,314,651,339,325,661,253,193,444,90,90,179,28,29,51,2077,1786,3867,139,125,263,8,11,11,8,4,12,0,0,0,13,10,25,1143,1066,2210,804,626,1427,719,690,1411,1032,1039,2068,1512,1424,2942,34,26,63,216,210,430,57,55,109,5,8,11,29,48,76,623,713,1333,124,107,235,362,332,694,80,51,133,111,71,181,66,74,141,1562,1586,3151,898,575,1476
RA95,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,17,3,19
RA99,21,28,55,0,0,3,0,3,3,0,3,3,6,4,10,0,0,0,4,5,5,3,4,9,3,4,11,6,6,13,0,0,0,0,0,0,0,0,0,21,28,55,3,0,3,0,0,0,0,0,0,3,0,3,14,15,24,9,17,22,20,21,40,5,10,10,16,19,39,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,16,25,0,3,3,6,10,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
