RA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
RA62,356,545,481,726,1009,1560,962,3230,138,9006,435,795,1076,1229,1506,1374,730,1136,89,8375,361,598,627,859,2029,2105,1122,1350,151,9193,390,1367,1453,1587,894,536,329,428,119,7099,316,920,982,1113,1613,837,397,443,56,6671,235,1567,959,843,823,453,283,355,91,5599,278,326,357,387,936,886,757,1240,131,5294,486,1981,1091,1204,1551,1295,615,794,226,9244,76,87,86,66,173,139,64,125,345,1165,2925,8185,7113,8002,10539,9186,5257,9103,1341,61651
RA63,26,33,34,39,47,72,40,222,17,527,22,24,25,27,49,46,17,68,0,279,32,45,28,35,52,58,61,104,7,420,23,54,51,59,43,25,24,23,7,314,15,50,34,35,39,22,10,19,3,228,14,56,35,39,34,19,6,19,4,231,13,11,14,18,31,30,59,105,3,287,33,156,75,61,82,52,25,77,13,568,4,0,0,5,5,8,5,9,26,66,182,429,295,325,383,336,255,646,79,2922
RA64,5,30,23,24,26,59,38,125,8,335,11,16,14,21,12,22,9,20,3,120,9,19,11,14,29,42,16,15,0,166,10,13,14,21,12,8,3,9,0,88,4,11,13,20,17,11,9,5,0,98,9,9,7,5,18,16,7,11,0,75,4,8,0,4,16,12,12,12,3,68,15,34,19,42,32,46,17,42,6,256,3,4,0,0,0,4,0,0,5,24,65,142,99,156,168,213,115,236,31,1229
RA65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,14,0,0,0,0,4,4,0,0,0,9,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,23,0,47
RA69,0,3,0,0,3,4,0,6,0,17,3,0,3,3,3,12,8,10,0,49,0,3,0,3,8,13,3,4,0,38,3,3,7,7,8,0,0,0,5,33,0,5,3,3,7,3,0,0,0,27,0,3,4,4,0,0,0,0,0,14,0,4,3,0,5,0,0,3,0,20,0,8,10,4,5,7,0,6,0,54,0,0,0,0,0,0,0,0,0,3,14,38,27,28,45,38,17,39,10,247
RA72,315,183,204,378,1413,1863,1243,3117,94,8798,704,636,669,1125,3079,3066,1507,2837,139,13762,478,403,396,570,2314,2557,1484,3900,242,12336,489,792,907,960,1762,1538,957,1276,186,8862,459,561,612,949,3474,2162,889,1161,132,10396,158,1115,686,667,1046,593,333,500,94,5201,167,137,207,273,839,659,468,1394,101,4239,216,776,712,728,913,834,401,1534,182,6290,98,55,52,74,244,218,89,260,393,1475,3080,4658,4445,5708,15081,13484,7364,15976,1568,71357
RA73,87,77,52,94,453,489,312,854,26,2439,225,196,227,338,1134,1061,486,690,51,4402,105,94,87,125,568,637,356,616,41,2622,139,237,241,358,780,536,278,499,70,3133,121,146,145,259,941,503,230,259,28,2632,50,254,107,155,278,130,109,137,29,1250,40,50,57,77,164,136,91,315,32,962,64,249,141,213,358,290,122,256,47,1734,29,21,18,24,87,76,35,70,142,512,869,1328,1072,1647,4763,3859,2013,3684,457,19691
RA74,53,25,32,39,205,193,122,551,25,1240,115,143,157,216,573,552,205,374,45,2379,47,43,61,75,191,233,161,286,21,1120,99,187,210,313,511,351,117,251,64,2103,57,52,66,101,339,192,76,143,16,1042,17,73,62,74,113,93,36,46,14,537,47,48,19,39,90,76,83,192,20,612,42,124,135,158,251,277,78,365,62,1497,26,38,26,29,53,34,21,37,278,545,509,723,765,1048,2324,2012,892,2243,558,11064
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,14,10,28
RA79,9,3,3,0,9,6,10,9,0,41,17,3,14,7,19,13,11,29,0,108,7,3,3,0,9,32,14,45,0,104,12,5,4,13,14,16,8,13,5,84,4,4,3,3,4,3,4,7,0,34,4,4,0,5,11,3,0,5,0,32,7,0,3,0,6,5,4,36,0,63,0,4,9,9,16,13,5,39,5,104,0,0,0,0,3,3,0,0,3,15,52,28,40,30,78,93,56,175,18,574
