RA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
RA43,883,7,0,0,0,0,0,169,1059,645,105,58,9,3,0,0,83,911,536,213,200,93,17,11,3,92,1164,254,229,404,205,59,18,5,101,1281,137,131,415,292,76,22,8,79,1160,148,131,423,332,114,28,15,104,1300,151,178,486,332,130,28,28,93,1425,163,109,510,351,133,47,24,98,1435,151,158,573,390,172,41,32,127,1638,118,123,507,358,137,40,21,118,1419,111,98,484,355,143,31,22,81,1329,59,58,295,309,142,45,29,82,1023,33,24,145,172,133,64,43,69,676,29,22,77,109,139,62,55,52,541,29,35,100,136,104,71,72,115,667,3465,1630,4670,3442,1520,495,348,1460,17036
RA44,199,7,0,0,0,0,0,105,317,212,64,32,0,0,0,0,76,391,166,84,68,23,5,4,0,79,432,95,58,109,60,30,9,3,69,442,59,39,107,75,31,10,10,67,395,58,56,84,88,44,6,9,65,405,66,51,112,101,33,17,10,74,454,50,36,116,93,46,19,8,64,433,38,41,130,99,46,18,12,76,456,53,32,110,89,43,13,9,43,385,15,13,91,73,40,15,11,32,286,8,12,37,52,38,18,11,34,210,8,5,23,24,15,16,12,22,116,5,3,9,15,10,7,13,17,74,3,3,4,8,23,9,13,34,101,1040,510,1039,803,390,159,123,847,4902
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,54,10,0,0,0,0,0,15,80,60,5,7,0,0,0,0,18,99,71,10,3,0,0,0,0,27,118,46,11,9,8,0,0,0,14,93,30,3,13,4,3,3,0,20,80,13,7,7,9,0,0,0,23,61,24,12,16,6,5,3,3,35,96,21,9,23,16,6,3,0,14,91,22,5,19,9,9,0,0,13,81,9,10,32,20,4,0,0,13,82,8,4,28,9,3,3,0,5,68,0,0,5,7,0,0,0,6,27,3,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,7,370,92,180,99,33,16,11,209,1016
RA50,51350,490,58,13,3,9,13,6005,57931,51871,4359,1647,317,71,15,27,6078,64380,47154,11254,6915,2158,549,134,75,6590,74822,29472,17118,17197,5624,1602,472,242,5691,77413,14447,12311,23517,9667,2736,783,524,4123,68107,10345,9807,25803,11934,3631,1103,775,3916,67306,9438,9211,25975,12413,3872,1122,830,3808,66666,8176,7635,23553,12698,4296,1179,810,3605,61944,6724,6341,21399,12850,4470,1227,698,3456,57173,5285,5421,19149,11909,4319,1111,691,3198,51078,3804,4118,17363,10841,4072,1129,633,3012,44973,2429,2494,11101,8437,3568,1060,669,2533,32293,1649,1632,6853,6792,3786,1355,955,2423,25445,1164,1127,4202,4659,3074,1360,1106,2295,18995,1266,1501,4529,4426,2983,1437,1412,4317,21876,244565,94803,209251,114742,43041,13498,9461,61054,790414
RA51,5394,81,11,3,0,0,0,870,6359,3552,555,243,57,15,0,8,483,4925,2663,1074,965,325,80,27,9,520,5659,1653,1253,1949,917,258,72,29,472,6604,982,926,2414,1323,440,113,53,478,6735,894,877,2887,1557,560,140,111,561,7591,910,953,2970,1663,621,163,135,606,8020,886,760,2673,1749,700,189,138,561,7646,737,670,2722,1943,767,221,117,620,7806,609,522,2441,1815,733,208,115,541,6981,453,432,2297,1675,710,190,100,589,6453,275,249,1349,1202,592,232,111,421,4435,165,152,687,888,592,256,139,371,3240,99,75,369,549,428,211,169,306,2214,103,108,398,445,382,191,208,364,2188,19379,8690,24383,16111,6879,2209,1444,7761,86853
RA52,4382,86,13,3,0,0,0,771,5249,2858,562,255,67,12,0,4,458,4219,2318,911,884,371,122,29,10,503,5157,1369,969,1566,842,271,48,52,511,5623,791,715,1763,1083,425,129,102,449,5451,694,655,1987,1244,497,159,135,503,5880,785,678,2139,1444,585,205,125,520,6479,746,643,2069,1518,614,205,112,568,6471,636,513,2102,1545,726,228,131,604,6480,531,446,1973,1509,632,201,115,524,5933,377,309,1695,1369,611,194,103,479,5140,230,230,1093,1029,589,191,123,362,3845,139,116,584,743,523,224,182,317,2842,93,87,312,452,399,214,167,267,1987,100,98,316,405,339,183,202,342,1996,16041,7020,18750,13621,6352,2202,1577,7191,72758
RA53,1506,41,8,0,0,0,0,336,1894,1391,285,132,30,11,3,3,307,2159,1657,541,409,165,54,15,12,450,3297,1082,669,869,429,151,50,29,466,3752,495,351,973,592,199,76,46,377,3113,369,321,1009,588,223,68,62,318,2953,339,277,863,562,246,84,58,334,2768,307,235,812,606,253,99,64,347,2717,211,188,716,541,283,108,70,302,2417,135,165,538,462,200,82,57,219,1867,80,77,396,340,172,60,40,160,1321,59,49,214,245,143,54,32,122,903,29,30,111,155,134,36,57,78,622,20,15,46,94,82,50,47,71,427,18,11,54,65,72,28,45,78,376,7700,3246,7142,4868,2206,817,619,3973,30578
RA54,927,76,6,4,0,0,0,360,1382,1015,312,153,32,8,4,3,322,1848,1186,376,357,217,60,19,5,472,2693,846,341,497,290,141,44,29,470,2663,452,262,488,322,174,77,70,329,2172,327,215,451,287,147,91,81,292,1902,301,192,401,286,171,85,87,335,1862,253,163,457,340,191,94,105,321,1922,198,136,398,360,208,81,77,230,1686,114,112,277,256,150,73,60,185,1229,68,63,172,165,103,39,52,137,800,35,24,111,88,73,32,52,79,493,18,14,40,48,45,34,29,54,279,11,4,17,17,23,9,30,27,137,8,5,21,14,8,13,23,33,128,5752,2305,3868,2728,1485,692,702,3646,21189
RA55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,0,9,26
RA59,45,3,0,0,0,0,0,20,65,156,9,6,0,3,0,0,71,242,184,15,8,9,3,3,3,87,309,108,8,22,11,3,0,0,78,230,55,12,16,17,7,0,0,47,155,44,7,24,10,4,3,0,53,147,33,14,20,8,4,3,0,50,137,29,13,52,32,8,3,3,48,185,37,19,65,38,12,11,0,40,216,33,14,56,57,14,6,4,33,218,14,13,67,29,16,8,0,29,176,6,3,23,14,10,3,3,20,83,0,3,3,3,6,4,0,3,24,0,0,3,0,6,0,0,4,15,0,0,0,0,0,0,0,3,11,753,137,375,233,86,37,17,589,2220
RA61,9217,173,23,4,0,0,0,1127,10546,8427,1065,430,105,19,4,4,892,10948,6255,1815,1378,476,146,42,15,712,10838,3516,2256,2790,1148,374,112,63,669,10933,2043,1788,3565,1580,587,188,134,575,10462,1903,1635,4132,2043,721,261,162,622,11482,1774,1723,4384,2225,807,271,159,658,11999,1723,1520,4339,2328,788,282,196,696,11866,1697,1439,4264,2661,981,319,174,781,12322,1345,1189,3948,2558,951,286,168,743,11192,1106,965,3721,2472,909,301,167,794,10435,778,646,2572,2009,900,302,206,657,8066,489,409,1564,1568,906,400,281,544,6164,332,263,983,1105,760,386,280,498,4601,436,460,1169,1139,775,397,393,699,5471,41034,17348,39261,23422,9612,3552,2412,10679,147327
RA62,3731,69,9,0,0,0,3,552,4367,2349,468,221,48,15,0,4,284,3391,1501,668,647,271,64,19,16,257,3453,811,708,1111,642,219,70,40,249,3846,587,550,1375,778,311,105,66,276,4052,594,587,1606,948,363,145,114,312,4669,799,645,1879,1194,426,158,106,317,5524,830,645,2013,1273,519,170,117,424,5993,894,615,2158,1456,639,176,116,460,6519,727,583,2020,1373,664,182,93,445,6091,615,532,1866,1407,695,232,107,461,5926,360,280,1140,1089,574,243,138,350,4173,211,155,583,712,518,252,181,312,2920,116,106,352,424,327,210,189,206,1925,147,132,340,351,294,175,202,199,1837,14285,6749,17312,11961,5635,2135,1492,5112,64689
RA63,106,10,0,0,0,0,0,20,141,96,23,15,0,0,0,0,19,156,83,32,39,14,6,3,3,21,212,51,46,49,27,7,0,3,16,197,46,20,58,36,4,8,3,15,199,30,24,64,39,13,6,4,9,187,36,28,67,50,27,3,7,23,248,44,34,82,61,27,14,11,19,292,52,31,99,81,33,7,3,32,341,35,40,106,91,29,13,5,23,337,25,23,88,78,28,11,5,26,285,9,11,72,52,36,3,4,36,223,6,8,18,39,23,11,10,10,128,3,4,21,19,17,7,11,17,95,3,0,10,16,9,7,3,7,69,637,327,803,598,256,102,68,304,3101
RA64,23,0,0,0,0,0,0,17,31,29,3,3,0,0,0,0,3,45,36,10,11,6,0,0,0,9,63,25,13,17,15,6,0,0,5,75,15,12,19,10,3,0,3,0,61,7,10,20,7,7,0,0,3,52,12,9,20,17,7,3,4,4,68,13,5,38,17,15,6,0,7,102,9,10,31,22,7,5,3,3,92,16,18,41,34,8,4,3,15,130,9,3,38,26,14,0,0,6,101,4,5,15,17,9,3,0,5,59,7,0,10,19,11,4,4,7,60,3,4,6,3,4,3,0,6,30,3,3,6,7,8,3,3,8,34,214,108,266,198,95,24,18,88,1012
RA65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,8,0,0,0,0,18
RA69,22,0,0,0,0,0,0,3,33,14,3,4,0,0,0,0,8,29,29,4,0,0,0,0,0,4,38,10,3,5,0,0,0,0,3,29,14,3,7,5,0,0,0,3,30,8,4,0,3,0,0,0,3,24,4,8,4,3,4,0,0,9,29,7,0,7,4,3,0,0,10,36,3,0,6,3,0,0,0,3,25,7,3,6,10,4,0,0,3,30,4,3,11,7,0,0,0,7,31,3,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,34,57,46,20,5,0,56,350
RA72,2906,45,3,0,0,0,0,600,3560,3116,399,165,26,4,0,4,646,4355,3723,931,572,196,47,21,11,893,6389,2376,1303,1277,499,141,49,21,755,6425,1155,925,1609,769,262,76,41,561,5401,893,695,1534,786,318,84,78,522,4911,760,612,1504,821,324,101,80,490,4694,707,499,1241,797,301,109,61,447,4163,478,440,1101,757,339,102,63,439,3728,316,307,903,572,256,101,58,367,2879,215,214,624,460,233,78,60,248,2136,126,99,367,263,158,39,49,153,1253,77,57,177,176,99,54,62,103,803,34,28,73,68,65,33,72,55,418,17,36,54,61,45,25,55,63,356,16909,6587,11204,6248,2593,873,712,6342,51481
RA73,873,46,6,0,0,0,0,279,1201,769,180,97,24,6,3,0,284,1352,908,306,227,105,29,3,3,364,1947,598,339,395,178,80,31,22,313,1954,356,222,399,230,101,37,36,248,1638,284,200,406,241,119,46,34,218,1545,286,204,414,294,136,71,40,273,1723,272,186,415,269,136,52,46,279,1663,204,136,358,295,126,61,46,233,1454,145,118,287,209,111,46,27,201,1144,87,72,168,152,65,40,31,123,729,49,38,99,78,49,31,33,87,455,26,22,50,31,30,25,23,38,255,21,13,28,17,23,22,16,29,164,16,7,24,19,21,7,23,36,152,4887,2092,3371,2141,1029,478,381,2998,17385
RA74,931,180,24,6,3,0,0,681,1819,704,517,274,60,14,3,9,431,2000,600,374,419,221,75,20,14,391,2108,416,302,362,301,161,69,35,332,1983,255,178,306,272,165,120,70,254,1624,229,148,262,221,179,88,69,283,1484,212,146,236,221,161,104,84,241,1404,173,105,205,205,153,104,85,190,1218,107,99,179,190,117,60,78,159,999,75,78,128,133,100,64,87,114,766,39,33,86,81,36,44,49,69,431,17,15,27,42,24,31,46,28,238,12,5,7,15,13,9,24,18,120,8,3,10,10,14,12,21,20,96,4,7,3,0,6,3,11,3,36,3793,2179,2531,1983,1221,735,687,3213,16332
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9
RA79,16,0,0,0,0,0,0,0,17,51,0,0,0,0,0,0,37,85,62,11,5,3,0,0,0,50,129,35,8,9,6,5,0,0,41,106,21,13,14,6,0,0,0,27,83,15,9,18,9,6,3,3,31,95,17,9,19,12,7,0,3,31,99,13,0,29,19,5,0,5,36,104,16,6,30,16,10,4,0,20,100,18,15,34,23,5,0,3,19,107,6,0,32,10,4,4,3,6,67,3,3,6,4,6,0,0,8,30,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,75,201,106,54,17,20,302,1043
RA80,10944,46,13,0,0,0,4,1088,12100,13338,624,214,52,6,0,3,1272,15511,11616,2121,1115,292,88,24,4,1227,16491,7122,3930,3626,1005,214,74,44,1085,17097,3632,2807,5263,1946,460,147,69,789,15117,2594,2091,5543,2309,688,180,103,729,14245,2297,1915,5144,2331,714,164,104,689,13356,2067,1641,4680,2430,785,213,98,643,12555,1719,1499,4110,2396,823,208,132,642,11520,1236,1143,3617,2261,834,228,86,604,10012,973,968,3336,2143,784,230,132,495,9063,587,548,2242,1610,655,225,121,444,6426,348,362,1273,1188,633,250,182,387,4622,228,237,789,790,487,210,195,347,3289,215,317,794,759,494,244,242,773,3837,58924,20243,41760,21520,7655,2396,1515,11221,165240
RA81,21,0,0,0,0,0,0,8,25,17,0,0,0,0,0,0,0,17,12,3,3,0,0,0,0,3,28,7,7,5,3,0,0,0,4,32,9,3,5,3,0,0,0,0,25,3,0,16,14,0,0,0,3,35,4,3,3,0,6,0,0,3,22,0,0,3,4,3,0,0,3,21,0,3,7,6,3,0,0,0,21,3,0,3,0,3,0,0,0,7,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,74,26,51,37,20,3,0,27,244
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,14,0,0,0,0,0,0,3,20,31,0,0,0,0,0,0,9,42,20,0,0,0,0,0,0,0,21,14,0,3,0,0,0,0,3,20,12,4,4,0,0,0,0,9,25,8,0,3,0,0,0,0,0,9,0,0,3,3,0,0,0,0,11,0,0,6,3,0,0,0,3,15,6,3,3,3,3,0,0,0,22,3,0,3,4,0,0,0,0,15,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,101,14,30,21,7,7,0,29,209
RA91,14,0,0,0,0,0,0,8,19,5,0,0,0,0,0,0,3,7,0,3,3,0,0,0,0,0,11,4,0,0,5,0,0,0,0,10,7,0,0,4,0,0,3,0,12,10,3,3,0,0,0,0,7,23,3,0,3,7,0,0,0,3,21,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,0,5,13,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,17,12,10,3,4,33,140
RA94,63,0,0,0,0,0,0,21,84,38,8,0,0,0,0,0,9,53,41,16,11,6,0,0,0,9,85,44,28,29,14,3,0,0,16,133,23,23,40,32,3,0,0,9,125,25,21,40,24,6,3,0,8,132,25,22,48,22,10,3,4,15,144,27,19,52,29,16,6,0,23,169,20,18,59,39,13,4,0,21,171,23,13,52,23,15,5,4,24,155,13,10,35,28,15,0,3,11,116,12,13,19,16,10,7,0,3,78,8,3,12,9,9,4,3,9,54,0,5,3,9,8,3,3,8,34,3,0,5,8,7,0,3,3,29,360,179,403,255,105,41,23,194,1565
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,6,3,0,0,0,4,30
