RA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
RA42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,10,0,0,0,0,0,8,0,4,0,18,20,78,142,59,26,339,7,36,37,166,121,104,78,25,8,571,0,0,5,0,7,9,21,5,7,55,0,17,3,24,0,0,0,0,0,49,0,3,0,10,11,3,0,0,0,32,16,73,40,272,105,114,46,17,4,677,0,0,0,12,5,4,10,8,10,44,0,3,3,30,76,147,154,108,40,562,3,0,0,9,3,5,0,0,0,18,0,31,23,80,43,26,17,3,0,228,0,0,0,0,0,9,8,10,4,26,6,8,0,16,7,4,3,0,0,41,0,0,17,85,0,0,0,0,0,101,0,4,3,36,22,14,0,0,0,84,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,11,0,3,0,20,0,5,5,29,22,31,13,9,0,114
RA43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,6,4,27,25,7,4,80,0,17,16,70,40,40,17,3,0,201,0,0,0,5,3,3,4,0,0,18,0,0,0,3,0,0,0,0,0,3,0,0,0,5,4,3,0,0,0,12,5,9,6,68,31,32,18,3,0,170,0,0,0,3,0,0,3,0,0,4,0,4,0,8,7,14,20,15,6,76,0,0,0,0,4,0,0,0,0,3,4,11,5,24,12,8,3,0,0,75,0,0,0,0,0,0,3,0,0,7,0,0,0,7,0,0,0,0,0,13,0,0,4,6,0,0,0,0,0,19,0,4,0,21,12,3,0,0,0,41,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,7,9,7,3,0,46
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,8,0,0,5,14,11,17,4,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,4,8,29,9,5,4,0,0,58,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,18,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,3,0,3,0,3,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,10
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,9,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
RA50,19,125,259,921,287,293,186,106,49,2242,18,127,375,1353,776,761,485,336,164,4393,22,52,233,757,41,17,3,0,0,1132,14,91,116,481,352,490,1076,611,359,3593,368,2604,3430,10674,5439,4070,1703,561,141,28991,9,76,73,468,309,273,315,173,55,1748,98,273,228,1059,135,101,53,18,7,1979,3,80,85,308,185,82,14,5,0,778,190,1700,1909,5931,2119,1316,514,112,24,13815,4,44,59,899,340,714,368,268,204,2905,59,539,690,2576,2157,2166,1747,1056,405,11380,83,475,1177,2398,1279,1384,694,326,83,7892,108,1590,2763,6260,3500,1957,1029,495,185,17885,0,0,17,186,164,235,172,123,53,949,44,327,262,1471,485,369,263,124,60,3409,27,28,239,1830,139,108,57,7,0,2424,68,442,536,2253,768,442,134,24,7,4667,3,9,50,423,281,324,209,147,40,1491,5,26,51,242,97,37,28,10,5,498,106,473,465,1328,567,481,305,73,38,3846
RA51,0,0,3,11,14,4,8,3,0,43,0,0,0,19,8,9,4,3,5,47,0,0,3,19,0,0,0,0,0,22,0,7,12,67,50,88,159,51,27,461,18,228,247,956,653,536,211,72,16,2935,0,4,5,25,25,26,31,18,4,141,6,5,3,26,3,0,3,0,4,45,0,3,0,14,24,15,3,0,0,56,18,155,112,479,161,102,40,4,0,1070,0,0,5,34,9,30,18,22,17,139,0,15,32,117,148,190,181,84,14,781,3,10,9,41,34,33,11,9,0,149,4,134,157,473,291,138,102,42,8,1346,0,0,0,5,3,0,10,4,5,21,5,11,5,30,13,4,4,7,0,77,0,0,28,160,0,0,0,0,0,189,4,20,8,118,64,22,8,3,3,249,0,0,0,0,0,0,3,3,0,4,0,0,0,5,0,0,0,0,0,3,0,21,24,99,60,63,39,16,5,324
RA52,0,0,0,12,3,4,0,0,0,19,0,3,11,62,24,19,10,7,0,126,0,3,0,12,0,0,0,0,0,15,0,0,0,49,20,58,139,42,26,347,22,201,280,945,596,495,196,48,15,2799,0,3,0,12,18,16,18,11,5,83,0,12,6,24,3,6,0,0,0,46,0,26,15,38,20,6,0,0,0,115,18,190,130,551,221,149,61,8,0,1324,0,0,3,19,4,8,16,13,15,82,0,7,19,71,96,135,112,59,26,536,0,6,4,29,14,15,15,3,0,89,16,113,146,346,216,114,59,23,7,1040,0,0,0,0,3,5,5,3,5,26,0,6,0,38,6,4,7,0,0,67,0,0,12,95,0,0,0,0,0,112,10,50,36,136,76,22,9,3,0,342,0,0,0,0,3,3,3,6,7,22,0,0,0,3,0,0,0,0,0,9,3,9,12,75,40,41,38,6,0,230
RA53,0,0,0,11,0,3,0,0,0,9,0,3,0,3,4,0,0,0,0,15,0,0,0,10,0,0,0,0,0,11,0,4,0,23,11,14,27,4,0,85,14,111,149,590,288,224,49,20,0,1443,0,0,0,18,3,10,3,0,0,31,3,7,0,15,3,0,0,0,0,27,3,5,3,18,3,3,0,0,0,41,17,82,97,326,141,67,20,3,0,753,0,0,0,12,3,3,7,0,0,28,0,5,4,54,34,41,21,11,0,172,0,0,0,12,7,13,4,0,0,50,5,44,49,184,80,37,7,4,3,414,0,0,0,0,0,0,3,0,0,9,0,8,0,27,9,4,0,0,0,49,0,0,9,70,0,0,0,0,0,76,9,12,19,137,53,20,0,0,0,243,0,0,0,5,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,3,4,37,16,12,3,0,0,81
RA54,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,3,17,11,5,14,0,0,48,11,63,89,353,240,203,35,9,0,998,0,0,0,10,0,4,0,0,0,17,0,0,0,3,0,0,0,0,0,5,0,8,6,20,13,7,3,0,0,53,6,33,28,143,39,23,9,0,0,287,0,0,0,9,3,4,0,0,0,8,0,0,7,29,15,22,5,3,0,94,0,0,3,14,5,3,0,0,0,23,0,10,15,64,29,9,12,3,0,143,0,0,0,0,0,3,0,0,0,3,0,5,3,15,3,0,0,0,0,27,0,0,7,51,0,0,0,0,0,57,4,3,11,63,32,8,0,0,0,120,0,0,0,0,7,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,9,4,3,38,15,5,15,0,0,82
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,13,0,0,13,32,21,34,10,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,7,0,0,0,13,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13
RA61,0,0,0,5,0,7,3,0,0,25,3,20,28,63,14,13,4,0,0,143,15,91,171,94,3,3,0,0,3,378,0,0,11,52,42,106,255,154,67,687,8,75,86,436,301,295,178,67,34,1489,0,0,0,13,15,21,32,15,8,98,5,29,12,62,6,0,0,0,0,119,0,3,7,47,47,21,8,3,0,142,12,42,62,330,177,172,80,18,3,891,0,0,0,58,29,37,61,44,56,284,0,14,17,72,115,131,200,125,48,731,0,12,99,74,35,28,10,13,0,286,0,30,51,199,85,112,68,31,13,583,0,0,0,5,4,4,5,5,0,19,0,20,12,75,24,21,9,7,0,168,5,3,24,94,13,4,0,0,0,144,6,31,47,172,48,19,10,0,0,336,0,0,0,0,0,3,3,0,0,6,0,0,3,9,6,3,3,3,0,28,7,45,54,187,86,88,77,22,6,577
RA62,0,0,0,3,0,3,3,0,0,12,0,0,0,3,4,0,3,3,0,10,0,0,0,4,0,0,0,0,0,4,0,6,5,18,33,67,139,76,25,367,7,39,50,212,201,195,167,40,12,914,0,0,0,0,10,6,23,6,3,48,0,3,3,4,5,0,0,0,0,18,0,0,0,10,6,8,6,0,0,36,3,20,17,128,63,63,40,5,3,342,0,0,0,7,9,9,11,4,5,40,0,3,6,21,53,82,124,58,26,374,0,3,0,7,4,12,3,0,0,32,0,11,18,49,35,36,25,18,0,192,0,0,0,0,0,0,4,0,0,9,0,0,0,14,6,5,4,0,0,31,0,0,0,43,0,0,0,0,0,46,3,7,9,33,22,15,4,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,7,16,10,35,45,57,52,8,3,235
RA63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,18,0,4,7,15,9,17,10,0,0,66,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,9,4,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,7,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,5,0,10,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,0,3,3,13,4,3,0,4,0,24,0,5,7,44,16,4,3,0,0,81,9,30,109,298,9,13,4,0,0,460,0,3,3,27,27,21,36,8,0,135,16,72,100,463,264,254,85,30,5,1293,0,0,8,29,10,5,9,0,0,63,7,16,9,63,15,6,0,0,0,111,0,11,12,97,72,40,19,3,0,250,49,280,310,1268,412,276,128,33,10,2771,0,0,0,25,3,15,5,3,3,47,3,5,13,58,47,52,29,21,3,231,3,7,11,36,31,28,23,11,0,145,7,22,35,127,63,22,9,4,0,284,0,0,0,0,3,9,3,0,0,15,10,39,17,151,22,29,23,8,3,308,8,4,26,270,8,3,0,0,0,318,10,34,57,240,134,65,30,12,0,586,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,14,3,35,28,77,29,25,11,3,0,212
RA73,0,0,0,0,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,15,0,0,3,30,3,0,0,0,0,42,0,0,0,12,7,14,3,8,5,50,17,70,64,207,104,109,32,9,0,603,0,3,0,0,9,0,3,0,0,18,0,0,0,8,0,0,0,0,0,10,0,3,5,28,20,10,3,0,0,61,5,28,37,211,90,62,19,5,3,468,0,0,0,6,6,0,0,0,0,16,0,0,3,17,19,18,8,7,0,74,0,0,0,13,4,0,0,0,0,17,0,12,10,36,23,10,4,3,0,98,0,0,0,0,0,3,0,0,0,4,3,5,4,40,5,5,0,0,0,60,0,3,15,54,4,4,0,0,0,80,3,3,7,39,20,8,5,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,17,54,28,113,60,39,5,0,0,325
RA74,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,12,6,10,16,86,48,55,17,0,0,241,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,7,11,0,0,0,0,21,3,10,7,50,25,19,0,3,0,114,0,0,0,3,0,0,0,0,0,3,0,0,0,3,7,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,3,17,9,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,19,0,0,3,17,11,0,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,3,0,0,0,20
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,10,0,0,0,4,7,10,10,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6
RA80,3,12,6,77,23,18,10,0,0,154,0,5,24,145,55,37,26,21,7,317,4,28,57,249,16,12,4,0,0,374,5,22,17,66,45,93,171,89,41,547,23,174,261,788,421,363,197,79,28,2334,0,7,3,25,26,42,33,21,12,162,34,105,92,508,70,29,13,3,0,855,6,8,24,139,114,62,22,7,0,388,24,114,204,1088,391,278,145,31,15,2303,3,4,8,151,52,124,81,59,58,545,6,20,27,125,146,168,221,136,49,891,6,51,107,187,72,59,37,13,3,532,4,88,153,363,209,104,66,26,14,1023,0,0,0,24,40,41,36,46,8,193,6,93,103,592,249,196,100,57,20,1411,6,6,28,186,30,24,10,5,0,283,14,49,113,439,118,88,35,10,3,860,0,0,10,61,33,52,33,18,3,203,8,0,4,39,20,16,6,3,0,98,46,186,169,516,191,170,118,31,5,1433
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
