RA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
RA61,4912,1095,758,424,521,781,405,152,39,9092,2366,812,327,219,246,428,336,101,23,4859,1117,1756,1393,991,1071,1389,1353,647,176,9886,409,874,974,821,1060,1639,3219,2245,616,11867,465,885,982,886,1160,1403,2336,1556,663,10341,400,1217,1433,1008,1097,1398,1870,949,343,9698,218,1430,2041,1477,1571,1604,1360,702,255,10667,86,1169,3150,2218,2369,2189,1234,470,147,13034,24,716,3054,2600,2704,2489,1181,347,124,13242,10,265,1954,2071,2016,1590,564,132,61,8652,11,107,1376,1852,1959,1521,381,102,40,7357,6,42,784,1410,1525,1047,204,46,19,5082,3,27,765,1775,2031,1341,326,82,28,6379,9,25,238,739,1119,885,320,79,36,3456,948,853,1671,1453,1632,1667,1518,944,461,11159,10969,11271,20901,19939,22086,21384,16617,8552,3034,134753,3788,823,1219,1022,1096,1781,583,196,70,10570,2884,737,609,642,624,906,570,152,56,7181,1421,1686,1648,1444,1460,2142,1777,830,304,12712,525,1089,1527,1499,1673,2510,4176,2362,756,16114
RA62,2060,207,168,199,287,611,307,81,25,3944,819,171,87,109,202,375,228,77,7,2077,405,458,483,517,747,1228,1056,449,97,5439,189,212,269,429,774,1345,2608,1468,330,7621,238,287,362,437,773,1110,1734,884,254,6077,222,415,391,468,588,941,1048,457,121,4652,128,585,714,688,901,1020,763,331,71,5217,61,539,1014,958,1196,1225,586,177,54,5815,28,296,1054,1092,1353,1189,544,119,28,5712,11,134,717,720,901,737,211,40,6,3476,3,60,428,665,832,668,139,26,11,2829,0,35,241,426,568,388,81,14,0,1752,0,23,256,490,609,459,112,22,6,1977,0,13,75,182,272,288,119,35,11,983,601,307,524,649,929,1059,1054,604,217,5946,4771,3745,6781,8029,10930,12634,10595,4788,1243,63525,1689,183,407,472,749,1198,299,79,40,5116,1052,189,274,383,444,583,231,74,26,3267,496,447,757,839,971,1587,1075,389,81,6645,226,320,714,799,1158,1798,2804,1263,322,9409
RA63,46,3,12,15,17,35,18,11,0,166,17,3,4,8,12,28,9,3,0,86,15,13,27,40,48,78,63,30,0,320,4,5,18,26,46,86,131,69,9,397,10,12,17,21,58,72,120,61,22,389,0,9,16,23,30,47,63,12,3,211,8,26,30,20,46,57,42,13,5,245,8,19,31,32,64,76,28,7,0,265,3,20,67,33,49,51,26,11,3,252,0,10,28,29,38,32,14,4,0,161,0,3,21,28,38,27,8,0,0,132,0,4,29,28,38,21,3,0,0,120,0,3,38,41,50,42,8,3,0,181,0,0,8,19,16,12,7,0,0,65,25,17,37,33,64,77,79,32,6,371,143,156,378,405,616,748,616,243,53,3353,45,13,39,30,42,73,16,3,0,252,30,3,11,15,21,30,7,3,0,125,19,10,35,52,54,78,51,18,11,326,7,12,29,50,62,94,134,53,4,447
RA64,15,3,3,0,3,6,3,0,0,35,4,0,4,3,0,7,15,5,0,37,4,3,3,6,11,13,22,4,0,71,3,0,10,3,6,14,25,20,0,79,0,3,5,3,8,22,30,15,8,98,0,9,7,7,14,22,25,7,3,94,7,6,18,9,17,18,6,8,0,96,3,7,18,15,19,25,7,3,0,108,0,4,19,24,32,26,11,4,0,117,0,6,17,13,15,19,12,4,3,76,0,0,10,3,15,16,3,0,0,55,0,0,7,16,3,5,5,0,0,41,0,6,9,13,14,15,5,0,0,58,0,0,5,3,9,6,4,0,0,29,9,7,10,11,14,25,17,13,4,108,51,62,133,130,175,242,199,85,21,1094,10,0,6,8,8,15,7,0,0,60,0,0,4,4,7,12,6,0,0,31,4,3,16,9,14,27,16,3,3,97,0,7,6,12,9,18,33,10,9,103
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,5,0,6,15,5,10,8,4,0,0,49,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,10,4,8,5,0,4,0,0,0,34,8,0,3,3,0,0,3,0,0,18,11,18,14,20,18,7,4,0,0,95,0,5,3,11,12,7,13,0,0,55,3,7,6,13,7,8,11,3,0,49,0,0,7,8,0,3,4,0,0,27,0,4,11,5,8,3,0,0,0,34,0,4,8,5,3,3,3,0,0,32,0,3,7,6,3,0,0,0,0,23,0,0,5,3,3,5,0,0,0,16,0,0,4,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,6,0,11,24,16,12,7,4,3,0,85,34,56,120,93,77,52,48,8,0,481,13,4,7,6,3,5,4,0,0,38,0,3,0,0,3,4,3,0,0,16,9,6,7,5,16,9,8,0,0,68,0,3,6,7,6,10,7,0,0,47
RA72,1559,331,313,203,215,313,217,51,9,3211,611,99,82,52,66,82,94,25,3,1119,315,220,231,166,174,218,253,121,17,1712,166,210,200,165,175,270,458,235,44,1919,147,208,264,192,194,251,414,176,51,1891,184,286,377,219,231,255,292,115,32,1994,135,412,566,356,319,344,258,76,14,2480,152,691,1101,749,624,502,267,56,12,4155,84,779,1830,1177,934,680,319,61,15,5872,22,522,1582,1070,907,599,206,32,8,4945,17,270,1371,1131,944,633,166,29,3,4578,4,98,936,985,950,541,126,15,3,3657,4,137,1758,1889,1654,965,199,27,5,6639,3,65,999,1274,1145,679,154,27,4,4341,644,860,2448,1844,1574,1098,585,202,55,9311,4039,5198,14046,11472,10094,7434,4021,1246,273,57821,1291,359,1214,887,529,587,242,64,15,5185,682,126,254,231,132,111,93,31,10,1660,356,240,399,322,289,312,278,99,23,2326,136,221,467,348,315,328,501,225,54,2607
RA73,484,90,90,70,78,118,66,20,8,1016,261,91,114,88,82,52,23,12,3,735,114,134,210,199,194,121,121,35,5,1142,46,45,77,99,101,124,164,72,17,757,31,39,78,85,70,106,165,80,20,671,54,85,131,104,85,88,117,34,9,705,60,147,199,119,130,121,82,26,3,882,43,177,322,199,227,170,87,18,0,1242,14,124,442,302,325,234,80,16,0,1547,5,88,411,280,295,217,52,3,0,1358,3,44,335,302,282,205,35,5,0,1218,0,14,195,213,247,210,43,0,0,922,0,22,255,362,351,286,52,3,3,1336,0,0,52,112,206,150,43,0,0,565,328,395,846,584,662,504,288,101,19,3724,1449,1502,3766,3111,3341,2726,1415,428,84,17827,377,80,205,157,135,153,57,17,7,1192,222,72,165,132,105,68,31,7,6,807,123,167,286,232,222,193,116,46,13,1392,41,72,173,143,151,138,197,74,23,1016
RA74,618,112,121,63,52,54,25,8,0,1058,192,248,419,249,176,87,28,5,0,1411,314,631,1111,777,581,315,156,57,12,3954,37,67,200,165,176,131,108,34,7,930,24,64,137,112,104,69,69,27,0,604,43,93,161,161,131,83,37,7,4,722,34,104,153,112,108,82,24,3,0,614,22,84,158,95,107,76,20,5,0,572,11,65,201,121,101,96,28,0,0,632,0,42,115,105,113,100,25,0,0,504,3,29,93,92,99,65,20,3,0,395,0,13,66,93,77,76,17,0,0,352,3,11,145,169,178,135,21,3,0,661,3,3,44,87,70,41,11,0,0,267,655,479,809,613,468,300,110,30,4,3477,1965,2040,3936,3030,2541,1715,703,195,30,16158,470,74,110,73,73,58,19,7,0,889,213,191,323,217,189,94,32,13,0,1281,376,737,1222,876,625,429,191,74,16,4546,52,139,346,279,222,188,120,44,7,1392
RA75,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,0,0,0,18,0,4,23,16,11,3,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,3,14,3,7,13,20,3,0,0,57,0,0,7,3,4,8,3,0,0,28,3,11,19,30,32,28,7,0,0,142,0,5,17,28,35,26,41,3,0,152,0,6,11,11,25,22,38,3,0,111,3,10,7,10,13,7,21,3,0,64,3,16,16,4,13,16,7,0,0,70,0,11,25,11,13,19,10,0,0,84,0,5,15,7,6,20,3,0,0,58,0,4,8,14,12,3,6,0,0,46,0,0,8,7,0,4,4,0,0,28,0,0,3,12,6,3,0,0,0,18,0,0,16,9,16,4,0,0,0,41,0,0,6,7,13,3,0,0,0,34,4,26,69,55,65,45,37,8,0,301,16,98,219,215,257,229,174,20,0,1240,4,3,18,13,19,31,4,0,0,87,0,0,7,5,8,9,0,0,0,27,0,12,16,24,21,18,13,0,0,103,0,3,23,28,30,32,22,6,0,152
RA80,5501,2246,1223,615,505,685,425,165,62,11425,2737,927,327,206,205,253,227,97,35,5004,1138,1567,803,578,486,596,689,440,115,6420,425,1052,710,498,550,685,1202,949,279,6350,430,1178,966,661,599,645,999,630,239,6348,560,1460,1366,751,629,678,992,578,191,7209,356,1571,1832,1069,840,901,1049,570,175,8368,229,1725,2983,1702,1383,1444,1330,678,211,11682,101,1577,4378,2534,1915,1976,1612,582,210,14883,18,832,4447,2550,1885,1734,1168,327,117,13085,8,317,3924,3228,2415,1695,951,254,96,12896,8,99,2449,2716,2041,1403,610,129,54,9507,14,82,3482,6867,6141,3524,992,201,81,21385,12,37,947,2928,3684,2384,667,137,49,10833,788,1132,2489,1913,1618,1219,1006,700,405,11266,12323,15810,32326,28816,24909,19825,13914,6436,2316,156663,4676,2068,2510,1845,1266,1625,772,248,107,15107,3245,949,722,717,545,662,646,246,75,7803,1520,1787,1244,1009,820,1137,1328,737,203,9783,532,1301,1131,1010,844,1197,1905,1261,395,9574
RA81,10,0,0,0,0,3,0,0,0,16,5,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,5,3,3,3,0,0,0,0,0,0,11,0,0,3,3,0,4,0,0,0,12,0,4,0,6,3,3,0,0,0,19,0,4,13,3,11,3,0,0,0,28,0,0,7,10,4,4,3,0,0,32,0,0,3,3,4,8,0,0,0,19,0,0,0,3,3,0,0,0,0,8,0,0,4,16,4,4,0,0,0,29,0,0,3,8,9,3,3,0,0,22,3,0,7,6,6,5,0,0,0,31,21,19,48,57,55,38,16,6,0,264,8,0,7,4,4,4,0,0,0,23,6,0,0,0,0,0,0,0,0,12,4,0,7,0,0,0,0,0,0,14,0,5,0,0,3,0,0,0,0,12
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,5,9,8,6,5,0,3,0,0,42,0,0,3,0,0,0,0,0,0,11,4,0,3,12,7,8,0,0,0,33,0,3,5,7,10,5,0,0,0,27,0,3,5,4,7,3,3,0,0,25,0,0,7,0,0,6,0,0,0,17,0,3,3,0,3,0,0,0,0,13,0,6,6,9,0,0,0,0,0,17,0,3,4,3,0,0,0,0,0,15,0,3,3,3,0,0,0,0,0,7,0,0,0,0,4,3,0,0,0,12,0,0,3,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,5,0,0,0,9,3,3,7,15,7,14,0,0,0,57,16,36,63,67,43,38,15,5,0,297,6,3,3,0,0,0,3,0,0,20,0,3,0,3,3,0,0,0,0,9,5,5,4,8,0,4,0,0,0,32,0,6,0,0,7,7,0,0,0,20
RA91,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,16,0,0,0,0,3,3,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,10,0,8,3,0,0,0,0,0,0,8,0,3,6,0,6,0,0,0,0,16,0,0,4,3,0,0,0,0,0,14,0,3,4,3,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,5,0,0,0,3,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,4,11,14,3,8,3,3,0,0,49,15,28,40,25,34,21,9,8,0,175,3,0,0,3,0,0,0,0,0,10,3,0,0,0,0,4,0,0,0,11,0,0,0,0,0,3,0,0,0,8,3,0,0,3,6,0,3,0,0,15
RA94,32,0,4,10,3,8,13,3,0,81,13,3,0,3,3,5,6,0,0,31,12,3,3,4,3,17,19,11,3,73,0,0,5,5,5,12,29,20,0,81,3,3,8,0,13,15,22,16,9,81,4,10,6,15,23,25,21,8,6,114,3,8,15,25,31,35,17,9,3,131,0,11,20,37,28,31,17,3,0,148,0,6,26,28,32,27,19,0,0,147,0,3,18,16,27,21,18,0,0,106,0,4,9,19,27,28,13,3,0,105,0,0,18,27,22,16,8,0,0,89,0,4,22,30,37,29,12,0,0,138,0,0,7,12,6,12,10,0,0,44,23,45,126,94,69,58,38,12,4,462,90,104,288,323,334,339,253,90,28,1841,36,6,22,19,23,47,16,3,0,167,16,0,7,10,10,8,8,0,0,65,6,3,11,11,21,21,23,11,0,121,3,0,16,9,20,22,37,25,3,139
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,0,4,3,3,6,0,0,21,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
