RA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
RA61,723,708,1427,8979,8550,17528,521,559,1074,10218,9813,20030,810,779,1583,9680,9226,18914,554,544,1101,11045,10555,21603,700,702,1404,9188,8718,17909,488,491,977,10377,9910,20295,690,622,1314,9769,9359,19124,514,558,1074,10969,10546,21518,620,574,1200,10028,9779,19801,617,595,1215,11271,10948,22216,463,511,971,9403,9753,19159,643,574,1215,10510,10838,21348,401,505,902,9402,9845,19251,590,583,1171,10391,10933,21324,315,365,680,8811,9588,18403,516,512,1022,9640,10462,20104,319,384,695,9401,10527,19928,579,575,1156,10297,11482,21781,351,398,743,10086,11010,21099,671,594,1265,11106,11999,23105,271,340,615,10068,10915,20981,639,610,1253,10982,11866,22849,279,315,593,10222,11287,21507,678,717,1398,11179,12322,23499,225,198,420,9321,10358,19682,663,633,1296,10207,11192,21397,322,379,701,25852,31788,57639,2022,2571,4591,28198,34738,62937,6484,6770,13254,150215,160717,310929,9700,10117,19817,166403,177606,344005
RA62,474,466,941,3302,3146,6440,241,220,455,4012,3828,7843,592,540,1127,3980,3666,7640,305,270,566,4870,4472,9338,569,534,1098,3938,3742,7685,328,304,631,4835,4581,9417,542,477,1015,3929,3625,7563,298,259,559,4771,4367,9138,327,342,667,3165,2831,6001,247,214,462,3745,3391,7133,275,284,559,2793,2928,5718,226,242,465,3290,3453,6744,228,290,523,3036,3317,6351,229,236,459,3491,3846,7342,203,282,486,3135,3503,6639,236,263,498,3570,4052,7620,228,269,501,3928,4112,8045,304,287,591,4460,4669,9128,269,318,584,4508,4897,9397,351,311,666,5125,5524,10647,232,286,518,5160,5322,10479,419,393,807,5810,5993,11804,231,251,489,5713,5852,11564,454,419,870,6402,6519,12921,198,203,396,5600,5490,11086,443,402,844,6237,6091,12325,353,333,689,14975,15148,30124,1296,1306,2606,16627,16783,33414,4713,4869,9589,67165,67581,134738,5359,5121,10482,77235,77566,154807
RA63,31,16,51,162,171,333,19,15,34,215,203,421,22,38,58,157,171,326,23,16,40,199,228,430,25,24,49,158,127,285,23,23,50,214,172,386,24,14,40,107,110,216,17,16,30,143,141,282,15,21,30,130,120,252,15,17,33,156,156,313,12,18,34,129,169,301,17,23,38,161,212,374,14,14,25,186,173,361,20,14,33,222,197,416,11,19,32,159,167,328,14,20,32,190,199,394,13,13,26,183,168,354,17,8,23,214,187,399,14,22,39,255,209,464,27,17,42,299,248,542,11,11,24,274,255,532,26,19,46,319,292,607,16,19,27,317,298,614,32,30,62,362,341,703,19,8,22,339,304,643,30,25,53,386,337,717,25,11,41,813,707,1518,74,69,144,910,794,1705,252,240,490,3369,3155,6524,349,309,658,3969,3711,7681
RA64,8,3,16,65,58,117,0,3,7,76,61,141,7,3,13,62,50,110,0,4,9,70,62,129,6,4,10,55,37,89,4,9,12,63,47,106,3,0,7,38,20,56,11,11,22,51,31,84,4,6,10,54,32,81,8,5,8,62,45,100,0,5,8,52,50,108,4,5,7,56,63,123,3,5,9,66,64,136,7,6,14,75,75,156,0,3,8,61,56,112,3,3,8,67,61,131,5,3,13,50,46,97,4,6,10,60,52,118,7,7,16,62,55,123,3,3,6,72,68,141,13,11,19,87,79,172,3,9,15,101,102,203,4,14,17,89,78,170,5,3,9,99,92,191,15,7,21,121,108,234,9,11,22,141,130,277,15,5,24,270,245,519,23,24,47,307,280,590,95,84,182,1116,997,2117,84,104,187,1298,1189,2487
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,6,4,8,0,0,0,11,0,11,0,0,0,8,0,14,0,0,0,8,4,12,0,0,3,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,7,0,0,0,9,0,7,0,0,0,5,0,9,0,0,0,5,3,4,0,0,0,5,3,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,4,3,7,0,0,0,46,16,63,3,3,4,49,21,68
RA69,3,0,3,20,12,38,0,0,0,27,20,40,0,0,0,7,9,18,0,0,0,7,12,21,0,0,0,8,10,13,0,0,0,8,9,20,3,3,9,23,31,52,3,0,0,34,33,62,7,4,6,45,22,69,8,3,12,56,29,90,3,3,5,51,32,80,16,5,15,66,38,103,0,0,0,43,23,66,9,3,10,55,29,79,5,0,9,42,32,72,6,0,6,53,30,80,3,0,3,33,21,55,6,0,6,36,24,65,3,3,3,29,20,56,3,5,9,37,29,67,3,3,4,26,24,57,7,3,7,38,36,69,0,0,0,23,29,48,6,0,7,28,25,55,0,0,0,23,26,50,3,3,4,24,30,58,4,3,6,41,41,81,10,9,18,52,44,100,34,22,55,418,338,755,68,33,104,524,393,912
RA72,616,567,1188,4021,3963,7984,495,488,984,5137,5018,10155,672,619,1289,3661,3427,7085,440,405,843,4774,4455,9223,672,633,1305,3113,3017,6132,370,349,720,4162,3991,8148,605,537,1141,3050,2675,5729,383,344,727,4039,3560,7600,607,462,1068,3988,3412,7393,610,481,1091,5198,4355,9555,541,442,983,5559,5237,10794,986,702,1692,7081,6389,13470,479,376,859,5598,5404,11002,888,644,1530,6963,6425,13388,406,364,775,4851,4530,9378,782,507,1282,6038,5401,11436,390,381,772,4388,4068,8459,655,464,1117,5438,4911,10347,337,370,704,4333,3884,8220,694,446,1145,5367,4694,10063,276,308,588,3867,3442,7311,576,418,991,4721,4163,8886,221,236,452,3331,3108,6437,502,387,884,4048,3728,7777,173,196,373,2790,2352,5146,431,328,752,3388,2879,6266,199,277,473,4724,4205,8935,613,484,1096,5536,4970,10507,6186,5771,11960,57280,52724,110004,8420,6442,14862,71889,64939,136828
RA73,548,498,1048,939,920,1859,216,159,371,1706,1579,3284,626,544,1179,902,835,1734,170,166,338,1700,1548,3247,576,543,1116,742,703,1449,154,156,316,1474,1407,2881,571,494,1071,725,578,1303,152,129,286,1449,1201,2654,612,501,1114,708,691,1398,186,165,349,1502,1352,2856,521,431,953,1082,1238,2314,262,277,541,1864,1947,3809,462,466,931,1172,1232,2410,261,254,514,1899,1954,3853,401,384,785,993,1050,2044,184,199,379,1572,1638,3209,410,431,841,962,937,1895,174,182,348,1537,1545,3090,386,439,826,1039,1050,2096,247,226,477,1673,1723,3393,320,397,718,1121,1070,2187,233,196,431,1675,1663,3338,209,306,513,1036,968,2000,225,179,406,1462,1454,2923,162,205,370,905,760,1669,198,174,368,1265,1144,2407,228,384,615,1378,1130,2507,317,248,561,1925,1758,3689,6033,6041,12069,13698,13171,26875,2972,2705,5679,22707,21919,44625
RA74,1738,1613,3349,305,318,623,79,61,145,2125,1989,4112,1809,1731,3537,314,282,595,64,62,121,2186,2075,4256,1841,1605,3443,196,189,385,88,39,126,2121,1842,3959,1740,1660,3399,157,111,266,72,51,122,1965,1819,3788,1593,1651,3246,316,259,571,135,94,229,2040,2000,4044,1484,1527,3014,442,444,888,133,139,268,2054,2108,4170,1356,1422,2778,425,467,892,98,90,186,1882,1983,3860,1065,1183,2249,397,354,749,93,81,180,1558,1624,3183,1018,1101,2120,370,313,682,82,68,153,1473,1484,2952,870,1000,1876,397,314,709,95,86,180,1361,1404,2764,676,808,1487,395,325,714,106,90,193,1173,1218,2393,512,589,1100,376,336,711,88,76,161,976,999,1975,357,466,823,306,253,555,77,48,125,737,766,1504,459,641,1103,404,222,631,68,59,126,929,924,1854,16517,16998,33516,4795,4194,8990,1275,1041,2311,22585,22235,44819
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,3,0,0,0,7,4,10,0,0,0,8,4,11,0,0,0,12,3,13,4,0,4,14,3,17,0,0,0,10,0,10,0,0,0,10,0,7,0,0,0,7,0,7,5,0,5,11,0,11,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,47,7,61,11,4,15,61,14,70
RA79,3,5,9,32,25,54,9,4,18,45,34,81,3,0,7,21,47,70,7,11,17,31,56,93,3,4,8,14,7,23,0,5,4,19,14,30,13,9,20,3,5,14,0,0,3,16,17,32,34,26,60,45,44,93,16,12,32,98,85,183,29,26,60,67,67,132,26,38,61,122,129,251,30,32,69,56,59,112,12,17,32,98,106,206,42,34,74,44,38,80,13,11,26,97,83,179,46,48,98,55,35,91,18,10,27,122,95,213,60,51,112,53,40,88,20,10,24,131,99,225,55,39,89,59,50,109,17,22,31,126,104,233,31,21,55,60,69,130,14,14,29,110,100,215,20,12,32,81,85,168,15,17,28,118,107,223,18,3,18,144,94,240,36,17,56,196,117,311,394,305,696,733,664,1402,204,181,387,1332,1157,2489
RA80,379,348,728,12824,11994,24817,652,538,1187,13861,12875,26730,367,304,674,12301,11430,23731,516,454,962,13187,12189,25374,318,306,625,10658,10131,20792,392,383,778,11370,10818,22193,328,344,674,11500,11245,22740,495,509,1006,12323,12100,24420,378,309,683,14552,14354,28905,879,854,1728,15810,15511,31319,277,299,579,14608,15248,29852,998,942,1947,15888,16491,32375,208,242,452,15205,15975,31182,1025,879,1904,16433,17097,33529,181,202,385,13994,14205,28197,772,716,1488,14952,15117,30066,168,198,368,12937,13399,26339,755,652,1407,13867,14245,28109,192,171,361,12226,12571,24800,709,611,1322,13128,13356,26482,156,173,332,10995,11795,22790,631,591,1214,11781,12555,24340,110,129,237,10083,10806,20885,562,582,1153,10755,11520,22279,98,81,174,8507,9397,17905,466,534,1000,9066,10012,19077,91,113,205,21236,25535,46768,1334,1587,2921,22668,27233,49903,3246,3221,6465,181632,188077,369711,10200,9818,20016,195078,201114,396195
RA81,3,0,3,32,16,41,4,3,10,34,15,56,0,0,0,27,22,53,3,3,3,34,24,61,0,0,0,19,22,41,0,0,0,15,19,43,0,0,0,19,21,46,0,3,6,21,25,50,0,0,0,16,17,28,0,0,0,19,17,31,0,0,0,22,22,41,4,3,7,22,28,49,0,0,0,18,27,46,3,4,10,21,32,49,0,0,0,27,24,56,9,0,8,33,25,60,0,0,0,20,23,50,3,4,6,24,35,60,0,0,0,24,18,40,0,3,3,24,22,45,0,0,0,26,17,46,3,3,8,31,21,48,0,0,0,19,20,39,4,0,3,20,21,43,0,0,0,17,12,29,3,0,4,19,7,32,0,0,0,17,16,32,0,0,0,17,14,35,5,0,12,310,273,582,38,30,71,347,311,657
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,8,6,14,0,0,0,5,6,12,0,0,3,5,7,13,0,0,0,7,7,22,0,0,0,0,0,3,0,0,0,0,0,3,4,0,5,15,14,29,0,3,4,16,20,35,3,3,7,35,31,66,6,4,5,36,42,79,0,0,0,31,23,51,3,0,3,36,21,60,0,0,3,24,12,41,0,0,5,32,20,47,0,4,3,29,18,43,4,3,7,31,25,59,6,0,6,28,9,40,8,0,8,37,9,45,0,0,0,16,6,24,0,0,3,14,11,26,0,0,0,24,16,41,3,0,4,32,15,43,0,0,3,11,18,29,3,3,7,20,22,41,0,0,0,17,13,30,3,0,9,26,15,36,0,0,0,19,15,33,3,0,3,20,15,37,15,12,33,255,199,454,37,18,62,312,228,538
RA91,5,5,14,5,8,12,0,0,0,15,18,32,9,12,18,0,0,0,0,0,0,14,12,20,11,8,24,0,3,8,3,0,3,18,9,29,4,16,22,6,0,8,0,3,9,15,19,35,4,3,12,16,7,17,6,3,10,28,7,39,4,7,7,18,3,21,5,0,4,24,11,39,9,3,8,4,6,13,5,3,6,12,10,27,8,13,19,7,3,5,0,0,0,14,12,27,3,12,15,9,5,10,0,3,4,15,23,34,8,8,18,3,8,12,5,5,9,15,21,38,6,4,10,11,0,14,7,0,7,21,7,24,4,9,14,10,0,8,0,0,0,13,13,28,4,0,9,0,0,0,0,0,6,5,3,8,10,5,18,6,4,8,3,0,5,10,15,27,97,107,207,91,48,138,34,18,50,216,172,391
RA94,0,0,0,118,99,217,8,7,11,122,105,234,0,0,3,128,111,236,13,10,23,141,121,267,3,0,3,94,113,210,9,6,15,109,126,233,0,0,0,80,78,153,10,7,17,90,84,173,0,0,0,96,53,148,9,3,17,104,53,161,0,0,0,117,81,201,13,11,27,136,85,219,0,0,0,133,118,255,16,14,26,148,133,285,0,0,0,157,118,277,10,5,13,171,125,290,0,0,3,141,120,261,10,11,22,155,132,282,0,0,7,143,124,262,9,16,28,154,144,295,0,0,0,162,142,306,22,23,47,184,169,355,0,0,0,158,150,302,23,26,44,179,171,349,0,0,3,140,136,270,23,18,43,162,155,313,0,4,6,317,274,596,40,32,74,362,314,679,13,10,25,1986,1711,3704,218,189,405,2215,1916,4133
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,6
RA99,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,4,3,0,0,3,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,3,6,7,0,0,0,6,5,8,0,0,0,6,8,13,3,0,3,20,29,51,0,3,3,21,28,55
