RA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,31915,33736,14480,1110,81235,27490,3574,112304,922,354,623,76,1970,3923,335,6230,699,396,299,54,1438,1278,286,3007,1623,741,920,123,3409,5199,622,9234,1393,527,834,96,2854,5091,535,8474,213,43,46,21,322,599,121,1043,138,34,26,10,210,478,68,756,24,19,12,0,54,87,10,157,1764,627,923,123,3440,6258,729,10424,29,5,3,0,41,50,0,91,42,8,5,0,52,99,5,157,4,6,0,0,17,21,0,39,60,62,34,4,153,86,34,279,136,86,42,3,267,253,41,563,83,69,35,0,184,162,29,375,35517,35251,16393,1366,88535,39368,4996,132896
RA62,19346,14780,5843,369,40335,15160,1257,56753,258,61,143,10,475,1360,31,1867,36,10,17,0,62,110,3,177,289,73,156,10,532,1477,37,2049,87,29,48,4,171,456,18,644,0,0,0,0,0,38,0,35,8,0,3,0,17,44,3,63,0,0,0,0,0,4,0,5,101,33,48,4,190,543,17,753,58,10,12,0,81,147,3,231,35,10,3,0,50,87,9,139,23,8,0,0,33,32,3,69,56,38,16,0,106,62,11,176,166,58,34,3,269,321,20,618,80,65,21,3,168,132,11,311,19988,15009,6102,397,41499,17630,1348,60479
RA63,982,593,254,19,1848,1016,102,2969,13,7,3,0,27,40,0,68,0,0,0,0,0,0,0,0,13,7,3,0,27,40,0,68,13,10,3,0,23,43,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,10,3,0,23,46,0,69,3,0,0,0,3,5,0,6,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,11,0,17,3,5,3,0,13,16,0,26,1015,615,263,18,1915,1131,110,3152
RA64,339,203,61,5,606,340,36,976,10,0,0,0,6,24,0,32,0,0,0,0,0,0,0,0,10,0,0,0,6,24,0,32,0,0,3,0,3,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,4,3,0,3,5,0,0,0,11,10,0,23,349,207,65,5,626,381,37,1053
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,7129,11933,3116,310,22485,3534,1220,27239,636,508,305,44,1490,967,169,2629,564,503,190,27,1282,565,170,2016,1197,1007,499,66,2773,1530,337,4646,900,769,400,53,2124,1453,261,3843,553,318,115,22,999,561,191,1755,1524,753,189,46,2520,1427,506,4450,4,0,0,0,10,3,0,11,2984,1833,710,125,5651,3446,963,10062,211,42,18,0,277,212,15,509,30,12,0,0,42,62,3,115,19,18,3,4,44,26,9,78,44,42,9,3,100,40,13,150,308,108,36,8,465,345,43,850,65,57,13,7,143,103,9,256,11681,14950,4371,513,31515,8957,2574,43043
RA73,2452,3400,1158,167,7183,1598,417,9192,378,295,173,24,870,773,93,1738,136,149,60,9,359,269,45,677,521,442,240,33,1228,1043,141,2413,75,45,44,10,169,282,27,472,8,3,0,0,11,17,3,34,8,3,7,0,19,41,3,61,3,0,0,0,0,3,0,12,92,47,46,9,198,350,29,578,115,27,7,3,155,248,8,408,13,0,0,0,16,37,0,46,14,7,7,0,25,34,3,66,62,98,36,0,201,95,19,309,204,136,50,3,386,407,31,824,57,58,17,0,134,104,8,248,3326,4080,1512,210,9136,3505,623,13262
RA74,1290,2914,1198,237,5645,893,129,6667,178,248,102,23,557,214,21,782,0,0,0,0,3,8,0,9,182,254,102,23,558,216,21,796,120,69,34,10,228,325,67,618,12,5,4,3,30,60,11,101,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,5,132,70,38,14,259,397,75,725,90,19,7,0,113,129,9,257,9,4,0,0,16,24,0,37,49,29,9,9,90,71,6,165,16,7,0,0,19,15,3,33,161,55,17,11,250,234,14,500,19,11,6,0,37,24,3,65,1792,3302,1367,291,6750,1764,243,8752
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,25290,40341,10005,866,76497,15787,3061,95345,3062,2485,1505,153,7209,6050,612,13872,2942,2665,1240,163,7015,3276,1119,11408,6011,5150,2745,321,14222,9326,1734,25278,1048,466,302,61,1880,2363,357,4597,1904,823,338,111,3171,3333,805,7314,2944,796,287,109,4142,4236,927,9303,32,23,15,3,69,108,10,191,5931,2107,940,280,9259,10045,2105,21404,0,0,3,0,4,23,0,26,13,6,9,0,28,65,15,104,0,0,0,0,0,6,0,9,7,17,7,0,36,10,0,45,19,29,24,0,69,105,15,184,56,38,18,0,116,126,25,274,37304,47666,13725,1467,100160,35389,6931,142479
RA81,52,82,11,0,144,26,7,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,50,84,11,0,148,27,7,182
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,7,25,31,3,70,8,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,3,0,3,8,25,31,3,71,19,0,86
RA94,352,323,84,6,767,277,11,1048,9,16,8,0,43,16,0,54,7,8,4,0,18,10,3,29,17,30,9,0,62,25,3,87,4,7,3,0,17,28,0,44,11,27,7,3,49,8,3,59,0,3,0,0,6,4,0,5,0,0,0,0,0,0,0,3,22,38,10,3,65,39,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,6,0,13,4,0,0,0,8,3,0,13,3,0,3,0,6,4,0,15,399,391,107,5,905,351,20,1270
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
