RA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
RA61,4,149,9757,9909,275,1442,7925,9641,5490,4700,8016,18207,9597,3133,5063,17793,11186,2761,5807,19754,11792,1790,5162,18734,9783,830,3456,14065,4967,209,1991,7170,1250,37,988,2279,54347,15050,48144,117546,13,266,9014,9292,515,2088,6750,9348,7142,4831,7708,19686,10862,3227,6217,20300,11791,2700,7373,21862,11797,1530,7436,20758,8734,586,6469,15791,3537,125,5381,9049,598,17,2892,3506,54986,15372,59238,129596,23,418,18768,19204,790,3523,14676,18988,12633,9534,15722,37888,20454,6355,11277,38090,22976,5462,13181,41613,23585,3314,12597,39496,18515,1417,9925,29852,8509,338,7371,16223,1848,59,3875,5784,109339,30421,107383,247145
RA62,8,57,4139,4197,111,566,2491,3165,1959,1618,2270,5842,3694,1416,1953,7058,5365,1463,2794,9620,6766,1109,3051,10927,6072,547,2269,8893,2756,128,1184,4066,515,24,412,956,27249,6919,20563,54731,3,117,3722,3848,220,848,1843,2914,2688,1745,2102,6534,4362,1475,2111,7941,6083,1458,2826,10367,6922,939,3062,10924,5292,415,2852,8558,1810,83,2179,4074,219,18,1023,1254,27605,7103,21707,56416,10,173,7857,8045,336,1417,4333,6081,4648,3363,4371,12377,8053,2886,4061,15007,11445,2915,5619,19985,13692,2052,6113,21855,11371,964,5117,17456,4562,216,3360,8140,730,44,1431,2209,54854,14023,42272,111147
RA63,0,8,118,124,7,37,87,135,98,113,107,315,136,75,126,336,227,75,218,522,309,61,236,613,280,26,165,463,120,7,76,204,20,0,19,42,1205,396,1161,2759,0,13,100,108,6,49,67,125,131,98,114,343,180,80,87,343,244,80,136,457,314,61,175,549,245,19,114,372,70,0,104,179,10,0,28,39,1213,397,921,2526,0,16,219,238,15,84,161,256,230,213,221,662,320,150,213,686,479,147,355,981,626,128,406,1163,521,44,276,841,193,8,182,385,29,0,45,78,2416,788,2082,5284
RA64,0,3,34,31,0,11,34,49,34,37,46,118,44,27,43,113,73,29,60,161,114,19,73,208,90,19,50,161,42,0,30,66,9,0,7,13,404,141,374,923,0,7,16,20,0,12,20,37,44,48,30,118,54,24,31,111,80,25,40,143,107,15,44,169,79,10,37,126,26,0,40,71,0,0,19,21,392,142,275,815,0,7,43,49,3,22,55,84,83,83,73,233,99,52,68,219,151,57,102,306,220,43,116,379,167,23,92,286,67,5,69,137,9,0,28,38,799,288,650,1734
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,3,53,3331,3377,141,680,2831,3644,3318,2785,4328,10427,5031,1546,2340,8912,4316,1303,2308,7929,3314,755,1838,5911,1938,252,1101,3292,610,57,369,1031,84,3,113,196,18754,7429,18549,44735,10,133,2890,3033,377,1043,2068,3480,4518,2891,3354,10763,5296,1523,2181,9001,4198,1258,2162,7620,2922,605,1972,5503,1406,189,1264,2856,333,15,687,1038,33,0,204,243,19093,7664,16788,43539,10,181,6216,6409,519,1720,4896,7132,7827,5678,7683,21190,10325,3072,4516,17920,8520,2556,4477,15554,6238,1366,3810,11416,3348,438,2363,6148,940,75,1055,2072,115,4,317,438,37843,15087,35340,88273
RA73,16,18,1105,1141,66,192,748,1003,836,645,1121,2607,1177,472,709,2364,1265,417,795,2482,1072,273,685,2024,551,101,411,1065,145,15,155,313,27,0,33,57,5157,2139,5763,13055,22,39,897,956,110,235,644,989,1154,759,1071,2984,1266,496,813,2572,1301,429,911,2644,975,217,816,2007,357,67,467,887,93,13,207,315,10,0,76,87,5288,2258,5904,13448,38,57,2000,2099,180,424,1388,1990,1991,1408,2190,5587,2439,965,1521,4929,2565,850,1708,5128,2048,487,1498,4035,908,163,879,1948,240,29,360,630,34,3,113,147,10447,4394,11664,26496
RA74,59,16,1522,1594,392,150,1066,1613,1352,476,1395,3221,1263,404,795,2468,1035,256,740,2029,718,146,498,1361,263,53,260,582,57,7,91,157,9,0,12,22,5160,1513,6383,13051,125,44,1314,1488,534,194,938,1662,1452,530,1474,3458,1294,379,973,2637,985,244,949,2174,587,115,763,1467,145,31,371,545,23,7,148,181,0,4,23,27,5141,1549,6958,13650,185,67,2836,3080,926,343,2006,3279,2802,1007,2868,6675,2554,782,1769,5110,2020,496,1696,4207,1301,264,1261,2831,415,85,634,1127,88,12,234,334,11,3,43,54,10301,3059,13344,26702
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,0,71,10473,10545,264,1506,10422,12192,9977,6074,12122,28174,16724,3440,5853,26019,14538,2585,5446,22570,11959,1513,4229,17701,8886,657,2451,11994,4003,151,1231,5385,1020,29,671,1717,67379,16028,52899,136301,14,155,9912,10081,679,2213,9377,12271,13367,6281,10415,30064,17221,3386,6594,27200,14400,2519,6990,23899,11378,1284,6547,19211,7688,468,5333,13483,2878,91,3610,6574,484,10,1954,2451,68097,16416,60718,145232,13,231,20382,20627,941,3722,19796,24462,23345,12356,22535,58236,33949,6827,12447,53225,28938,5099,12432,46472,23341,2799,10770,36913,16575,1119,7785,25481,6882,246,4845,11964,1497,42,2620,4166,135474,32447,113615,281532
RA81,0,0,20,20,0,0,10,10,16,6,10,35,36,11,0,45,34,8,9,45,21,3,9,35,4,0,7,16,4,0,3,6,0,0,0,0,114,30,61,206,0,0,20,20,0,0,3,6,24,7,8,40,36,6,7,51,26,3,9,34,18,3,7,25,3,0,3,7,3,0,0,4,0,0,0,0,113,24,57,194,0,0,41,41,0,4,17,16,43,13,14,74,77,17,9,100,52,15,16,78,36,4,20,57,11,3,8,24,4,0,3,8,0,0,0,0,224,49,125,403
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,12,12,0,0,4,4,0,0,7,11,9,3,12,26,5,3,17,20,5,4,9,17,0,0,3,4,0,0,8,8,0,0,0,0,25,10,71,104,0,0,14,14,0,0,0,0,3,0,7,13,11,0,19,33,5,3,10,20,4,3,5,12,4,0,7,6,0,0,0,0,0,0,0,0,28,9,74,112,0,0,25,25,0,0,9,9,9,0,16,24,14,3,37,55,12,3,24,43,10,8,17,33,5,0,8,11,0,0,3,3,0,0,0,0,49,20,142,208
RA94,0,0,68,73,3,6,48,58,57,22,45,127,131,44,37,208,136,37,58,236,146,19,71,239,134,10,38,177,41,3,23,68,14,0,6,24,670,137,393,1201,0,5,68,73,5,9,27,41,97,29,41,164,147,42,34,219,139,37,54,236,145,23,69,231,98,5,57,163,30,0,43,75,4,0,18,23,664,153,416,1232,0,5,141,143,12,15,69,98,153,52,87,287,277,80,69,429,279,81,114,471,291,40,136,472,228,15,95,341,74,3,64,139,14,0,28,46,1327,288,812,2433
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
