RA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA72,120,1347,3477,2254,1954,1345,517,105,30,11149,26,783,2931,1979,1756,1122,326,44,8,8978,21,380,2426,2044,1709,1081,251,44,6,7964,7,143,1523,1662,1614,919,186,20,5,6077,6,156,2351,2798,2488,1483,279,37,10,9615,6,78,1125,1572,1440,887,197,42,4,5346,1165,1445,4046,2978,2560,1930,1046,387,131,15700,7600,9555,26858,21789,18951,14042,7413,2470,626,109301
RA73,29,282,918,623,711,514,145,25,4,3250,10,140,746,553,608,402,87,7,0,2554,6,65,610,561,552,385,58,9,0,2256,0,31,308,375,468,360,60,3,0,1609,3,23,383,557,582,436,69,9,3,2056,3,8,71,161,267,182,61,4,0,757,570,665,1521,1065,1213,959,505,178,57,6733,2654,2856,7662,6297,6726,5327,2596,850,238,35215
RA74,17,120,374,243,232,172,45,3,0,1205,3,71,255,182,200,172,41,6,0,927,6,40,187,171,185,120,30,5,0,739,0,27,120,157,151,172,30,0,0,644,3,16,211,248,260,211,28,5,0,981,3,4,56,107,91,61,16,0,0,344,1257,868,1560,1182,932,560,211,55,13,6637,3788,4044,8029,6136,5159,3483,1371,411,68,32488
RA75,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,0,0,0,25,0,3,30,19,9,3,0,3,0,72
RA79,0,3,24,17,12,26,6,0,0,88,0,3,21,18,16,7,9,0,0,69,0,0,17,11,5,13,4,0,0,49,0,0,5,15,12,0,0,0,0,33,0,3,22,10,18,10,0,0,0,58,0,0,6,8,16,8,3,0,0,39,4,47,143,96,111,81,51,12,0,551,32,183,457,396,461,438,278,38,0,2281
RA80,171,3235,8514,5226,4306,3990,2704,953,386,29486,36,1651,9288,5459,4366,3554,1814,533,214,26915,19,549,7813,6437,5353,3532,1467,400,151,25724,9,156,4414,5099,4038,2602,904,211,99,17522,23,120,5785,11255,10382,5645,1430,299,132,35074,21,58,1243,4096,5136,3146,874,244,98,14922,1526,2163,4648,3517,3046,2525,2140,1647,1418,22628,24420,31319,65909,58180,50816,41358,29400,14346,6150,321901
RA81,0,3,12,11,19,10,0,0,0,53,0,0,15,17,9,4,3,0,0,53,0,0,7,10,12,9,0,0,0,35,0,0,7,9,10,4,3,0,0,28,0,0,6,25,11,10,0,0,0,43,0,0,3,9,7,5,3,0,0,29,10,3,11,14,9,8,3,0,0,60,50,31,105,118,96,72,27,8,3,512
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,9,7,3,3,3,0,0,0,27,0,4,6,7,0,3,0,0,0,21,0,0,6,5,3,8,0,0,0,20,0,0,4,0,0,3,0,0,0,8,0,0,3,0,3,3,0,0,0,13,0,0,0,3,0,4,0,0,0,9,6,9,9,26,6,20,0,3,0,88,35,79,108,107,68,78,24,8,3,506
RA91,0,3,11,4,6,0,0,0,0,24,0,3,4,7,0,0,0,0,0,16,0,3,9,3,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,7,0,0,0,3,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,9,14,21,11,16,8,12,0,0,93,35,39,61,58,59,33,15,6,0,312
