RA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA43,0,0,0,9,6,3,0,0,0,23,7,31,9,89,46,36,18,3,0,233,0,0,0,3,0,0,3,3,3,14,0,8,0,17,17,32,40,21,3,138,0,0,0,0,8,0,0,0,0,11,5,28,17,55,28,16,15,3,0,160,0,0,0,0,0,4,9,6,0,11,0,9,0,17,0,0,0,0,0,29,0,0,9,12,0,0,0,0,0,28,3,8,0,22,12,3,0,0,0,47,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,3,0,4,9,18,15,15,16,3,0,86,0,3,0,9,3,0,0,0,0,20,0,0,0,3,3,10,4,3,3,27,0,14,3,25,3,12,0,0,0,57,3,29,16,77,39,47,45,18,11,281,174,343,331,888,538,602,452,270,157,3755,2735,5452,4176,10037,6051,6424,4927,2417,1088,43300
RA44,0,0,0,3,0,0,0,0,0,6,0,6,12,32,11,5,4,0,0,75,0,0,0,4,0,3,0,0,3,12,0,0,0,0,8,8,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,16,0,0,0,0,3,3,5,7,0,22,0,8,6,41,3,0,3,0,0,56,0,3,0,3,0,0,0,0,0,5,0,4,0,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,16,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,9,6,0,0,0,0,16,0,8,0,24,21,28,42,24,5,159,78,123,129,401,235,259,175,75,44,1521,856,1714,1462,3568,1926,1897,1210,475,173,13278
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3
RA49,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,22,0,0,0,0,0,21,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0,11,0,0,5,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,18,35,3,7,4,0,0,75,12,21,41,115,94,60,29,6,0,374,91,129,439,978,474,403,271,59,22,2863
RA50,13,171,164,580,350,149,23,16,3,1472,417,3483,3706,10440,3895,1748,642,138,27,24504,8,92,130,1580,547,1306,685,418,324,5102,117,1239,1495,5202,4373,4321,3428,1988,638,22798,158,1041,2111,4540,2226,2353,1272,557,133,14399,213,3212,5672,12044,6902,3884,2007,827,268,35027,0,0,28,392,320,463,375,271,102,1944,80,672,608,3269,1023,724,538,246,98,7259,48,55,374,2975,190,159,93,11,0,3913,172,844,1076,2880,874,492,158,33,11,6547,5,27,111,791,545,614,507,285,61,2946,12,42,111,553,223,94,57,30,10,1130,211,1011,950,2435,1184,1073,688,183,73,7802,118,460,1422,6114,3042,2443,944,395,144,15069,25,288,391,1398,1179,899,822,424,177,5596,27,537,1387,3761,1889,1331,486,149,36,9610,864,4919,8004,27725,9538,6962,4648,2440,1041,66139,6607,10879,14071,39480,16459,14147,11087,7680,4673,125080,125375,240245,249994,572032,254234,209530,149970,81028,34447,1916847
RA51,0,3,4,38,43,17,5,0,0,117,40,325,228,851,265,117,48,4,0,1875,0,7,9,58,8,55,42,40,32,250,0,33,65,230,288,341,352,153,30,1496,7,17,33,74,63,55,20,15,0,285,11,278,352,852,569,286,184,72,19,2622,0,0,0,5,4,10,11,8,7,52,3,17,13,89,32,10,9,4,0,185,0,0,55,282,0,0,0,0,0,345,6,43,34,124,68,26,9,3,3,318,0,0,0,4,0,4,8,3,0,15,0,0,0,12,3,0,3,0,0,21,7,44,46,165,115,133,100,36,6,661,3,15,35,154,56,25,17,0,0,306,0,11,5,50,93,90,73,39,17,382,5,38,96,264,161,159,71,17,3,811,27,149,155,818,494,430,335,159,67,2628,910,1944,1898,4616,2886,2810,2216,1295,490,19050,13260,29698,23890,53374,31319,29202,22225,10453,3621,217037
RA52,0,40,33,73,48,14,0,0,0,215,49,357,285,981,368,179,64,9,0,2303,0,5,7,32,7,20,25,23,25,141,0,17,25,133,197,255,233,136,37,1043,0,11,13,42,33,25,19,6,0,152,22,237,289,647,433,216,108,42,8,2005,0,0,0,4,9,12,19,9,5,56,0,18,7,80,19,13,11,4,3,148,3,3,18,129,0,0,0,0,0,155,13,103,89,155,74,28,9,4,0,478,0,0,0,0,3,7,9,16,4,44,0,0,0,9,4,0,4,0,0,20,3,28,31,128,73,76,69,19,3,432,3,12,20,80,28,30,3,3,0,182,5,7,9,55,60,64,57,23,9,295,7,71,74,248,129,104,40,3,4,683,15,131,123,602,341,312,287,141,53,2002,876,1796,1626,4279,2609,2696,1947,1226,486,17537,11607,24680,20175,43857,26077,25285,18622,9464,3416,183178
RA53,3,7,3,35,16,10,0,0,0,74,34,197,196,602,248,97,20,3,0,1392,0,0,0,25,4,3,4,0,0,45,0,8,11,99,87,78,45,31,12,361,0,0,7,27,21,24,7,3,0,91,12,79,115,365,175,76,28,8,3,852,0,0,0,0,0,0,11,3,0,18,4,14,3,57,28,5,6,0,0,121,0,3,15,111,0,0,0,0,0,128,11,29,35,149,56,20,0,0,0,294,0,0,0,7,3,6,6,0,0,27,0,0,0,9,7,0,0,0,0,12,3,10,9,68,29,26,12,3,0,165,0,10,4,38,8,3,0,0,0,67,0,0,0,27,13,15,9,0,0,64,3,26,33,133,60,27,10,0,0,303,10,44,48,440,146,126,55,28,14,912,703,1183,1043,3759,1763,1339,703,298,108,10902,6754,12052,8582,26888,11957,9540,5011,2135,688,83602
RA54,0,13,11,57,37,18,3,0,0,148,13,62,45,380,173,54,13,0,0,734,0,0,0,21,4,6,3,0,0,36,0,3,11,108,93,73,16,8,0,306,0,3,3,22,18,7,0,0,0,50,0,16,42,191,122,43,18,6,0,446,0,0,0,0,0,10,0,5,0,16,0,12,3,40,9,5,0,0,0,70,0,0,10,85,0,3,0,0,0,97,5,9,20,74,38,14,4,0,0,162,0,0,0,7,6,7,0,3,0,20,0,0,0,4,3,0,0,0,0,11,11,13,3,88,34,29,21,0,0,200,3,14,8,107,44,24,7,0,0,206,0,0,3,25,13,12,10,3,0,69,0,11,8,114,47,36,9,0,0,232,4,26,38,398,176,118,75,16,3,845,413,699,893,4539,1803,1249,496,136,40,10263,4576,8043,7010,25597,10312,7458,3202,917,233,67357
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,16,0,0,3,44,15,8,0,0,0,67,0,0,20,250,105,43,8,3,3,434
RA59,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,6,12,3,12,4,0,0,43,0,0,0,3,0,3,0,0,0,12,0,0,5,22,6,9,5,0,0,44,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,10,18,0,0,0,0,0,31,3,3,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,8,11,3,3,3,0,0,29,0,0,3,3,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,7,0,0,0,3,4,0,4,0,0,9,0,0,23,79,25,25,13,0,0,164,28,36,113,352,151,160,100,13,5,956,161,237,656,2216,957,977,633,98,23,5950
RA61,0,6,13,80,80,35,10,3,0,226,19,74,122,429,219,197,87,20,3,1166,6,7,8,98,48,73,98,67,86,486,0,34,31,163,241,272,416,267,95,1507,7,29,168,156,55,46,18,14,3,504,3,67,105,384,179,185,138,60,24,1145,0,0,0,4,11,11,14,27,3,70,4,29,31,141,45,35,26,19,0,327,12,12,32,162,16,7,0,0,0,232,8,74,81,225,52,21,6,0,0,485,0,0,0,0,3,5,5,0,0,16,0,4,5,10,16,8,11,7,0,58,21,109,102,324,185,182,156,46,14,1122,14,23,59,192,33,32,5,0,0,360,0,7,7,48,52,74,82,47,22,345,0,8,24,50,48,39,15,4,3,191,65,335,538,1811,729,624,500,364,198,5163,990,1749,2291,5252,3165,3489,3083,2015,955,22989,20030,41892,43733,84556,45954,44895,35120,19316,8503,344005
RA62,0,0,0,25,22,23,7,3,0,79,7,35,22,145,72,66,43,6,3,399,0,0,0,13,11,24,21,11,10,85,0,10,10,42,97,166,264,112,31,727,0,3,0,17,7,15,9,5,0,59,0,19,29,81,66,60,53,22,5,340,0,0,0,0,3,6,12,4,0,26,0,11,3,22,12,10,4,4,0,57,0,0,4,62,0,0,0,0,0,68,9,7,14,43,26,18,4,0,0,117,0,0,0,0,0,0,4,0,0,3,0,0,0,3,3,3,3,0,0,12,12,30,22,79,80,113,109,27,8,478,0,3,0,21,4,0,0,0,0,32,0,0,4,13,30,39,74,34,6,204,0,0,5,19,22,20,18,3,0,90,17,49,42,209,166,256,242,137,43,1164,392,1000,1046,2576,2031,2424,2075,1170,391,13102,7843,18755,16269,30830,22450,25248,20696,9637,3080,154807
RA63,0,3,0,7,0,0,0,0,0,11,0,3,3,10,3,6,3,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,12,7,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,6,8,3,7,0,0,28,0,0,0,0,3,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,10,0,0,0,7,0,0,0,0,0,5,0,0,0,0,3,4,4,3,0,16,0,0,0,4,0,0,3,0,0,7,3,5,0,22,4,10,12,11,7,68,24,83,45,155,131,161,151,49,11,812,421,811,590,1582,1152,1419,1116,466,121,7681
RA64,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,4,4,0,0,26,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,4,3,3,0,24,5,14,31,45,21,45,32,19,5,214,141,238,186,524,345,469,356,171,59,2487
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,10,32,15,12,7,0,0,68
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,13,0,5,14,44,21,13,14,3,0,116,40,36,153,329,135,113,84,12,3,912
RA72,0,17,30,171,128,65,22,9,0,437,85,607,619,2295,735,404,162,41,13,4963,0,3,0,44,4,25,9,5,3,92,6,19,28,129,113,120,78,33,7,531,3,11,15,93,44,47,25,14,0,259,7,50,80,269,117,58,24,9,0,618,0,0,0,4,11,10,7,10,0,41,25,64,45,314,79,55,34,19,6,635,15,6,33,390,15,14,0,3,0,479,31,75,105,313,159,74,33,11,0,805,0,0,0,6,3,3,3,0,0,13,0,3,0,18,11,3,5,0,0,42,13,62,54,151,65,48,40,5,0,438,8,44,74,349,135,108,44,14,0,768,0,3,7,54,25,13,22,9,0,137,3,35,55,224,61,39,7,0,0,420,77,306,342,1534,718,508,364,186,42,4080,981,1546,1855,6116,2369,1833,934,296,87,16010,10155,17377,17153,48648,18951,14042,7413,2470,626,136828
RA73,6,9,9,44,25,15,5,0,0,102,11,70,111,323,140,83,25,8,3,770,0,0,0,13,6,8,0,0,0,24,0,0,3,28,26,33,25,20,0,129,0,3,0,19,5,3,0,0,0,38,0,17,17,75,44,16,6,3,0,185,0,0,0,0,0,6,3,0,0,6,8,14,7,74,17,9,0,0,0,131,0,3,18,92,3,4,0,0,0,127,3,10,13,53,21,8,5,0,0,105,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,9,41,105,70,263,124,93,30,8,0,732,0,7,12,64,40,12,5,0,0,145,0,0,0,8,11,10,3,8,0,34,0,32,20,97,46,13,4,0,0,210,10,46,50,285,127,69,50,19,3,656,365,669,680,1919,1004,874,452,156,51,6164,3284,6131,5509,13956,6726,5327,2596,850,238,44625
RA74,0,3,4,27,13,3,0,0,0,56,3,23,16,71,28,16,3,3,0,161,0,0,0,8,0,3,0,0,0,11,0,0,0,3,6,8,8,0,0,26,0,0,0,0,0,0,0,0,0,4,0,12,3,33,19,14,0,0,0,79,0,0,0,0,0,0,4,0,0,3,0,0,0,12,0,0,0,0,0,10,0,0,0,23,0,0,0,0,0,20,0,0,7,18,11,0,3,0,0,43,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,7,3,0,0,35,0,0,3,12,4,0,0,0,0,19,0,0,0,0,3,0,0,0,0,3,0,0,3,17,12,7,3,0,0,36,3,7,12,93,49,39,13,5,0,220,181,341,456,1010,476,356,144,40,3,3014,4112,8220,7833,14158,5159,3483,1371,411,68,44819
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,5,47,9,3,0,3,0,70
RA79,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,3,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,11,16,0,9,3,0,0,36,16,23,71,290,150,99,52,9,0,702,81,123,218,850,461,438,278,38,0,2489
RA80,11,24,57,262,238,104,27,7,3,741,49,271,435,1784,619,375,185,49,19,3790,3,11,20,282,100,219,153,82,73,942,11,37,59,277,322,355,426,254,93,1837,21,88,206,388,142,98,56,21,7,1028,9,180,327,688,406,199,121,44,22,2004,0,0,7,49,76,90,62,68,10,360,14,183,227,1128,479,388,219,101,29,2774,10,15,72,319,50,31,15,3,3,522,29,106,210,631,148,116,49,8,3,1302,0,3,19,123,66,102,55,27,3,405,8,4,21,96,44,26,20,8,0,231,99,382,356,925,382,325,224,68,13,2771,26,112,259,1326,695,620,182,98,30,3340,3,18,26,101,62,82,82,61,22,449,0,43,111,264,113,68,23,3,0,623,158,798,1226,5016,2017,1671,1259,808,351,13310,1133,1660,2780,7104,2765,2387,1926,1346,959,22069,26730,47562,55741,124085,50816,41358,29400,14346,6150,396195
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,14,7,8,7,22,7,8,0,0,0,64,56,98,82,222,96,72,27,8,3,657
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,4,3,0,0,0,19,0,0,13,28,8,14,0,0,0,64,12,22,114,213,68,78,24,8,3,538
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,25,13,7,3,0,0,72,32,53,69,125,59,33,15,6,0,391
RA94,0,0,4,4,7,0,0,0,0,9,0,9,3,32,14,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,7,0,0,0,11,16,18,5,0,0,51,0,3,3,15,3,7,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,4,14,9,0,0,0,0,24,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,12,0,0,6,13,4,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,14,52,13,5,3,3,0,98,13,41,41,119,84,105,53,27,11,496,234,496,337,1080,651,661,444,179,51,4133
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
