RA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
RA50,358911,238976,283753,254687,240820,197466,140858,76899,32711,1825085,211,255,270,211,185,227,282,225,99,1957,148,186,491,545,574,622,408,140,34,3153,103,180,518,479,538,603,446,173,22,3068,78,160,312,295,450,484,315,72,9,2177,32,74,159,165,227,239,177,61,21,1141,5700,8391,9128,5718,5105,4751,3760,2488,1430,46469,16,24,28,40,83,133,129,43,3,486,20,32,61,50,64,61,34,4,0,324,7,24,36,35,52,30,36,7,9,232,11,3,11,8,16,27,8,3,0,93,6113,9070,10747,7332,7108,6950,5307,2993,1532,57148,6321,9324,11016,7546,7289,7177,5582,3217,1625,59103,365235,248299,294767,262233,248109,204644,146442,80112,34339,1884186
RA51,41810,22186,22720,26609,28879,26335,19909,9615,3423,201479,41,81,56,32,30,44,56,17,14,371,20,74,143,100,62,105,104,17,7,630,16,23,54,32,56,88,86,17,7,371,16,22,55,34,49,90,64,7,3,333,10,10,3,20,30,42,34,13,3,158,955,1558,1823,1196,1184,1258,955,381,158,9463,0,3,4,3,9,31,14,4,0,67,0,0,7,0,3,0,3,0,0,17,6,0,0,13,0,6,4,0,0,41,0,0,0,0,0,0,0,0,0,0,1017,1684,2093,1396,1392,1619,1258,448,175,11074,1051,1765,2149,1423,1421,1664,1314,465,190,11445,42864,23954,24865,28031,30304,27996,21225,10080,3611,212927
RA52,35264,18606,19754,20898,24041,22798,16663,8701,3174,169899,39,47,32,27,31,47,60,36,15,336,8,25,46,52,50,149,150,30,0,510,16,24,55,63,88,154,223,30,3,653,16,32,37,31,51,114,160,37,0,472,15,13,44,26,47,98,135,20,0,394,788,1400,1621,1122,1410,1531,1039,414,193,9515,0,0,7,6,19,30,55,7,0,124,4,3,12,3,5,4,3,0,0,36,0,0,0,0,3,6,8,0,0,28,0,0,0,0,0,0,3,0,0,3,848,1508,1812,1298,1671,2083,1770,541,200,11732,885,1555,1846,1323,1702,2130,1829,574,220,12071,36151,20162,21598,22221,25746,24927,18496,9278,3392,181974
RA53,18188,7848,13130,11903,10952,8545,4379,1951,635,77526,39,21,37,31,27,22,16,7,4,197,45,46,135,137,227,325,399,66,4,1381,129,70,195,214,289,513,698,144,4,2259,34,32,156,187,254,296,285,42,4,1293,11,17,55,52,115,209,277,53,5,798,601,797,1956,1641,1907,2150,1931,643,87,11712,9,3,24,28,28,80,91,10,0,275,4,4,9,11,15,25,9,0,0,82,4,0,4,9,9,35,27,0,0,90,0,0,0,0,0,0,0,0,0,0,834,973,2531,2272,2859,3635,3719,966,106,17888,873,992,2564,2305,2884,3661,3727,969,109,18084,19060,8836,15697,14212,13832,12204,8107,2923,746,95612
RA54,11964,6406,13082,10660,9429,6763,2904,850,219,62279,75,75,124,75,73,36,15,3,0,476,107,96,437,398,493,775,807,127,7,3251,248,88,415,464,495,1003,1074,148,12,3934,52,128,739,766,856,843,609,68,5,4054,34,28,176,208,277,374,423,60,4,1592,756,1660,7344,6307,6353,5091,3112,895,111,31633,26,15,80,71,109,150,123,5,0,580,18,22,58,58,51,39,23,7,0,283,7,0,8,14,19,52,59,5,0,166,0,0,0,0,0,0,0,0,0,0,1250,2049,9257,8279,8649,8327,6226,1317,135,45493,1320,2123,9384,8353,8720,8363,6245,1322,135,45964,13287,8529,22460,19018,18153,15125,9150,2170,354,108245
RA55,0,18,123,119,96,47,8,3,3,418,0,0,0,4,0,0,0,0,0,7,0,9,55,86,110,57,40,9,4,370,5,13,69,62,50,52,29,22,0,308,14,24,70,116,99,113,29,10,0,473,0,0,19,22,15,19,15,5,0,97,40,105,526,458,427,240,57,0,0,1864,0,3,3,17,24,18,3,0,0,70,0,15,10,12,5,11,5,0,0,53,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,60,173,755,774,737,512,176,48,7,3245,60,173,755,781,734,512,176,48,7,3245,60,193,876,903,837,560,185,49,5,3668
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,60206,41004,40129,39971,43638,41522,31676,17808,8034,323992,90,114,85,69,83,116,116,95,49,819,68,71,188,156,184,198,125,39,6,1020,64,153,314,244,303,241,134,40,6,1500,99,117,171,124,197,218,91,21,5,1049,19,21,42,46,51,49,53,8,0,286,18,22,61,36,73,55,48,13,0,331,1303,2228,1738,1114,1185,1186,816,448,290,10299,3,5,10,3,5,7,4,0,0,50,0,15,25,20,24,30,11,0,0,127,0,0,0,0,0,0,0,0,0,0,1572,2632,2551,1742,2032,1984,1284,562,311,14667,1665,2750,2638,1812,2114,2092,1396,660,358,15479,61872,43746,42770,41785,45758,43615,33070,18466,8393,339477
RA62,25793,14905,13064,15827,21064,23062,18444,8895,2897,143944,47,69,47,39,58,87,66,51,29,493,23,22,40,47,86,101,70,24,4,418,41,49,98,64,73,93,76,11,7,514,35,49,66,49,83,96,80,15,0,455,3,3,9,11,13,28,19,0,0,88,5,10,27,7,23,42,25,10,0,147,538,909,700,479,579,642,484,206,102,4640,0,0,7,0,3,0,4,0,0,18,0,0,6,0,6,4,5,0,0,31,0,0,0,0,0,0,0,0,0,0,642,1052,948,659,866,1006,760,269,108,6317,695,1122,1000,696,930,1094,822,317,137,6804,26484,16023,14063,16519,21995,24152,19269,9213,3036,150752
RA63,1186,537,729,735,1054,1250,922,427,112,6941,4,3,7,0,3,8,4,0,0,31,3,0,18,17,13,10,19,0,0,78,4,0,14,10,15,21,17,0,0,84,5,10,28,17,17,24,12,0,0,110,3,3,5,3,3,13,7,0,0,37,4,0,12,4,5,10,0,0,0,43,13,65,90,78,98,120,40,21,4,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,42,86,164,124,155,199,86,24,5,890,46,93,173,124,159,207,95,27,11,916,1228,622,896,861,1216,1455,1013,446,116,7862
RA64,354,157,258,224,317,393,299,154,49,2210,4,0,3,3,0,3,0,0,0,20,0,0,0,0,3,3,0,0,0,9,15,10,6,3,6,3,8,0,0,59,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,13,24,11,16,28,11,4,5,120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,32,28,28,18,26,31,18,6,5,196,34,27,29,21,25,33,21,6,5,214,391,186,286,245,343,432,312,166,60,2426
RA65,0,10,23,7,12,9,7,0,0,65,0,0,0,0,0,0,0,0,0,3,3,4,22,3,12,19,14,4,0,77,5,13,24,30,32,36,20,0,0,158,0,0,10,0,8,4,3,0,0,28,0,3,3,3,5,3,0,0,0,18,0,0,3,3,3,3,0,0,0,11,24,17,31,53,56,68,52,6,0,314,0,0,3,0,0,0,4,0,0,8,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,38,42,106,99,109,131,90,15,0,624,38,42,106,96,112,131,90,15,0,626,38,45,130,107,118,144,97,15,0,691
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,26828,15929,25246,20696,17873,13061,6927,2354,605,129513,37,37,53,28,29,22,20,3,0,222,73,135,424,334,405,595,580,183,30,2760,148,104,301,287,393,736,715,261,40,2981,93,150,560,520,600,571,399,106,20,3034,76,74,211,201,236,372,438,156,30,1783,57,97,328,342,406,447,355,127,13,2173,11,9,19,26,37,103,84,25,4,310,466,565,891,706,688,522,298,70,21,4222,5,27,53,61,63,59,24,14,0,304,0,0,0,0,0,0,0,3,0,3,919,1154,2787,2467,2831,3412,2894,943,163,17570,955,1185,2835,2498,2859,3433,2913,941,163,17799,27788,17117,28079,23194,20738,16493,9847,3300,770,147312
RA73,9071,5058,7067,5851,6241,4860,2384,815,233,41578,15,30,31,21,18,17,8,0,0,134,76,52,170,140,208,439,476,65,8,1633,187,68,153,154,197,446,464,123,14,1793,67,94,146,129,193,312,322,90,7,1354,59,66,133,89,136,244,270,57,3,1052,27,25,62,44,81,199,193,21,0,644,16,4,16,16,27,89,66,12,0,248,408,388,538,441,456,434,185,32,7,2883,8,17,27,11,14,22,29,9,0,134,0,0,0,0,0,0,0,0,0,0,836,716,1241,1015,1306,2192,1993,410,44,9747,850,744,1267,1035,1327,2202,2002,409,42,9881,9920,5801,8332,6885,7567,7060,4389,1222,275,51462
RA74,11689,7332,7520,5700,4701,3181,1266,388,63,41838,127,79,51,33,32,18,13,0,0,355,54,91,123,120,188,385,455,61,8,1485,90,37,126,96,156,423,433,88,8,1456,56,120,199,189,272,416,307,53,7,1609,37,22,73,70,100,243,226,49,3,828,28,41,109,117,94,169,182,23,3,763,9,6,9,11,31,71,45,12,0,190,295,322,523,361,426,385,132,19,0,2471,5,6,16,7,13,27,18,7,0,102,0,0,0,0,0,3,0,0,0,3,577,653,1166,973,1284,2120,1800,306,25,8911,703,735,1216,1005,1319,2140,1815,313,22,9263,12391,8065,8737,6704,6022,5317,3078,699,94,51102
RA75,3,5,30,19,9,3,0,3,0,70,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,15,8,0,44,0,0,3,3,4,4,3,3,0,24,0,0,5,8,7,7,13,0,0,35,0,0,0,0,0,3,0,0,0,5,0,3,13,7,12,10,0,0,0,43,0,0,0,0,0,0,4,0,0,7,0,3,3,7,10,6,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,23,31,46,38,13,0,185,0,11,27,23,31,46,38,13,0,185,3,20,54,47,39,46,38,10,0,252
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,72637,53030,62434,55750,48475,38505,26742,13200,5767,376543,71,97,89,76,69,107,121,61,25,713,265,988,964,903,1080,1140,651,255,76,6314,64,220,380,352,395,353,187,37,17,2002,119,195,248,238,325,248,139,32,10,1549,10,57,78,85,127,120,71,12,9,569,67,55,89,92,95,89,47,13,3,561,5,19,16,42,33,44,42,7,0,211,6,17,21,26,24,18,3,0,0,111,874,1295,1515,847,602,497,356,313,202,6498,0,0,0,3,3,4,0,0,0,16,1410,2840,3312,2587,2690,2505,1489,669,309,17813,1481,2934,3402,2665,2755,2610,1608,728,334,18522,74118,55971,65840,58416,51228,41114,28351,13926,6103,395069
RA81,147,71,92,114,94,71,27,8,3,623,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,5,0,0,0,15,0,0,4,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,8,0,3,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,18,6,12,10,0,0,0,55,0,10,18,6,12,10,0,0,0,55,147,83,108,126,106,74,31,8,3,687
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,0,12,0,9,3,0,3,0,0,0,0,12,0,9,3,0,3,0,0,0,0,12
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,79,72,61,58,55,33,15,6,0,380,0,0,0,0,0,0,0,0,0,0,3,26,34,24,6,0,0,3,0,89,0,5,12,6,0,0,0,0,0,20,0,9,5,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,38,64,32,5,6,6,3,0,160,3,38,64,32,5,6,6,3,0,158,83,108,128,93,57,41,23,6,0,544
RA94,711,324,462,546,604,598,417,158,48,3867,0,0,0,0,0,4,0,3,0,24,6,3,13,13,41,56,64,26,0,225,0,0,3,3,7,13,15,6,7,54,0,3,13,8,25,37,37,9,0,131,3,0,10,0,7,11,3,3,0,42,5,3,29,23,33,25,26,3,0,149,0,0,0,0,0,0,0,0,0,6,0,0,5,3,3,0,0,0,0,13,0,0,5,0,7,15,6,0,0,35,3,3,14,13,18,12,6,5,4,80,20,17,105,67,134,179,157,45,11,738,22,23,108,67,140,184,158,50,11,765,729,345,567,612,740,781,582,209,59,4626
RA95,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,14,0,0,3,3,6,0,0,0,0,14,0,0,9,5,3,0,0,0,0,19
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
