RA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
RA62,..,125,1977,3733,5420,6814,6122,2765,523,27473,..,613,1600,1376,1404,1061,503,115,22,6695,..,27,117,300,415,264,118,90,40,1373,12643,..,..,..,..,..,..,..,..,12643,..,2761,..,..,..,..,..,..,..,2761,..,2794,961,501,340,155,26,0,0,4769,..,285,101,61,100,135,105,75,27,895,..,182,129,82,69,48,28,16,3,555,..,260,256,117,231,269,227,71,16,1443,..,318,704,896,1633,2183,1770,938,318,8764,247,421,321,235,274,319,306,108,28,2262,12887,7781,6165,7299,9893,11243,9200,4179,979,69632,..,234,2712,4400,6140,6981,5338,1818,217,27833,..,962,1721,1434,1401,889,374,77,13,6868,..,283,950,1339,1212,473,263,242,157,4918,11914,..,..,..,..,..,..,..,..,11914,..,2774,..,..,..,..,..,..,..,2774,..,1636,479,200,169,125,19,0,0,2635,..,188,67,21,80,182,174,113,79,888,..,196,67,36,37,26,8,9,0,387
RA63,..,7,98,141,232,316,277,120,20,1212,..,47,108,74,68,66,21,7,0,387,..,0,3,19,31,11,4,5,0,74,558,..,..,..,..,..,..,..,..,558,..,67,..,..,..,..,..,..,..,67,..,82,38,29,7,4,3,0,0,166,..,14,9,6,5,13,0,0,0,42,..,3,0,3,0,0,4,0,0,15,..,20,12,11,23,24,18,4,0,115,..,23,51,62,154,180,135,68,15,683,16,11,19,16,19,32,32,11,0,156,572,269,336,358,539,645,499,214,44,3466,..,6,130,186,245,319,247,70,10,1220,..,59,100,74,73,65,18,0,0,390,..,7,51,45,38,21,7,10,4,196,546,..,..,..,..,..,..,..,..,546,..,53,..,..,..,..,..,..,..,53,..,46,11,4,8,4,0,0,0,77,..,9,0,3,3,6,7,10,0,37,..,6,0,7,4,0,0,0,0,14
RA64,..,0,34,49,73,114,96,42,9,407,..,15,37,25,30,19,12,0,0,139,..,0,3,3,5,4,4,3,0,16,185,..,..,..,..,..,..,..,..,185,..,16,..,..,..,..,..,..,..,16,..,25,13,3,9,3,0,0,0,53,..,3,3,0,0,0,0,0,0,8,..,4,3,0,0,0,0,0,0,5,..,9,3,11,9,5,3,3,0,41,..,11,23,28,41,61,42,22,7,231,11,6,8,3,3,9,10,0,4,55,195,86,123,117,165,214,170,70,17,1164,..,0,44,58,82,107,79,26,0,399,..,15,48,22,21,15,10,0,0,141,..,3,3,10,15,5,4,4,0,44,154,..,..,..,..,..,..,..,..,154,..,5,..,..,..,..,..,..,..,5,..,10,5,4,0,0,0,0,0,24,..,0,0,0,0,0,0,0,5,7,..,0,0,0,0,0,0,0,0,3
RA65,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA69,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,31,52,55,43,38,17,9,3,0,248,31,52,55,43,38,17,9,3,0,248,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA72,..,146,3354,5081,4372,3363,1973,621,83,18994,..,720,2749,1501,1249,706,218,41,4,7188,..,23,91,231,334,217,102,34,14,1041,12501,..,..,..,..,..,..,..,..,12501,..,2266,..,..,..,..,..,..,..,2266,..,2127,961,344,183,39,3,0,0,3654,..,456,402,173,134,123,87,58,20,1456,..,368,653,260,183,112,55,11,4,1649,..,652,1357,532,435,305,155,38,6,3480,..,266,867,809,1031,1046,693,234,63,4999,213,335,348,215,202,160,88,28,4,1588,12718,7365,10770,9129,8133,6069,3383,1060,200,58824,..,405,4561,5350,4269,2965,1429,332,33,19344,..,1155,2849,1470,1192,566,162,17,0,7407,..,176,631,991,949,431,213,122,45,3556,11967,..,..,..,..,..,..,..,..,11967,..,2194,..,..,..,..,..,..,..,2194,..,1243,514,159,73,35,8,0,0,2038,..,376,252,106,164,295,221,149,52,1608,..,332,444,98,90,70,24,3,0,1062
RA73,..,89,861,1202,1295,1085,564,145,27,5269,..,205,624,445,395,257,87,14,0,2023,..,17,32,77,96,47,25,6,4,302,4119,..,..,..,..,..,..,..,..,4119,..,588,..,..,..,..,..,..,..,588,..,681,267,114,41,14,0,0,0,1119,..,261,176,118,98,58,35,19,8,779,..,81,100,46,32,23,10,0,0,295,..,130,255,107,100,75,46,11,3,728,..,88,281,241,434,458,299,117,15,1938,81,106,98,75,65,70,29,6,0,533,4202,2251,2699,2434,2550,2092,1095,326,61,17708,..,139,1185,1285,1323,1001,365,93,10,5396,..,272,731,469,407,198,59,13,0,2150,..,110,285,385,321,166,68,29,15,1389,3896,..,..,..,..,..,..,..,..,3896,..,490,..,..,..,..,..,..,..,490,..,449,139,54,34,13,0,0,0,685,..,211,133,92,138,136,86,40,17,862,..,81,62,32,31,13,6,0,0,239
RA74,..,468,1380,1294,1055,733,276,62,14,5273,..,156,450,381,234,131,42,5,0,1397,..,24,74,89,91,66,49,19,0,407,5718,..,..,..,..,..,..,..,..,5718,..,441,..,..,..,..,..,..,..,441,..,1060,510,143,63,6,0,0,0,1785,..,851,509,320,283,142,87,45,5,2229,..,59,39,31,32,25,13,8,0,194,..,71,94,42,45,35,3,0,0,294,..,84,184,171,226,228,116,22,7,1035,174,127,127,85,72,52,17,6,0,663,5892,3339,3347,2554,2107,1409,598,161,28,19433,..,680,1491,1316,1007,595,153,24,0,5263,..,218,489,352,225,105,25,5,4,1423,..,203,477,426,361,225,116,51,6,1859,5266,..,..,..,..,..,..,..,..,5266,..,439,..,..,..,..,..,..,..,439,..,826,356,137,73,22,0,0,0,1418,..,612,372,253,300,288,165,73,16,2094,..,64,32,23,18,17,4,0,0,167
RA75,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA79,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,38,19,32,24,32,31,20,3,0,188,38,19,32,24,32,31,20,3,0,188,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA80,..,273,10048,16825,14657,12050,8977,4029,1018,67892,..,1567,6005,3335,2463,1421,566,121,25,15512,..,42,169,612,1019,599,232,107,74,2847,36208,..,..,..,..,..,..,..,..,36208,..,9246,..,..,..,..,..,..,..,9246,..,5557,3223,1088,592,239,29,0,0,10731,..,1142,874,277,267,246,153,92,67,3118,..,960,958,341,177,99,29,9,7,2587,..,3101,3733,838,546,413,190,82,24,8920,..,844,3166,2703,2843,2627,1815,948,502,15450,493,734,880,511,373,336,253,98,36,3717,36698,23470,29050,26536,22944,18037,12255,5492,1752,176227,..,707,13454,17338,14521,11470,7756,2900,487,68636,..,2362,6191,3269,2388,1195,402,73,7,15886,..,303,1459,2967,3452,1679,673,463,266,11268,33983,..,..,..,..,..,..,..,..,33983,..,9184,..,..,..,..,..,..,..,9184,..,4008,1935,522,309,169,39,0,0,6993,..,911,631,218,271,595,585,392,260,3856,..,867,724,182,79,54,21,9,5,1938
RA81,..,0,16,36,34,21,4,4,0,114,..,0,6,11,8,3,0,0,0,30,..,0,0,0,0,0,0,0,0,0,74,..,..,..,..,..,..,..,..,74,..,16,..,..,..,..,..,..,..,16,..,13,3,0,3,0,0,0,0,19,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,3,0,0,6,..,0,4,0,0,7,0,0,0,16,4,3,0,0,0,0,0,0,0,12,80,31,35,45,45,36,16,6,0,292,..,0,24,36,26,18,3,3,0,113,..,0,7,6,3,3,0,0,0,24,..,0,3,4,6,3,0,0,0,10,57,..,..,..,..,..,..,..,..,57,..,20,..,..,..,..,..,..,..,20,..,7,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0
RA85,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA89,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,16,26,42,35,25,14,8,0,0,161,16,26,42,35,25,14,8,0,0,161,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA91,..,0,0,9,5,5,0,0,0,25,..,0,0,3,3,4,0,0,0,10,..,0,0,3,3,0,3,3,0,7,42,..,..,..,..,..,..,..,..,42,..,6,..,..,..,..,..,..,..,6,..,10,5,7,0,0,0,0,0,24,..,0,0,0,8,3,0,0,0,12,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,3,5,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,42,15,11,26,26,17,4,8,0,141,..,0,3,11,5,4,4,0,0,26,..,0,0,0,3,3,0,0,0,6,..,0,6,9,5,8,3,0,0,30,35,..,..,..,..,..,..,..,..,35,..,10,..,..,..,..,..,..,..,10,..,3,9,0,3,0,0,0,0,16,..,7,0,7,3,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0
RA94,..,3,60,138,132,146,135,41,14,675,..,10,15,41,36,19,7,3,0,133,..,0,0,4,14,11,0,0,0,28,334,..,..,..,..,..,..,..,..,334,..,49,..,..,..,..,..,..,..,49,..,56,24,4,3,0,0,0,0,89,..,3,3,0,0,0,3,7,3,21,..,0,0,0,0,5,0,0,0,3,..,0,4,0,4,0,0,3,0,16,..,10,9,21,43,53,34,14,6,188,5,7,10,4,10,16,8,4,0,69,343,137,129,213,245,251,189,72,24,1597,..,10,93,142,146,145,99,30,4,672,..,11,26,39,35,23,7,0,0,146,..,3,11,18,26,15,10,5,3,77,320,..,..,..,..,..,..,..,..,320,..,47,..,..,..,..,..,..,..,47,..,26,10,4,13,3,0,0,0,57,..,10,4,0,6,9,13,5,0,41,..,3,0,0,4,0,0,0,3,14
RA95,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA99,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,15,0,0,0,4,0,4,3,0,0,15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
