RA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA23,1028,960,1989,142,125,269,41,30,71,115,130,242,9,7,17,21,22,43,5,4,14,0,0,0,5,12,15,3,3,4,0,0,0,199,209,404,14,20,32,9,3,8,360,353,719,134,103,237,1521,1420,2942
RA25,12,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,16,0,13,3,0,3,28,4,29
RA29,534,315,849,155,88,242,121,100,227,1182,1019,2207,121,122,237,30,29,65,49,49,99,20,21,40,21,18,40,7,12,17,0,0,0,1557,1366,2915,459,487,945,62,48,110,2233,1988,4223,1355,772,2128,4117,3073,7193
RA30,634737,664220,1298956,72847,77967,150812,35538,37852,73390,15112,15749,30863,377571,399994,777566,4818,4870,9688,5892,5958,11851,2614,2996,5607,3151,3030,6177,3077,3204,6283,56,44,103,447831,473695,921533,87581,96335,183916,13058,11968,25026,621320,659964,1281291,94531,94601,189129,1350585,1418781,2769369
RA31,224214,225805,450017,33481,35826,69309,8309,8739,17047,3379,3643,7025,109310,118236,227553,1227,1257,2482,1924,1971,3894,788,911,1705,1473,1416,2888,436,429,865,11,16,32,126866,136620,263483,9736,10816,20555,3491,3418,6908,173581,186685,360264,40278,35569,75848,438072,448056,886130
RA32,155039,149636,304678,26303,27224,53533,6326,6050,12379,3916,3994,7905,69632,73918,143550,1380,1417,2793,2043,2035,4077,689,685,1371,2126,2125,4255,503,531,1032,4,5,9,86617,90756,177377,9076,10469,19547,2501,2231,4735,124503,130686,255187,34969,29809,64782,314513,310124,624641
RA33,18075,15786,33860,3954,3764,7717,716,613,1332,256,239,495,5440,5056,10493,133,92,227,166,134,301,51,47,103,138,136,278,26,23,50,0,0,0,6924,6346,13274,887,1000,1890,239,209,447,12003,11318,23327,5057,3715,8775,35142,30823,65962
RA34,14871,14010,28884,2142,2266,4408,378,339,721,135,137,267,3829,3809,7633,77,67,140,126,105,230,26,30,51,175,148,319,11,14,26,0,3,9,4759,4644,9409,351,430,784,294,245,537,7546,7585,15136,2300,1997,4289,24714,23588,48304
RA35,33,49,84,0,0,0,4,0,3,0,0,0,12,12,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,31,9,5,14,0,0,0,25,21,45,4,17,24,66,81,150
RA39,1044,637,1684,262,153,423,425,419,841,254,247,499,1987,1703,3689,85,88,165,146,127,276,57,58,117,42,40,82,24,23,48,0,0,0,3015,2704,5724,628,764,1394,103,52,159,4011,3681,7693,1703,1097,2804,6759,5414,12175
RA40,322441,338152,660594,26117,28176,54292,4904,4848,9751,4499,4657,9160,3558,3655,7213,127270,136706,263978,1771,1688,3458,517,593,1110,1763,1789,3557,691,650,1335,21,12,31,144983,154605,299587,33419,35384,68802,3401,3141,6540,207930,221297,429227,33803,34307,68112,564168,593760,1157932
RA41,59079,59542,118623,9149,10025,19176,719,747,1460,958,1039,1997,787,811,1603,18956,20575,39530,455,451,907,160,154,310,449,516,973,55,67,121,0,0,3,22541,24368,46908,1597,1667,3258,493,489,981,33777,36548,70324,7096,6848,13945,99957,102933,202887
RA42,51181,49314,100495,9743,10282,20026,527,501,1028,845,810,1659,561,529,1088,9399,9957,19354,449,428,880,66,66,138,363,367,728,21,24,47,3,3,9,12236,12689,24925,1142,1099,2246,408,328,733,23529,24402,47935,7950,6611,14565,82657,80330,162990
RA43,11925,11172,23098,3113,3072,6187,169,144,311,135,142,274,234,218,455,2596,2534,5131,156,166,327,39,47,89,93,95,188,6,8,16,0,0,0,3444,3357,6799,269,318,584,92,83,173,6914,6829,13740,2086,1645,3728,20921,19647,40568
RA44,3940,3326,7268,467,469,933,49,51,103,79,45,127,83,47,127,832,708,1540,66,50,115,7,7,13,67,66,131,3,8,12,0,0,0,1187,976,2165,99,122,229,52,44,97,1814,1611,3427,926,809,1738,6682,5745,12425
RA45,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,6,0,3
RA49,251,122,372,66,31,100,38,28,70,39,38,74,61,68,130,534,373,907,30,26,58,3,11,13,13,16,32,3,3,6,0,0,0,721,568,1288,151,111,263,23,10,30,958,720,1680,480,243,722,1688,1083,2774
