RA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
RA41,10,6,3,0,6584,6605,230,11,11,0,5394,5644,3802,197,168,15,6348,10532,6951,563,765,32,3593,11899,8914,766,1882,107,2996,14659,10094,667,2444,275,1718,15197,9794,456,1700,562,649,13166,4752,134,501,807,226,6427,1254,29,101,686,52,2129,45806,2824,7573,2494,27555,86263,21,0,3,0,6387,6415,424,42,5,3,4799,5268,4982,357,280,28,5085,10733,7635,733,1116,101,3065,12650,9472,873,2558,322,2292,15520,10236,591,2869,794,1155,15645,8937,337,1879,1883,483,13511,3439,74,564,2620,134,6828,672,17,121,2469,80,3357,45819,3023,9393,8227,23478,89935,28,6,6,3,12973,13015,653,50,14,5,10190,10913,8783,560,443,45,11432,21265,14586,1296,1882,136,6656,24550,18385,1640,4444,431,5285,30179,20335,1255,5309,1075,2872,30844,18730,790,3581,2441,1135,26681,8190,211,1066,3425,363,13258,1927,39,225,3162,135,5489,91622,5847,16962,10717,51038,176195
RA42,10,3,3,4,5105,5123,141,15,3,4,4243,4409,2895,191,120,11,5806,9018,5076,431,529,22,3523,9587,6912,663,1540,86,3279,12477,8264,674,2240,285,1690,13158,7703,433,1566,535,665,10909,3714,137,483,734,267,5334,936,38,69,616,97,1754,35654,2567,6563,2299,24678,71763,15,0,8,3,4626,4644,267,29,3,4,3528,3834,3563,281,165,30,4680,8715,5404,500,725,87,2605,9317,7207,713,1681,275,2043,11907,8430,573,1990,731,801,12529,6842,262,1254,1872,289,10527,2782,73,380,2546,108,5889,436,14,93,2256,58,2861,34952,2435,6301,7799,18738,70229,19,3,9,3,9728,9764,410,38,7,7,7772,8243,6450,471,286,41,10489,17734,10483,927,1258,109,6123,18902,14117,1377,3224,361,5317,24391,16696,1242,4234,1017,2497,25686,14545,691,2824,2410,960,21438,6503,210,865,3276,371,11222,1369,55,164,2867,155,4615,70600,5006,12865,10096,43421,141991
RA43,0,0,0,3,1178,1176,33,0,0,5,991,1025,908,45,24,8,1616,2595,1420,94,119,3,891,2534,1815,169,393,24,793,3186,2111,175,568,71,436,3364,1822,86,374,129,157,2577,847,34,121,142,55,1197,228,11,18,136,26,421,9186,621,1617,516,6136,18083,3,0,0,0,1058,1059,62,6,0,0,841,911,1124,54,56,0,1206,2447,1507,137,176,10,629,2462,1807,144,398,73,446,2866,2037,125,547,140,208,3064,1627,49,285,330,57,2353,568,15,79,539,22,1222,138,3,23,489,10,667,8872,538,1561,1582,4479,17036,3,0,0,3,2228,2238,93,6,0,5,1833,1938,2033,101,80,7,2825,5039,2929,237,297,17,1522,4992,3620,309,796,95,1231,6051,4151,306,1112,213,644,6424,3447,134,661,466,214,4927,1418,52,192,680,76,2417,373,11,43,624,36,1088,18061,1159,3183,2099,10620,35115
RA44,27,0,0,0,323,345,54,3,0,0,353,409,294,18,19,0,637,966,462,46,52,0,360,918,493,46,109,5,375,1037,582,62,183,35,198,1060,397,43,133,39,99,711,149,6,43,37,48,284,37,0,7,21,10,75,2482,233,542,139,2409,5810,19,4,0,0,288,317,86,4,0,0,302,391,343,28,18,0,481,872,408,25,31,10,320,800,452,48,97,37,259,891,500,34,125,60,122,841,319,18,54,91,22,497,73,7,9,92,10,187,19,0,3,78,7,101,2217,170,335,371,1803,4902,44,4,0,0,609,663,135,8,0,0,652,799,640,50,35,0,1117,1845,865,71,85,19,681,1721,946,97,204,37,638,1926,1081,97,306,98,314,1897,716,57,184,131,123,1210,217,13,55,127,61,475,53,0,7,102,10,173,4705,400,885,512,4210,10711
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
RA49,0,0,0,0,95,95,3,0,0,0,161,161,40,15,10,0,282,349,35,38,28,0,180,280,53,33,62,0,136,282,79,32,63,16,49,239,86,11,57,8,13,168,15,3,7,13,3,43,4,0,0,5,3,13,311,141,220,40,920,1627,0,0,0,0,74,80,4,3,0,0,91,99,38,9,4,0,164,209,40,20,16,0,70,140,68,34,44,0,50,192,89,22,34,6,19,164,65,5,11,10,6,97,8,0,0,3,5,21,0,0,0,7,0,7,311,86,110,27,487,1016,0,0,0,0,170,173,4,7,0,0,254,266,70,27,14,3,448,556,70,61,38,0,251,421,117,61,101,0,192,474,172,50,98,16,71,403,148,19,67,15,21,271,21,3,9,19,11,59,4,0,3,11,3,22,621,227,327,69,1410,2648
RA50,140,18,31,25,60303,60519,2274,118,51,41,64681,67166,53539,2310,2112,126,92961,151056,84390,4727,7060,274,36877,133321,82374,5960,13869,735,22679,125620,69287,4408,14993,1620,10982,101287,53183,2616,9714,2937,4244,72697,26814,826,3321,4197,1423,36584,7318,203,624,3972,452,12571,379324,21187,51785,13924,294600,760820,225,25,20,14,57650,57931,4953,304,114,41,58963,64380,68464,3804,3471,261,76242,152238,87318,6406,10530,820,30344,135417,81694,7011,19987,2290,17638,128616,67841,4773,21369,5950,8318,108248,46093,2452,13920,11700,3108,77265,19650,707,5113,17676,1299,44440,3689,130,1212,16217,635,21876,379924,25608,75732,54966,254186,790414,369,45,47,33,117956,118451,7225,421,173,82,123645,131547,122008,6111,5584,386,169199,303287,171713,11126,17595,1091,67217,268741,164069,12978,33856,3024,40310,254234,137125,9181,36364,7573,19291,209530,99277,5065,23637,14635,7351,149970,46464,1533,8429,21879,2721,81028,11013,332,1839,20189,1082,34447,759252,46794,127517,68888,548785,1551233
RA51,14,0,4,0,6920,6932,260,15,3,0,5394,5670,4183,280,179,16,7837,12500,8341,631,825,29,4460,14284,9655,898,1933,122,3048,15651,9663,624,2380,262,1482,14416,8364,388,1622,473,497,11340,3639,110,461,563,218,4991,868,18,58,444,42,1431,44996,2957,7466,1919,29888,87218,21,4,0,0,6334,6359,363,39,7,7,4513,4925,5433,405,310,37,6075,12259,8749,806,1137,78,3559,14329,9787,916,2486,275,2203,15664,9696,644,2745,738,964,14784,7170,311,1600,1475,321,10888,2557,75,493,2211,116,5456,398,12,106,1632,39,2188,44166,3213,8895,6447,24131,86853,33,4,4,0,13251,13294,622,53,12,4,9903,10599,9620,688,487,53,13907,24762,17093,1434,1967,105,8018,28613,19442,1812,4412,394,5251,31319,19362,1267,5129,1003,2448,29202,15535,702,3224,1954,820,22225,6202,182,955,2780,336,10453,1260,30,165,2076,81,3621,89162,6171,16360,8370,54020,174076
RA52,19,3,3,0,5763,5787,226,10,7,4,4665,4914,3607,204,131,5,6697,10648,6270,502,583,27,3714,11093,7607,720,1494,96,3205,13124,8064,625,2134,278,1774,12872,6586,461,1458,477,660,9637,3230,124,461,587,232,4634,785,41,74,450,66,1418,36403,2686,6351,1927,26775,74140,23,0,0,0,5225,5249,320,29,4,4,3864,4219,4678,331,221,37,5511,10781,6761,588,768,82,3125,11333,7773,781,1889,267,2244,12955,7946,611,2156,711,994,12413,5672,310,1313,1387,301,8985,2230,75,429,2001,95,4827,370,10,86,1491,38,1996,35771,2741,6866,5970,21406,72758,42,3,4,0,10988,11041,547,39,12,7,8526,9135,8288,535,353,44,12212,21432,13032,1092,1351,109,6842,22425,15384,1502,3383,363,5446,26077,16006,1240,4283,981,2770,25285,12261,762,2767,1865,963,18622,5455,203,885,2590,323,9464,1157,57,162,1939,102,3416,72174,5431,13213,7902,48178,146896
RA53,10,3,3,0,2251,2269,87,8,4,5,2163,2266,2483,138,95,4,4384,7102,3853,254,312,17,2239,6676,3748,361,767,45,1544,6471,3134,302,926,88,817,5263,1737,144,472,146,276,2781,668,37,134,151,98,1086,155,3,17,119,17,312,15876,1247,2728,572,13797,34222,9,0,0,0,1879,1894,174,15,3,0,1961,2159,3033,159,140,27,3694,7050,3679,231,364,35,1759,6064,3272,308,689,91,1119,5487,2652,174,770,235,446,4280,1369,77,299,363,108,2224,469,20,82,439,43,1050,80,0,13,270,15,376,14745,992,2357,1466,11026,30578,18,3,4,3,4131,4160,261,27,11,5,4127,4428,5517,295,233,25,8071,14149,7534,487,671,54,4001,12741,7017,667,1459,138,2668,11957,5784,479,1688,326,1262,9540,3108,218,778,517,387,5011,1141,54,211,591,140,2135,235,3,28,388,34,688,30618,2236,5083,2041,24818,64799
RA54,39,3,3,0,1481,1524,176,18,7,0,2063,2262,2673,198,141,14,5730,8756,3835,370,474,14,2721,7421,3531,374,836,49,1737,6526,2487,287,846,84,836,4539,1034,127,387,112,253,1909,260,29,94,60,64,504,43,4,9,39,15,105,14077,1408,2791,373,14894,33549,51,4,0,0,1321,1382,208,17,8,8,1612,1848,1792,123,88,13,3341,5356,1974,175,220,54,1647,4068,1744,228,540,111,1166,3786,1420,154,564,245,533,2918,691,65,166,229,147,1296,153,12,26,183,38,415,23,4,4,92,4,128,8061,774,1606,935,9812,21189,94,8,5,3,2798,2900,380,35,14,4,3676,4111,4466,316,232,22,9074,14109,5811,550,693,72,4366,11491,5270,604,1375,159,2907,10312,3912,439,1405,331,1369,7458,1722,189,552,342,397,3202,411,34,121,249,103,917,63,6,12,129,19,233,22134,2186,4396,1309,24709,54730
RA55,0,0,0,0,0,0,3,0,0,0,14,17,42,3,0,0,74,124,61,3,4,0,49,120,60,4,8,0,22,94,29,0,6,0,3,43,3,0,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,199,10,29,0,169,408,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,3,3,0,0,6,0,0,8,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,14,26,0,0,0,0,0,0,3,0,0,0,18,20,41,3,0,0,81,127,62,3,3,0,49,127,62,4,16,0,21,105,34,0,6,0,3,43,3,0,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,206,12,34,0,182,434
RA59,0,0,0,0,80,84,5,0,0,0,254,254,84,35,17,4,636,773,128,56,61,0,357,606,117,80,152,11,279,638,214,41,164,15,101,540,201,45,94,11,25,375,30,3,9,4,3,58,3,0,0,3,3,12,782,268,499,43,1740,3336,0,0,0,0,65,65,10,0,0,0,235,242,98,15,10,0,419,534,75,25,25,8,174,305,107,30,70,8,112,325,257,29,94,23,37,442,164,4,61,15,3,254,23,0,3,7,0,37,0,0,0,12,0,11,732,109,263,71,1058,2220,0,0,0,0,153,151,10,3,0,0,486,503,180,47,23,4,1052,1306,199,81,85,8,538,910,224,112,220,13,391,957,476,75,255,35,137,977,368,48,161,29,27,633,60,3,12,11,5,98,4,0,0,11,4,23,1514,375,760,112,2794,5559
RA61,15,3,6,8,10937,10969,381,24,6,6,10856,11271,6313,339,369,14,13866,20901,10630,848,1317,54,7089,19939,12508,1219,3034,162,5169,22086,13556,1022,3559,421,2825,21384,11733,545,2428,835,1076,16617,5979,188,775,1254,356,8552,1630,45,143,1100,110,3034,62742,4238,11626,3864,52285,134753,34,7,0,5,10496,10546,633,64,18,15,10216,10948,7985,632,507,70,12574,21768,11778,1175,2087,184,6715,21942,12995,1508,4459,502,4398,23866,13634,1141,5125,1351,2268,23510,10537,578,3468,3039,881,18504,4312,145,1141,4784,384,10765,870,23,240,4133,204,5471,62773,5273,17047,14083,48151,147327,49,11,7,14,21434,21518,1008,85,29,21,21073,22216,14293,971,876,88,26441,42673,22410,2026,3399,240,13801,41884,25505,2726,7489,667,9566,45954,27190,2161,8679,1775,5091,44895,22263,1122,5891,3878,1961,35120,10287,330,1913,6040,745,19316,2499,76,378,5232,315,8503,125512,9510,28669,17951,100434,282083
RA62,10,3,3,3,4749,4771,128,9,3,0,3599,3745,2223,137,116,7,4298,6781,4138,401,533,27,2939,8029,6101,623,1550,89,2571,10930,7923,610,2294,276,1531,12634,7376,464,1489,616,650,10595,3281,137,444,716,217,4788,648,24,58,436,76,1243,31823,2414,6491,2168,20634,63525,8,6,0,8,4342,4367,251,22,4,3,3107,3391,2961,258,175,26,3870,7298,4796,486,778,84,2573,8718,6815,670,1853,306,1878,11516,8156,501,2277,743,929,12615,6364,293,1469,1626,350,10097,2211,53,401,2081,103,4852,298,7,80,1369,72,1837,31867,2303,7039,6250,17227,64689,24,8,3,5,9095,9138,376,34,10,3,6705,7133,5188,395,296,32,8172,14084,8937,889,1307,109,5510,16750,12917,1293,3402,394,4446,22450,16076,1118,4569,1025,2462,25248,13739,752,2964,2241,1002,20696,5488,195,846,2797,314,9637,948,28,146,1809,153,3080,63689,4715,13531,8418,37860,128211
RA63,0,0,0,0,143,143,5,0,0,0,145,156,111,9,0,3,266,378,159,19,23,6,205,405,271,50,88,8,200,616,391,59,149,19,126,748,384,33,108,35,53,616,145,8,34,37,21,243,27,0,3,17,3,53,1488,176,411,120,1154,3353,0,0,0,0,141,141,6,0,0,0,148,156,143,18,12,0,235,409,208,9,21,3,144,393,285,40,73,11,122,536,396,35,122,55,67,677,325,12,68,85,13,507,91,3,18,98,9,222,12,3,0,51,0,69,1472,122,316,309,878,3101,0,0,0,0,282,282,19,0,0,0,290,313,257,20,12,3,505,788,362,27,42,8,345,793,553,94,165,19,325,1152,786,98,276,74,188,1419,715,44,170,121,72,1116,237,13,54,135,26,466,43,3,6,71,7,121,2960,299,720,424,2037,6449
RA64,0,0,0,0,51,51,0,0,0,0,57,62,45,0,3,0,89,133,48,5,5,3,62,130,84,11,18,0,67,175,145,12,43,5,39,242,120,9,39,13,13,199,53,6,5,10,7,85,11,3,3,7,0,21,508,41,122,37,384,1094,0,0,0,0,31,31,0,3,0,0,40,45,53,3,0,0,90,145,59,10,7,0,45,122,92,9,18,3,40,169,144,12,36,12,23,223,100,4,26,22,3,154,33,0,7,39,3,86,0,0,0,34,0,34,493,37,99,114,277,1012,0,0,0,0,84,84,3,3,0,0,96,100,90,4,3,0,173,273,114,14,11,3,108,243,177,18,41,3,104,345,292,25,82,21,59,469,223,15,65,30,17,356,89,8,10,48,13,171,7,3,3,44,4,59,997,79,217,149,661,2110
RA65,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,11,15,6,0,0,0,0,5,7,0,3,0,0,10,7,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,20,49,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,8,8,7,0,0,0,14,23,6,0,0,0,0,5,8,0,3,0,0,15,8,0,0,0,0,12,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,34,0,6,0,26,73
RA69,0,0,0,0,34,34,4,0,0,0,57,56,19,3,3,0,91,120,11,16,7,0,61,93,10,7,27,0,27,77,19,5,12,0,18,52,19,3,16,0,6,48,5,0,0,0,0,8,0,0,0,0,0,0,87,37,62,6,298,481,0,0,0,0,33,33,0,0,0,0,32,29,11,3,0,0,50,69,8,9,6,0,32,54,15,6,18,0,20,59,21,5,18,3,11,56,17,4,11,4,3,38,3,0,3,3,0,5,0,0,0,0,0,0,81,32,60,12,174,350,0,0,0,0,62,62,3,0,0,0,87,90,28,5,3,0,144,183,20,20,15,0,88,147,28,17,46,0,53,135,41,13,30,3,22,113,37,4,23,4,8,84,4,0,3,4,0,12,0,0,0,0,0,3,162,61,124,20,468,835
RA72,23,4,3,5,4009,4039,301,22,8,3,4870,5198,4709,208,198,14,8917,14046,6654,342,634,28,3820,11472,5712,506,1268,75,2522,10094,4342,382,1322,110,1282,7434,2443,236,711,181,447,4021,740,56,191,159,101,1246,119,5,32,94,24,273,25045,1762,4366,668,25987,57821,19,3,3,4,3531,3560,513,27,8,3,3797,4355,5472,251,304,10,6769,12810,6062,382,761,66,3046,10315,4989,488,1297,246,1844,8858,3629,380,1337,454,812,6612,1742,148,682,613,203,3393,384,28,201,577,37,1226,66,6,37,235,10,356,22883,1715,4631,2210,20045,51481,45,9,9,8,7533,7600,813,46,20,4,8669,9555,10183,459,501,25,15685,26858,12713,727,1390,91,6859,21789,10705,991,2568,323,4366,18951,7974,763,2657,563,2091,14042,4189,386,1398,786,650,7413,1127,83,389,740,138,2470,181,14,65,328,32,626,47929,3477,8996,2872,46029,109301
RA73,39,3,0,0,1411,1449,176,12,4,0,1312,1502,1344,59,47,5,2306,3766,1660,135,164,13,1141,3111,1802,186,372,44,940,3341,1506,157,440,61,564,2726,767,89,268,95,189,1415,202,19,86,63,60,428,38,3,8,28,15,84,7523,660,1399,311,7937,17827,55,3,0,0,1144,1201,190,10,3,0,1146,1352,1550,103,64,10,2175,3899,1630,161,194,38,1160,3185,1699,174,410,132,970,3390,1345,161,472,180,441,2600,515,66,235,251,127,1184,127,6,60,182,44,423,16,0,16,111,14,152,7126,681,1454,904,7225,17385,88,7,0,0,2560,2654,365,19,13,0,2455,2856,2896,167,107,19,4480,7662,3294,295,360,51,2300,6297,3499,362,784,173,1915,6726,2851,312,915,247,1004,5327,1279,155,504,341,322,2596,327,25,145,245,104,850,50,3,24,132,26,238,14648,1342,2852,1212,15160,35215
RA74,157,10,0,5,1798,1965,646,24,14,6,1351,2040,1971,90,62,17,1799,3936,1782,92,109,27,1020,3030,1450,136,183,54,713,2541,1002,119,170,93,324,1715,361,49,94,92,109,703,92,8,7,49,31,195,12,0,0,6,7,30,7481,520,643,353,7156,16158,311,5,5,3,1496,1819,818,49,13,8,1118,2000,2047,158,92,51,1740,4090,1780,122,117,88,997,3105,1397,146,200,240,645,2617,791,92,219,338,330,1766,235,35,67,246,92,667,44,6,12,132,35,224,4,0,0,23,5,36,7429,613,722,1127,6447,16332,469,13,6,4,3293,3788,1467,72,24,15,2462,4044,4022,246,150,60,3539,8029,3559,214,223,118,2016,6136,2848,278,383,298,1355,5159,1793,206,394,433,651,3483,599,86,160,333,197,1371,140,12,21,180,64,411,16,0,0,36,16,68,14906,1134,1363,1482,13599,32488
RA75,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,18,23,15,0,0,0,0,16,6,0,0,0,0,11,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,24,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,7,9,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,23,30,16,0,0,0,0,19,6,0,0,0,3,9,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,36,0,4,0,30,72
RA79,0,0,0,0,16,16,0,0,0,0,97,98,36,3,5,0,178,219,73,10,15,0,120,215,86,18,26,8,127,257,106,10,53,8,46,229,99,17,39,10,12,174,12,0,7,4,0,20,0,0,0,0,0,0,406,61,143,26,605,1240,0,0,0,0,17,17,3,0,0,0,84,85,43,5,0,0,185,239,64,8,6,3,103,180,75,6,30,7,84,203,147,7,23,13,21,212,66,7,20,8,0,105,5,0,4,0,0,10,0,0,0,0,0,0,402,31,85,28,491,1043,0,0,0,0,32,32,6,0,0,0,178,183,78,12,5,0,370,457,135,15,21,3,218,396,159,23,51,16,211,461,251,15,80,17,74,438,163,26,58,21,18,278,17,0,11,4,0,38,0,0,0,0,0,0,811,88,230,62,1099,2281
RA80,28,8,7,10,12280,12323,403,25,17,0,15363,15810,11683,410,482,31,19713,32326,18677,845,1476,58,7755,28816,16249,1052,2706,165,4736,24909,13608,780,2712,294,2428,19825,10415,393,1677,581,849,13914,4806,126,554,746,204,6436,1366,26,110,737,78,2316,77238,3664,9741,2630,63401,156663,32,8,6,3,12049,12100,859,49,20,13,14578,15511,15102,661,727,38,17060,33586,18801,1076,2271,159,7061,29363,15863,1210,4134,415,4286,25910,13101,849,4244,1129,2209,21533,9029,453,2912,2300,795,15485,3519,129,964,3052,247,7911,706,12,226,2784,109,3837,77006,4445,15498,9891,58400,165240,58,11,13,14,24331,24420,1262,69,37,14,29937,31319,26780,1067,1209,72,36773,65909,37477,1915,3752,216,14814,58180,32111,2262,6841,580,9021,50816,26711,1627,6953,1425,4636,41358,19450,845,4584,2884,1642,29400,8317,260,1512,3803,452,14346,2075,37,339,3522,186,6150,154242,8104,25230,12523,121799,321901
RA81,0,0,0,0,21,21,0,0,0,0,19,19,19,0,0,0,25,48,45,0,0,0,11,57,34,3,3,0,12,55,27,4,3,0,3,38,5,0,5,0,0,16,4,0,0,0,0,6,0,0,0,0,0,0,146,7,14,3,97,264,0,0,0,0,25,25,0,0,0,0,12,17,32,0,4,0,16,55,45,0,3,0,16,60,30,0,4,0,4,47,25,0,10,0,0,32,3,0,3,3,0,9,3,0,0,0,0,4,0,0,3,0,0,3,138,0,23,4,78,244,0,0,0,0,50,50,0,0,0,0,29,31,57,0,6,0,43,105,88,0,3,0,24,118,67,5,7,0,12,96,47,4,11,0,6,72,11,0,5,8,0,27,4,0,0,0,3,8,0,0,3,0,0,3,283,8,42,4,174,512
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,16,16,0,0,0,0,35,36,4,3,0,0,52,63,10,8,8,0,41,67,6,10,15,0,16,43,6,6,14,0,8,38,6,0,3,0,4,15,0,0,0,3,0,5,0,0,0,0,0,0,35,27,42,3,180,297,0,0,0,0,20,20,0,0,0,0,40,42,0,0,3,0,38,44,4,3,4,0,26,40,4,4,3,0,6,26,4,0,18,3,3,34,0,0,5,0,3,9,0,0,0,0,0,4,0,0,0,3,0,3,27,12,39,10,131,209,0,0,0,0,35,35,3,0,0,0,74,79,4,3,4,0,92,108,17,11,14,0,67,107,12,14,22,0,28,68,12,12,36,3,13,78,8,0,8,0,9,24,3,0,0,5,0,8,0,0,0,3,0,3,61,43,81,10,313,506
