SUA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
3012,53,3,0,0,0,55,21,0,0,0,0,20,28,3,0,0,0,26,37,0,0,0,0,35,86,3,0,0,0,89,212,9,0,12,6,235,375,11,5,3,0,395,614,7,3,4,0,630,223,4,0,0,0,226,121,4,0,0,0,122,77,0,0,0,0,81,77,0,0,0,0,84,1910,51,16,22,8,2011
3013,337,6,0,0,0,347,194,3,3,0,0,200,157,6,0,0,0,158,343,10,0,0,0,352,570,15,9,0,0,595,1844,32,14,0,3,1896,2082,22,23,3,0,2128,1957,22,18,5,3,2006,644,3,0,3,0,651,428,0,5,0,0,437,189,0,0,0,3,195,340,6,7,0,3,357,9082,124,80,18,16,9314
3014,1594,150,118,0,3,1869,720,103,59,0,3,885,573,66,55,0,3,698,1016,97,88,18,0,1213,1487,148,126,5,13,1773,4182,493,360,7,18,5068,5253,505,371,7,12,6151,8371,352,326,6,25,9083,3953,103,117,6,15,4198,2750,64,95,3,9,2921,1385,32,52,3,12,1486,1418,100,54,8,11,1587,32704,2215,1814,68,131,36930
3015,607,21,13,0,3,649,350,23,11,3,0,388,286,20,9,0,0,318,603,33,16,4,0,658,819,65,23,0,0,904,2757,181,56,9,10,3010,3424,148,28,7,14,3625,3148,79,22,7,6,3262,1207,15,6,3,0,1224,726,14,4,3,3,747,353,4,3,0,3,364,449,21,3,3,0,477,14728,624,196,39,36,15630
3016,712,32,21,0,0,771,325,15,13,0,0,358,300,13,9,0,0,323,660,43,33,0,0,734,910,65,28,4,0,1010,3135,196,119,6,4,3458,4384,136,96,3,3,4628,5084,60,88,6,12,5250,1924,19,28,5,0,1980,1231,12,33,3,7,1281,574,11,29,3,0,613,682,26,14,0,3,720,19922,626,506,33,33,21121
3017,66,0,0,0,0,71,55,3,0,0,0,57,39,0,0,0,0,42,89,0,0,0,0,93,140,4,0,0,0,142,425,13,0,0,0,440,322,0,0,0,0,321,228,0,0,0,0,236,61,0,0,0,0,64,39,0,0,0,0,37,19,0,0,0,3,18,64,0,0,0,0,60,1543,33,4,4,7,1583
3018,79,3,3,0,0,80,29,3,3,0,0,37,36,3,0,0,0,39,58,0,4,0,0,61,78,0,0,0,0,81,261,7,16,0,3,290,377,9,11,0,0,394,568,7,10,0,0,586,287,0,6,0,0,297,175,3,3,0,0,180,67,0,3,0,0,70,69,4,4,0,0,72,2078,42,60,3,8,2194
4000,2306,23,10,15,18,2376,1680,17,3,16,8,1722,1540,21,5,10,14,1589,2877,39,6,21,18,2960,3521,34,3,13,16,3583,6953,51,9,35,31,7075,5111,24,5,20,16,5184,3830,10,6,21,22,3895,1253,3,3,5,13,1274,957,3,0,14,4,978,596,4,0,14,0,622,1386,6,3,9,10,1415,32011,225,52,203,170,32656
4001,7697,1005,251,13,21,8992,4489,555,169,8,7,5229,3993,524,162,4,5,4692,7319,1002,323,7,10,8661,9675,1311,504,15,19,11517,27703,3555,1510,36,76,32886,30233,3582,1119,28,89,35044,30359,3609,643,15,108,34736,11646,1300,194,16,40,13189,8746,935,125,12,34,9844,5326,569,93,8,20,6029,5047,510,143,4,14,5724,152244,18452,5236,174,441,176549
4002,144,20,0,0,0,170,96,18,9,0,0,122,113,16,6,0,0,140,288,36,17,0,0,339,461,29,19,0,0,516,1100,39,7,3,0,1152,676,10,6,0,4,691,369,9,0,0,0,385,111,0,3,0,0,118,59,0,0,0,0,66,34,0,0,0,0,34,123,6,0,0,0,129,3583,190,61,11,7,3857
