SUA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
1034,60,37,31,9,12,0,152,16,8,10,0,3,0,38,33,22,19,3,13,0,91,31,19,8,7,11,0,74,73,48,20,14,30,0,181,111,90,48,35,30,9,323,123,172,70,46,31,3,446,191,236,97,58,39,12,633,175,279,81,55,34,8,639,194,346,101,32,26,4,710,76,241,50,24,15,4,405,114,297,92,14,25,3,552,49,117,11,3,0,0,181,32,59,15,7,0,3,111,62,153,49,11,8,0,286,61,162,51,7,6,0,286,25,52,7,0,0,0,89,14,29,6,3,0,3,55,67,62,41,12,16,0,196,1503,2432,808,334,307,54,5433
1035,322,239,213,45,59,9,882,81,60,70,14,24,4,257,218,99,153,42,72,6,595,123,108,108,31,51,3,426,266,214,216,71,96,8,865,327,333,292,70,133,12,1158,354,507,392,108,141,10,1513,450,731,419,172,176,17,1963,437,880,383,148,157,14,2016,576,1228,465,200,165,18,2658,468,1059,312,139,118,16,2100,797,1943,606,201,167,33,3751,366,1014,202,83,60,5,1731,245,620,140,38,26,3,1068,629,1695,402,100,103,15,2945,769,1881,473,108,97,9,3334,230,532,172,19,32,4,991,136,296,112,15,18,0,581,236,439,228,67,84,8,1060,7027,13891,5361,1649,1762,204,29894
2000,1296,814,504,115,158,28,2923,486,212,165,59,117,13,1059,1098,535,462,198,256,28,2582,977,590,429,213,228,16,2446,1744,1466,793,412,445,29,4895,2157,2231,1018,535,503,32,6471,2211,2939,1153,566,472,36,7382,2262,3480,1204,515,398,52,7908,1729,3010,906,341,267,26,6282,1700,3237,893,313,203,19,6378,1092,2035,476,157,100,20,3878,1567,2866,803,184,165,19,5611,517,1009,228,54,45,0,1853,356,610,157,42,17,3,1184,848,1424,415,69,79,9,2840,952,1451,455,83,88,11,3036,307,487,185,28,29,4,1032,316,441,170,29,32,3,988,1419,1342,749,202,247,41,3997,23030,30189,11158,4114,3856,394,72741
2001,16,24,16,0,3,0,68,10,7,3,0,0,0,15,6,15,20,3,4,0,48,21,11,11,5,5,0,54,29,18,26,6,4,3,93,53,48,36,9,21,0,163,47,83,41,13,17,0,208,70,141,46,24,25,3,307,65,137,36,29,19,3,293,92,172,46,18,16,0,352,46,133,21,9,8,3,223,67,162,64,7,7,0,310,23,63,20,3,0,0,105,10,47,11,3,3,0,77,38,60,32,3,3,0,136,31,74,30,4,10,0,150,13,13,0,3,0,0,25,3,4,0,0,0,0,11,38,45,31,4,9,0,124,684,1251,499,160,159,14,2769
2002,10,7,7,0,0,0,31,9,8,0,0,3,0,24,20,6,4,0,0,0,39,15,7,8,0,3,0,38,23,24,17,10,6,0,76,39,46,19,15,10,0,129,42,59,15,11,16,3,148,53,80,23,12,17,0,188,69,97,21,10,11,3,202,29,78,14,4,3,0,132,11,36,6,9,5,0,66,29,40,21,4,3,0,91,8,15,0,0,0,0,25,3,7,4,0,0,0,14,7,23,3,0,0,0,39,14,11,12,0,0,0,36,3,6,3,0,0,0,11,3,4,0,0,0,0,11,20,17,16,8,4,3,55,410,587,183,79,78,18,1347
2003,81,72,51,11,23,0,237,52,26,21,3,16,0,118,101,57,50,13,22,3,253,87,64,46,23,30,3,252,144,135,94,51,61,5,487,217,291,134,85,101,8,837,288,444,147,109,100,4,1088,375,617,148,84,93,13,1332,306,551,144,60,50,13,1126,295,587,127,62,49,5,1121,162,388,69,20,23,5,660,207,457,116,30,23,4,837,61,162,24,10,4,0,267,35,91,24,3,3,0,156,103,214,50,11,9,3,394,93,214,53,10,5,0,380,30,64,21,5,0,0,121,19,56,17,0,0,0,95,95,132,72,23,32,10,363,2748,4629,1420,610,634,72,10119
2004,103,71,61,10,26,6,273,63,20,20,13,18,4,128,117,58,52,23,45,5,293,86,64,48,18,40,0,250,137,133,119,42,67,0,502,235,247,118,69,83,10,766,234,426,153,87,85,17,996,316,586,151,104,98,15,1274,307,581,131,83,72,4,1184,333,581,137,66,45,5,1158,151,385,71,32,20,3,657,215,423,116,32,19,0,813,72,150,42,12,10,0,281,36,85,22,4,3,3,151,74,189,45,13,4,0,333,91,157,47,18,7,3,323,31,43,12,7,0,0,94,11,51,14,0,3,4,85,135,124,67,26,32,10,388,2753,4372,1418,649,668,91,9962
2005,12,8,7,0,0,0,28,5,0,3,3,0,0,11,13,4,3,0,3,0,31,14,7,8,6,6,0,39,22,20,14,7,7,0,72,27,51,21,18,3,3,127,46,67,16,14,5,3,153,49,85,29,7,13,3,192,30,76,19,11,5,0,141,30,61,17,5,4,0,114,16,29,10,0,0,0,55,6,49,7,3,3,0,67,8,10,4,0,0,0,16,4,3,0,0,0,0,12,5,9,4,0,0,0,21,10,11,6,0,0,0,22,3,3,0,0,0,0,8,0,5,0,0,0,0,4,16,22,15,0,5,0,62,302,536,185,77,66,12,1178
2006,26,14,10,0,4,0,62,11,0,0,0,3,0,17,23,13,7,0,3,0,45,12,13,6,3,6,0,42,34,24,22,4,4,0,88,50,42,21,8,13,0,134,66,62,33,13,19,0,195,79,127,37,19,18,0,278,68,113,25,16,8,0,230,57,124,36,14,10,0,236,33,74,15,6,0,0,132,56,101,31,0,3,0,194,17,39,4,0,3,0,61,10,11,4,0,0,0,29,19,45,12,0,3,0,84,16,51,12,0,3,0,77,7,14,0,0,0,0,22,3,16,3,0,0,0,19,39,33,17,3,5,0,98,609,916,303,94,105,6,2022
2007,296,258,183,52,53,10,846,115,50,67,14,44,0,287,219,159,140,47,86,11,661,177,156,129,42,73,5,579,290,340,259,72,129,8,1104,417,511,306,124,179,12,1557,509,745,378,169,191,25,2014,678,1130,408,197,196,23,2632,637,1224,329,177,164,22,2559,701,1470,377,166,142,15,2867,483,1057,229,81,75,7,1943,697,1592,419,109,94,20,2937,284,626,108,26,22,4,1075,174,421,109,14,14,3,739,383,796,195,41,39,6,1453,377,908,235,43,31,12,1605,143,285,65,13,14,0,513,81,187,46,11,10,0,338,297,452,242,55,89,20,1151,6956,12375,4230,1459,1646,196,26866
2008,26,23,19,4,8,0,88,13,4,11,0,0,0,31,10,17,7,4,9,0,46,11,12,20,0,9,0,51,28,29,21,3,6,0,87,31,30,29,7,14,0,116,42,64,32,11,5,0,158,35,65,41,22,15,0,176,49,106,44,11,14,0,227,49,105,45,15,13,0,233,30,123,21,9,5,0,191,78,207,51,8,13,0,351,37,101,18,3,0,0,151,26,75,19,3,0,0,123,65,171,33,0,5,0,271,78,199,31,0,4,0,319,37,60,15,3,3,0,123,16,38,10,0,0,0,74,35,64,21,7,18,0,142,696,1504,491,117,140,8,2954
2009,19,12,5,3,4,0,47,12,3,4,6,3,0,28,17,14,7,3,0,0,46,23,17,9,6,5,0,56,52,40,31,9,15,4,154,59,63,30,24,18,7,192,66,113,37,17,12,4,246,77,123,30,9,13,0,253,52,107,25,9,13,0,200,55,82,11,7,3,0,166,18,54,7,3,3,3,84,18,40,14,3,3,0,79,13,20,3,0,0,0,36,4,11,0,0,0,0,18,14,21,9,3,0,0,43,14,22,5,0,0,0,42,3,0,0,0,0,0,9,3,9,0,0,0,0,16,17,15,15,3,3,0,49,523,764,254,103,97,18,1760
2010,5433,5962,4261,984,1609,380,18626,1270,1167,1160,207,499,40,4339,2412,2294,2185,495,1092,109,8579,2000,2233,2005,508,1001,86,7833,3021,3722,3283,906,1623,157,12705,4235,5991,4435,1417,2215,237,18534,5775,9876,5746,1947,2682,289,26322,7313,13499,6198,2532,2943,373,32857,7997,16956,5878,2439,2598,383,36256,9239,19698,6080,2375,2442,430,40272,7477,16454,4104,1555,1443,317,31351,13339,29256,9082,2369,2411,562,57015,5698,12093,2714,854,750,170,22269,5292,11074,2607,679,598,170,20425,8290,17129,4516,1129,1037,259,32360,11379,25788,7277,1475,1357,358,47637,4337,10531,2986,587,564,149,19150,3436,9908,2764,623,526,133,17389,4747,8790,4774,1137,1701,376,21532,112700,222417,82067,24216,29085,4971,475451
2011,51,58,30,9,11,5,167,29,17,29,4,13,3,94,46,34,32,13,28,3,156,44,35,34,4,26,3,147,85,75,44,31,35,6,281,113,128,79,51,66,3,452,160,276,125,74,77,10,713,261,493,132,110,96,10,1099,254,486,108,83,52,16,996,277,559,130,69,47,8,1082,170,349,76,41,22,7,659,197,371,111,45,21,8,746,61,137,27,13,6,3,251,33,69,15,0,3,0,126,51,144,51,12,8,0,261,65,111,41,12,13,4,237,19,38,14,4,3,0,82,14,27,4,3,4,4,52,76,127,69,30,29,7,340,1996,3520,1168,603,569,92,7943
2012,61,37,22,3,9,0,138,19,11,11,0,8,0,59,62,27,32,5,12,0,137,37,47,23,17,19,0,141,121,106,55,34,36,5,357,164,202,104,64,44,8,576,191,288,98,62,55,4,702,203,303,105,51,30,9,693,156,253,59,21,28,4,506,107,268,64,29,13,0,483,66,111,39,11,9,0,232,80,171,64,9,8,0,336,20,53,11,0,0,0,93,17,41,11,0,0,0,69,27,60,28,6,3,0,115,33,63,26,3,0,0,127,11,22,6,3,4,0,51,15,16,8,0,0,0,38,65,102,47,5,14,4,234,1442,2174,813,334,289,40,5091
2013,12,3,4,5,4,0,31,13,3,6,0,0,0,17,29,14,10,4,12,3,80,29,13,9,7,13,0,72,49,56,27,20,24,0,173,62,89,29,24,14,0,217,70,85,40,15,17,3,242,56,90,26,12,5,3,200,33,59,13,14,7,0,131,29,48,22,4,10,0,106,5,26,10,6,0,0,45,27,39,21,7,3,0,91,3,17,4,0,0,0,21,3,8,0,0,0,0,11,10,7,6,0,5,0,26,11,11,3,0,0,0,22,3,4,0,0,0,0,15,4,3,0,0,0,0,11,23,18,17,9,8,4,75,477,596,258,120,123,13,1588
2014,16,7,5,4,0,0,33,0,7,3,0,0,0,18,14,0,4,0,5,0,28,20,12,8,4,5,0,38,30,21,10,10,15,0,79,31,28,17,10,9,0,98,38,71,22,13,11,0,153,37,68,25,9,8,0,139,33,55,11,10,5,0,116,17,39,20,0,0,0,84,13,21,4,0,3,0,42,17,30,10,3,0,0,55,4,8,0,0,0,0,14,3,0,0,0,0,0,5,8,9,4,3,0,0,20,9,11,7,0,3,0,32,4,3,0,0,0,0,6,3,3,0,0,0,0,7,20,13,13,3,7,3,57,320,409,165,70,80,6,1047
2015,15,15,10,0,5,0,44,11,0,3,0,3,0,13,12,8,13,3,4,0,39,7,15,11,6,4,0,46,33,22,5,5,8,0,76,36,43,20,9,18,0,131,58,55,12,18,10,0,152,52,79,26,13,13,0,182,34,88,16,7,12,3,158,36,77,17,12,4,0,141,19,42,15,3,0,0,83,30,62,11,0,4,0,108,11,14,0,0,3,0,22,4,13,9,0,0,0,26,17,39,7,0,0,0,59,3,29,3,0,3,0,45,3,3,4,0,0,0,8,3,7,0,0,0,0,15,8,21,5,0,3,0,49,390,622,189,81,101,12,1394
2016,52,45,26,10,7,0,130,18,14,13,0,7,0,53,38,31,21,9,10,3,105,38,38,14,7,9,0,117,96,81,41,41,26,3,291,127,174,68,50,45,3,465,150,222,83,51,48,0,545,181,283,106,64,45,4,673,136,255,62,37,17,5,518,127,277,66,42,13,7,524,49,153,57,7,14,0,282,100,193,51,16,13,0,374,29,45,14,8,3,3,93,19,27,11,0,0,0,58,27,81,22,8,5,0,143,27,69,17,9,3,0,128,8,27,9,0,3,0,50,10,11,5,0,0,0,30,66,87,28,14,12,0,209,1291,2131,702,364,277,36,4791
2017,7,6,8,0,3,0,21,0,3,3,0,0,0,6,7,7,5,4,0,0,26,9,5,3,0,3,0,20,27,26,13,12,5,3,82,37,40,21,5,10,6,122,38,59,12,12,11,0,131,37,57,21,15,3,0,136,29,44,14,4,0,0,97,30,48,19,4,3,0,97,6,21,7,3,5,0,40,17,45,12,0,0,0,79,6,14,0,3,0,0,22,0,3,3,0,0,0,8,5,9,8,0,0,0,20,7,23,3,0,0,0,23,3,6,0,0,0,0,6,0,3,0,0,0,0,12,21,20,10,3,3,0,48,287,434,149,64,53,16,1004
2018,43,21,9,0,3,0,85,21,19,3,8,6,0,58,54,30,19,14,8,0,122,51,27,15,17,17,0,130,86,90,53,35,44,0,308,148,140,74,61,43,3,472,156,213,66,60,41,8,536,128,195,80,45,31,0,477,138,181,51,37,22,0,436,85,174,46,22,22,9,362,53,130,31,15,10,0,243,87,179,43,8,5,4,327,24,67,5,4,0,0,99,14,18,5,3,0,0,36,36,74,26,0,0,0,137,27,50,16,3,0,0,96,14,14,7,3,0,0,46,9,13,0,0,0,0,24,32,66,25,15,13,3,154,1208,1691,604,340,281,31,4153
2019,26,5,13,3,7,0,49,12,6,0,0,3,0,21,24,12,4,4,10,5,60,17,9,15,4,5,0,47,29,29,20,12,16,0,104,51,68,23,28,18,0,187,59,97,24,30,19,0,230,78,129,29,26,10,0,274,61,105,16,15,8,4,208,47,93,33,10,4,3,190,17,57,17,3,0,3,94,36,68,21,0,4,0,133,19,14,8,0,0,0,43,13,9,0,0,0,0,27,10,28,12,3,0,0,52,11,23,5,0,0,0,37,0,11,0,0,0,0,11,3,3,0,0,0,0,10,21,28,11,11,3,0,71,529,799,250,141,116,17,1856
2020,61,32,25,7,12,0,143,18,6,3,0,3,0,28,44,16,26,3,3,0,90,25,23,14,9,7,0,73,44,37,30,18,26,3,156,64,83,55,21,26,0,255,112,145,68,40,29,0,396,109,219,74,32,25,0,459,103,233,51,20,23,0,440,123,226,59,28,19,4,462,87,134,37,6,9,3,278,94,182,71,11,7,3,368,31,78,16,9,5,0,141,19,35,12,6,0,0,78,46,107,28,6,3,0,194,54,92,26,5,6,0,178,20,30,12,0,0,0,61,10,19,10,3,0,0,40,48,48,50,13,17,0,177,1124,1749,664,237,221,24,4017
2021,44,33,13,5,7,0,107,11,15,4,0,9,0,38,30,21,14,3,9,0,80,18,12,4,3,9,0,56,42,38,33,14,18,0,141,51,89,56,24,25,3,240,82,122,55,27,14,3,308,99,196,68,39,24,4,419,103,193,44,21,16,5,388,111,191,53,30,15,3,401,59,157,25,10,3,0,259,76,147,48,13,7,0,298,20,48,12,4,4,0,95,5,30,10,3,0,0,45,38,62,26,7,3,0,141,28,51,19,0,3,0,105,12,22,3,0,0,0,35,5,16,9,0,0,0,36,39,53,23,5,0,3,124,889,1496,529,199,165,36,3318
3000,1549,673,454,113,154,23,2964,401,150,99,45,60,9,759,920,350,265,140,157,10,1841,806,410,287,148,130,15,1800,1485,943,580,272,259,25,3568,1837,1493,733,366,328,40,4810,1977,2107,829,387,314,39,5652,2203,2651,861,428,342,52,6531,1765,2486,768,299,216,31,5568,1900,3010,855,386,233,34,6419,1241,2101,545,203,126,14,4221,1992,3078,889,255,160,24,6390,758,1335,273,97,47,4,2513,529,914,222,48,39,4,1760,1169,2012,520,143,75,13,3934,1270,1894,572,135,79,12,3959,438,542,179,36,29,3,1230,334,360,134,26,21,7,877,1392,1117,595,194,192,34,3522,23953,27652,9660,3710,2953,406,68341
3001,2950,2137,1578,377,561,146,7751,874,493,438,86,197,27,2116,1517,984,877,204,410,56,4050,1249,883,797,197,359,46,3536,2012,1669,1345,429,637,88,6186,2694,2652,1870,617,876,106,8821,3519,4126,2565,899,1034,139,12282,4584,6216,2949,1254,1289,182,16469,4857,7610,2698,1289,1196,177,17819,6064,10020,3216,1452,1262,207,22206,4846,8551,2213,1018,736,171,17543,7929,14154,4351,1350,1105,270,29170,3581,7152,1669,528,382,90,13403,2763,5474,1401,371,264,73,10348,5382,10818,2893,717,599,166,20576,6148,13049,3639,771,647,156,24409,2139,4477,1327,228,207,50,8418,1363,3246,1010,196,141,36,5988,2383,3624,1804,495,549,158,9024,66847,107355,38639,12480,12444,2350,240110
3002,119,37,29,9,7,4,205,45,8,10,8,6,3,73,105,43,29,11,16,4,209,80,24,28,15,14,0,153,154,79,52,28,31,0,350,171,116,76,49,39,3,460,204,228,82,43,44,3,613,258,340,102,60,40,13,815,208,345,104,57,34,3,754,213,327,83,47,30,5,705,104,211,48,21,7,0,387,154,230,70,21,8,0,488,63,110,16,10,0,0,196,36,46,17,9,0,3,106,76,111,35,3,8,0,235,59,100,39,3,6,0,200,24,23,17,0,0,0,65,22,21,8,3,0,0,46,90,78,38,28,21,3,258,2179,2483,889,413,304,53,6322
3003,177,88,46,19,31,12,372,52,27,18,7,14,0,116,88,61,36,15,22,0,226,92,63,35,16,12,3,224,206,148,75,40,50,6,526,231,230,95,65,67,12,701,344,305,119,92,83,13,954,455,513,158,108,84,6,1324,424,579,147,116,85,7,1357,477,768,184,128,85,8,1659,366,622,132,73,42,8,1244,575,817,219,104,78,6,1796,189,322,65,36,12,7,632,96,198,51,13,10,3,369,280,479,116,40,26,7,949,273,415,124,39,24,0,890,93,127,41,14,8,0,278,70,72,28,13,4,0,191,149,177,80,32,39,9,485,4635,5997,1786,985,781,105,14289
3004,5,5,0,0,0,0,12,3,3,0,0,0,0,5,4,4,0,0,3,0,13,5,5,3,0,0,0,17,8,9,8,3,0,0,27,19,24,7,0,0,0,50,21,29,8,3,4,4,69,30,42,11,4,3,0,91,35,41,9,7,4,0,97,44,71,7,3,4,0,139,37,69,14,5,0,0,131,38,120,7,4,5,0,185,22,66,11,3,4,0,107,9,48,3,0,3,0,62,34,102,10,4,0,0,161,35,86,29,6,3,0,162,15,23,6,0,0,0,42,0,9,0,5,0,0,14,24,16,8,3,3,0,50,385,771,154,64,41,13,1430
3005,48,32,22,3,11,0,110,16,4,5,0,0,0,22,19,21,15,5,8,0,57,20,14,8,0,4,0,53,45,25,21,4,5,0,101,67,58,31,9,16,3,186,68,74,47,16,17,0,222,120,121,43,17,9,3,318,99,172,53,23,17,0,361,148,242,55,26,15,0,488,76,210,38,14,13,5,357,188,327,72,32,19,3,637,75,189,37,13,8,0,327,66,138,32,6,7,3,251,123,290,72,23,11,3,525,134,288,61,14,12,0,512,39,77,11,3,0,0,137,21,43,5,3,0,0,68,42,60,41,8,8,4,163,1424,2371,669,216,190,22,4890
3006,889,409,375,110,170,22,1986,262,109,115,27,51,0,564,465,191,244,72,99,14,1084,366,197,141,60,92,9,862,659,329,325,120,191,17,1639,841,603,466,177,268,25,2381,1054,874,596,235,299,27,3083,1437,1424,721,374,396,36,4393,1326,1620,678,349,325,43,4334,1657,2311,847,431,374,50,5666,1311,2112,604,295,232,42,4595,2308,3817,1253,420,362,49,8204,997,2050,486,159,129,17,3850,714,1457,395,89,86,19,2760,1635,3088,935,235,177,36,6107,1692,3170,1062,216,190,31,6367,616,967,371,70,64,14,2099,397,732,281,59,43,17,1518,865,950,566,167,213,37,2800,19507,26415,10451,3667,3754,499,64289
3007,32,9,7,3,5,0,51,13,3,8,3,3,0,32,39,10,6,4,8,0,72,19,14,8,4,0,0,44,42,16,16,12,13,0,98,46,40,38,28,15,3,170,75,82,17,24,22,0,225,69,111,29,18,26,0,246,60,119,22,24,10,0,230,54,92,20,17,6,3,196,37,46,12,10,7,3,116,45,62,15,8,3,4,129,12,24,3,0,3,0,38,6,11,3,0,0,0,22,19,14,6,3,5,0,43,7,17,11,0,4,0,34,4,7,3,0,0,0,14,0,0,3,0,0,0,8,18,15,3,6,0,0,44,598,700,221,156,132,16,1816
3008,82,18,13,3,16,0,140,31,9,5,4,4,3,56,70,13,15,7,10,0,119,57,18,14,11,9,3,114,86,30,43,12,30,4,206,107,64,36,20,18,0,246,122,97,53,37,25,0,334,155,160,61,51,27,3,455,155,214,47,32,27,3,476,153,270,65,37,20,3,546,107,145,38,16,11,0,315,107,203,53,19,6,0,387,41,73,20,10,3,0,142,22,33,12,3,3,0,77,55,89,36,3,9,0,189,47,67,26,5,3,0,156,8,21,4,3,3,0,37,15,5,11,3,3,0,32,53,38,23,16,11,0,140,1487,1561,572,283,233,22,4162
3009,8,0,3,0,0,0,16,10,0,3,3,0,0,11,13,3,6,4,0,0,25,9,11,5,0,0,0,20,24,11,3,7,3,0,49,37,25,7,9,11,0,84,29,59,7,13,3,0,108,28,43,15,6,4,0,101,29,37,16,6,0,3,91,29,52,13,4,3,0,102,15,28,3,0,0,0,50,28,30,8,6,3,0,78,4,10,5,0,0,0,31,3,8,0,0,0,0,9,6,16,4,0,0,0,27,3,15,0,0,0,0,17,5,3,3,0,0,0,10,0,0,4,0,0,0,7,12,15,6,3,0,0,32,269,374,108,64,34,10,856
3010,114,58,43,16,14,0,246,22,15,7,0,10,0,48,42,20,24,5,14,3,113,36,25,23,5,8,0,93,76,56,37,15,11,9,196,101,110,68,14,31,3,326,126,139,68,24,21,3,387,197,208,81,56,40,5,590,169,226,72,50,38,6,558,237,355,118,61,38,4,811,204,318,86,24,24,3,660,322,542,147,56,35,9,1103,149,293,73,32,10,0,566,120,204,35,16,6,0,387,218,501,113,36,30,4,895,233,392,130,36,26,5,824,66,105,31,4,8,0,214,36,66,19,7,3,0,133,112,111,54,12,18,4,314,2581,3740,1234,467,372,70,8467
3011,32,10,9,12,6,0,66,12,4,5,0,0,0,26,40,8,6,3,0,0,62,40,23,16,6,14,0,98,66,37,31,11,19,0,165,67,76,48,16,20,0,226,85,150,49,33,21,0,338,101,148,43,34,26,7,345,85,129,27,17,6,4,267,79,89,29,8,3,4,212,28,65,9,4,0,0,112,38,80,18,0,8,0,143,15,17,3,0,0,0,34,10,15,0,0,0,0,27,7,32,5,3,0,0,49,22,23,14,4,0,0,62,7,8,0,0,3,0,19,3,3,0,0,0,0,8,39,23,17,3,8,3,97,775,935,331,161,137,16,2359
3012,18,13,13,4,0,0,40,3,0,0,0,0,0,3,7,5,0,0,0,0,17,9,9,8,3,0,0,20,8,5,3,4,8,0,33,26,28,9,3,9,0,77,31,33,10,6,3,3,89,30,32,15,7,3,0,91,27,74,16,11,10,0,146,47,95,13,12,13,0,184,49,75,18,11,4,0,160,79,155,22,9,7,0,277,26,60,13,4,3,4,111,12,40,6,0,0,0,63,42,70,16,4,9,0,143,38,53,18,6,4,0,120,8,23,7,0,5,0,40,11,11,0,3,0,0,29,21,26,3,3,10,0,62,499,825,181,90,90,13,1695
3013,100,38,30,3,22,0,199,15,16,14,3,12,3,64,65,37,30,11,17,5,155,37,39,17,12,8,0,123,91,75,65,19,27,5,276,147,165,81,53,44,7,484,192,249,118,58,46,7,660,270,365,109,71,60,7,890,256,440,106,58,35,5,907,233,458,139,65,47,12,938,166,346,80,29,19,9,641,231,431,115,53,19,9,867,82,204,40,8,4,0,342,35,87,12,3,7,0,150,124,248,61,28,12,3,470,114,217,63,14,7,4,415,44,64,15,3,0,0,127,12,31,14,0,0,0,63,109,98,54,21,19,4,298,2322,3598,1167,488,415,86,8071
3014,561,211,181,38,73,13,1075,189,66,67,16,23,0,360,329,119,108,36,68,3,666,237,117,100,41,44,3,540,400,216,179,72,97,6,972,537,358,290,100,130,14,1421,624,554,277,127,149,14,1748,765,837,395,211,181,19,2412,700,880,340,199,177,19,2307,898,1257,444,206,166,16,2983,702,1158,303,136,121,19,2428,1122,1933,608,187,144,26,4008,512,1042,226,64,55,6,1909,399,649,149,44,28,7,1281,722,1415,352,109,67,8,2674,811,1403,425,86,69,8,2801,261,423,119,21,23,3,855,181,260,88,21,25,3,579,443,500,190,87,86,10,1324,10386,13397,4843,1810,1710,203,32349
3015,181,98,65,18,21,4,384,62,15,23,6,5,0,106,130,62,55,15,39,0,295,87,68,54,27,17,0,251,154,143,105,32,52,3,494,247,217,129,56,59,10,703,314,397,154,66,62,3,1005,434,576,182,98,99,12,1392,450,692,163,103,77,16,1496,447,773,212,73,68,11,1592,310,578,123,54,29,6,1095,388,691,178,49,43,3,1352,146,304,69,19,11,7,560,75,209,40,10,3,0,331,203,441,120,35,21,0,820,183,388,100,35,18,0,721,38,106,40,6,0,0,197,39,69,21,7,5,0,138,137,142,78,28,16,0,401,4025,5963,1897,732,638,77,13337
