SUA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1021,0,3,0,0,0,7,19,7,32,151,105,15,268,48,21,74,338,310,8,654
1022,5,3,0,0,0,3,9,0,16,284,288,35,599,30,33,64,663,407,7,1079
1023,26,106,15,15,26,135,213,104,450,6065,5209,580,11850,722,662,1387,13237,9545,227,23007
1024,5,17,0,0,0,17,26,12,58,417,426,49,895,50,52,104,997,858,22,1888
1025,3,11,0,0,0,12,30,19,59,557,374,46,982,67,69,137,1115,726,29,1876
1026,0,0,0,3,0,5,12,0,18,132,106,11,250,17,21,41,286,258,11,551
1027,5,17,0,0,0,23,19,15,56,563,551,58,1170,45,63,113,1281,805,20,2109
1028,0,3,0,0,0,3,9,0,13,189,176,22,385,28,25,54,445,251,8,699
1029,3,5,0,0,0,5,18,3,31,151,239,21,412,27,24,56,469,403,18,892
1030,237,887,50,53,103,991,1389,915,3291,53689,32523,3959,90168,3708,4216,7923,98089,71528,1779,171402
