SUA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
2015,68,54,33,16,8,3,253,3,52,58,76,42,22,4,0,266,69,339,310,178,178,91,34,19,1223,54,198,204,203,178,121,47,25,1025,256,500,394,437,368,233,94,23,2303,30,26,20,26,21,9,3,0,134,21,29,34,37,42,19,9,3,193,307,556,449,503,430,254,109,30,2637,3,30,12,9,11,18,3,3,91,162,156,147,185,208,197,174,95,1332,594,1402,1257,1207,1090,717,385,181,6827
2016,168,144,110,36,17,6,740,14,157,187,176,161,56,15,3,768,231,1048,761,539,488,264,78,20,3430,208,641,633,597,489,302,111,51,3029,837,1478,1262,1286,1023,564,239,57,6733,103,89,74,78,60,34,6,3,454,57,101,105,116,89,71,35,9,581,999,1668,1443,1475,1177,670,273,68,7773,17,57,46,32,29,29,21,6,240,607,653,580,663,665,702,539,312,4723,2109,4455,3816,3622,3107,2056,1054,471,20696
2017,31,13,18,0,0,0,85,0,26,29,25,31,14,3,0,133,56,249,165,106,88,45,12,8,728,40,115,135,114,115,67,30,12,628,207,386,259,281,208,126,44,16,1533,30,24,21,19,10,6,0,0,107,19,23,26,22,19,11,5,3,135,253,433,304,323,241,139,51,19,1767,3,11,11,10,7,6,4,3,47,196,155,156,165,160,205,170,94,1302,552,1013,823,759,666,478,278,133,4696
2018,136,105,99,40,3,3,512,15,106,111,128,91,40,10,4,510,219,830,615,423,390,184,76,17,2757,165,512,496,469,400,236,116,28,2426,755,1577,1179,1301,1082,659,288,97,6929,120,112,64,57,46,29,9,0,442,58,102,80,114,109,64,24,7,555,931,1792,1328,1467,1233,745,322,112,7929,14,17,28,38,28,31,9,3,175,515,541,455,561,640,639,577,280,4210,1864,3906,3165,3201,2883,1928,1127,438,18515
2019,71,57,47,24,0,3,274,0,44,58,83,74,33,17,0,315,98,348,326,221,249,131,68,23,1454,70,195,225,270,254,159,93,27,1295,348,591,542,520,441,291,123,49,2913,46,25,38,30,34,11,3,0,192,22,36,69,49,47,33,20,9,289,412,657,647,599,524,338,146,57,3389,0,16,16,20,12,14,17,8,99,205,129,169,180,234,276,300,313,1811,798,1453,1502,1423,1401,986,652,429,8634
2020,131,127,133,75,29,3,599,5,91,120,129,169,92,14,4,621,131,620,589,464,487,307,101,24,2726,133,435,449,535,435,342,141,39,2503,643,1341,1030,1158,844,625,266,57,5970,70,64,58,62,42,35,4,3,340,44,89,82,94,93,102,21,10,535,758,1492,1169,1311,983,756,296,68,6844,7,25,17,23,29,45,23,13,180,331,277,320,417,430,508,380,168,2828,1381,3033,2799,3000,2665,2135,983,317,16307
2021,144,123,113,67,16,0,570,0,113,139,155,122,55,11,7,601,201,804,735,571,474,249,89,31,3159,130,417,407,478,435,279,111,31,2295,636,1089,1034,934,731,435,184,59,5110,68,93,60,50,50,23,3,0,352,48,73,94,72,83,46,16,13,445,752,1259,1183,1060,864,507,208,71,5905,13,20,19,22,25,35,12,7,159,407,302,307,430,462,492,442,254,3099,1526,3017,2936,2830,2498,1686,891,409,15791
3000,1621,1685,1631,1143,273,44,7628,148,937,1279,1525,1586,747,180,19,6412,2500,10234,10042,7963,7460,4612,1424,278,44507,1757,5765,8066,9866,8980,5261,1644,345,41682,11545,22658,22915,23999,21882,13009,4196,752,120964,2664,1831,1472,1406,1053,551,98,16,9088,1020,1535,2127,2491,2364,1619,533,107,11794,15226,26023,26509,27893,25303,15181,4832,881,141848,247,434,443,590,678,723,342,70,3529,11851,11664,11607,13372,13900,12661,7327,2786,85166,31789,56229,59573,62890,59539,40320,16014,4422,330770
3001,25065,18567,12256,6148,1667,396,89204,1021,7846,9702,9096,6654,2973,794,136,38222,25548,85102,71472,48119,31055,17182,5672,1569,285722,14856,33057,35354,34280,24633,13948,5110,1447,162676,36797,63771,55549,52778,40768,24349,10327,2950,287297,6980,4117,3098,2514,1851,1084,253,83,19970,3259,4884,5903,5942,5593,3903,1500,574,31565,47038,72766,64555,61235,48215,29341,12078,3606,338839,1142,2283,2153,2219,2061,1859,1038,407,13171,22024,25869,21429,20742,18322,16915,13329,9472,148105,112895,250777,229735,194261,143190,88365,39684,17030,1075935
3002,190,169,153,88,32,0,775,15,86,129,162,161,75,26,3,662,239,1073,1078,843,710,418,165,54,4590,141,525,669,753,761,522,225,46,3635,1141,1931,1886,1938,2037,1397,687,172,11195,319,199,142,93,96,55,24,3,916,98,156,148,196,187,169,98,23,1070,1557,2280,2179,2221,2318,1621,801,199,13184,20,53,43,51,64,67,40,25,367,657,639,554,704,854,991,976,465,5840,2643,4776,4847,4912,5026,3776,2269,803,29045
