SUA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
3014,1834,1607,3438,9216,8476,17695,1585,1639,3225,2344,2269,4611,13148,12383,25534,5964,5780,11748,1514,1533,3048,2455,2371,4832,9939,9688,19626,282,355,640,252,549,802,535,447,986,655,1336,1990,8,19,28,1733,2708,4441,1946,2999,4936,908,1661,2575,311,485,789,976,2136,3115,20,22,45,4158,7301,11458,240,383,619,455,989,1449,18,16,39,713,1387,2102,9927,10307,20239,41444,45387,86828
3015,803,767,1573,3729,3617,7339,1214,1277,2491,938,1060,2004,5886,5951,11835,2286,2150,4434,1254,1229,2483,1155,1302,2461,4700,4679,9375,155,240,398,109,279,384,278,267,546,344,608,955,10,15,19,889,1412,2298,922,1102,2023,587,609,1195,236,385,617,691,1157,1840,12,4,14,2435,3258,5694,134,158,291,259,481,748,4,8,17,401,652,1049,4622,4927,9546,19725,21653,41379
3016,1091,976,2067,4720,4515,9231,2203,2274,4481,859,887,1748,7787,7673,15463,3109,2950,6061,1746,1783,3524,1099,934,2027,5956,5658,11616,264,250,515,160,422,581,316,310,623,409,855,1267,13,13,30,1157,1850,3005,2021,3225,5245,759,1164,1916,218,369,586,865,1557,2427,15,20,34,3878,6327,10206,183,235,421,280,565,850,10,14,30,476,816,1292,7819,6375,14191,28164,29681,57848
3017,81,65,147,491,444,937,108,128,231,111,93,200,710,660,1372,325,274,597,155,119,277,136,110,249,616,506,1122,10,22,34,9,36,45,18,40,57,27,72,102,3,0,0,69,173,246,22,41,64,7,34,36,4,9,15,37,69,111,0,0,0,80,161,237,9,13,21,16,47,60,0,3,5,27,61,91,484,531,1010,2061,2153,4215
3018,94,93,186,453,413,867,282,257,539,31,38,73,764,711,1479,284,269,553,416,311,727,54,41,100,759,618,1374,8,9,24,8,10,19,49,35,80,40,67,104,0,0,0,103,119,226,56,99,154,20,64,88,22,45,60,64,136,207,0,0,3,165,341,509,8,10,13,26,50,75,0,0,0,33,58,94,868,661,1528,2788,2608,5390
4000,1548,1427,2970,9125,8213,17345,1054,985,2039,1693,1707,3400,11879,10901,22784,5708,5416,11126,474,451,920,1095,1216,2309,7283,7082,14357,186,221,407,121,344,465,596,444,1036,590,1130,1728,18,24,39,1507,2160,3675,479,926,1404,195,446,636,85,162,246,397,945,1345,5,23,22,1161,2495,3662,157,170,328,253,574,821,6,5,13,413,750,1165,11802,10467,22277,35595,35286,70888
4001,8039,7714,15750,35853,33391,69246,10980,10806,21786,8835,8803,17641,55673,53006,108674,18944,17775,36726,8376,8622,16998,9015,8764,17778,36339,35166,71503,2341,2338,4676,2198,3540,5741,2486,1950,4441,3967,6385,10352,94,95,192,11084,14309,25394,18156,21599,39758,7299,8408,15700,1764,2212,3972,5099,8327,13432,100,164,266,32409,40708,73123,1550,1953,3503,2173,3821,5997,69,86,158,3791,5859,9653,36033,36738,72774,183369,193502,376870
4002,182,151,332,1051,1024,2075,283,245,526,145,126,271,1469,1394,2867,607,660,1265,172,182,357,83,85,171,859,926,1790,29,47,75,34,76,110,75,87,159,65,147,212,0,4,4,200,354,557,59,121,180,20,75,94,7,25,34,56,137,198,0,0,0,147,355,500,28,28,52,41,86,121,3,0,3,68,116,178,900,972,1872,3817,4276,8091
4003,107,88,194,393,388,781,210,211,414,116,108,228,715,706,1427,315,356,666,41,33,68,99,80,182,452,468,918,28,26,57,12,33,45,37,46,81,41,94,130,0,0,0,113,204,313,51,85,133,25,31,55,9,16,19,25,59,78,4,0,3,106,187,289,10,24,38,21,37,65,0,0,0,36,66,104,978,662,1640,2506,2374,4879
4004,89,109,196,483,454,937,131,102,239,19,20,41,631,580,1215,217,233,455,91,98,185,0,6,7,307,338,645,8,9,17,11,14,21,34,28,57,34,41,82,0,0,0,90,88,176,7,23,29,5,23,22,6,9,14,18,43,59,0,0,0,36,95,135,5,3,9,8,26,37,0,4,4,16,30,46,1181,664,1845,2349,1908,4262
