SUA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
2010,75800,93310,169112,142883,177393,320279,1352,1369,2719,26451,30626,57083,853,875,1732,475773,532548,1008324,2950,3742,6698,94044,98794,192837,4279,5448,9727,4418,4815,9231,6300,8024,14327,7478,7661,15139,8054,9269,17323,18970,22074,41043,30400,36129,66527,2381,3360,5743,3549,4166,7716,41558,56342,97902,51929,60035,111966,1752,2067,3818,925379,1064751,1990132,68763,58978,127741,97830,87456,185289,19984,21570,41557,93,111,202,27125,21624,48752,6836,8178,15008,34058,29909,63963,690843,644783,1335627,6789,5524,12314,2686,4038,6726,700318,654347,1354666,197439,193177,390618,2119559,2203512,4323072
2011,320,434,752,2729,3219,5952,4,5,10,384,434,816,88,70,160,8213,9070,17278,22,23,41,626,599,1227,143,174,316,185,200,387,117,141,259,94,89,181,143,150,293,343,407,746,483,592,1078,49,73,118,77,99,177,754,942,1691,985,1079,2071,32,35,62,15458,17394,32848,500,489,986,579,563,1141,14,9,19,0,4,3,355,340,694,74,111,184,434,452,882,9033,8312,17349,102,72,175,36,69,105,9176,8450,17624,2892,2738,5628,29371,30523,59887
2012,217,266,481,2761,3321,6085,0,0,0,155,150,305,0,0,0,5417,5980,11401,111,159,269,272,246,518,63,99,165,64,75,142,252,350,610,9,5,15,98,92,190,234,300,530,565,650,1212,87,116,200,151,198,346,1306,1776,3081,478,561,1036,35,29,70,12064,14110,26176,122,92,215,519,389,902,9,6,18,37,38,73,90,87,181,30,51,76,161,169,333,8702,7866,16570,53,42,98,16,28,42,8768,7940,16708,2740,2666,5405,24594,25645,50239
2013,53,78,132,1141,1396,2539,0,0,0,65,84,151,44,61,100,1738,2004,3746,4,7,14,93,105,199,86,120,210,38,40,79,22,36,57,0,0,0,18,32,48,82,108,189,270,326,595,30,39,73,15,21,34,160,245,401,163,196,361,11,6,12,3976,4841,8813,8,7,13,27,18,42,0,0,4,0,0,0,3,4,7,29,40,65,32,44,69,3016,2672,5685,39,28,59,14,21,34,3061,2719,5780,865,820,1685,8022,8527,16551
2014,26,53,76,640,734,1378,0,0,0,115,112,223,0,0,0,826,929,1758,12,17,33,7,13,15,19,28,52,0,4,7,136,172,303,3,0,5,7,9,20,43,40,87,286,291,574,24,29,56,0,4,7,390,496,891,118,143,257,0,0,3,2631,3026,5652,14,16,27,11,10,26,3,0,3,0,0,0,0,0,4,19,23,36,18,20,39,1986,1725,3711,13,15,30,9,7,12,2007,1743,3753,620,602,1222,5325,5473,10800
2015,65,86,149,1179,1455,2634,0,0,0,106,147,255,23,32,56,1442,1751,3192,6,6,13,29,35,62,26,20,46,15,17,32,20,22,40,7,10,14,17,17,34,26,31,55,200,203,408,21,20,41,6,12,15,246,385,625,106,148,257,3,9,8,3478,4328,7804,65,40,105,32,39,71,3,3,4,0,0,0,24,21,41,16,25,39,36,42,78,2581,2279,4856,25,20,49,10,18,20,2614,2317,4925,755,751,1507,7041,7602,14646
2016,177,235,409,2495,2994,5488,0,0,0,145,154,304,52,43,93,5809,6376,12187,63,62,126,339,353,688,73,119,199,52,75,122,62,103,159,29,16,43,60,60,113,268,338,605,728,836,1570,41,62,106,26,35,64,1223,1584,2803,472,552,1030,14,9,23,11942,13779,25717,247,224,470,1795,1612,3404,11,3,15,11,3,13,412,343,760,45,86,130,465,433,898,6907,6331,13238,53,45,97,31,38,65,6987,6407,13395,2707,2648,5353,24328,25342,49672
2017,33,47,82,599,680,1281,0,0,0,20,27,50,69,79,150,1269,1426,2695,52,83,135,6,9,11,3,7,9,5,6,16,20,12,31,0,0,0,10,8,16,32,42,77,176,201,384,11,19,32,0,3,8,382,539,922,113,147,255,0,4,3,2770,3304,6076,27,24,54,188,89,281,3,0,3,0,0,0,85,58,142,0,0,3,88,63,151,1537,1411,2945,6,10,12,0,7,8,1542,1424,2965,658,647,1302,5307,5596,10905
2018,150,194,348,2564,3204,5761,0,0,0,168,190,365,0,3,5,4626,5287,9914,8,19,22,230,231,460,38,57,94,37,38,68,84,100,183,10,12,23,58,60,111,194,217,408,609,723,1334,44,80,122,32,32,59,567,809,1373,374,450,828,6,17,20,9645,11516,21162,120,111,228,116,98,209,6,6,9,5,4,10,23,17,44,34,60,90,59,75,139,7333,6529,13864,67,55,125,22,42,64,7421,6626,14050,2188,2266,4452,19709,20891,40601
2019,48,74,119,1231,1591,2821,0,0,0,76,81,157,46,36,85,2453,2872,5321,8,10,20,36,26,64,32,52,87,8,16,24,57,75,131,0,5,7,62,82,149,58,58,116,263,317,582,27,32,59,6,18,22,373,588,963,160,173,333,0,0,0,4901,6036,10938,45,37,77,29,24,57,6,5,7,0,0,3,13,9,26,17,19,32,30,32,61,2788,2650,5437,25,19,36,7,11,15,2814,2680,5494,908,1051,1958,8791,9922,18710
2020,94,134,223,2343,2905,5241,0,0,0,252,284,542,53,60,110,3345,3731,7078,54,60,113,81,75,162,65,75,143,41,26,67,55,66,119,0,0,0,162,182,338,108,135,242,676,871,1551,79,118,197,45,53,104,750,992,1740,545,604,1154,10,11,22,8661,10247,18906,50,48,97,35,37,71,3,4,12,0,0,3,24,29,51,25,67,101,54,95,149,6203,5838,12040,64,56,114,24,36,61,6286,5932,12212,1634,1664,3299,16812,18153,34970
2021,111,142,253,1218,1585,2798,0,0,0,221,277,493,24,34,59,4711,5545,10253,52,52,109,46,49,97,24,52,77,13,12,25,151,180,330,9,4,11,19,44,63,92,118,207,890,1123,2018,51,74,125,16,35,55,622,870,1491,356,381,733,0,3,3,8511,10434,18948,56,51,107,44,42,83,8,10,20,4,3,9,8,15,22,26,33,60,40,49,83,5776,5107,10884,57,34,94,26,23,48,5864,5163,11027,1719,1777,3498,16341,17675,34021
3000,2352,3228,5581,71436,73325,144762,4,0,6,6272,6502,12774,277,289,557,82175,83113,165289,806,885,1690,771,762,1533,2280,2872,5155,655,745,1402,7316,7630,14949,26,21,47,1738,1784,3521,4786,5435,10222,13526,12702,26222,1051,1330,2383,1622,1843,3467,24471,26931,51402,10583,11196,21775,1028,1096,2128,230823,238472,469296,826,667,1501,819,575,1398,136,169,307,346,328,674,689,586,1274,1050,1507,2553,2086,2424,4511,98910,82305,181216,892,712,1608,616,817,1433,100416,83831,184247,50324,40995,91313,387785,370362,758150
3001,18869,25106,43969,134010,154544,288554,32,25,56,22448,25007,47460,571,623,1188,222980,251134,474116,1243,1559,2799,10548,11054,21600,4356,5568,9926,6189,6787,12976,9483,11430,20916,1004,971,1972,6103,6800,12898,15909,18473,34377,27632,30388,58020,2236,2964,5196,3901,4590,8491,42861,54748,97610,31563,35668,67233,2465,2757,5228,545518,625092,1170606,17453,15970,33417,17617,16122,33736,1100,1065,2170,123,123,247,6936,5503,12436,3619,4915,8532,10675,10538,21210,357229,318392,675620,4301,3333,7629,1715,2443,4155,363239,324159,687399,103421,96778,200204,1077889,1114828,2192720
3002,248,343,593,6001,6845,12853,0,0,0,747,855,1600,122,120,237,6027,6888,12914,104,136,240,53,67,120,198,302,498,132,140,268,758,904,1661,16,17,31,225,247,473,402,462,866,1226,1356,2579,135,193,326,126,155,285,2460,3168,5628,1051,1218,2266,113,134,242,19896,23200,43097,114,111,223,165,123,286,10,19,31,6,6,16,29,30,59,52,87,139,92,123,217,9625,8508,18137,101,73,171,47,73,117,9776,8651,18428,3171,3012,6187,33476,35584,69061
3003,1076,1590,2663,9079,10064,19139,0,0,0,745,830,1574,4,6,14,15183,17195,32384,77,117,198,311,324,637,376,517,901,135,193,328,512,595,1111,35,19,56,307,356,666,1051,1367,2424,1870,2126,4000,95,123,225,320,405,732,2289,2944,5234,1822,2148,3970,59,59,123,34279,39410,73690,644,609,1256,283,255,539,82,66,150,18,15,33,426,374,804,296,399,696,740,788,1532,24670,21852,46518,241,185,424,130,153,287,25041,22189,47227,9050,8668,17722,71202,73585,144787
3004,50,59,104,1024,1055,2085,0,0,0,71,91,167,10,3,13,1725,1834,3558,5,6,11,25,22,47,29,34,63,19,31,51,52,58,110,0,0,0,30,23,49,148,141,294,192,172,365,10,29,39,29,27,55,426,460,887,266,288,555,3,4,11,4065,4291,8352,48,36,80,21,16,40,0,0,0,5,4,11,24,21,45,19,23,36,43,46,90,1565,1288,2851,30,28,61,3,5,7,1590,1325,2913,1024,919,1945,6837,6695,13532
3005,174,240,417,3519,3596,7107,0,0,0,418,465,884,9,4,12,4751,4919,9668,56,58,111,98,89,185,69,95,166,72,77,148,199,236,440,3,0,7,86,87,176,297,360,650,794,762,1560,66,93,157,35,43,77,1083,1238,2319,566,574,1136,32,34,60,12145,12720,24856,214,224,432,151,148,300,7,13,20,3,0,8,53,38,86,42,67,108,96,112,200,7189,6125,13320,84,72,151,23,35,60,7300,6233,13530,2177,1927,4109,22260,21611,43871
3006,3772,5793,9565,47555,56322,103875,16,14,34,3527,3955,7478,23,27,48,61278,70347,131626,413,547,966,2651,2910,5564,1534,1905,3434,1474,1546,3017,1996,2439,4430,281,255,532,980,1140,2119,4312,5179,9486,8601,9593,18201,439,607,1045,718,881,1593,10648,13615,24257,8587,10080,18668,440,517,961,155463,181872,337338,2232,2036,4275,2412,2076,4489,616,660,1279,38,38,75,901,658,1561,848,1229,2070,1787,1920,3711,102839,93419,196256,927,759,1680,576,976,1553,104341,95150,199497,32381,31743,64125,303014,321253,624264
3007,54,88,145,1474,1797,3271,0,3,3,148,172,319,46,45,94,1635,1897,3532,21,32,47,14,14,28,115,143,255,48,53,101,109,132,238,3,3,9,99,130,230,136,181,317,270,316,585,53,83,137,29,49,82,788,1132,1921,382,422,799,10,10,21,5392,6607,11997,16,21,36,15,13,35,4,3,14,3,0,4,6,10,19,29,66,89,41,77,120,3318,2993,6307,38,44,83,17,30,40,3371,3062,6431,1063,1133,2201,9957,11009,20966
3008,183,296,477,4902,5768,10678,0,0,0,628,726,1354,26,32,57,4466,5377,9841,33,29,55,92,77,166,157,215,370,47,53,102,375,434,807,5,4,16,89,105,197,288,359,638,957,1077,2034,86,128,216,50,76,124,1350,1774,3123,549,677,1222,28,31,62,14128,16936,31061,120,116,235,63,66,131,12,15,26,12,13,21,13,8,16,62,117,182,82,141,219,7618,6959,14584,80,71,145,37,74,113,7734,7105,14836,2533,2547,5084,24856,27220,52073
3009,34,34,64,754,896,1650,0,0,0,86,102,181,0,0,0,836,985,1819,42,38,80,0,5,7,58,72,125,13,22,34,261,311,571,0,0,0,21,18,35,66,92,161,165,184,351,33,47,88,25,29,50,404,473,870,222,258,474,17,9,25,2994,3542,6535,9,12,23,4,3,8,3,0,4,0,0,0,3,3,7,17,26,45,22,25,50,1442,1243,2685,13,7,22,5,11,15,1459,1257,2721,463,430,889,4985,5306,10289
3010,244,354,601,5735,6548,12285,0,0,0,407,437,843,3,3,8,10484,11279,21765,51,59,107,71,91,163,197,263,459,64,74,144,342,437,783,14,8,19,174,173,345,595,704,1292,1191,1103,2289,64,82,145,242,308,552,2724,3264,5991,1010,1107,2117,122,130,250,23483,26076,49557,253,260,514,146,142,293,8,12,20,0,0,0,89,64,152,73,102,179,163,164,328,10605,8997,19599,119,99,217,56,86,137,10787,9176,19956,4309,3109,7420,39391,39289,78685
3011,53,108,160,2275,2618,4895,0,0,0,202,213,416,85,83,167,2031,2378,4414,50,60,109,15,11,26,137,134,268,11,11,24,199,264,460,0,0,0,222,231,447,171,190,359,495,470,965,57,82,137,19,22,41,954,1235,2185,453,485,938,40,26,64,7414,8501,15916,14,28,46,12,3,17,3,3,8,4,8,10,6,8,15,35,50,84,43,67,108,3978,3497,7474,36,26,56,15,27,42,4021,3545,7572,1886,1218,3102,13458,13470,26929
3012,46,57,103,991,1004,1990,0,0,0,179,197,371,8,8,17,2506,2552,5065,6,0,6,35,33,68,31,53,87,59,38,104,83,92,171,0,0,0,48,37,85,209,230,433,221,182,401,13,25,45,44,55,98,367,398,768,202,209,412,5,9,10,5008,5125,10136,81,63,146,35,33,71,3,0,3,9,3,15,20,6,27,15,14,31,37,33,68,2831,2293,5125,32,17,49,16,15,31,2879,2324,5201,1395,1214,2609,9488,8854,18342
3013,276,376,653,6077,7058,13139,0,3,3,866,978,1835,13,10,23,9779,10601,20383,43,36,80,56,63,121,173,204,375,123,134,256,239,282,512,5,7,14,126,169,292,569,692,1264,1432,1567,3005,202,292,494,76,97,178,2295,2930,5225,1007,1110,2114,35,37,66,23110,26270,49371,337,256,593,312,166,478,7,9,19,16,22,41,73,71,145,114,131,253,213,226,442,9383,7991,17375,144,105,247,44,31,77,9569,8130,17699,4418,3310,7726,38243,38746,76985
3014,1426,2281,3712,23402,28076,51483,0,0,0,2884,3300,6183,102,89,192,26498,30668,57165,248,317,564,418,540,961,878,1164,2036,397,449,844,1632,2095,3729,39,36,72,512,595,1104,2284,2705,4984,4423,5157,9578,304,428,727,287,340,624,6707,8900,15605,4630,5373,10005,151,189,343,75794,90407,166199,586,569,1159,325,276,605,144,142,285,16,10,28,195,156,348,357,564,921,571,733,1298,54364,49929,104295,576,522,1103,369,651,1022,55307,51107,106419,14048,13817,27867,148210,159336,307545
3015,530,637,1166,10924,13111,24038,0,0,0,961,1181,2139,139,117,257,14565,16254,30822,598,686,1281,110,126,241,313,415,727,171,189,358,2035,2449,4479,32,27,61,285,301,586,1173,1338,2514,2153,2522,4677,161,245,405,272,335,611,3058,3990,7045,2871,3450,6319,119,147,263,39932,46884,86816,720,478,1201,852,719,1573,34,25,56,13,16,32,150,107,257,184,267,457,348,393,743,14346,12579,26919,215,173,386,70,95,164,14626,12847,27472,5928,5770,11699,62974,67744,130722
3016,614,842,1460,12254,13845,26106,0,0,0,1076,1190,2262,21,26,39,22208,24302,46510,49,53,102,499,548,1051,252,358,610,157,200,361,483,580,1068,70,53,120,363,415,779,1256,1553,2811,2599,2806,5406,346,393,735,265,347,604,3830,4924,8750,1942,2156,4091,107,116,216,47766,53863,101630,517,495,1011,499,456,951,39,35,74,33,33,63,138,122,255,220,305,522,388,451,838,26405,22816,49217,338,262,592,104,129,234,26837,23204,50042,9921,7876,17802,86585,87227,173815
3017,21,26,49,1574,1857,3428,0,0,0,120,163,286,82,80,165,1747,2008,3751,18,22,39,4,11,17,35,65,100,46,42,84,66,74,142,0,0,0,37,34,67,83,101,187,250,286,535,33,33,61,30,37,65,471,553,1023,201,208,406,10,11,26,4802,5572,10375,23,24,47,13,14,32,3,0,4,3,3,7,7,8,16,19,33,58,30,42,76,1758,1546,3304,16,13,27,7,13,22,1778,1581,3360,603,596,1196,7274,7853,15130
3018,53,67,124,1506,1749,3253,0,0,0,100,136,241,0,0,0,2271,2466,4736,5,8,13,14,15,30,45,52,93,21,16,34,54,66,116,0,0,0,45,63,110,76,84,164,319,320,640,29,27,54,23,30,53,507,644,1154,236,254,488,13,12,23,5256,5944,11200,13,16,28,4,4,13,0,3,3,3,0,3,3,0,9,19,38,54,24,36,67,2521,2201,4725,32,32,67,14,19,33,2569,2258,4827,1043,818,1860,8969,9142,18107
4000,693,920,1609,13578,14968,28547,0,0,0,1419,1405,2826,27,18,48,16684,17305,33986,435,558,991,1117,933,2046,343,471,811,137,171,309,9925,10703,20634,5,11,18,433,424,855,1151,1354,2507,1822,1762,3582,289,365,646,231,259,485,15440,17567,33004,3570,3769,7336,313,298,611,66910,72331,139245,208,149,351,684,297,978,30,32,65,125,127,246,329,288,622,271,458,725,721,870,1593,49345,40622,89973,379,284,665,197,292,490,49922,41196,91127,14953,12591,27545,134123,128388,262512
4001,12858,15893,28749,55859,68964,124822,3,0,3,9969,11536,21507,287,317,603,114189,129715,243905,1403,1954,3359,18819,19692,38511,1871,2381,4253,1161,1407,2569,11681,14677,26356,850,838,1691,2422,2801,5222,6612,7927,14543,5146,6072,11219,1148,1610,2758,919,1079,2005,31192,42131,73326,16302,19105,35403,1478,1656,3129,281308,333872,615174,11614,10541,22160,14613,12499,27110,461,476,938,89,85,179,4277,3703,7978,2585,3281,5864,6953,7071,14018,237972,215622,453592,2360,1976,4336,993,1511,2512,241333,219114,460443,55519,53331,108843,624644,652789,1277431
4002,73,86,154,1169,1344,2517,0,0,0,327,400,728,57,58,118,2474,2861,5338,14,16,33,61,55,112,47,51,101,28,38,68,314,414,732,9,10,17,34,63,102,157,195,357,687,826,1513,79,77,160,17,24,43,763,1085,1843,374,401,770,11,4,10,6624,7929,14554,32,31,65,36,25,64,3,0,5,9,3,9,11,9,18,38,41,75,53,57,112,5851,5341,11190,50,44,99,28,30,56,5934,5418,11349,1201,1183,2383,13952,14729,28684
4003,98,110,212,603,691,1296,0,0,0,71,81,153,0,0,0,1162,1268,2433,45,47,91,15,13,29,78,98,173,27,34,62,611,739,1350,3,0,3,34,29,60,151,164,308,82,86,171,30,29,57,27,30,54,740,966,1701,333,402,732,13,21,40,4022,4705,8731,38,27,63,107,92,201,3,3,5,0,7,8,31,34,61,22,31,49,53,68,116,3264,3024,6287,23,23,49,8,18,23,3293,3064,6352,1094,781,1876,8705,8854,17559
4004,27,35,63,752,834,1583,0,0,0,27,26,53,17,18,40,1030,1216,2246,5,6,15,12,9,22,28,44,69,7,3,12,152,214,367,0,0,0,34,31,60,21,36,59,108,136,250,39,64,102,16,21,35,440,583,1024,100,108,212,0,3,7,2801,3353,6149,22,22,49,24,24,53,0,0,0,8,19,26,37,40,80,16,14,30,60,71,130,2567,2369,4940,25,18,43,7,12,24,2604,2396,5000,1332,741,2068,6871,6641,13515
4005,41,51,94,706,830,1532,0,0,0,100,92,195,0,0,0,1236,1406,2649,14,14,26,41,35,74,35,47,83,3,0,9,334,413,746,0,0,0,18,13,32,122,160,282,43,59,99,29,37,67,28,27,49,686,888,1570,177,197,374,0,0,3,3565,4222,7788,21,20,40,9,0,11,0,0,4,3,3,8,4,7,14,7,11,15,17,18,36,3146,2714,5859,22,18,32,5,15,26,3177,2746,5922,1033,753,1792,7867,7821,15685
4006,20,31,56,530,633,1161,0,0,0,129,124,254,0,0,0,1701,1919,3620,7,9,13,85,75,158,12,28,43,26,36,63,162,209,370,0,0,0,26,44,76,65,91,154,67,63,125,36,43,82,0,8,8,623,844,1466,112,126,239,3,3,5,3589,4250,7840,10,18,24,31,22,56,0,0,0,0,0,0,0,0,0,12,27,34,12,30,38,2576,2189,4762,17,21,35,8,3,6,2598,2217,4809,589,596,1185,6845,7162,14007
4007,82,134,219,1723,2204,3928,0,0,0,230,262,492,0,0,0,1195,1425,2624,123,171,297,28,33,60,83,130,214,13,15,31,298,396,693,0,0,0,42,50,93,222,282,506,169,168,340,47,50,95,15,22,36,1253,1651,2907,411,499,908,43,47,84,5901,7396,13293,20,16,30,12,8,15,3,3,11,0,0,0,12,9,20,44,65,110,57,78,131,4817,4473,9293,38,33,66,23,43,65,4876,4543,9418,1172,1214,2384,12117,13391,25503
4008,59,75,136,1092,1189,2276,0,0,0,116,157,275,3,3,4,1969,2271,4243,15,26,44,105,95,207,32,49,80,36,36,72,215,239,456,3,0,3,53,37,86,144,173,321,219,276,490,57,67,121,12,16,23,610,774,1385,275,273,551,6,5,15,4964,5689,10657,74,63,137,36,30,68,0,0,0,3,3,5,13,6,22,24,35,63,40,45,91,4532,3885,8418,53,54,108,10,8,16,4593,3942,8540,1106,1030,2133,10875,10880,21751
5000,1278,1381,2660,24513,24442,48959,0,3,3,2419,2375,4790,244,223,466,26986,24844,51837,637,750,1383,361,302,661,680,845,1520,249,258,506,564,614,1183,26,13,44,1413,1433,2843,970,1078,2049,2567,2251,4815,279,333,615,724,806,1525,4666,5246,9909,4632,4769,9402,153,158,312,72078,70746,142825,413,245,651,739,474,1210,80,67,149,443,360,810,73,55,126,370,585,951,887,998,1883,53583,42066,95652,452,300,752,208,290,495,54243,42654,96900,25951,17289,43234,155662,133845,289509
5001,84,145,234,2446,3044,5484,0,0,0,536,567,1107,51,47,99,2035,2295,4334,79,86,168,29,28,55,84,127,206,24,48,76,53,107,161,4,5,11,119,119,238,207,261,471,496,590,1085,48,71,118,44,58,108,534,803,1346,616,754,1371,16,9,30,7431,9027,16461,51,40,90,40,25,68,3,9,10,3,0,5,21,18,38,67,123,189,88,141,232,6479,5915,12393,76,58,128,28,49,85,6586,6026,12609,1972,1466,3445,16261,16882,33145
5002,87,142,231,614,655,1268,0,0,0,60,78,137,0,3,3,1633,1845,3477,10,7,12,16,19,30,34,25,62,12,10,23,14,26,47,3,0,3,25,31,54,51,60,105,71,77,148,0,14,14,16,18,37,135,134,271,99,109,206,0,8,9,2801,3118,5921,35,25,61,45,37,75,4,4,10,13,6,21,11,3,13,13,6,21,35,20,52,2828,2571,5392,17,10,35,15,20,34,2862,2601,5466,1143,1041,2184,7003,6981,13984
5003,281,413,696,5855,7019,12875,0,0,0,690,710,1401,0,0,0,6977,7852,14832,87,136,221,117,134,251,224,301,526,220,227,444,112,148,261,4,7,11,170,170,347,288,358,643,575,632,1207,65,92,161,107,115,221,800,1126,1928,1138,1301,2436,61,71,138,17491,20407,37903,198,156,357,218,222,434,16,26,45,3,3,9,60,53,109,95,159,256,153,221,373,13154,11922,25079,138,96,230,51,63,114,13341,12084,25431,3871,3297,7171,35575,36824,72402
5004,150,250,405,3439,4105,7540,0,0,0,266,301,564,3,3,8,2855,3309,6165,86,102,185,30,39,72,97,137,230,29,36,61,52,73,126,0,0,0,54,65,117,98,113,214,293,308,601,29,53,84,63,71,131,504,716,1224,535,589,1130,10,23,30,8428,10043,18473,44,45,93,91,64,160,8,5,11,3,4,6,21,13,41,45,72,109,72,91,157,7076,6231,13304,55,62,112,28,55,86,7158,6349,13509,1915,1892,3808,17869,18743,36616
5005,29,59,80,997,1116,2112,0,0,0,95,100,193,0,0,0,921,1066,1987,18,30,52,6,10,11,38,64,107,7,8,11,62,73,132,0,0,0,36,41,79,49,72,115,100,106,204,9,16,29,51,51,104,217,298,517,309,325,626,4,7,12,2911,3384,6296,10,4,10,3,3,4,0,4,4,5,6,6,8,3,13,9,18,29,21,25,47,2214,1839,4054,26,12,38,9,9,17,2246,1864,4111,823,735,1558,6044,6071,12107
5006,120,226,343,2840,3343,6182,0,0,0,197,194,393,0,0,0,4711,5211,9926,32,44,72,33,30,61,81,124,212,18,23,40,67,88,153,0,0,3,85,116,197,187,239,424,263,245,510,46,52,91,99,114,206,469,521,989,529,658,1186,12,18,25,9671,11014,20684,78,84,159,268,279,547,9,9,17,8,9,19,12,11,28,38,62,106,56,88,144,6003,5230,11227,49,39,86,25,40,66,6082,5300,11383,2233,1920,4153,18515,18914,37432
5007,110,169,283,1618,1632,3250,0,0,0,314,318,633,0,0,0,3243,3351,6591,134,188,320,42,30,66,62,97,156,116,123,241,73,69,135,7,3,13,105,108,216,165,144,312,310,283,594,31,42,72,79,86,170,339,382,720,637,655,1288,27,39,71,7284,7572,14850,169,148,323,121,82,209,4,0,8,4,0,6,25,27,60,35,45,82,72,79,147,5551,4442,9990,49,48,96,16,34,46,5611,4525,10136,2167,1760,3922,15535,14340,29873
5008,113,158,270,982,877,1857,0,0,0,144,162,301,5,0,5,1783,1706,3488,28,17,47,25,33,61,34,36,65,54,44,102,27,16,46,0,0,0,30,44,70,56,34,86,113,106,220,18,21,39,30,25,59,135,153,289,204,191,392,27,25,47,3681,3503,7184,117,96,217,80,66,138,0,0,3,4,3,11,10,4,15,19,31,44,33,37,67,3060,2527,5585,17,18,30,14,11,16,3086,2550,5633,1321,996,2316,8425,7399,15828
5009,20613,26731,47341,119790,141914,261704,18,11,27,15196,17038,32240,598,609,1208,200878,222049,422928,2162,2828,4989,10834,11491,22328,3430,4440,7873,2396,2769,5170,2532,3061,5594,1315,1301,2614,5716,6527,12247,9896,11554,21449,16636,18415,35051,1327,1811,3144,1964,2534,4497,16542,22553,39093,30017,34826,64840,1253,1430,2681,442514,507163,949675,19418,17208,36629,25200,22114,47315,2510,2662,5169,111,103,213,6316,5130,11448,3535,4628,8164,9967,9858,19825,325134,287078,612214,3404,2522,5921,1352,1985,3342,329895,291587,621484,94179,86220,180399,944291,963541,1907833
5010,71,114,189,676,615,1297,0,0,0,105,106,209,0,0,4,1549,1367,2915,14,17,32,38,20,58,39,37,73,26,39,65,25,24,53,6,3,4,27,15,47,100,119,220,92,71,159,3,0,7,20,27,48,125,136,265,213,238,446,11,12,24,3061,2858,5924,60,64,121,249,218,466,0,5,4,11,12,21,4,3,7,14,23,35,31,34,65,2546,2065,4608,19,23,42,3,9,13,2568,2089,4661,1299,1103,2400,7339,6492,13828
5011,39,56,93,1045,1218,2261,0,0,0,66,82,155,0,0,0,943,940,1881,7,12,14,24,20,45,30,34,61,35,34,72,20,25,46,8,5,11,34,37,67,50,50,103,79,111,194,4,12,16,8,3,14,55,76,134,154,181,333,6,13,20,2568,2846,5414,20,17,32,10,15,26,3,3,9,0,0,0,5,6,19,11,18,25,15,28,42,2497,2271,4766,21,25,51,7,15,25,2529,2308,4837,720,681,1399,5897,5957,11855
