SUA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
5004,11290,29311,969,1585,150,314,1116,1896,33,45,0,3,0,0,6,5,35,54,90,152,314,485,23,54,19,33,436,723,55,127,12940,32111,4714,..,17647,32111
5005,3688,9331,362,567,26,52,388,625,70,113,0,0,0,0,0,4,67,116,28,40,0,3,12,27,5,18,44,87,53,117,4239,10276,809,..,5046,10276
5006,11256,29496,1124,1864,302,715,1422,2579,239,378,14,25,0,0,3,3,255,408,75,110,90,133,31,51,78,247,276,539,51,106,13261,33124,2367,..,15625,33124
5007,7965,22334,1363,2765,190,409,1554,3172,200,323,0,0,0,0,0,0,200,323,130,181,19,26,0,0,12,23,161,236,48,85,9924,26145,1621,..,11543,26145
5008,4103,12426,422,843,58,121,487,961,115,188,16,13,53,81,0,0,179,288,46,84,3,16,13,18,0,3,65,125,17,30,4845,13832,1675,..,6517,13832
5009,520098,1452874,81364,161423,28690,62519,110051,223943,17114,28806,11415,19377,16833,29384,49,82,45413,77644,988,1422,603,937,82,182,505,1304,2183,3841,1587,3490,679322,1761792,84521,..,763839,1761792
5010,3178,9263,197,428,136,384,335,812,429,758,39,66,42,84,0,0,513,907,60,88,3,10,6,8,6,5,70,109,30,56,4124,11148,2121,..,6244,11148
5011,3820,10289,68,147,18,35,87,178,5,6,0,0,0,0,0,0,5,6,0,0,0,5,10,29,0,0,10,32,17,35,3935,10547,602,..,4535,10547
6000,55571,130829,893,1321,74,129,971,1452,765,1155,5,9,4,3,8,9,778,1174,184,316,126,191,77,139,181,405,561,1048,338,707,58214,135207,18215,..,76425,135207
6001,9631,22650,751,997,110,167,861,1170,89,134,38,38,63,89,0,0,185,258,33,49,4,9,0,0,11,26,51,77,28,50,10759,24211,1290,..,12042,24211
6002,10230,24700,1013,1449,133,176,1146,1625,180,256,0,0,6,7,0,0,191,263,17,25,55,79,5,3,16,40,86,145,26,67,11679,26800,1329,..,13011,26800
6003,65902,165314,2932,4735,2048,3908,4974,8648,5632,9240,931,1524,623,970,62,120,7258,11860,53,93,80,123,21,36,161,395,316,639,210,442,78662,186905,7181,..,85845,186905
6004,26679,66328,2085,3223,803,1710,2884,4936,2465,3742,109,161,124,148,87,147,2783,4193,14,19,20,29,6,21,80,144,119,218,117,249,32582,75916,3470,..,36053,75916
6005,4990,11923,525,709,21,26,545,729,62,80,0,0,0,0,5,4,60,82,31,43,25,43,0,0,16,30,71,121,15,37,5685,12893,655,..,6344,12893
7000,14496,57822,1039,3458,39,71,1081,3527,852,1625,115,200,61,89,11,22,1044,1939,578,1141,75,148,257,685,61,132,973,2107,291,750,17882,66146,4292,..,22174,66146
7001,5042,14772,1485,2971,645,1389,2133,4367,281,458,19,31,0,0,7,8,308,494,164,267,32,44,18,42,298,750,511,1100,71,111,8059,20833,1331,..,9395,20833
7002,23557,73153,2623,5584,2018,4681,4636,10264,3801,8086,1755,3682,4450,9544,11,32,10022,21347,430,852,88,164,36,76,133,331,687,1423,213,456,39116,106637,5088,..,44207,106637
8000,271,808,12,15,0,0,14,13,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,9,0,7,291,837,29,..,320,837
8001,103815,293769,15406,30658,12637,28898,28041,59560,5525,9589,7796,14029,10229,17771,202,355,23754,41739,35,45,102,172,11,15,62,180,211,415,299,596,156131,396082,14062,..,170186,396082
9000,1130,2924,54,141,29,77,87,217,49,89,59,172,5,13,3,3,115,275,0,0,0,0,3,4,10,19,12,24,16,30,1360,3470,371,..,1734,3470
