SUA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
3006,2242,3065,1146,1968,1867,1074,263,530,161,12311,3400,3442,2342,5793,4041,2377,562,1236,286,23482,7343,3138,25012,8417,7026,5462,3901,6474,962,67732,284,200,291,544,622,644,183,523,41,3327,744,514,578,1374,1407,1087,397,689,104,6890,284,480,257,263,415,258,103,228,60,2354,587,720,786,758,684,708,408,781,622,6057,24286,47244,32859,24173,22031,15126,6498,12297,2946,187460
3007,24,62,17,60,34,17,3,5,0,223,60,60,36,151,95,25,11,27,3,475,171,66,776,322,226,187,187,257,38,2222,11,0,15,20,20,24,13,50,0,155,10,8,14,37,24,26,16,14,3,155,4,8,4,12,5,3,4,3,0,46,17,15,25,22,5,18,12,24,21,152,393,903,912,694,495,330,257,404,67,4452
3008,86,166,55,147,79,48,13,25,9,633,150,194,99,401,190,78,33,57,13,1212,422,180,1537,853,383,404,277,487,38,4575,17,13,24,61,48,71,7,48,0,287,34,35,36,108,52,59,24,59,6,410,4,28,15,21,9,11,0,4,3,101,24,45,49,54,34,29,27,67,37,371,1023,2911,1868,1897,1000,781,389,783,132,10781
3009,29,29,13,41,19,5,3,4,0,147,36,56,23,82,44,19,7,10,4,286,109,43,389,166,102,72,100,149,14,1141,10,0,10,13,21,24,3,30,0,101,15,6,6,22,14,7,4,14,0,83,0,3,0,0,0,0,0,0,0,14,14,8,12,12,5,10,4,24,7,103,282,632,469,376,253,152,135,253,30,2578
3010,166,301,139,160,129,53,48,37,9,1037,326,337,266,447,360,109,97,89,24,2064,905,446,5021,936,1026,573,1261,806,166,11146,32,18,37,82,83,97,39,80,3,483,85,41,63,116,114,75,99,87,10,691,18,37,34,18,31,14,17,31,3,209,58,52,118,95,54,74,80,105,73,711,2296,5416,5951,2285,2239,1149,1754,1385,336,22815
3011,34,84,30,58,44,10,5,12,0,277,76,79,43,165,103,29,10,28,5,534,207,101,880,467,290,145,213,269,27,2594,10,5,19,37,49,36,14,42,0,209,14,9,12,61,30,30,11,31,0,202,3,13,4,4,14,8,3,5,0,48,18,21,28,39,22,24,26,45,18,243,470,1115,1036,933,633,299,282,450,62,5283
3012,21,53,27,43,33,6,12,6,0,201,42,79,57,115,70,15,29,15,7,425,165,100,1389,191,222,101,455,127,47,2803,6,9,22,12,15,29,22,21,3,132,16,6,20,25,13,15,19,13,0,136,0,3,5,6,3,0,7,11,0,39,10,13,36,22,19,16,32,25,25,193,433,1280,1634,551,455,219,597,254,98,5506
3013,120,246,125,177,120,36,21,30,9,885,235,260,193,549,358,94,54,74,20,1830,686,372,3653,1150,991,490,789,651,93,8863,29,26,45,98,97,116,57,115,3,580,39,34,46,130,107,74,82,77,7,595,14,44,29,24,19,7,21,29,3,188,46,65,82,83,51,66,73,103,58,629,1791,5055,4447,2680,2242,985,1166,1189,230,19781
3014,1069,1683,572,1002,896,468,142,247,73,6154,1488,1660,1061,2521,1828,901,230,533,112,10343,3734,1510,13253,4407,3444,2758,1908,3239,432,34671,116,100,149,281,351,366,85,274,16,1740,352,247,298,620,585,466,191,327,37,3116,137,177,131,119,153,115,36,98,27,989,251,296,359,333,263,306,168,324,245,2555,11210,24032,16869,11627,10200,6548,2976,5728,1238,90422
3015,314,587,165,309,293,100,46,88,14,1928,570,636,458,941,794,239,143,181,41,4006,1348,644,5466,2018,1754,1008,1004,1269,127,14640,59,34,78,111,172,172,61,166,5,860,126,75,80,304,195,143,84,129,11,1142,21,74,36,38,44,19,13,23,6,281,76,89,122,145,105,119,95,154,82,989,4236,11197,6861,4779,4619,2156,1543,2390,376,38161
3016,384,651,284,460,345,99,76,68,14,2388,832,787,544,1632,1000,326,143,203,69,5527,1698,867,7780,3149,2346,1241,1749,1590,259,20679,70,54,99,229,222,200,85,156,7,1115,121,107,100,342,271,141,113,143,11,1348,54,106,45,66,74,41,26,39,19,465,74,157,156,174,128,115,119,202,116,1241,5319,14280,9606,7362,5790,2577,2479,2754,631,50801
3017,25,46,9,37,22,6,4,17,3,165,47,40,26,90,43,16,14,21,3,299,156,59,502,230,141,113,163,224,22,1605,3,3,13,11,19,11,18,43,3,121,14,11,7,24,16,28,18,29,0,151,3,0,4,0,4,0,0,3,0,15,20,17,19,18,12,20,16,36,16,182,346,716,618,473,326,224,239,396,53,3394
3018,46,66,31,40,33,7,10,10,0,251,64,67,47,124,74,26,18,9,7,439,192,77,925,256,209,116,255,147,30,2197,9,3,17,21,19,32,8,6,0,116,27,12,9,37,29,18,19,11,0,157,9,13,0,8,6,5,3,3,0,46,14,18,19,18,21,13,14,25,15,150,574,1256,1113,624,496,249,334,237,63,4945
4000,1097,1292,283,844,580,213,112,249,48,4715,1289,927,463,1638,911,373,155,398,57,6220,4677,1073,9637,3409,2522,1562,2316,3593,369,29157,313,91,186,258,386,296,171,449,24,2168,600,167,254,577,432,282,221,489,45,3066,135,97,80,69,97,47,45,150,21,738,679,266,373,342,263,277,336,673,246,3460,11851,13317,11766,8205,6398,3403,3496,6714,910,66058
4001,3940,7403,2282,4570,3812,1417,579,932,306,25244,5881,6515,4192,8937,6547,2526,999,1672,462,37725,11131,5891,41676,16856,14127,8156,6961,9651,1580,116030,650,420,673,1275,1698,1469,502,1308,92,8079,1221,996,1036,2610,2569,1379,692,1036,158,11701,489,1037,542,571,676,324,253,486,123,4495,859,1190,1175,1316,1143,965,722,1266,908,9545,46789,119492,57791,49387,46291,22706,12846,21829,5183,382315
4002,66,129,14,78,45,30,7,17,4,392,107,120,42,166,108,25,15,22,7,617,334,144,1289,563,370,289,291,325,49,3645,19,14,17,35,69,65,26,58,0,307,36,15,26,81,42,42,22,42,3,305,8,10,8,17,9,3,9,14,0,79,25,23,20,45,24,21,47,50,16,264,789,1713,1440,1133,750,505,423,550,87,7398
4003,32,56,12,39,22,7,8,16,3,195,38,43,25,115,56,28,6,45,4,350,148,65,506,321,166,136,123,263,19,1744,7,9,10,19,30,35,20,51,0,191,18,15,8,49,26,11,13,36,3,182,3,11,7,8,3,3,6,38,0,68,12,3,24,18,14,17,20,75,14,208,330,534,634,642,356,257,210,647,56,3664
4004,19,36,3,45,15,3,3,3,3,142,33,42,23,90,33,7,5,3,3,254,100,68,465,278,149,69,162,122,21,1437,13,13,13,29,22,24,7,18,3,128,16,4,5,44,20,19,9,16,0,132,6,4,7,0,3,0,3,5,3,34,11,16,13,25,6,3,22,17,17,125,264,699,541,578,296,134,220,200,53,2984
4005,31,69,6,41,33,11,3,8,8,207,50,60,30,112,55,27,16,13,5,355,191,115,698,264,187,129,99,191,15,1893,13,3,17,22,28,19,9,29,0,138,13,27,10,37,26,18,14,33,0,179,8,9,12,4,9,0,7,9,0,66,19,22,30,20,19,21,9,40,18,208,439,978,821,579,435,255,167,350,59,4096
4006,18,48,8,47,14,4,7,0,5,147,33,48,24,102,37,7,11,6,5,279,105,62,489,272,121,95,163,122,23,1450,9,0,10,24,17,18,14,20,0,111,9,6,3,27,18,7,10,9,3,99,0,0,6,3,4,0,3,5,0,31,3,13,11,11,10,16,13,17,8,108,246,644,566,532,251,166,224,188,54,2855
4007,71,107,21,92,59,28,7,14,3,402,57,78,44,140,73,37,9,32,3,478,214,85,685,381,195,163,116,226,26,2098,21,5,21,27,26,35,9,31,3,168,21,11,15,62,44,28,23,22,3,224,9,3,13,4,3,3,0,9,0,48,29,24,27,35,16,24,12,28,19,214,607,1164,871,876,507,350,185,393,62,5013
4008,28,63,21,63,17,7,12,5,3,212,60,76,63,128,70,16,26,10,3,449,161,77,994,307,211,114,387,168,59,2474,11,11,16,25,38,24,25,36,4,193,10,11,18,49,23,24,32,21,3,183,3,7,3,3,3,0,5,3,3,36,4,9,23,29,5,18,41,36,16,181,420,1137,1179,702,421,220,544,288,109,5006
5000,1214,1143,533,668,580,200,259,320,60,4974,1144,830,795,1210,890,333,398,459,70,6134,4012,1277,14626,2954,2390,1109,4046,3562,546,34525,259,139,200,360,449,265,214,501,28,2411,527,196,336,526,512,223,337,434,42,3132,144,104,87,84,88,40,80,163,15,807,664,254,440,404,362,265,518,693,296,3882,11821,13980,17932,7376,6728,2891,6272,7095,1227,75314
5001,109,217,46,133,113,23,25,41,4,709,123,139,89,224,143,63,20,55,14,867,341,155,1430,611,349,257,282,348,54,3823,28,13,27,48,66,55,28,62,7,324,40,25,27,82,66,37,21,52,3,349,15,19,9,20,13,6,4,16,0,110,29,31,42,52,43,34,42,50,23,359,1000,2133,1756,1369,970,544,447,707,126,9063
5002,62,95,24,56,42,22,5,19,0,329,70,69,51,140,96,31,6,23,4,493,181,109,607,206,177,110,97,119,26,1641,10,13,17,19,23,24,6,13,3,128,31,20,15,39,40,20,10,22,4,198,9,6,3,4,4,9,0,8,3,45,16,17,26,30,17,17,17,27,20,187,636,1283,797,664,587,276,155,282,85,4774
5003,163,347,171,199,181,46,60,65,12,1247,271,263,312,441,267,130,84,111,23,1903,631,373,3881,1071,869,549,870,788,142,9173,43,20,57,75,128,161,36,111,9,637,81,55,81,165,162,94,80,93,3,813,21,44,28,30,22,15,34,41,7,247,48,51,77,98,62,63,78,140,51,668,1928,4778,4840,2432,2097,1203,1328,1574,291,20465
5004,138,197,83,99,106,68,24,50,3,771,156,111,118,196,129,83,26,63,9,883,453,136,1816,524,353,250,358,401,61,4353,30,24,26,55,46,70,18,50,0,305,69,23,34,92,82,50,30,47,7,425,17,19,19,16,23,8,9,6,0,113,43,37,57,40,50,42,24,50,26,374,1376,2240,2268,1242,1035,695,525,804,124,10295
5005,39,58,12,22,39,13,4,10,0,205,36,50,33,47,56,19,10,19,0,264,159,90,578,143,120,82,146,123,20,1467,13,4,8,19,26,26,11,26,3,134,18,3,17,15,27,16,16,17,0,124,9,8,7,3,5,4,3,3,3,46,20,11,13,23,18,15,20,29,16,169,400,687,691,326,355,183,218,243,46,3147
5006,96,187,39,106,95,30,23,23,8,620,129,172,101,262,145,55,30,48,11,955,391,230,1880,537,434,244,376,395,87,4567,34,25,19,49,79,56,23,72,6,363,35,28,36,63,69,48,28,42,4,358,19,19,5,19,19,8,11,16,3,118,32,40,35,56,24,31,41,59,31,344,1060,2407,2219,1277,1031,515,550,712,167,9933
5007,68,123,61,59,60,13,33,8,4,430,118,137,98,166,108,38,60,30,12,756,300,156,2064,321,292,148,626,222,61,4192,15,5,30,23,40,44,34,31,7,228,37,12,30,56,58,23,56,34,6,302,5,16,9,11,10,9,20,13,0,94,13,24,47,35,15,27,86,49,40,350,846,1910,2462,835,721,353,1004,446,147,8728
5008,44,62,60,40,44,12,18,8,4,304,74,68,82,88,85,22,28,36,10,493,191,89,1210,158,230,65,267,173,75,2465,15,11,15,26,26,18,17,23,0,166,17,13,32,20,51,21,28,28,3,222,3,7,5,3,3,4,9,9,0,46,18,17,43,21,30,28,33,28,16,244,616,1092,1581,460,593,229,436,367,132,5508
5009,6591,11322,5364,5849,6486,2621,1545,1915,507,42196,8141,9137,8355,11829,9778,4605,2392,3182,714,58133,15928,8647,75869,22205,17844,10066,13474,13744,2846,180629,831,537,1057,1839,2317,1860,761,1599,131,10938,1815,1475,1926,3769,4212,1941,1327,1695,240,18400,980,1833,1025,960,1310,627,456,778,168,8143,1322,2140,2041,2196,2168,1558,1393,1925,1507,16258,76597,187224,108003,67150,71258,34704,26007,32964,9008,612906
5010,41,57,50,29,31,6,17,16,5,254,68,58,69,82,78,17,32,11,9,419,137,95,1193,114,169,54,265,165,63,2259,9,11,17,11,27,15,10,18,0,125,7,7,16,22,12,11,25,17,0,122,5,11,9,9,8,4,3,12,0,48,10,11,28,19,21,26,37,29,15,199,446,824,1469,361,449,188,420,320,114,4581
5011,31,56,24,42,36,18,10,18,0,232,44,56,37,93,55,28,12,25,0,347,103,56,673,169,115,74,134,156,18,1510,0,6,11,14,12,9,10,13,0,84,8,6,20,27,16,15,17,15,3,125,4,3,4,3,7,6,3,6,0,39,3,7,25,9,18,9,11,18,9,120,278,541,824,409,318,190,209,287,44,3097
6000,544,573,195,333,277,83,50,129,32,2229,648,496,338,758,499,196,77,185,56,3253,2301,609,5745,2085,1445,804,1419,1783,266,16450,113,44,108,212,209,171,68,259,6,1194,211,106,128,396,267,148,87,235,22,1589,57,57,38,44,45,31,25,46,5,333,296,150,252,210,154,186,207,395,157,2008,5832,7509,7149,4675,3634,1800,1990,3303,633,36519
6001,42,90,22,64,49,4,10,8,8,304,69,94,63,175,97,40,20,24,10,588,307,105,998,451,311,201,241,271,52,2948,7,7,21,34,44,50,13,43,7,234,13,17,19,75,53,26,23,35,5,267,4,6,4,5,5,3,3,3,0,37,25,19,18,41,23,34,28,56,21,261,628,1416,1181,946,679,393,343,456,112,6154
6002,61,107,43,73,48,17,4,12,6,376,106,91,67,200,144,37,14,34,5,700,363,135,1204,516,351,234,217,312,50,3379,15,10,10,55,40,50,23,57,0,263,33,15,19,87,49,26,13,34,9,286,3,11,7,8,17,5,3,12,5,71,16,18,37,31,27,43,32,50,14,276,767,1431,1428,1068,781,439,316,559,101,6888
6003,565,940,338,525,582,158,49,80,48,3284,878,889,564,1131,1077,376,96,164,87,5267,2053,937,6861,3072,2537,1239,930,1290,283,19200,88,70,104,223,283,291,49,242,12,1367,172,157,130,469,416,189,73,175,42,1821,63,161,59,69,116,38,25,53,10,600,152,203,209,257,183,163,121,229,148,1657,7709,19629,9180,7743,7746,3211,1554,2700,924,60398
6004,182,360,123,195,178,60,16,42,10,1173,301,377,220,512,400,142,49,82,29,2105,1050,335,2931,1318,967,611,571,643,98,8520,43,12,52,115,139,114,33,112,9,631,58,43,60,215,169,105,47,85,8,795,22,60,12,32,44,17,7,21,3,225,56,70,88,106,73,67,62,117,70,703,2653,6876,3759,3075,2541,1335,848,1271,296,22671
6005,29,49,19,38,26,9,3,6,3,183,40,55,36,86,62,17,10,12,0,323,172,58,631,254,165,88,95,156,17,1641,4,0,18,23,15,28,10,27,3,121,13,3,5,34,27,15,0,19,0,123,0,3,3,5,0,0,0,6,0,19,13,6,13,24,10,16,20,22,10,125,381,863,738,507,367,193,138,259,42,3493
7000,154,247,69,145,91,28,18,36,11,797,287,232,158,396,245,47,39,70,30,1505,693,478,2282,774,638,210,511,616,114,6317,56,90,49,166,116,60,33,103,31,702,58,81,79,150,113,43,40,76,28,678,13,24,17,36,22,9,15,26,4,155,102,153,108,200,109,79,72,211,188,1221,2074,3823,2915,2280,1698,558,759,1277,455,15845
7001,80,151,38,120,74,15,8,22,16,527,133,154,77,235,158,46,33,32,10,866,316,172,878,488,378,128,147,177,70,2749,17,15,15,37,38,24,5,21,3,175,31,22,14,74,40,22,11,30,14,255,11,34,7,14,18,12,4,11,3,107,24,49,31,45,37,10,28,31,27,292,1094,2773,1184,1429,1030,331,268,399,183,8693
7002,434,535,296,382,319,102,70,93,31,2256,777,736,608,1025,792,235,118,185,68,4530,1517,801,6343,1841,1862,659,969,1070,317,15372,71,77,107,165,217,112,65,102,10,931,141,110,123,278,265,108,81,121,23,1252,58,104,90,59,63,28,23,68,16,513,128,149,210,167,158,121,110,198,184,1429,5970,11815,8635,5486,5582,1998,1684,2410,837,44424
8000,7,10,3,3,13,3,0,0,0,37,13,13,3,6,7,0,0,0,3,54,23,8,56,33,17,3,6,11,4,157,3,0,0,0,0,0,0,0,0,4,0,0,0,3,6,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,14,97,144,75,63,68,22,8,22,18,508
8001,1806,2410,763,1201,1959,464,123,258,204,9184,2715,2839,1484,2496,3390,722,211,433,369,14660,3547,2478,10462,4189,4912,1633,1251,1781,621,30885,211,200,175,423,573,295,76,214,34,2206,442,442,200,551,1034,293,115,233,75,3379,228,474,143,158,268,91,42,94,49,1550,277,412,312,298,450,194,94,260,350,2646,28677,60233,16175,14880,25138,6082,2448,4776,3817,162222
9000,24,14,11,15,8,6,3,8,0,90,19,18,16,35,28,4,0,11,5,135,69,20,211,64,45,11,35,47,12,508,3,3,5,12,7,3,3,11,0,48,8,7,9,19,14,5,10,7,3,78,0,0,3,3,3,0,0,3,3,19,16,10,10,17,15,9,10,23,6,110,241,216,280,198,154,48,66,115,35,1353
