SUA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
2004,10617,531,50,67,26,11293,11731,284,58,16,28,12117,5127,1392,208,12,34,6781,871,429,64,0,6,1372,1785,245,38,12,9,2089,186,83,27,0,0,291,120,25,40,34,0,217,133,26,6,3,3,175,8227,2194,389,60,51,10924,174,18,4,0,3,202,802,161,40,16,9,1025,31549,3199,532,159,125,35561
2005,1689,121,0,12,6,1830,1444,28,0,3,3,1478,412,155,0,4,0,574,135,60,19,0,0,218,229,56,0,3,0,286,25,20,0,0,0,46,18,6,0,15,0,47,18,12,0,0,3,25,837,309,20,23,5,1196,16,15,0,0,0,30,132,32,0,3,3,170,4120,501,23,42,10,4697
2006,2524,186,37,51,11,2800,2316,67,11,3,4,2404,829,251,108,4,3,1198,203,137,9,0,0,354,327,43,14,8,3,397,18,11,8,0,0,38,34,11,0,9,0,54,26,13,0,3,0,37,1436,458,139,27,11,2073,37,36,8,3,0,89,205,52,7,4,5,274,6517,802,212,87,29,7646
2007,28676,2181,374,191,77,31501,29727,1595,302,82,61,31761,10803,3686,1154,62,62,15762,1592,859,147,0,0,2606,3875,724,185,35,21,4842,356,258,58,4,3,682,336,80,34,150,16,620,309,75,26,17,6,435,17269,5683,1612,263,108,24938,557,137,22,14,8,745,1892,340,113,24,21,2386,78120,9936,2421,580,279,91328
2008,2247,118,0,13,8,2384,3148,86,0,0,3,3241,400,126,0,0,3,530,22,11,0,0,0,34,178,39,0,0,4,226,3,13,4,0,0,25,22,0,0,7,0,26,26,3,0,0,0,26,654,200,3,8,7,871,25,3,0,0,0,29,141,12,0,3,0,156,6213,418,4,31,16,6682
2009,2088,115,68,4,5,2283,2100,31,23,0,0,2159,770,116,204,0,3,1097,157,76,41,0,3,275,260,18,25,0,4,310,17,24,5,0,0,42,18,12,0,0,3,40,19,13,3,0,0,36,1242,259,280,3,11,1796,29,23,3,0,0,54,148,19,13,0,3,190,5606,446,392,9,26,6481
2010,367594,63553,28978,1483,772,462397,426609,75379,39007,817,978,542784,130436,79076,115627,1524,1187,327855,11127,9525,14169,102,94,35015,41480,16781,17410,645,485,76802,1697,1664,2958,27,52,6397,4646,1427,1906,1102,135,9219,3583,1299,1239,78,72,6265,192978,109773,153315,3480,2018,461559,5598,4129,2542,54,109,12435,25194,7393,7105,365,694,40752,1017976,260225,230952,6200,4571,1519926
2011,4252,399,4,3,8,4671,8399,685,18,4,14,9116,2860,822,33,8,12,3726,170,135,13,0,3,320,821,163,5,4,6,1006,51,38,0,0,0,88,76,34,0,3,0,115,58,20,0,0,0,73,4033,1207,46,12,17,5321,77,12,0,0,0,88,539,95,3,0,5,634,17307,2395,75,21,46,19836
2012,5149,409,123,111,35,5825,5763,160,60,6,24,6012,2030,624,497,10,5,3173,425,170,162,0,0,760,999,136,86,12,3,1240,96,22,67,0,0,190,149,18,28,57,3,260,87,10,16,3,3,118,3789,984,857,82,26,5731,87,93,8,6,4,193,487,96,85,19,17,707,15273,1738,1132,227,101,18471
2013,2266,169,26,19,0,2472,1931,51,12,4,0,1997,638,243,145,0,5,1029,251,176,43,0,0,466,291,47,21,0,0,357,40,22,0,0,0,59,24,22,3,4,0,52,22,13,0,0,0,36,1258,513,208,8,13,2000,30,20,3,0,0,53,186,49,14,0,0,254,5665,806,267,29,13,6781
2014,1435,32,35,11,4,1521,1288,10,13,0,5,1313,498,80,78,4,0,658,134,26,63,0,0,218,241,16,16,7,4,284,3,0,0,0,0,9,25,3,4,3,0,29,20,0,0,0,0,18,916,128,161,12,10,1219,11,0,0,0,3,12,120,16,15,4,0,154,3761,192,225,27,19,4220
