SUA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
3017,15,3,94,39,16,30,11,43,3,260,3,0,0,0,0,0,0,0,0,4,5,5,3,0,3,0,7,7,0,40,16,4,16,13,16,12,12,44,18,148,346,716,618,473,326,224,239,396,53,3394
3018,36,13,127,46,38,34,32,41,7,357,0,0,0,4,0,0,0,0,0,7,5,5,6,6,12,4,8,7,0,46,7,11,24,16,11,9,15,23,17,130,574,1256,1113,624,496,249,334,237,63,4945
4000,573,74,1476,501,338,386,186,609,39,4181,11,10,13,7,16,8,8,43,4,114,126,96,77,69,67,24,92,91,36,681,526,191,417,290,217,253,298,558,237,2994,11851,13317,11766,8205,6398,3403,3496,6714,910,66058
4001,2243,554,7745,3026,2196,2169,729,1948,187,20792,37,51,52,74,56,53,30,113,29,499,661,1024,515,718,733,329,424,390,174,4968,756,803,1309,1041,926,853,706,1173,1158,8727,46789,119492,57791,49387,46291,22706,12846,21829,5183,382315
4002,62,13,184,89,47,71,21,67,5,550,0,0,0,8,0,0,0,3,0,11,7,10,7,7,4,5,9,8,4,66,17,14,26,36,13,16,32,45,22,226,789,1713,1440,1133,750,505,423,550,87,7398
4003,21,3,78,34,22,25,11,47,3,243,0,0,0,0,0,0,0,7,0,11,4,0,3,3,3,0,10,14,4,42,15,3,24,22,7,15,11,70,16,197,330,534,634,642,356,257,210,647,56,3664
4004,14,4,56,27,13,15,4,11,3,144,0,3,0,0,0,0,0,0,0,4,9,3,3,5,3,0,6,3,0,35,5,12,19,29,7,8,14,18,19,135,264,699,541,578,296,134,220,200,53,2984
4005,25,3,108,45,23,39,7,37,0,289,0,0,0,0,0,4,0,0,0,5,4,12,3,7,7,4,3,3,3,37,18,8,19,13,18,22,11,30,16,152,439,978,821,579,435,255,167,350,59,4096
4006,12,0,61,29,21,23,19,15,3,182,0,0,0,0,0,0,0,0,0,3,3,0,0,7,3,3,3,3,3,23,9,4,20,13,3,11,15,19,11,112,246,644,566,532,251,166,224,188,54,2855
4007,49,11,147,55,27,40,10,39,7,393,0,0,0,3,3,0,0,5,0,14,5,7,11,12,5,3,3,5,0,59,22,12,25,28,14,25,11,25,14,164,607,1164,871,876,507,350,185,393,62,5013
4008,24,4,88,45,19,35,30,26,5,270,3,0,0,0,0,3,3,3,0,15,3,3,7,6,0,3,10,7,3,44,6,9,38,17,9,23,41,34,15,185,420,1137,1179,702,421,220,544,288,109,5006
5000,527,93,1344,515,447,299,462,591,35,4316,19,9,26,11,14,10,15,43,11,159,114,131,109,119,88,27,172,90,33,885,490,180,596,316,252,212,486,585,334,3448,11821,13980,17932,7376,6728,2891,6272,7095,1227,75314
5001,61,12,188,74,58,53,29,59,3,544,0,0,0,3,0,4,0,3,0,10,11,18,16,16,12,3,13,13,3,105,21,23,43,40,29,20,34,36,36,284,1000,2133,1756,1369,970,544,447,707,126,9063
5002,53,13,98,70,51,30,11,25,5,356,0,0,0,0,3,0,0,0,0,6,3,16,9,10,8,0,4,7,0,63,17,8,36,23,24,11,10,27,25,186,636,1283,797,664,587,276,155,282,85,4774
5003,95,31,425,180,140,135,93,168,15,1270,0,0,7,3,0,3,0,8,0,25,29,48,52,22,25,13,39,11,6,247,36,24,107,51,42,41,63,107,75,553,1928,4778,4840,2432,2097,1203,1328,1574,291,20465
5004,118,18,307,109,63,60,54,86,12,829,3,0,3,0,0,3,0,3,0,13,16,15,16,8,9,9,14,3,0,91,34,22,59,31,29,41,23,38,32,315,1376,2240,2268,1242,1035,695,525,804,124,10295
5005,24,5,83,29,26,20,19,19,3,216,0,0,0,0,0,0,0,0,0,8,3,3,4,3,0,0,8,3,0,27,17,14,27,15,11,13,20,26,14,154,400,687,691,326,355,183,218,243,46,3147
5006,60,17,210,98,64,66,27,69,8,610,3,0,3,0,0,3,0,4,0,14,14,25,8,29,5,9,11,17,9,123,25,29,62,40,15,27,38,41,34,307,1060,2407,2219,1277,1031,515,550,712,167,9933
5007,45,14,139,66,63,50,75,39,3,488,0,0,4,0,0,0,0,0,0,13,4,7,26,20,10,8,37,11,7,121,12,18,59,24,15,27,64,47,44,306,846,1910,2462,835,721,353,1004,446,147,8728
5008,30,9,94,34,51,19,29,42,3,306,0,0,3,0,0,0,0,4,0,15,9,11,19,21,10,3,18,4,0,92,23,12,63,27,29,22,28,31,12,233,616,1092,1581,460,593,229,436,367,132,5508
5009,3494,960,11616,5241,4053,3364,1959,2852,313,33858,72,69,144,127,97,113,113,222,23,982,944,1453,1029,996,945,452,680,532,281,7304,1108,1220,2282,1420,1377,1142,1311,1654,2053,13572,76597,187224,108003,67150,71258,34704,26007,32964,9008,612906
5010,27,10,51,26,25,21,12,33,0,201,0,0,0,3,0,3,3,4,0,9,9,3,7,5,3,6,16,0,3,58,11,13,47,15,21,26,28,22,26,201,446,824,1469,361,449,188,420,320,114,4581
5011,20,3,85,51,30,23,18,27,0,258,0,3,3,0,0,0,0,0,0,8,5,4,3,3,0,4,3,3,3,29,5,8,27,6,11,9,11,12,10,101,278,541,824,409,318,190,209,287,44,3097
6000,278,58,935,385,229,214,122,336,25,2582,9,4,3,6,3,3,3,11,9,54,86,86,46,46,45,30,44,39,15,442,254,97,300,176,135,155,224,354,168,1858,5832,7509,7149,4675,3634,1800,1990,3303,633,36519
6001,41,7,152,66,49,57,16,58,5,452,0,0,0,0,0,4,4,0,0,7,8,10,8,8,8,0,6,8,0,52,17,12,40,32,25,25,24,51,24,249,628,1416,1181,946,679,393,343,456,112,6154
6002,57,17,216,109,45,57,28,77,3,608,3,0,0,0,0,0,0,0,3,6,14,10,5,7,16,5,9,10,0,72,26,16,39,20,25,38,30,53,26,269,767,1431,1428,1068,781,439,316,559,101,6888
6003,417,77,1416,594,438,350,109,310,44,3759,4,12,11,16,12,12,11,20,6,94,138,219,83,125,145,45,50,51,30,884,141,156,224,189,169,138,114,221,171,1520,7709,19629,9180,7743,7746,3211,1554,2700,924,60398
6004,167,45,565,249,154,167,65,145,4,1567,0,3,4,4,4,3,3,7,4,29,25,53,37,38,32,18,15,22,19,260,41,48,98,77,63,55,60,99,68,614,2653,6876,3759,3075,2541,1335,848,1271,296,22671
6005,21,4,95,48,22,28,9,29,0,264,0,0,0,0,0,0,3,0,0,3,0,12,6,3,4,0,3,3,0,37,17,6,19,17,8,13,21,16,11,128,381,863,738,507,367,193,138,259,42,3493
7000,102,46,275,122,119,63,51,91,11,875,4,6,23,8,3,0,4,9,3,54,38,47,35,69,30,11,25,35,14,305,92,144,133,204,108,76,78,194,193,1232,2074,3823,2915,2280,1698,558,759,1277,455,15845
7001,50,25,130,98,95,53,21,43,4,528,3,3,0,3,0,4,0,4,0,15,22,36,14,32,18,6,3,8,4,147,23,32,26,42,30,7,29,24,32,250,1094,2773,1184,1429,1030,331,268,399,183,8693
7002,258,83,780,405,334,190,117,197,38,2398,7,7,22,15,10,7,4,23,10,100,103,115,101,168,86,20,61,49,34,734,129,103,242,153,144,98,111,164,230,1377,5970,11815,8635,5486,5582,1998,1684,2410,837,44424
8000,4,0,3,4,4,5,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,3,0,0,0,0,0,0,4,7,16,97,144,75,63,68,22,8,22,18,508
8001,724,269,2272,902,1040,474,180,371,96,6324,17,16,14,11,15,12,4,32,8,122,642,715,148,336,545,103,79,101,142,2808,298,416,323,295,405,162,108,224,468,2707,28677,60233,16175,14880,25138,6082,2448,4776,3817,162222
9000,11,0,33,14,12,8,10,7,0,89,0,0,0,0,0,0,0,0,0,5,3,0,11,4,3,0,4,0,0,25,7,5,14,13,9,4,10,15,4,93,241,216,280,198,154,48,66,115,35,1353
