SUA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1028,3992,3894,7886,1326,1334,2657,1069,1068,2132,69,28,97,280,236,520,35,27,58,69,52,120,19,3,22,25,11,39,20,7,20,0,0,0,1586,1428,3013,118,143,267,49,42,85,3079,2943,6020,523,497,1023,7592,7343,14934
1029,4401,4538,8934,920,1085,2007,1934,2163,4098,65,63,134,113,114,230,28,25,48,24,30,53,16,19,39,24,24,51,94,81,176,8,13,18,2311,2535,4848,67,105,169,41,46,90,3338,3769,7111,618,647,1261,8354,8958,17307
1030,1078868,1127951,2206816,115487,118248,233731,473375,484355,957731,10571,10411,20980,13439,13728,27164,3536,3564,7105,4701,4459,9162,1024,1070,2095,1109,982,2093,3880,3947,7821,60,33,89,511698,522546,1034244,192244,201084,393323,11268,10076,21341,830693,851952,1682642,136415,133172,269584,2045967,2113077,4159049
1031,9011,9762,18773,2018,2316,4327,4232,4735,8967,104,99,204,354,380,728,40,28,67,55,67,123,20,17,34,30,19,50,25,28,57,0,0,0,4854,5373,10231,598,499,1094,114,104,215,7584,8285,15867,1742,1741,3482,18340,19790,38128
1032,6464,7057,13514,1624,1902,3525,2066,2250,4316,34,36,72,157,154,310,3,9,12,23,19,42,12,8,19,15,8,26,11,23,35,0,0,0,2322,2511,4830,87,115,208,89,111,198,4123,4638,8764,1005,1109,2115,11593,12803,24395
1033,3705,3913,7613,1111,1252,2364,1188,1345,2535,49,41,85,85,111,195,12,11,18,41,27,62,16,12,26,9,5,19,106,104,212,0,0,0,1497,1658,3157,77,93,169,60,62,122,2743,3065,5813,537,605,1143,6982,7587,14566
1034,12154,12888,25038,2401,2769,5171,5703,6510,12211,402,458,857,524,536,1056,124,116,246,90,107,194,33,36,70,89,84,171,179,179,357,0,3,3,7142,8032,15175,926,846,1780,143,114,253,10616,11765,22374,1658,1660,3320,24430,26309,50734
1035,77472,80048,157520,9770,10091,19860,28576,30600,59177,427,499,928,888,905,1794,108,153,261,259,252,509,102,110,206,78,84,169,367,403,766,8,3,7,30811,33002,63815,5141,4612,9748,687,688,1372,46409,48388,94801,8025,8262,16281,131906,136697,268603
2000,196636,193289,389924,29891,31810,61704,3747,4084,7834,51885,55122,107010,2969,2971,5936,1196,1304,2502,1342,1382,2729,509,557,1063,687,662,1346,229,237,469,4,7,9,62571,66329,128897,4066,4570,8633,1286,1210,2495,97815,103912,201732,32591,29130,61724,327046,326333,653378
2001,5223,5316,10547,1061,1317,2379,70,73,140,1933,2060,3996,53,58,115,23,21,49,36,39,71,21,15,38,7,9,22,14,11,25,0,0,0,2160,2292,4451,130,154,288,43,70,115,3398,3837,7237,573,587,1162,9192,9745,18937
