SUA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
4007,50,60,111,43,39,84,56,211,265,63,385,457,320,1048,1371,310,577,882,1270,348,1625,826,303,1133,923,264,1189,727,96,818,375,75,446,365,63,430,490,58,544,246,4,248,118,4,121,70,21,95,141,0,145,619,30,650,135,210,345,7140,3812,10945
4008,32,67,96,29,73,100,95,348,442,86,440,528,266,628,894,242,237,480,628,185,817,388,220,606,418,182,603,361,163,522,302,148,453,308,103,406,620,119,744,451,8,465,262,10,273,161,36,195,240,11,247,517,32,547,120,197,318,5531,3213,8742
5000,642,807,1446,440,438,877,618,1582,2197,555,2242,2801,2258,4415,6674,1981,2058,4040,5259,1845,7101,4013,2132,6144,4923,2147,7075,4749,1486,6230,3571,1264,4832,3983,1006,4985,7531,1728,9257,4906,161,5069,3150,80,3237,2242,662,2901,4579,93,4676,8726,496,9223,1403,1470,2872,65524,26123,91646
5001,52,69,123,36,52,88,64,181,248,62,387,447,233,802,1041,268,407,673,784,322,1106,548,299,851,818,312,1128,705,177,882,610,143,756,599,125,725,986,148,1134,661,18,679,394,3,396,212,42,250,409,9,413,869,73,939,145,219,362,8459,3798,12261
5002,16,43,61,13,17,30,20,65,80,24,96,123,56,81,142,52,81,138,89,95,181,97,99,197,157,106,265,153,104,257,144,101,247,189,92,278,451,134,585,373,22,396,260,19,276,181,57,232,332,28,364,444,67,504,65,72,141,3126,1370,4497
5003,139,160,297,83,75,164,134,350,484,155,580,740,501,1166,1665,555,616,1172,1423,498,1923,1093,584,1676,1331,561,1890,1377,399,1780,1208,337,1542,1257,243,1497,2440,408,2851,1716,63,1774,1073,35,1105,693,167,858,1222,37,1258,2353,172,2530,259,329,584,19009,6788,25798
5004,94,81,177,48,46,95,78,183,260,73,308,385,260,625,882,280,355,635,792,278,1072,606,293,898,778,270,1042,794,165,966,623,122,745,651,78,727,1133,121,1255,746,23,772,477,16,485,297,56,352,519,12,537,1265,90,1354,135,165,301,9651,3285,12940
5005,16,32,46,16,19,34,19,56,74,28,112,143,85,254,342,97,103,197,210,107,317,161,93,253,212,118,326,231,76,311,183,64,243,189,36,225,358,58,417,288,12,299,151,6,158,87,23,110,179,3,188,395,18,420,54,76,131,2968,1267,4239
5006,91,105,191,55,54,103,82,244,331,107,365,464,256,597,852,303,316,618,712,285,995,471,284,751,671,311,981,668,201,866,535,192,729,600,149,743,1166,210,1374,783,30,812,538,17,555,343,65,406,606,11,621,1405,84,1489,183,187,367,9551,3704,13261
5007,47,65,113,22,29,53,38,98,138,51,152,199,95,258,353,101,134,239,242,138,381,203,152,353,271,261,527,330,228,564,339,241,580,412,226,635,1038,358,1392,829,46,874,643,29,668,531,133,663,933,54,984,844,108,952,117,128,246,7088,2833,9924
5008,21,15,31,12,11,17,13,21,29,16,23,46,30,23,55,33,17,56,47,32,83,54,57,111,78,93,175,91,100,196,114,110,219,158,106,265,495,250,743,390,15,406,312,13,327,420,121,540,935,46,983,408,47,464,54,39,97,3684,1162,4845
5009,4872,5815,10689,2263,2496,4757,3632,8840,12475,3167,12903,16068,10577,26209,36782,11244,14281,25518,27618,11863,39480,23842,14388,38229,32922,16750,49673,32408,12889,45305,28355,11187,39541,29376,8780,38157,63104,13815,76918,45486,2163,47649,30835,1372,32210,25584,6043,31624,56487,1610,58097,57293,6153,63443,5638,7076,12715,494693,184626,679322
5010,14,16,28,9,15,19,12,30,45,20,39,62,31,33,67,22,16,40,48,31,79,48,52,95,75,75,151,77,76,152,109,96,204,131,115,247,375,217,585,273,24,294,285,13,296,350,131,478,775,30,803,343,28,372,54,48,99,3031,1094,4124
5011,34,26,62,12,11,22,25,41,67,30,47,75,79,140,216,109,63,172,221,55,272,163,73,237,235,99,333,210,64,267,181,44,225,205,28,234,378,50,422,263,10,276,147,8,153,116,18,129,175,4,181,484,27,503,42,30,74,3100,841,3935
6000,291,383,669,256,238,490,354,1356,1706,383,2007,2394,1780,4390,6169,1728,1747,3476,4898,1441,6340,3429,1586,5020,4092,1260,5351,3838,679,4514,2716,531,3243,2577,340,2926,4024,368,4391,2265,46,2313,1155,7,1162,645,170,816,1060,19,1075,4196,225,4426,754,975,1735,40440,17771,58214
6001,44,63,101,38,51,92,61,289,351,92,442,531,296,963,1268,302,388,691,903,313,1209,607,269,878,724,275,1000,654,145,793,460,91,546,426,80,506,713,72,785,421,17,440,199,0,201,98,42,136,201,5,200,635,48,685,127,219,340,6997,3760,10759
6002,49,70,113,29,47,75,62,265,326,67,470,536,345,986,1337,361,457,818,963,305,1269,674,342,1017,854,295,1144,752,164,924,530,120,650,453,93,542,764,63,827,400,4,405,229,0,229,133,40,170,183,6,188,702,44,751,130,224,354,7681,4000,11679
6003,311,495,807,166,332,495,386,1388,1777,431,2302,2734,1378,4708,6089,1759,2677,4433,4023,2212,6234,3672,2426,6100,4735,2460,7193,4618,1590,6208,3621,1286,4909,3524,865,4394,6678,972,7656,4302,157,4457,2690,85,2775,1708,365,2073,3074,57,3129,4788,635,5427,622,1155,1781,52499,26160,78662
6004,122,240,362,76,138,215,211,844,1047,225,1083,1312,708,2334,3042,836,1228,2067,2098,1014,3112,1587,1044,2629,2071,941,3011,1935,574,2508,1499,449,1951,1404,287,1692,2496,308,2803,1520,48,1566,794,22,817,477,121,594,911,24,929,1852,237,2089,316,518,828,21137,11445,32582
6005,19,28,49,16,22,38,30,113,144,37,212,247,176,507,683,141,211,356,476,150,625,353,161,511,388,106,499,355,64,414,242,62,299,248,53,298,390,35,424,233,3,237,118,0,117,66,13,73,98,0,104,357,17,373,72,117,190,3815,1870,5685
7000,78,96,177,121,76,196,264,247,504,117,269,385,532,301,829,387,210,592,694,291,985,793,352,1147,881,436,1320,930,414,1342,693,318,1011,697,304,1000,1451,411,1867,1115,54,1161,771,42,811,503,123,626,1055,37,1089,1779,108,1889,657,281,942,13514,4372,17882
7001,29,57,86,16,22,39,30,74,101,23,144,175,83,162,251,74,147,219,141,167,313,167,215,382,246,267,507,279,238,515,292,214,508,354,181,531,843,248,1084,670,48,718,444,34,478,359,86,444,592,44,636,752,118,869,85,120,208,5468,2590,8059
7002,149,218,364,65,81,149,123,272,392,141,597,740,370,700,1071,373,447,826,702,492,1192,779,719,1495,1220,992,2208,1401,933,2335,1408,836,2245,1634,760,2396,3956,1268,5226,3100,271,3367,2507,203,2711,2181,612,2792,4683,338,5019,3249,549,3802,384,406,788,28416,10702,39116
8000,3,0,0,0,3,3,0,0,3,0,3,3,0,5,7,3,6,7,4,3,4,3,3,4,4,5,17,14,0,11,7,5,8,15,10,25,26,4,31,26,0,26,27,0,27,14,3,19,56,0,56,29,0,30,3,3,3,232,60,291
8001,538,986,1525,264,496,761,496,1544,2037,513,2511,3026,1384,4055,5431,1540,2763,4301,3272,2865,6131,3602,3545,7142,5483,4511,10001,6134,4287,10421,5731,4130,9861,6080,2908,8986,14401,5830,20231,12317,788,13102,9866,475,10347,8206,1937,10147,18776,513,19293,9961,1442,11407,777,1203,1976,109343,46789,156131
9000,4,9,15,7,8,12,10,21,26,3,25,30,21,60,78,24,43,68,50,38,84,58,34,99,98,28,127,89,20,105,67,21,88,67,16,83,124,34,156,71,4,77,42,0,42,25,10,36,59,0,59,114,3,120,24,21,42,980,383,1360
