SUA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
1034,66,1692,199,1960,103,1811,172,2092,241,3188,266,3688,293,2693,213,3200,370,2528,232,3128,401,2321,241,2959,256,1646,214,2117,122,858,158,1142,36,348,59,445,1889,17083,1766,20732,103,1590,142,1833,161,2006,150,2317,402,3243,227,3872,541,2634,186,3360,610,2520,210,3336,716,2302,205,3226,400,1710,236,2349,185,1159,234,1580,26,674,153,854,3145,17843,1742,22726,170,3276,343,3786,266,3821,324,4410,641,6435,488,7566,835,5323,399,6558,978,5050,438,6465,1117,4624,450,6188,658,3352,446,4465,314,2013,397,2719,57,1026,213,1304,5033,34919,3505,43454
1035,456,8314,696,9469,550,9434,672,10657,1178,15184,1188,17549,1850,14696,1092,17641,2765,14469,1169,18398,2874,12889,1125,16886,1834,10058,1192,13083,827,5585,1058,7472,245,1925,475,2640,12582,92563,8661,113809,477,7870,679,9025,710,8530,597,9835,1952,14738,1019,17710,3040,14367,903,18312,4341,13699,1049,19086,4612,12321,1140,18070,2395,10205,1345,13938,952,6783,1329,9061,182,3420,819,4423,18651,91930,8874,119462,934,16186,1372,18495,1258,17968,1270,20492,3138,29921,2207,35262,4891,29066,1993,35947,7102,28171,2223,37489,7488,25207,2262,34962,4230,20261,2533,27026,1775,12373,2385,16532,427,5345,1294,7063,31241,184493,17537,233270
2000,891,16965,3050,20912,880,13583,1793,16255,2197,24686,3884,30767,3724,29265,4348,37337,5885,37392,5300,48576,7526,41467,5610,54607,4953,35940,5837,46732,2061,15912,3931,21903,552,4877,1595,7026,28661,220088,35353,284107,973,15383,2677,19036,1116,11786,1350,14256,3724,24874,2719,31319,6269,29364,3364,38999,9773,35866,4255,49901,12027,37267,5024,54307,6637,32165,5474,44278,2219,15977,4400,22601,449,7953,2473,10880,43190,210636,31738,285568,1867,32350,5729,39948,1995,25368,3148,30512,5927,49561,6606,62085,9987,58630,7710,76335,15661,73258,9556,98475,19551,78736,10634,108918,11594,68108,11310,91011,4277,31886,8329,44497,999,12837,4067,17903,71854,430727,67092,569670
2001,26,618,51,692,28,560,39,625,82,1074,76,1233,120,1124,89,1332,179,1102,98,1373,154,902,85,1139,114,714,87,914,52,245,54,348,11,82,18,116,758,6421,596,7773,34,573,50,651,38,518,28,582,154,1076,63,1293,235,1137,85,1454,288,1051,85,1423,273,885,80,1235,154,728,107,990,47,323,84,451,5,186,25,216,1226,6479,613,8307,58,1187,97,1342,61,1077,66,1208,243,2144,142,2530,351,2258,176,2787,469,2155,180,2802,423,1791,160,2377,265,1440,195,1903,96,565,140,795,20,272,46,333,1985,12892,1201,16082
2002,22,331,77,428,22,317,45,390,58,653,98,809,86,560,82,732,100,597,79,773,120,670,93,877,97,658,124,878,53,392,89,532,16,112,53,183,582,4280,745,5605,27,319,63,409,33,337,56,425,103,631,83,821,149,564,80,788,216,685,84,987,217,705,113,1036,114,725,131,971,60,453,167,683,16,253,114,383,933,4671,899,6498,43,654,141,838,61,654,105,822,162,1282,186,1628,240,1119,162,1518,314,1282,164,1767,335,1372,203,1908,215,1378,252,1851,115,840,256,1212,35,366,167,563,1512,8945,1643,12101
2003,117,2904,297,3311,174,3244,287,3709,432,5479,453,6368,609,4761,416,5789,780,4732,439,5950,816,4291,401,5514,551,3368,481,4406,264,1694,355,2315,65,564,151,786,3820,31028,3292,38144,146,2754,292,3191,267,3228,287,3783,732,5431,459,6622,1009,4976,391,6369,1402,4809,458,6676,1511,4304,463,6281,834,3714,532,5080,324,2192,537,3059,55,1265,264,1589,6293,32678,3673,42647,266,5659,584,6504,446,6468,572,7489,1167,10912,913,12991,1619,9734,803,12161,2184,9537,899,12626,2325,8599,867,11787,1392,7075,1010,9477,587,3885,899,5375,123,1833,415,2375,10112,63711,6963,80792
2004,117,2570,329,3016,179,2963,258,3395,421,5134,447,6001,563,4393,401,5358,736,4333,444,5513,859,4062,467,5384,496,3236,461,4192,266,1692,390,2352,90,589,207,886,3738,28962,3401,36093,193,2494,311,3002,227,3110,240,3572,782,5187,446,6419,995,4481,410,5884,1269,4335,436,6039,1425,4134,457,6022,710,3467,517,4688,298,2053,543,2891,74,1149,405,1632,5971,30409,3771,40147,313,5065,644,6023,411,6065,493,6970,1201,10322,894,12416,1561,8874,812,11241,2005,8665,881,11552,2286,8191,923,11405,1203,6700,973,8880,560,3744,935,5240,167,1739,611,2515,9710,59366,7168,76243
2005,13,327,35,374,22,339,31,391,51,627,77,753,68,569,45,687,88,578,58,724,118,567,66,747,73,459,82,612,48,262,68,380,17,108,28,154,495,3830,494,4817,24,281,38,345,16,314,26,363,75,559,47,678,105,491,35,628,185,548,60,794,191,596,74,860,77,539,94,706,52,373,111,540,9,232,65,303,738,3928,552,5219,36,611,72,713,40,654,58,745,121,1189,123,1432,175,1057,83,1315,278,1120,122,1515,310,1158,142,1606,152,996,175,1318,103,637,181,914,24,343,89,460,1229,7762,1044,10034
2006,21,536,69,624,18,392,47,460,67,860,82,1009,109,869,94,1064,129,994,95,1217,165,1012,114,1295,133,1036,165,1332,80,523,139,741,15,157,59,226,730,6379,866,7977,29,500,67,601,26,402,47,474,137,925,98,1166,156,916,80,1153,239,1012,98,1350,292,1022,117,1428,191,1031,157,1382,91,584,182,858,6,300,87,393,1163,6685,946,8794,53,1039,135,1223,42,795,97,937,203,1783,186,2176,268,1780,169,2219,368,2009,195,2565,451,2036,237,2726,322,2070,327,2713,169,1104,324,1601,23,456,141,622,1897,13066,1810,16773
2007,305,6800,690,7795,375,7226,675,8284,931,13016,1421,15369,1426,12747,1278,15448,1968,12098,1236,15298,2254,11062,1073,14383,1396,8937,1144,11474,688,4516,860,6063,198,1721,441,2361,9546,78126,8816,96484,377,6572,609,7552,517,6859,536,7907,1633,13399,1002,16036,2594,12738,935,16268,3510,12188,1035,16730,3725,11035,1099,15858,2168,9457,1237,12862,754,5658,1237,7644,169,3232,803,4203,15443,81141,8488,105074,680,13375,1293,15347,891,14086,1213,16188,2565,26414,2416,31402,4020,25487,2211,31719,5477,24282,2276,32028,5981,22099,2173,30243,3563,18394,2383,24339,1437,10174,2093,13708,370,4958,1242,6564,24987,159264,17304,201556
2008,31,603,55,688,26,438,25,490,47,727,50,828,113,1122,104,1335,178,1240,81,1506,194,1012,86,1288,119,831,79,1026,38,290,67,393,9,90,19,112,755,6360,559,7677,23,557,57,642,36,407,19,467,84,808,57,953,214,1187,86,1488,321,1226,86,1632,348,900,78,1327,186,749,100,1034,37,271,61,372,6,127,52,193,1258,6248,599,8100,58,1168,114,1334,65,853,46,961,130,1539,112,1783,324,2310,187,2826,503,2467,168,3138,540,1912,158,2608,304,1582,180,2060,83,558,126,762,15,221,66,305,2012,12604,1158,15775
2009,12,435,46,495,28,415,28,467,73,829,77,981,79,695,61,836,133,757,69,964,146,770,67,989,84,604,90,773,50,380,75,500,18,130,33,183,630,5016,549,6190,26,403,43,472,27,444,38,510,109,869,55,1028,130,767,58,954,202,764,58,1025,243,783,96,1120,125,662,110,896,73,474,100,647,17,278,57,356,945,5445,611,7000,35,839,85,961,58,860,65,980,182,1693,133,2010,206,1460,117,1788,335,1524,132,1983,395,1556,165,2110,205,1262,195,1665,124,851,174,1144,39,409,95,543,1576,10454,1156,13188
2010,5195,115581,10562,131334,7601,143593,12447,163639,19818,301936,28160,349913,26911,255918,21639,304468,34311,221534,18870,274722,31762,172523,15396,219682,19011,122975,13599,155579,9711,64602,10810,85128,2912,24113,5329,32353,157231,1422779,136813,1716829,5981,111504,9738,127227,9608,139544,11231,160384,30067,304335,26391,360791,43265,250146,19492,312904,56517,215789,17780,290080,52767,168196,15796,236763,28525,129330,15747,173605,11514,79001,14322,104837,2222,42544,9775,54543,240463,1440382,140278,1821126,11174,227081,20302,258561,17206,283135,23682,324024,49881,606266,54549,710699,70175,506066,41129,617372,90829,437330,36649,564806,84532,340718,31189,456448,47535,252305,29350,329185,21220,143610,25135,189963,5133,66660,15108,86899,397697,2863160,277091,3537956
2011,102,1603,201,1909,100,1697,153,1955,330,3785,407,4520,472,3439,347,4263,416,2711,301,3437,366,2380,279,3028,256,1724,233,2207,90,514,125,733,10,151,25,191,2148,18006,2081,22233,122,1499,176,1793,176,1660,174,2007,634,4000,413,5042,759,3216,328,4301,720,2576,283,3587,700,2474,282,3453,340,1598,279,2215,66,596,146,808,13,282,59,350,3530,17888,2141,23553,220,3098,378,3700,274,3358,330,3965,966,7778,820,9565,1231,6657,676,8557,1141,5292,588,7016,1065,4856,565,6479,598,3319,512,4430,159,1113,270,1541,19,433,88,541,5675,35893,4220,45789
2012,77,1387,247,1713,68,1222,172,1459,189,2456,351,2994,291,2218,265,2773,371,2452,336,3159,432,2423,355,3210,286,1922,365,2578,133,934,257,1325,40,332,104,472,1892,15350,2448,19686,86,1268,203,1563,122,1228,166,1519,356,2464,318,3134,498,2236,262,2987,699,2391,292,3377,659,2260,327,3247,410,1863,384,2653,180,1167,338,1675,20,609,162,795,3029,15488,2448,20954,168,2655,450,3271,187,2455,333,2975,544,4920,665,6132,793,4446,524,5758,1067,4837,630,6536,1091,4684,682,6454,700,3789,748,5239,309,2103,589,3002,64,945,262,1275,4920,30837,4889,40649
2013,23,434,78,532,33,464,51,552,80,734,84,898,110,686,66,859,110,813,108,1033,154,897,105,1153,111,701,117,932,45,374,91,510,12,133,40,185,670,5237,739,6650,25,378,61,460,56,451,54,555,118,793,81,986,194,635,61,891,234,795,83,1106,256,827,113,1194,149,705,125,977,63,464,107,632,4,279,67,354,1102,5318,750,7166,46,811,140,990,86,917,98,1104,196,1523,162,1882,303,1318,130,1754,343,1602,191,2145,412,1727,216,2350,259,1404,246,1906,112,836,196,1141,17,421,99,537,1774,10558,1488,13818
2014,22,291,46,353,17,245,36,305,39,409,47,493,61,482,52,597,102,611,74,789,103,616,80,792,62,483,80,621,32,218,72,331,5,94,23,122,451,3455,504,4404,8,265,46,319,16,221,27,265,71,423,37,539,107,494,52,655,129,569,58,751,194,591,85,872,71,435,83,594,23,265,86,378,4,169,44,217,633,3426,518,4582,36,552,93,678,41,468,62,572,106,841,86,1034,169,974,106,1249,231,1171,134,1542,297,1202,166,1667,132,915,160,1209,58,488,156,704,12,258,64,333,1084,6876,1027,8988
2015,25,397,56,472,21,361,36,423,49,756,84,882,79,674,81,837,101,688,76,871,122,666,75,864,84,534,70,691,39,283,70,395,14,119,22,159,538,4477,580,5595,33,351,46,427,30,316,36,385,115,775,78,966,131,716,58,903,203,743,92,1036,237,666,93,997,112,564,76,755,47,349,93,490,6,238,46,297,914,4719,622,6250,52,752,97,901,56,681,74,808,159,1527,156,1845,209,1386,142,1743,308,1429,165,1906,365,1329,164,1860,195,1096,152,1439,87,636,167,885,20,359,71,448,1452,9198,1199,11842
2016,82,1463,188,1730,85,1226,145,1455,237,2569,328,3131,287,2345,287,2920,364,2437,336,3138,387,2133,295,2816,246,1675,338,2255,125,907,237,1265,36,317,86,434,1849,15063,2244,19150,103,1350,182,1639,115,1233,129,1477,389,2599,312,3296,530,2301,279,3106,605,2386,283,3271,664,2079,292,3032,367,1695,352,2423,141,1050,297,1482,28,559,188,780,2938,15249,2311,20494,184,2814,372,3374,194,2461,279,2934,630,5165,638,6431,816,4643,563,6027,973,4819,612,6404,1048,4210,587,5844,615,3370,690,4677,265,1958,529,2751,60,873,274,1210,4788,30315,4553,39647
2017,15,277,51,346,23,276,41,344,46,581,81,710,65,470,85,616,94,486,78,654,88,448,75,609,55,349,91,491,39,227,66,329,17,89,32,139,439,3202,607,4248,16,272,66,354,20,277,31,333,82,551,74,704,109,455,77,643,121,466,72,667,154,418,76,647,96,364,94,550,47,330,88,463,6,188,49,243,653,3319,626,4602,31,549,117,702,43,558,75,676,133,1131,157,1414,174,922,160,1257,214,953,154,1320,244,869,146,1255,150,716,181,1049,85,558,152,792,20,273,83,385,1088,6524,1238,8849
2018,43,1019,150,1213,78,1066,134,1274,194,2139,232,2559,216,1852,197,2268,316,1984,251,2551,308,1932,285,2527,202,1458,248,1906,116,739,224,1076,24,271,91,388,1501,12458,1803,15764,49,952,134,1133,108,1114,122,1344,303,2255,276,2827,376,1859,213,2445,552,1862,259,2670,542,1846,251,2639,295,1533,278,2108,120,962,307,1393,12,496,178,679,2347,12877,2022,17251,94,1970,289,2348,186,2180,256,2615,496,4390,507,5390,594,3713,406,4712,867,3850,505,5228,847,3777,536,5166,497,2989,523,4014,233,1703,534,2473,36,770,263,1068,3849,25337,3828,33011
2019,20,456,65,542,19,415,42,470,72,803,68,945,108,813,90,1016,159,888,87,1127,162,861,105,1122,94,756,92,950,57,448,106,603,13,168,110,288,706,5595,763,7060,33,449,74,554,51,392,43,487,142,825,59,1031,202,852,60,1120,254,884,90,1237,316,881,102,1293,178,836,146,1162,76,595,169,843,11,338,215,570,1264,6061,967,8290,51,898,138,1094,71,810,81,959,215,1630,128,1977,311,1662,158,2132,414,1775,179,2366,477,1737,204,2415,272,1594,243,2110,129,1043,272,1446,27,505,323,856,1963,11657,1725,15346
2020,56,953,109,1120,47,837,80,961,125,1693,145,1963,192,1482,145,1817,257,1736,172,2166,288,1659,170,2111,221,1500,201,1923,108,784,169,1065,23,195,75,295,1313,10842,1258,13415,48,932,97,1080,71,796,71,935,237,1727,120,2086,351,1552,161,2062,504,1757,178,2443,524,1642,193,2359,326,1549,236,2114,110,812,206,1130,33,387,127,542,2205,11149,1391,14752,108,1886,210,2197,119,1632,155,1898,362,3418,265,4050,543,3032,299,3874,763,3498,346,4605,811,3293,362,4471,550,3052,438,4033,225,1598,374,2198,53,581,205,835,3520,21996,2648,28164
2021,33,987,116,1139,48,1006,112,1169,127,1743,142,2011,185,1572,144,1892,258,1662,184,2106,302,1549,174,2027,191,1244,200,1631,83,623,144,846,32,248,62,343,1256,10636,1268,13165,47,957,116,1119,81,914,80,1072,212,1739,146,2099,311,1626,147,2079,501,1740,172,2409,529,1562,186,2278,275,1285,251,1809,101,815,246,1165,23,479,141,633,2076,11112,1476,14664,87,1949,225,2263,129,1922,190,2240,343,3485,286,4110,488,3197,288,3977,758,3399,359,4521,830,3107,359,4307,463,2532,448,3436,184,1436,390,2009,52,726,200,978,3334,21750,2747,27830
3000,1025,18259,3573,22854,1022,15917,2892,19831,2613,32746,6476,41831,3997,35256,6259,45516,5585,42079,6765,54435,6274,43331,6652,56262,4395,35236,6301,45926,1745,14639,3505,19887,368,3542,1134,5042,27017,241004,43567,311589,1113,16712,3107,20935,1299,15259,2210,18773,4459,32995,4513,41960,6730,34255,4479,45469,9256,38768,5390,53416,10460,37437,5527,53425,5816,29393,5298,40502,1783,12713,3433,17931,274,5197,1471,6944,41190,222740,35429,299357,2138,34972,6681,43787,2318,31183,5103,38601,7068,65737,10990,83795,10724,69518,10746,90985,14845,80849,12159,107849,16738,80774,12181,109690,10210,64629,11593,86428,3527,27354,6939,37823,644,8733,2610,11986,68204,463739,78993,610941
3001,3075,63412,5493,71987,3577,73342,6491,83409,9106,142292,13528,164931,12924,127135,11137,151198,15550,114830,10178,140559,15338,89832,8075,113244,9701,64726,6987,81414,4167,28729,4855,37752,1142,9326,2660,13131,74588,713630,69396,857618,3424,61399,4946,69764,4675,72733,5796,83197,14432,143725,12077,170229,21057,126828,9405,157292,25870,112734,8865,147473,25283,87572,7838,120696,14145,66084,7412,87643,4640,34516,6570,45725,815,17626,5443,23883,114340,723217,68359,905913,6500,124811,10439,141749,8252,146073,12286,166604,23534,286017,25605,335162,33985,253959,20544,308485,41424,227567,19039,288034,40617,177402,15910,233938,23851,130805,14397,169059,8806,63245,11424,83480,1957,26955,8102,37014,188931,1436842,137754,1763526
3002,122,1865,198,2183,100,1642,156,1904,258,3016,315,3586,387,2899,275,3566,498,3265,351,4113,604,3373,362,4338,480,3259,446,4192,264,1811,355,2431,63,543,159,771,2772,21670,2628,27073,107,1773,161,2047,144,1565,156,1861,477,3160,261,3899,710,2952,254,3908,940,3246,280,4467,996,3424,365,4787,691,3294,479,4464,292,2071,481,2848,51,943,248,1244,4411,22425,2688,29520,224,3641,358,4221,247,3202,310,3758,730,6177,581,7484,1097,5853,527,7477,1441,6509,634,8579,1599,6795,726,9124,1173,6555,928,8655,562,3877,838,5277,115,1487,413,2012,7185,44100,5311,56592
3003,183,3881,585,4643,223,3456,510,4191,536,7834,1184,9553,787,8008,1055,9852,948,8089,1232,10267,921,6750,959,8632,544,4672,734,5955,203,1734,389,2323,43,456,119,616,4387,44872,6785,56042,228,3643,523,4394,256,3565,518,4340,894,8486,1192,10573,1397,8783,1080,11262,1576,8218,1056,10845,1415,6397,897,8701,741,4108,672,5521,261,1699,463,2421,33,862,267,1166,6792,45766,6663,59225,408,7523,1110,9037,480,7017,1029,8531,1433,16318,2373,20124,2188,16797,2139,21117,2527,16302,2292,21114,2333,13145,1854,17335,1284,8778,1408,11474,462,3429,851,4746,73,1318,390,1778,11179,90634,13445,115263
3004,14,343,87,446,12,399,60,467,52,916,169,1144,74,794,169,1034,61,725,156,942,48,500,89,637,26,195,28,253,5,56,21,82,0,16,5,24,298,3950,781,5027,15,339,79,434,19,370,69,461,93,936,160,1193,98,777,117,995,81,699,120,899,77,444,75,590,17,165,29,215,10,69,21,102,0,19,13,33,418,3825,687,4922,30,681,169,876,33,766,132,933,142,1860,330,2333,174,1579,287,2036,141,1423,278,1845,124,939,161,1232,49,365,51,466,20,126,40,180,0,42,16,55,715,7771,1464,9951
3005,45,1320,146,1515,64,1327,129,1518,177,2764,274,3212,248,2704,270,3220,274,2686,301,3264,272,2029,230,2530,104,1003,110,1218,54,404,77,526,16,106,26,144,1245,14346,1554,17142,54,1123,135,1324,65,1235,121,1416,299,2873,270,3439,366,2582,239,3190,431,2354,223,3009,325,1643,170,2132,140,935,134,1211,55,481,99,641,10,213,38,261,1742,13441,1437,16618,102,2450,282,2831,124,2558,253,2933,473,5637,544,6655,618,5289,504,6406,706,5043,527,6268,591,3671,396,4664,248,1938,247,2430,109,885,171,1165,21,319,65,411,2986,27786,2988,33764
3006,642,16569,1920,19132,804,17273,1828,19907,2191,34055,3798,40041,3169,34045,3398,40615,3989,32560,3409,39958,4087,27479,3087,34652,3013,24072,3056,30141,1536,11715,2270,15528,469,3753,1348,5566,19899,201515,24121,245539,842,16203,1677,18717,1020,17532,1812,20357,3389,35484,3672,42542,5541,34773,3278,43591,6860,33217,3385,43456,7540,28365,3225,39133,4611,24267,3297,32173,1668,12854,3065,17584,351,6322,2408,9082,31818,209009,25808,266641,1485,32776,3590,37853,1821,34799,3640,40260,5582,69535,7469,82587,8709,68814,6677,84205,10845,65774,6794,83415,11630,55845,6316,73790,7623,48334,6357,62313,3204,24569,5336,33109,811,10072,3757,14645,51717,410531,49928,512177
3007,46,559,56,659,30,491,40,559,92,916,106,1110,128,849,94,1074,166,930,103,1195,176,950,106,1224,133,834,139,1112,75,439,118,634,24,151,82,254,869,6117,838,7825,43,545,52,639,45,495,43,582,177,946,92,1216,215,911,77,1198,304,1011,95,1408,325,995,102,1428,185,919,151,1256,88,574,176,837,18,256,145,418,1394,6652,927,8980,82,1105,104,1298,71,986,78,1136,268,1868,193,2326,344,1765,163,2274,473,1940,197,2610,500,1943,214,2655,317,1758,288,2365,164,1013,287,1471,42,400,231,676,2262,12770,1761,16800
3008,74,1232,151,1459,72,870,100,1041,156,1764,194,2114,283,1961,231,2471,368,2266,259,2897,466,2606,337,3413,482,3187,410,4078,266,1694,342,2298,47,439,136,615,2208,16018,2146,20379,106,1153,147,1411,104,925,99,1122,311,1895,174,2377,504,2158,229,2886,664,2504,272,3448,866,2819,329,4009,679,3252,457,4388,263,1749,395,2400,44,654,199,890,3526,17115,2293,22935,178,2385,304,2872,172,1791,200,2160,463,3658,371,4491,786,4120,452,5358,1030,4773,530,6341,1331,5433,659,7420,1157,6447,864,8467,529,3442,729,4703,92,1087,334,1511,5742,33129,4444,43314
3009,20,284,51,357,16,297,22,333,38,522,52,611,71,441,43,558,79,435,50,566,89,427,37,559,70,372,45,489,35,196,40,267,7,79,19,104,427,3046,367,3845,14,255,36,305,25,293,22,344,84,546,48,675,130,461,33,623,108,463,36,602,141,451,40,632,81,391,45,524,38,236,55,336,4,136,27,168,633,3236,342,4215,33,539,86,664,44,593,43,678,124,1068,99,1286,205,900,79,1188,184,904,84,1167,231,881,78,1192,154,759,96,1005,72,431,99,600,15,210,45,268,1064,6286,714,8063
3010,101,2202,205,2506,90,2169,256,2510,294,4718,664,5676,379,4246,638,5265,536,4528,688,5750,536,3701,542,4786,262,2190,326,2779,129,1064,201,1393,35,371,67,471,2357,25199,3578,31139,98,2129,186,2412,132,2166,188,2482,506,4847,403,5749,657,4225,360,5244,852,4257,417,5530,862,3294,330,4482,424,2095,307,2824,201,1294,248,1737,32,700,101,828,3761,25003,2539,31301,201,4328,393,4919,219,4333,442,4993,800,9564,1067,11430,1035,8473,1002,10506,1392,8787,1109,11288,1392,7000,877,9263,681,4288,629,5598,332,2360,443,3133,70,1066,164,1296,6113,50201,6120,62437
3011,48,681,104,827,49,588,149,784,123,957,278,1351,163,1087,307,1554,197,1274,205,1678,299,1391,187,1879,209,1349,204,1758,89,689,144,922,16,224,49,290,1183,8234,1623,11046,55,654,66,773,49,530,33,618,197,959,96,1250,304,1075,112,1496,379,1231,107,1715,426,1368,163,1956,281,1268,212,1763,95,769,194,1051,20,377,80,479,1811,8237,1054,11103,97,1337,166,1601,100,1112,188,1401,317,1911,372,2605,467,2159,422,3053,578,2506,305,3396,721,2765,348,3839,489,2623,413,3524,180,1459,336,1977,39,598,128,769,2989,16473,2682,22145
3012,27,454,96,572,23,564,104,691,84,1414,267,1764,108,1045,161,1309,93,993,189,1274,72,708,145,929,36,381,83,495,19,116,31,166,0,22,7,27,455,5698,1080,7232,34,402,84,519,30,568,79,682,121,1382,214,1715,123,980,156,1253,149,866,174,1199,84,544,107,735,50,276,63,382,10,121,30,159,0,35,12,52,605,5178,916,6693,56,857,172,1085,55,1135,179,1376,204,2793,483,3479,224,2019,319,2564,246,1863,361,2471,160,1253,246,1660,81,653,148,873,31,237,60,325,0,60,23,81,1057,10872,1992,13923
3013,132,2324,237,2692,142,2233,346,2720,319,4546,728,5592,403,3729,604,4732,573,3744,612,4935,592,3290,467,4348,305,2207,326,2840,158,1113,297,1563,35,359,137,541,2664,23551,3753,29970,161,2321,275,2765,182,2261,240,2681,527,4474,370,5373,728,3635,351,4710,954,3710,368,5035,921,3038,351,4314,405,2229,353,2983,195,1477,370,2048,34,696,246,977,4114,23842,2929,30886,300,4645,515,5455,322,4498,585,5402,839,9022,1101,10963,1132,7361,948,9446,1525,7455,983,9966,1517,6327,817,8668,719,4439,674,5830,354,2589,667,3611,72,1056,385,1519,6784,47389,6685,60860
3014,308,8188,735,9223,352,6696,628,7679,833,13227,1192,15260,1461,15585,1452,18491,2040,16568,1482,20100,2480,15466,1395,19337,1799,14176,1441,17411,1032,7109,1110,9249,294,2328,583,3206,10597,99345,10011,119956,400,7969,659,9029,444,6688,604,7729,1412,13925,1098,16444,2607,16338,1173,20121,3896,17863,1393,23157,4314,16015,1384,21712,2825,14432,1555,18813,1068,7796,1548,10414,219,3848,1122,5192,17189,104871,10546,132606,709,16148,1392,18245,791,13384,1235,15411,2248,27159,2291,31699,4070,31917,2626,38614,5943,34434,2880,43257,6793,31475,2780,41057,4624,28612,2993,36226,2098,14906,2656,19660,514,6178,1700,8393,27789,204216,20553,252559
