SUA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
3000,913,1316,2398,2413,2452,1833,528,58,6,11927,901,1162,2360,2691,3084,2533,1018,358,64,14168,18063,23746,54397,62950,73761,58486,16742,3164,419,311736
3001,1922,4646,10059,8421,7914,5200,1322,141,11,39640,2175,4871,10611,10117,9136,5618,1689,363,105,44686,58218,109014,247812,236514,219325,138876,30440,2843,355,1043400
3002,66,109,220,197,198,158,45,3,0,998,67,109,216,189,212,146,60,24,13,1038,1853,2307,5024,5214,5772,4500,893,125,17,25702
3003,130,290,655,690,549,357,125,10,0,2789,139,235,524,602,569,362,129,34,6,2596,3773,5441,13932,15503,15292,10324,2461,222,33,66979
3004,24,60,108,70,63,37,12,0,0,370,15,28,60,33,53,28,10,0,0,231,432,666,1670,1514,1372,789,156,18,5,6615
3005,36,115,176,156,134,75,18,3,0,725,48,83,182,178,178,83,21,4,0,772,1272,1914,4542,4537,4489,2539,414,27,4,19736
3006,450,1119,2757,2620,2317,1548,478,35,3,11327,715,1304,2939,3057,3001,2076,701,162,41,14000,16840,26987,60804,63716,62316,43247,11813,1214,134,287079
3007,19,46,87,81,64,55,6,0,0,361,39,35,73,47,62,55,25,11,0,348,545,684,1488,1504,1684,1246,269,29,5,7464
3008,43,63,148,147,156,107,29,3,0,698,48,55,107,153,147,111,47,15,0,688,1160,1279,2898,3572,4063,3039,622,67,10,16694
3009,15,21,33,45,28,22,6,0,0,179,15,6,22,40,34,19,11,3,0,153,325,461,881,859,859,683,140,22,4,4233
3010,119,244,464,375,353,225,44,3,0,1827,77,144,304,300,343,192,70,12,11,1450,2275,3355,8224,7712,8298,5444,975,97,16,36408
3011,27,35,74,74,78,67,10,4,0,366,20,35,62,67,89,49,24,9,0,362,606,713,1429,1808,2093,1633,312,38,11,8648
3012,34,44,100,66,48,34,14,0,0,348,21,36,60,71,57,59,10,0,0,311,489,932,2495,1906,1814,1031,245,25,0,8941
3013,84,209,365,277,278,239,53,11,0,1527,71,141,262,206,226,138,30,18,3,1094,2448,3528,7708,6800,7128,4914,913,106,13,33555
3014,260,556,1115,1167,1274,786,200,17,0,5377,352,466,970,1306,1375,994,330,80,18,5893,8835,10790,23627,29566,32980,23098,5491,518,64,134972
