SOSR_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR431,391,478,555,340,85,10,2082,18,145,278,472,543,242,34,9,1735,513,1856,2475,2133,2175,1300,307,53,10818,289,920,1639,2425,2444,1389,279,53,9433,1953,3432,4025,5012,4383,2346,709,129,21991,365,377,335,304,260,132,25,3,1805,185,234,494,611,560,368,96,17,2567,2496,4041,4858,5932,5202,2850,830,157,26367,22,69,99,146,162,166,42,18,722,1734,1328,1692,2315,2545,2007,851,258,12725,5090,8567,11428,13905,13626,8298,2427,555,63886
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR499,14,7,15,4,0,0,59,0,8,3,6,7,0,0,0,24,31,92,38,20,19,16,0,0,219,14,27,22,40,16,23,3,0,145,34,97,50,70,79,57,11,5,402,11,6,4,4,0,0,0,0,25,3,9,3,12,15,3,0,0,47,50,115,57,88,91,66,11,5,482,6,9,0,3,3,5,0,0,27,84,122,129,152,93,54,15,6,651,185,393,264,317,247,159,30,10,1595
SOSR501,19973,14014,9144,4816,1446,324,69560,785,6935,8054,7615,5710,2365,610,139,32213,20464,77507,61717,42177,28030,15437,5687,1589,252609,9899,29479,29923,28835,22809,13911,5688,1641,142184,27415,56446,46233,45852,35111,21032,9960,2648,244708,5504,3775,2840,2323,1726,968,298,107,17541,2199,4341,5644,6066,5332,3943,1769,604,29899,35123,64568,54717,54242,42166,25943,12027,3362,292146,955,2497,2342,2290,2119,1955,1017,403,13579,17714,25381,20096,18885,17248,15829,13731,9296,138176,85882,225270,196818,168056,127221,80253,40223,16749,940467
SOSR511,257,217,175,93,23,3,934,17,144,222,216,169,60,15,0,849,199,1249,1427,1051,854,395,174,39,5395,203,788,894,1010,857,473,152,46,4433,1445,2787,2529,2313,1775,987,345,96,12275,395,221,145,120,76,34,3,0,999,119,172,239,275,254,167,56,17,1297,1954,3180,2913,2699,2110,1186,403,112,14564,19,78,74,60,63,63,40,16,407,718,865,876,906,813,797,608,330,5916,3122,6478,6654,6166,5041,3074,1421,544,32499
SOSR512,400,312,261,138,34,3,1481,29,246,325,312,267,126,20,7,1333,360,1986,2007,1541,1109,651,250,73,7979,343,1158,1461,1537,1363,772,317,86,7036,2219,4191,3790,3699,2825,1556,638,164,19078,586,324,247,208,151,87,37,0,1640,166,257,364,363,345,259,110,28,1897,2973,4778,4398,4268,3320,1897,785,191,22618,41,78,104,102,100,115,79,28,653,1480,1663,1545,1639,1606,1378,1165,683,11155,5229,10231,10253,9707,8023,5072,2658,1078,52250
SOSR513,261,149,102,38,7,0,811,18,193,201,136,92,21,4,0,662,234,1580,1231,712,415,157,42,7,4383,129,888,904,692,485,160,48,10,3308,881,2670,2173,1680,1064,317,88,22,8898,228,215,160,100,49,17,3,0,768,72,195,219,182,123,42,20,3,858,1176,3079,2549,1957,1239,375,111,28,10528,16,57,51,44,33,24,9,4,239,981,1578,1305,1196,861,480,227,108,6745,2559,7618,6516,4887,3231,1250,449,158,26666
SOSR514,106,70,67,55,14,0,390,3,63,104,64,67,31,4,0,335,90,682,763,427,355,236,88,18,2653,102,421,507,439,359,251,98,16,2195,547,1324,1346,1081,740,473,197,37,5739,134,119,83,44,46,26,11,0,463,58,103,125,132,113,79,21,13,644,734,1547,1556,1261,895,570,227,50,6844,9,36,31,23,44,29,13,9,188,443,495,507,483,486,468,367,237,3483,1387,3331,3562,2762,2266,1634,819,328,16096
SOSR515,208,151,141,81,21,7,782,30,167,236,165,159,68,14,0,840,259,1438,1359,911,737,428,157,38,5325,222,754,933,942,831,506,229,69,4480,1371,3029,2793,2607,2084,1150,463,108,13603,395,291,211,166,132,46,10,4,1265,124,218,294,252,261,187,67,21,1433,1891,3545,3295,3026,2480,1381,544,136,16296,31,65,60,73,64,66,29,5,399,1338,1607,1477,1591,1524,1326,929,410,10206,3774,7746,7561,6864,5945,3860,1913,665,38326
SOSR521,70,89,69,44,4,0,338,10,62,87,80,91,26,10,3,366,106,584,502,437,334,220,80,20,2279,92,325,413,455,473,293,115,22,2188,561,1292,1222,1368,1199,674,220,54,6597,150,114,80,70,63,22,8,3,512,54,97,137,148,141,98,27,5,710,765,1498,1443,1587,1403,802,256,68,7822,9,42,39,29,53,38,31,3,239,714,686,701,826,842,703,474,218,5158,1692,3246,3247,3503,3268,2124,967,335,18385
SOSR522,28,32,28,16,6,0,146,6,38,34,32,33,19,3,0,163,59,291,229,179,156,105,33,8,1065,37,124,140,205,212,132,50,10,910,235,594,450,546,487,282,122,18,2726,99,78,48,31,38,19,3,0,313,30,42,50,61,89,44,16,6,339,362,705,544,644,612,342,138,23,3376,7,10,12,8,18,14,9,0,78,413,516,429,414,464,390,226,66,2910,886,1712,1419,1514,1521,1019,468,101,8647
SOSR531,418,473,450,319,77,14,2095,15,237,362,473,460,188,31,0,1762,526,2487,3035,2752,2271,1305,352,50,12781,368,1206,1872,2653,2544,1483,364,66,10551,2361,5354,5453,6267,4912,2396,627,112,27478,507,362,323,321,231,101,18,7,1866,172,329,547,638,630,426,107,23,2870,3043,6042,6317,7225,5777,2922,747,137,32210,51,84,116,176,177,154,60,13,831,2839,4301,4025,4015,3302,2350,1040,241,22119,6849,14682,16148,17771,14982,8722,2682,522,82357
SOSR579,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,10,8,5,0,0,3,0,31,0,13,20,17,9,0,0,0,55,0,41,39,32,11,0,0,0,134,0,3,3,0,0,0,0,0,5,0,4,3,3,0,0,0,0,13,6,49,46,34,10,0,0,0,145,0,0,0,0,0,0,0,0,0,7,29,20,24,9,0,0,0,87,11,106,100,83,31,4,3,0,338
SOSR599,24,17,15,12,0,0,117,0,15,5,6,16,6,3,0,48,58,227,89,47,63,35,10,0,522,20,73,35,51,77,42,3,0,308,78,227,166,169,202,103,17,3,969,20,16,13,9,12,5,0,0,65,7,29,11,15,29,19,0,0,114,108,273,191,197,236,123,14,3,1147,10,9,5,3,5,7,4,0,43,177,385,315,357,222,142,26,5,1633,374,1033,673,680,633,368,58,13,3820
SOSR603,1744,1513,1227,761,244,84,7537,78,663,779,917,750,417,104,26,3727,1451,5443,4790,3632,3433,2072,760,319,21909,452,1597,2060,2366,2167,1666,809,288,11414,2404,4892,4024,4036,3551,1999,1116,361,22382,582,514,314,227,202,130,34,21,2022,208,349,433,490,569,391,219,106,2760,3193,5752,4767,4747,4314,2518,1373,491,27160,69,140,113,160,190,209,172,56,1114,1705,1787,1603,1757,1917,2001,1630,930,13332,7041,17268,15859,15106,14002,9637,5088,2194,86205
SOSR611,403,401,308,216,44,8,1770,18,180,203,234,219,103,29,12,995,512,1777,1686,1379,1135,619,204,90,7396,236,637,819,976,877,564,288,87,4488,1203,2190,1819,1881,1609,1030,504,166,10399,329,254,165,121,77,55,14,8,1022,129,167,210,222,235,163,88,37,1250,1660,2607,2193,2222,1920,1249,611,214,12672,29,55,62,50,61,70,44,29,405,928,755,679,822,823,1008,733,413,6165,3404,6373,6046,6084,5350,3824,1951,851,33887
SOSR612,42,45,50,24,4,3,217,3,29,29,45,49,43,7,0,209,56,278,260,209,243,164,48,17,1277,50,170,243,289,266,179,85,33,1319,386,793,660,668,578,389,177,53,3695,132,95,59,57,26,16,3,0,385,35,48,72,88,76,50,25,8,405,559,934,794,807,681,458,200,64,4483,3,22,7,19,17,18,29,3,128,199,172,169,204,311,394,352,194,1992,876,1652,1538,1613,1631,1279,728,317,9625
SOSR613,75,67,91,49,11,6,372,12,46,52,77,62,34,8,3,289,84,422,373,358,341,190,81,25,1873,51,202,320,408,338,249,133,30,1728,604,1019,878,975,852,453,249,61,5087,178,124,85,66,46,26,3,6,540,35,76,76,107,102,66,44,13,532,818,1223,1035,1150,1002,548,300,81,6156,3,10,15,24,31,36,24,9,155,286,237,224,324,373,483,420,171,2524,1257,2212,2092,2412,2240,1588,974,322,13095
SOSR614,14,24,15,17,6,0,86,0,12,6,29,29,12,5,0,88,14,76,65,67,80,61,35,14,407,16,58,66,113,115,79,31,13,494,174,386,275,308,298,172,93,18,1729,47,56,20,25,11,13,5,0,173,15,27,30,34,39,19,17,7,182,236,465,327,368,348,203,116,25,2088,5,3,6,7,5,10,14,0,47,114,97,91,112,142,193,187,64,996,389,721,581,711,736,572,377,112,4204
SOSR615,146,163,153,125,41,5,748,6,73,110,111,123,88,24,4,533,132,718,737,606,656,480,168,53,3552,81,424,572,707,696,526,227,53,3291,952,1990,1709,1795,1677,1113,479,99,9810,229,197,160,135,95,46,12,0,875,87,132,161,197,204,181,73,16,1056,1267,2317,2032,2123,1977,1343,568,119,11745,19,32,35,50,58,73,51,22,331,602,474,480,703,867,1048,798,405,5366,2108,4156,4101,4450,4522,3687,1876,662,25566
SOSR621,88,87,113,63,21,3,428,4,36,45,52,65,16,14,0,238,60,272,328,266,299,209,65,15,1506,33,139,194,229,290,224,90,19,1206,219,527,482,548,573,379,143,35,2911,49,49,34,38,30,22,3,0,227,23,46,55,67,83,54,28,3,359,292,625,574,650,691,458,172,42,3498,0,11,9,23,20,20,20,4,107,207,144,189,246,310,344,239,104,1786,598,1268,1428,1544,1790,1340,615,188,8770
SOSR622,28,41,62,32,20,0,198,3,7,16,30,34,20,3,0,117,30,96,148,127,179,148,45,11,784,10,64,106,154,200,172,52,7,760,145,285,324,389,385,249,89,19,1879,40,28,25,37,29,14,3,4,166,15,24,42,35,58,44,15,3,243,196,329,393,462,471,309,112,23,2289,0,4,10,6,11,26,9,6,80,131,80,111,176,208,251,180,71,1209,378,612,809,995,1156,953,419,123,5445
SOSR631,380,453,525,396,69,10,2030,12,113,237,336,383,203,25,7,1318,204,1185,1678,1759,1906,1110,262,44,8146,142,583,1174,1635,1740,1099,297,39,6722,1298,2526,3026,3718,3408,1680,494,84,16231,282,269,206,204,186,66,19,4,1236,134,183,284,404,447,278,85,13,1829,1718,2972,3515,4329,4041,2018,598,109,19301,13,47,56,88,109,125,52,7,489,1149,751,994,1449,1784,1531,775,164,8607,3248,5830,8041,10055,10493,6481,2080,375,46603
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,0,10,4,11,3,3,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,9,6,19,6,5,5,7,0,0,44
SOSR699,5,7,5,3,0,0,31,0,4,3,0,0,0,0,0,6,3,31,16,5,15,8,0,0,77,0,11,13,12,9,7,0,0,59,21,22,17,17,22,9,3,0,120,5,3,3,0,0,0,0,0,16,0,4,0,4,4,3,0,0,13,29,33,23,25,25,13,3,0,152,0,0,0,0,3,0,0,0,4,33,46,36,35,18,15,3,0,190,67,127,93,80,78,50,10,0,517
SOSR703,1248,851,669,275,47,3,4426,38,547,597,494,389,124,28,0,2209,847,5220,3566,2160,1436,650,160,36,14080,420,1946,1968,1820,1196,493,144,18,7997,1956,5371,3690,3032,1975,853,260,51,17185,387,324,219,159,93,27,10,0,1214,163,355,348,313,233,144,38,13,1607,2503,6049,4252,3503,2300,1028,307,66,20003,63,157,147,104,101,51,33,9,667,2179,3779,2674,2217,1709,972,408,153,14089,6111,18972,14451,11144,7798,3582,1127,283,63473
SOSR712,233,212,161,65,12,0,904,4,109,133,153,88,26,7,0,526,94,850,674,494,397,123,39,11,2675,41,352,351,382,319,93,30,7,1576,320,753,622,638,458,173,49,18,3026,80,60,35,40,14,4,0,0,229,30,63,78,59,62,33,9,4,329,423,871,734,738,534,211,55,22,3578,13,26,29,31,26,14,3,0,140,393,672,477,511,434,254,95,40,2885,975,3099,2625,2525,1950,779,249,79,12281
SOSR714,19,19,21,0,0,0,102,0,39,22,14,16,7,0,0,89,25,185,115,82,45,28,7,0,492,17,96,81,101,62,23,8,0,384,92,212,135,133,101,51,10,3,743,25,22,18,13,9,4,0,0,88,7,24,13,11,12,3,3,0,74,126,251,169,165,121,57,9,0,900,0,4,5,3,6,0,0,0,22,207,296,187,221,174,100,57,18,1259,383,906,604,604,442,213,81,25,3257
SOSR715,55,39,35,12,0,0,202,4,30,49,35,39,6,0,0,164,39,211,177,139,115,27,3,0,711,15,79,115,127,93,17,0,0,456,81,292,265,284,206,57,11,0,1194,45,63,64,56,32,8,0,0,265,29,58,54,39,22,0,0,0,204,156,410,378,379,257,72,19,0,1666,7,15,11,24,7,3,3,0,60,602,640,570,398,254,88,26,4,2585,823,1450,1356,1143,801,222,48,4,5841
SOSR721,45,37,33,8,3,0,185,4,21,36,19,21,0,0,0,104,34,253,155,103,95,24,0,0,667,35,113,95,105,70,18,4,0,445,115,288,276,252,177,49,3,0,1160,53,66,44,37,21,8,0,0,229,35,60,51,47,24,13,0,0,227,199,413,370,341,221,65,3,0,1614,3,12,5,4,7,3,0,3,31,600,528,391,402,209,101,34,8,2274,880,1399,1101,1005,653,225,43,8,5315
SOSR722,22,22,28,5,0,0,90,0,14,8,23,20,3,0,0,69,14,81,77,80,93,35,0,0,386,0,31,50,72,73,25,8,0,261,86,154,132,175,145,55,10,3,762,38,89,51,59,20,3,0,0,258,14,42,38,34,14,4,3,0,149,136,290,220,266,179,67,12,3,1175,5,10,0,9,4,9,4,0,36,403,339,293,289,198,115,36,8,1688,563,781,673,759,598,260,67,16,3710
SOSR731,75,99,79,46,4,0,345,0,59,74,83,70,24,3,0,314,78,400,424,348,273,121,28,7,1681,58,255,384,465,291,126,30,0,1615,542,1122,1128,1218,768,338,77,7,5187,122,108,86,66,50,19,0,3,447,47,78,95,116,97,55,12,0,495,707,1304,1310,1400,914,407,82,10,6135,9,25,20,24,15,18,3,5,109,1339,1160,975,960,784,437,109,20,5780,2199,3247,3259,3370,2434,1175,258,33,15978
SOSR779,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,17,3,6,0,0,0,0,0,0,8,0,7,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,10,8,3,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,15,3,27,21,7,3,0,3,0,60
SOSR799,11,9,4,6,0,0,52,0,13,4,6,6,3,0,0,34,18,58,39,19,28,17,0,0,184,13,19,26,30,23,17,0,0,121,20,52,45,51,76,53,9,0,322,9,3,3,4,5,3,0,0,29,14,11,6,3,9,3,0,0,45,49,65,55,59,90,58,6,0,392,3,3,0,9,8,3,0,0,24,82,196,161,193,114,73,14,0,831,162,376,295,324,284,173,22,0,1635
SOSR802,9736,7111,5047,2827,910,234,34722,239,2809,2997,2956,2614,1441,280,39,13378,6207,21164,16032,11199,8642,5481,2121,651,71496,1749,6044,6545,6137,4626,2945,1194,394,29628,4198,8616,7072,6170,4501,2690,1331,423,35006,871,643,493,381,295,186,79,36,2984,371,548,856,1032,1100,949,379,153,5391,5441,9809,8421,7582,5894,3828,1788,615,43377,183,408,379,406,400,417,228,105,2535,3450,4563,3557,3140,2809,2528,2032,1507,23595,17658,53262,47664,38532,30038,19478,8556,3554,218735
SOSR822,0,10,0,3,0,0,15,0,0,3,0,7,4,0,0,11,0,6,7,8,5,6,0,0,31,3,0,0,3,4,3,3,0,23,0,0,7,10,7,7,8,0,40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,9,10,6,7,8,0,43,0,0,0,0,0,3,0,0,6,4,0,0,3,0,0,3,0,9,11,8,23,35,29,24,17,0,137
SOSR831,13,14,10,3,0,0,46,0,0,4,0,4,3,0,0,11,3,24,28,16,4,5,0,0,81,0,15,22,26,8,0,0,0,76,17,37,23,23,17,5,3,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,17,38,25,23,19,5,3,0,138,0,0,0,0,0,0,0,0,3,20,15,11,13,12,4,5,0,81,37,96,115,95,62,27,7,3,435
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,4,4,7,6,0,0,40,0,0,3,0,4,0,0,0,10,14,35,8,7,7,3,0,0,81,3,3,10,4,6,0,0,0,30,10,11,12,11,12,3,0,0,50,7,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,5,13,14,12,11,10,3,0,0,62,0,0,0,0,0,0,0,0,3,26,16,31,20,20,7,0,0,112,58,68,75,54,57,17,3,0,339
SOSR915,7,0,5,3,0,0,30,3,6,9,11,0,0,0,0,27,3,26,34,18,9,7,0,0,96,0,20,30,21,14,3,0,0,89,12,49,54,51,45,12,0,0,222,7,9,3,5,0,4,0,0,27,0,9,3,4,6,0,0,0,22,20,62,59,67,44,18,0,0,269,0,0,0,4,0,0,0,0,10,31,42,32,62,64,35,6,0,267,64,164,170,184,137,58,8,0,786
SOSR921,0,0,5,0,0,0,3,0,0,0,0,3,3,0,0,10,4,12,16,6,15,5,3,4,60,0,4,12,11,14,5,4,0,55,4,5,19,25,30,18,6,0,107,0,0,3,0,3,0,0,0,9,0,0,3,4,8,8,0,0,29,5,13,27,26,36,27,7,0,152,0,0,0,0,0,0,0,0,3,8,0,16,17,14,14,14,0,83,19,35,71,67,82,59,25,9,370
SOSR922,11,0,0,0,0,0,18,0,3,3,0,0,0,0,0,11,7,22,16,5,6,4,0,0,62,0,10,11,11,3,0,0,0,38,13,18,16,18,21,3,3,0,93,4,7,0,0,3,0,0,0,12,0,4,4,0,0,0,0,0,14,15,25,21,18,26,5,3,0,115,0,0,0,0,0,0,0,0,3,19,20,4,20,12,8,7,0,82,42,83,65,60,47,21,6,0,327
SOSR931,4,5,3,4,5,0,26,0,0,5,0,3,4,0,0,13,0,11,23,11,34,12,3,3,100,4,6,19,17,22,15,8,3,88,12,17,29,55,35,24,8,0,177,3,3,0,0,0,0,0,0,6,3,4,3,3,8,3,4,0,32,16,18,40,55,50,25,16,3,223,0,0,0,3,0,0,0,0,13,54,110,77,55,38,32,21,7,401,71,151,176,144,151,93,52,19,856
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,10,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,6,0,7,5,4,4,0,0,31
