SOSR_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR611,..,97,1243,2033,2371,2371,2028,1025,284,11450,..,420,986,615,489,264,129,31,7,2945,..,12,52,134,188,107,46,34,16,591,6273,..,..,..,..,..,..,..,..,6273,..,1645,..,..,..,..,..,..,..,1645,..,1215,533,237,168,67,9,0,0,2225,..,263,125,33,53,56,46,19,7,607,..,155,74,42,33,21,5,0,5,328,..,660,443,130,101,99,85,21,4,1551,..,280,552,550,743,731,578,373,188,3992,118,216,189,91,111,76,73,43,9,925,6388,4964,4203,3858,4265,3790,2997,1547,529,32535,..,159,1611,2293,2495,2350,1741,759,148,11556,..,593,983,608,460,219,92,22,3,2977,..,198,578,824,852,338,160,137,82,3166,6102,..,..,..,..,..,..,..,..,6102,..,1555,..,..,..,..,..,..,..,1555,..,795,279,122,87,61,8,0,0,1351,..,195,61,28,54,98,106,73,43,662,..,115,57,11,8,12,5,3,0,217
SOSR612,..,25,324,507,672,776,739,399,107,3545,..,115,275,191,159,95,45,16,0,907,..,6,31,57,56,33,12,10,0,198,1934,..,..,..,..,..,..,..,..,1934,..,448,..,..,..,..,..,..,..,448,..,425,159,62,45,24,3,0,0,712,..,41,23,18,23,14,13,8,4,150,..,29,32,11,14,6,3,0,0,100,..,78,93,33,41,36,24,7,3,314,..,63,161,167,257,240,194,127,74,1274,37,44,58,34,26,36,32,21,3,296,1971,1258,1157,1077,1296,1253,1072,591,193,9862,..,46,402,609,743,753,703,291,58,3608,..,187,295,186,154,81,26,10,0,939,..,97,234,331,277,87,40,50,21,1128,1955,..,..,..,..,..,..,..,..,1955,..,458,..,..,..,..,..,..,..,458,..,252,84,24,30,25,3,0,0,421,..,33,12,4,23,32,37,14,16,179,..,35,8,12,6,3,0,0,0,61
SOSR613,..,23,452,719,972,1096,1006,582,142,4993,..,196,382,246,222,137,54,13,7,1252,..,8,39,93,105,41,12,19,12,324,2649,..,..,..,..,..,..,..,..,2649,..,646,..,..,..,..,..,..,..,646,..,606,185,118,73,28,10,0,0,1021,..,59,21,18,26,21,25,3,5,182,..,37,27,19,12,5,3,5,0,109,..,87,79,26,43,33,25,11,4,308,..,123,212,221,310,372,267,212,69,1787,58,97,77,39,48,44,41,21,8,444,2704,1885,1473,1498,1828,1785,1448,873,238,13721,..,48,589,843,1046,1156,955,419,51,5101,..,273,422,251,218,100,36,14,0,1321,..,83,284,388,373,108,66,58,43,1403,2552,..,..,..,..,..,..,..,..,2552,..,634,..,..,..,..,..,..,..,634,..,364,92,36,36,42,3,0,0,567,..,59,13,4,18,35,41,20,19,211,..,43,11,6,3,0,0,3,0,69
SOSR614,..,10,154,204,283,395,398,238,46,1731,..,45,172,88,89,66,38,10,0,497,..,4,12,28,34,7,14,11,3,106,926,..,..,..,..,..,..,..,..,926,..,184,..,..,..,..,..,..,..,184,..,210,78,51,33,12,3,0,0,386,..,33,9,12,5,6,6,3,0,82,..,9,10,3,5,5,0,0,0,37,..,6,15,9,26,20,16,3,0,103,..,16,59,78,98,132,92,72,29,577,29,32,29,14,19,16,18,13,4,165,957,556,527,483,592,668,582,350,79,4798,..,19,189,233,362,411,356,162,19,1759,..,68,161,104,85,51,27,4,0,504,..,41,133,116,114,42,26,24,12,503,889,..,..,..,..,..,..,..,..,889,..,180,..,..,..,..,..,..,..,180,..,122,37,16,23,9,0,0,0,209,..,22,9,6,12,13,21,6,0,88,..,15,6,4,3,0,0,0,0,29
SOSR615,..,62,965,1493,1868,2262,2179,1133,241,10213,..,294,787,516,448,342,164,44,10,2609,..,9,48,121,192,97,46,30,15,548,5270,..,..,..,..,..,..,..,..,5270,..,994,..,..,..,..,..,..,..,994,..,1051,363,188,138,66,11,0,0,1815,..,136,53,23,44,41,34,24,3,361,..,69,45,27,36,27,15,3,3,221,..,130,104,52,94,95,76,27,7,589,..,111,274,361,589,719,644,366,161,3211,106,116,125,86,89,80,104,48,7,756,5379,2970,2753,2865,3490,3723,3270,1683,440,26581,..,117,1254,1717,2035,2346,1969,792,114,10342,..,470,764,518,471,279,134,33,5,2672,..,139,485,637,560,211,123,95,69,2310,4986,..,..,..,..,..,..,..,..,4986,..,1079,..,..,..,..,..,..,..,1079,..,664,178,74,76,43,7,0,0,1044,..,77,31,6,39,77,60,58,44,393,..,60,23,10,15,11,6,3,0,130
SOSR621,..,13,274,518,629,797,773,354,64,3426,..,79,263,168,160,136,59,17,0,884,..,3,15,35,45,22,12,8,3,138,1557,..,..,..,..,..,..,..,..,1557,..,312,..,..,..,..,..,..,..,312,..,285,98,62,39,22,5,0,0,508,..,25,13,6,6,18,9,5,8,92,..,21,15,12,7,5,0,0,0,61,..,42,38,21,25,48,40,13,0,232,..,36,94,103,220,266,205,122,52,1092,30,36,45,28,24,42,48,16,0,276,1589,853,844,948,1160,1356,1161,536,127,8574,..,29,356,603,693,838,688,236,25,3464,..,116,242,194,161,135,44,9,4,907,..,30,112,158,136,75,22,35,10,572,1535,..,..,..,..,..,..,..,..,1535,..,305,..,..,..,..,..,..,..,305,..,182,63,24,17,6,3,0,0,293,..,18,11,5,11,19,21,10,3,97,..,16,9,0,5,7,0,0,0,43
SOSR622,..,4,128,242,383,568,502,219,37,2084,..,38,115,118,101,93,50,12,0,525,..,5,9,14,24,21,12,8,3,95,900,..,..,..,..,..,..,..,..,900,..,217,..,..,..,..,..,..,..,217,..,197,74,43,25,9,3,0,0,356,..,26,9,3,6,7,9,12,3,75,..,10,9,10,4,0,0,0,0,38,..,16,8,12,15,18,27,9,0,104,..,18,52,75,139,207,179,76,26,770,19,27,23,15,23,38,33,8,3,191,921,561,425,536,719,961,814,343,75,5350,..,7,171,319,461,527,446,155,13,2102,..,72,122,112,107,88,44,5,0,554,..,13,69,102,96,38,29,11,11,368,812,..,..,..,..,..,..,..,..,812,..,180,..,..,..,..,..,..,..,180,..,107,38,7,14,12,0,0,0,175,..,14,0,3,4,9,10,5,8,62,..,18,4,0,3,0,0,0,0,30
SOSR631,..,70,1231,2900,4306,5134,3962,1394,207,19210,..,262,874,965,1116,806,352,62,14,4457,..,9,52,154,271,205,87,59,24,854,8397,..,..,..,..,..,..,..,..,8397,..,1964,..,..,..,..,..,..,..,1964,..,1869,761,308,197,86,11,0,0,3228,..,143,73,38,70,96,66,62,23,565,..,105,73,47,39,37,26,13,3,345,..,81,119,86,171,171,131,30,12,798,..,125,328,492,963,1323,1025,451,123,4829,140,267,188,152,192,218,194,59,12,1406,8537,4899,3689,5144,7320,8071,5850,2121,421,46050,..,125,1770,3404,4864,5069,3265,832,102,19439,..,423,997,1040,1084,683,227,40,7,4498,..,95,336,523,533,269,120,129,66,2071,7812,..,..,..,..,..,..,..,..,7812,..,1960,..,..,..,..,..,..,..,1960,..,1096,369,142,111,64,13,0,0,1803,..,87,42,11,38,109,98,98,58,543,..,125,48,30,32,24,12,5,0,284
SOSR679,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR699,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,31,52,55,43,38,17,9,3,0,248,31,52,55,43,38,17,9,3,0,248,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR703,..,134,3109,4461,3593,2776,1606,546,75,16308,..,652,2456,1218,950,552,182,38,3,6043,..,23,77,196,271,176,88,23,10,868,10746,..,..,..,..,..,..,..,..,10746,..,1908,..,..,..,..,..,..,..,1908,..,1730,813,294,162,34,4,0,0,3035,..,420,359,151,117,93,68,34,19,1257,..,314,612,221,156,80,39,4,4,1433,..,608,1282,489,382,259,130,30,6,3187,..,241,806,716,871,880,569,209,57,4354,191,291,323,190,176,131,69,25,4,1392,10933,6329,9824,7932,6668,4975,2760,915,180,50521,..,375,4194,4620,3490,2438,1157,292,27,16596,..,1035,2522,1187,902,433,133,10,0,6221,..,171,578,879,838,395,196,102,38,3192,10316,..,..,..,..,..,..,..,..,10316,..,1897,..,..,..,..,..,..,..,1897,..,1009,448,142,65,34,9,0,0,1712,..,360,235,97,147,247,186,132,46,1451,..,271,413,85,72,54,23,3,0,921
SOSR712,..,22,485,740,757,621,289,87,14,3020,..,110,358,238,186,144,31,10,0,1078,..,10,15,39,52,20,10,3,0,146,2237,..,..,..,..,..,..,..,..,2237,..,371,..,..,..,..,..,..,..,371,..,339,138,52,20,11,0,0,0,553,..,82,60,40,24,19,12,9,0,255,..,49,73,20,16,6,4,0,0,173,..,88,183,80,67,42,17,4,3,480,..,57,177,147,236,217,138,54,11,1041,47,60,62,38,38,38,15,5,0,305,2280,1197,1550,1394,1400,1124,514,169,39,9660,..,55,683,767,767,565,193,53,4,3100,..,150,413,252,216,106,25,3,0,1165,..,44,155,217,180,90,32,15,8,757,2138,..,..,..,..,..,..,..,..,2138,..,284,..,..,..,..,..,..,..,284,..,220,74,27,14,5,0,0,0,342,..,69,46,33,57,72,41,26,10,348,..,47,38,20,21,9,3,0,0,142
SOSR714,..,12,124,143,144,123,69,16,3,637,..,35,108,65,64,36,7,0,0,318,..,8,4,11,17,7,5,0,0,44,601,..,..,..,..,..,..,..,..,601,..,77,..,..,..,..,..,..,..,77,..,74,29,8,5,0,0,0,0,119,..,28,20,7,7,9,3,3,0,78,..,17,9,9,3,4,0,0,0,43,..,24,45,6,6,6,7,0,0,88,..,17,46,25,46,59,52,22,0,267,15,16,17,6,12,5,4,0,0,83,616,312,399,289,298,252,146,42,6,2366,..,15,163,166,143,121,37,13,0,662,..,57,119,62,57,27,6,0,0,331,..,21,39,58,41,16,9,3,3,187,525,..,..,..,..,..,..,..,..,525,..,65,..,..,..,..,..,..,..,65,..,48,10,4,4,0,0,0,0,65,..,29,14,7,9,6,8,3,0,85,..,12,9,3,3,4,3,0,0,33
SOSR715,..,149,510,525,476,311,100,19,0,2089,..,67,209,190,116,51,17,3,0,646,..,12,20,36,35,31,19,4,0,163,2383,..,..,..,..,..,..,..,..,2383,..,228,..,..,..,..,..,..,..,228,..,454,222,69,30,0,0,0,0,773,..,338,226,161,145,64,26,8,0,972,..,25,19,8,19,9,5,0,0,91,..,17,37,16,19,19,3,0,0,106,..,21,59,60,96,82,46,11,0,374,68,45,51,38,26,18,11,0,0,255,2451,1350,1351,1111,961,594,224,46,0,8081,..,219,573,545,436,254,46,6,0,2081,..,103,244,173,92,33,9,3,0,657,..,78,189,177,162,96,38,13,4,746,2108,..,..,..,..,..,..,..,..,2108,..,226,..,..,..,..,..,..,..,226,..,348,154,49,19,3,0,0,0,575,..,260,170,88,112,101,37,22,3,793,..,24,8,14,8,13,0,0,0,71
SOSR721,..,151,469,450,334,250,105,19,4,1773,..,41,163,126,85,49,9,0,0,474,..,6,20,30,34,26,6,0,0,127,1703,..,..,..,..,..,..,..,..,1703,..,138,..,..,..,..,..,..,..,138,..,340,147,41,17,4,0,0,0,546,..,251,165,93,75,30,27,9,3,658,..,22,15,14,9,4,5,0,0,67,..,38,51,14,15,9,0,0,0,127,..,47,93,73,88,82,31,9,0,427,35,31,24,21,27,11,3,0,0,162,1735,1069,1141,869,685,466,181,40,5,6203,..,224,500,444,358,181,61,4,0,1776,..,52,175,135,72,39,5,3,0,481,..,55,147,142,123,73,40,11,0,602,1624,..,..,..,..,..,..,..,..,1624,..,137,..,..,..,..,..,..,..,137,..,242,123,33,27,7,0,0,0,433,..,181,110,77,82,78,41,26,11,612,..,21,12,9,9,7,0,0,0,47
SOSR722,..,136,344,282,294,220,96,19,8,1401,..,43,119,129,88,40,28,6,0,452,..,5,17,26,25,15,14,8,0,113,1516,..,..,..,..,..,..,..,..,1516,..,120,..,..,..,..,..,..,..,120,..,309,130,36,14,5,0,0,0,493,..,214,106,69,58,32,22,21,4,521,..,15,12,12,7,6,9,0,0,53,..,9,12,15,20,20,13,0,0,86,..,10,35,47,85,88,53,14,3,343,44,28,40,24,19,16,3,3,0,176,1564,901,800,637,612,445,228,72,18,5280,..,193,360,288,279,200,65,12,3,1405,..,60,135,113,95,38,17,3,0,469,..,72,145,132,104,64,36,17,0,568,1418,..,..,..,..,..,..,..,..,1418,..,106,..,..,..,..,..,..,..,106,..,232,61,25,27,3,0,0,0,351,..,168,101,78,104,113,68,27,10,661,..,15,3,10,8,4,3,0,0,41
SOSR731,..,99,563,968,1116,868,552,127,12,4305,..,126,423,366,382,228,74,9,0,1607,..,3,35,55,85,61,36,12,6,293,3147,..,..,..,..,..,..,..,..,3147,..,454,..,..,..,..,..,..,..,454,..,627,247,101,46,11,0,0,0,1035,..,232,149,93,87,67,49,33,8,723,..,70,56,46,46,48,17,5,0,292,..,69,103,54,80,63,40,13,0,422,..,36,120,147,264,316,217,49,8,1167,79,92,55,53,41,61,30,4,0,415,3227,1807,1754,1887,2157,1723,1014,255,35,13852,..,146,754,1118,1120,800,379,70,7,4394,..,196,462,361,383,190,54,7,0,1657,..,42,146,194,186,91,56,39,10,751,2997,..,..,..,..,..,..,..,..,2997,..,400,..,..,..,..,..,..,..,400,..,408,142,66,29,15,0,0,0,663,..,138,81,65,90,101,91,39,17,629,..,90,60,14,23,15,10,0,0,211
SOSR779,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,38,19,32,24,32,31,20,3,0,188,38,19,32,24,32,31,20,3,0,188,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR802,..,273,10046,16811,14643,12035,8960,4022,1022,67816,..,1567,6007,3335,2461,1423,563,121,25,15495,..,42,169,612,1019,599,232,107,74,2842,36169,..,..,..,..,..,..,..,..,36169,..,9242,..,..,..,..,..,..,..,9242,..,5554,3223,1079,592,239,29,0,0,10721,..,1137,873,277,267,246,154,92,67,3113,..,960,957,341,174,99,29,9,7,2581,..,3101,3733,838,546,413,191,82,24,8924,..,838,3166,2701,2839,2626,1816,943,502,15441,493,729,872,511,373,336,253,98,32,3714,36658,23448,29042,26513,22912,18019,12234,5476,1748,176046,..,707,13451,17326,14507,11455,7737,2893,487,68560,..,2362,6190,3269,2386,1190,402,73,7,15869,..,303,1455,2967,3454,1679,673,463,266,11263,33950,..,..,..,..,..,..,..,..,33950,..,9163,..,..,..,..,..,..,..,9163,..,3999,1935,521,309,169,39,0,0,6987,..,909,631,218,271,595,585,392,260,3856,..,866,724,182,79,54,21,9,5,1935
SOSR822,..,0,0,5,12,9,18,11,0,61,..,0,0,4,4,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,28,..,..,..,..,..,..,..,..,28,..,4,..,..,..,..,..,..,..,4,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,3,4,0,11,0,0,0,0,0,0,0,0,0,3,28,10,7,13,22,17,16,16,3,123,..,0,0,13,10,12,15,9,0,59,..,0,4,0,3,0,0,0,0,7,..,0,0,0,3,0,0,0,0,4,27,..,..,..,..,..,..,..,..,27,..,11,..,..,..,..,..,..,..,11,..,3,0,4,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR831,..,0,17,45,38,19,8,3,0,133,..,0,5,11,11,6,0,0,0,38,..,0,0,0,0,0,0,0,0,0,87,..,..,..,..,..,..,..,..,87,..,19,..,..,..,..,..,..,..,19,..,18,3,0,3,0,0,0,0,18,..,0,3,0,0,3,0,0,0,5,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,4,0,0,9,..,0,4,0,3,11,0,0,0,19,4,5,3,0,0,4,0,0,0,10,90,38,35,57,59,37,17,5,0,340,..,0,30,40,27,18,8,3,0,127,..,0,8,9,8,4,0,0,0,33,..,0,3,4,6,3,0,0,0,11,65,..,..,..,..,..,..,..,..,65,..,22,..,..,..,..,..,..,..,22,..,7,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3
SOSR879,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR899,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,16,26,42,35,25,14,8,0,0,161,16,26,42,35,25,14,8,0,0,161,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR915,..,0,27,57,58,49,42,5,0,229,..,3,3,6,13,3,0,0,0,28,..,0,0,0,9,3,0,0,0,11,129,..,..,..,..,..,..,..,..,129,..,19,..,..,..,..,..,..,..,19,..,22,19,0,3,0,0,0,0,45,..,0,3,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,4,0,4,0,0,0,0,8,..,3,5,10,15,16,9,3,0,66,6,6,7,3,5,12,3,0,0,34,132,54,67,76,93,85,55,9,0,580,..,5,41,60,51,47,12,5,0,220,..,5,6,9,9,3,0,0,0,33,..,0,3,3,12,3,3,3,0,24,127,..,..,..,..,..,..,..,..,127,..,17,..,..,..,..,..,..,..,17,..,11,3,3,3,0,0,0,0,15,..,7,3,0,0,0,3,0,0,13,..,0,0,0,0,0,0,0,0,4
SOSR921,..,0,9,21,23,27,36,5,3,118,..,4,8,17,5,9,3,0,0,44,..,0,0,0,4,0,0,0,0,9,62,..,..,..,..,..,..,..,..,62,..,10,..,..,..,..,..,..,..,10,..,8,0,4,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,10,14,12,8,10,4,59,0,0,0,0,0,0,0,4,0,12,62,20,15,48,52,51,51,19,11,332,..,0,12,25,28,24,23,3,0,114,..,4,15,13,13,9,3,0,0,52,..,0,0,4,10,10,3,0,0,26,48,..,..,..,..,..,..,..,..,48,..,14,..,..,..,..,..,..,..,14,..,4,3,0,0,0,0,0,0,12,..,0,0,0,3,0,0,0,0,9,..,4,0,0,0,0,0,0,0,5
SOSR922,..,3,24,37,26,33,28,8,0,152,..,0,0,4,6,0,0,0,0,11,..,0,0,0,0,0,0,0,0,3,73,..,..,..,..,..,..,..,..,73,..,9,..,..,..,..,..,..,..,9,..,15,3,4,0,0,0,0,0,23,..,0,0,0,0,0,0,7,0,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,3,3,3,0,0,0,14,0,0,0,0,5,0,3,0,0,12,76,32,29,47,45,40,31,10,0,306,..,6,33,30,32,31,17,5,0,158,..,0,0,7,0,3,0,0,0,10,..,0,3,8,0,0,0,0,0,10,69,..,..,..,..,..,..,..,..,69,..,6,..,..,..,..,..,..,..,6,..,12,4,0,3,0,0,0,0,18,..,3,0,0,0,4,3,4,0,15,..,0,0,0,0,0,0,0,0,0
