SOSR_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR413,18,151,167,16,34,93,478,16,492,37,54,17,9,621,149,874,198,83,86,27,1417,856,566,411,91,116,24,2054,548,180,371,19,59,9,1180,1562,161,518,21,64,12,2340,1511,70,505,10,46,14,2159,769,10,208,15,18,8,1020,134,3,39,7,3,0,185,44,3,8,0,0,0,56,14,0,3,0,0,0,18,8,0,0,0,0,0,11,3,0,0,0,0,0,4,3,5,4,0,0,0,16,77,167,75,37,32,25,425,5720,2697,2545,346,471,216,11996
SOSR414,11,17,38,7,9,32,115,0,45,10,14,3,0,68,29,87,44,30,17,7,209,101,68,97,40,22,6,333,108,22,106,15,7,0,252,391,18,170,8,10,6,602,520,6,166,0,11,8,709,120,3,25,0,3,0,154,5,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,14,18,19,13,3,6,74,1303,280,678,130,86,62,2539
SOSR415,27,87,199,30,88,157,597,28,312,35,59,30,15,476,284,499,339,107,236,15,1477,956,370,672,125,298,24,2450,678,128,521,45,123,11,1496,1325,64,562,21,104,15,2091,1166,34,428,14,45,3,1683,506,5,125,0,15,3,657,64,4,16,0,0,0,89,11,4,5,3,4,0,32,3,0,3,0,7,0,9,0,0,4,0,0,0,4,0,0,0,0,3,0,5,3,9,13,3,4,0,30,66,82,96,47,60,24,373,5112,1613,3018,451,1014,271,11476
SOSR421,4,26,77,12,31,58,204,3,60,24,16,6,3,115,54,103,116,44,38,6,359,142,61,252,20,61,8,548,125,16,200,6,16,8,368,246,5,178,0,16,7,451,165,0,111,0,7,0,285,67,3,30,0,0,0,102,22,3,9,0,0,0,31,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,46,13,15,3,106,834,289,1058,116,191,100,2585
SOSR422,0,82,67,15,107,76,343,3,202,9,25,17,6,253,36,46,111,12,57,0,265,92,19,186,20,30,0,348,68,6,107,3,3,0,191,84,0,87,3,4,5,181,43,0,47,3,0,0,101,13,0,7,0,0,0,24,5,0,3,0,0,0,10,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,29,25,4,23,9,97,353,383,666,76,241,95,1814
SOSR431,5,61,810,62,645,678,2262,8,107,125,50,53,4,334,81,46,667,40,245,7,1092,269,21,628,30,171,13,1126,172,0,397,0,69,3,654,344,3,376,0,62,12,798,388,0,310,0,20,8,721,224,0,152,0,12,0,392,49,0,38,0,4,0,87,21,0,20,0,3,0,46,6,0,8,0,0,0,20,5,0,3,0,0,0,6,3,0,0,0,0,0,4,3,0,8,0,0,0,7,36,31,219,20,198,13,512,1613,263,3753,207,1492,731,8063
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,231,1101,2959,165,225,1607,6284,41,1330,176,198,48,30,1808,295,7798,1330,490,229,96,10230,701,3817,2063,923,344,77,7917,1055,1459,1971,214,203,42,4945,4529,1328,3526,179,789,65,10407,19117,1084,9786,189,1040,139,31354,40464,471,16815,159,1500,215,59613,18829,81,6970,43,513,78,26521,6474,29,2128,17,122,12,8772,2719,21,865,6,42,16,3666,1455,13,438,3,25,6,1948,776,13,195,3,22,5,1004,1300,12,464,4,48,5,1843,1259,1064,1684,241,367,242,4860,99238,19604,51353,2832,5505,2640,181172
SOSR511,7,56,85,8,14,56,222,0,49,9,7,3,0,67,11,362,45,11,9,3,442,60,223,104,90,21,10,499,63,65,125,15,28,3,294,400,68,259,19,45,10,798,1348,44,684,20,61,17,2164,1630,6,534,13,54,8,2241,222,0,58,3,7,0,292,29,0,9,0,0,0,46,6,0,3,0,0,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,3,6,0,4,0,3,0,14,54,54,44,11,13,12,190,3838,936,1959,183,255,114,7285
SOSR512,13,99,203,15,74,138,546,9,125,24,55,18,5,232,42,821,142,69,76,11,1159,219,592,221,99,174,8,1305,287,231,275,20,123,7,942,762,272,526,39,148,9,1748,2023,156,949,36,186,17,3354,2217,35,752,11,71,16,3104,485,8,134,5,15,5,654,109,3,29,0,4,0,146,22,0,9,0,0,3,32,3,3,5,0,0,0,9,7,0,0,0,0,0,7,6,0,9,0,3,0,20,87,135,99,23,55,20,416,6280,2491,3371,364,962,222,13690
SOSR513,82,113,56,4,1221,183,1668,12,81,8,11,79,0,199,30,398,40,17,557,8,1052,108,344,65,32,295,12,847,95,186,74,3,219,3,588,272,276,119,7,299,4,981,614,190,177,8,240,3,1236,861,77,187,5,125,10,1277,607,32,92,4,76,4,808,372,12,53,0,35,0,478,240,5,35,0,35,0,324,159,3,23,0,14,3,204,68,0,15,0,10,0,90,133,7,31,0,37,3,209,204,139,50,10,340,11,756,3862,1864,1039,109,3583,259,10712
SOSR514,0,25,49,3,18,41,129,0,17,3,0,0,3,26,3,169,33,4,12,8,228,27,120,60,16,20,3,246,68,58,93,0,32,0,248,218,33,123,0,15,0,394,432,25,229,0,21,3,707,619,3,297,0,23,9,952,224,0,86,0,3,0,320,26,0,10,0,0,0,36,0,0,3,0,0,0,11,3,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,3,0,10,19,26,31,0,9,0,90,1640,482,1020,28,158,71,3403
SOSR515,53,225,167,25,1469,167,2108,8,203,16,21,181,3,425,78,664,143,72,527,11,1510,247,567,204,81,290,19,1395,271,200,274,26,184,7,967,554,201,424,15,179,8,1386,1044,125,529,13,122,6,1844,775,62,331,3,78,5,1256,238,12,79,0,38,3,367,69,4,33,0,6,0,114,29,3,22,0,8,0,67,23,0,17,0,7,0,47,4,0,4,0,3,0,16,28,3,9,0,4,0,47,100,168,94,17,218,18,617,3525,2447,2352,279,3322,247,12170
SOSR521,9,312,106,42,455,114,1037,3,154,18,33,54,8,262,37,355,129,64,124,4,713,97,199,216,24,96,10,643,76,83,205,5,70,3,450,176,82,212,15,70,3,557,205,59,208,6,44,3,522,154,17,150,0,27,3,353,50,6,30,0,10,0,98,13,0,10,0,0,0,32,9,3,8,0,0,0,20,8,0,10,0,0,0,14,4,0,3,0,0,0,12,6,0,3,0,8,0,14,20,101,45,10,103,6,275,862,1369,1353,201,1058,153,5003
SOSR522,6,279,59,54,250,93,752,0,120,6,36,35,9,204,10,256,94,53,76,0,491,32,134,132,28,52,11,385,44,51,67,8,16,3,187,47,41,93,13,25,9,218,51,21,56,3,12,0,142,39,3,22,0,5,3,70,12,0,11,0,6,0,25,3,0,3,0,0,0,11,3,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,5,0,0,0,12,10,97,16,17,70,3,217,265,1004,574,220,543,130,2726
SOSR531,11,347,807,171,929,951,3216,3,95,76,26,64,3,267,46,150,433,53,212,5,894,112,62,461,35,249,10,922,99,20,367,13,83,3,582,142,21,406,13,79,7,673,265,18,427,4,60,4,772,374,10,342,0,43,9,781,183,3,140,0,15,3,345,105,0,69,0,5,0,179,43,0,21,0,0,0,67,21,0,13,0,5,3,39,3,0,18,0,4,0,23,13,0,24,0,6,0,34,41,100,260,17,313,12,736,1440,834,3855,330,2073,1005,9539
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,35,263,239,26,25,175,764,9,627,23,35,12,12,720,123,1271,298,196,52,21,1959,613,938,589,232,71,31,2466,680,425,583,75,35,14,1814,1834,288,1260,57,124,19,3582,3054,117,1810,45,177,17,5220,2036,39,970,27,67,6,3141,637,6,257,6,14,4,926,191,4,71,0,8,0,280,51,0,28,0,3,0,84,25,3,6,0,4,0,36,4,0,0,0,0,0,13,16,5,10,0,3,0,36,120,190,143,45,36,24,555,9422,4179,6290,749,617,327,21581
SOSR611,15,134,93,28,16,66,355,9,223,25,34,11,3,312,148,494,194,86,40,11,973,644,405,427,125,51,25,1678,556,227,413,35,38,7,1278,1273,87,606,16,53,13,2044,1396,23,617,14,51,12,2119,482,8,154,9,25,3,679,78,7,33,0,0,0,117,8,3,16,0,0,0,25,0,0,4,0,0,0,7,0,0,4,0,0,0,7,0,0,0,0,0,0,3,0,6,4,0,0,0,14,56,104,63,22,25,12,269,4681,1722,2642,374,313,152,9885
SOSR612,3,58,29,5,3,19,114,5,100,4,10,3,3,124,21,261,45,23,8,6,364,120,221,110,30,18,8,507,159,116,150,42,21,3,499,521,42,331,7,32,8,939,283,5,130,6,13,4,435,40,12,14,3,3,0,74,0,0,4,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,47,9,9,9,3,94,1171,864,844,137,101,53,3172
SOSR613,3,55,41,8,8,27,137,0,112,15,9,3,3,145,75,260,85,31,7,6,466,348,260,219,51,34,14,922,289,163,247,23,33,3,756,519,39,304,3,34,7,911,261,14,143,3,20,5,447,66,8,23,0,3,0,99,9,4,4,0,0,0,13,0,0,4,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,8,12,46,30,3,12,9,115,1594,966,1116,124,153,73,4027
SOSR614,0,43,23,0,4,18,87,0,65,9,13,0,0,93,35,128,30,36,3,7,237,75,70,53,33,7,0,243,72,28,63,3,3,3,172,200,25,139,0,20,4,391,97,6,48,0,3,0,159,17,0,10,0,0,0,27,0,4,0,0,0,0,7,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,0,3,4,35,507,396,389,93,46,37,1453
SOSR615,13,58,123,19,56,98,357,10,142,16,17,11,3,197,125,300,168,73,42,8,714,427,209,347,86,67,15,1160,450,67,317,22,47,7,913,721,43,460,9,43,8,1278,697,18,394,0,38,5,1149,234,0,84,0,6,0,326,17,3,3,0,0,0,22,3,3,0,0,0,0,3,0,0,3,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,3,0,0,0,15,39,43,48,14,22,12,183,2743,890,1972,247,334,159,6338
SOSR621,6,10,57,6,75,35,196,5,18,8,5,3,0,43,50,59,72,26,14,9,223,85,26,135,8,20,3,278,72,12,104,3,13,0,208,142,4,128,3,10,0,285,119,0,87,0,11,0,214,51,0,33,0,3,0,84,6,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,13,4,13,4,8,3,54,559,129,654,58,157,56,1610
SOSR622,0,7,37,4,16,25,95,0,13,6,0,0,0,25,13,13,42,10,9,4,80,71,22,79,3,6,4,184,46,5,65,0,8,0,120,90,3,67,0,0,0,157,55,0,47,0,0,0,109,16,0,16,0,0,0,29,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,3,6,3,33,303,65,357,18,49,39,829
SOSR631,8,7,453,16,307,404,1188,13,10,74,4,30,0,129,50,20,360,24,95,6,545,182,14,437,10,88,7,733,155,5,354,3,45,0,558,324,4,345,0,36,4,714,309,0,273,3,19,4,613,159,3,117,0,8,3,284,26,0,26,3,0,0,53,6,0,11,0,0,0,13,3,0,3,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,7,18,10,129,0,113,11,287,1255,64,2577,60,732,448,5132
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,43,478,135,33,200,108,1001,0,481,4,20,3,6,508,17,526,51,44,27,8,675,43,295,69,35,26,6,465,72,86,97,10,79,0,343,180,152,133,9,755,7,1234,851,103,326,13,324,12,1630,2188,101,863,17,162,24,3349,2444,92,897,3,121,9,3570,1734,20,487,0,53,7,2296,919,3,228,0,25,5,1187,416,0,79,0,18,3,519,174,10,42,0,9,0,229,198,0,58,0,26,3,282,202,153,117,17,279,26,800,9482,2508,3591,188,2101,220,18087
SOSR712,15,156,18,31,179,54,452,0,112,0,6,3,0,121,7,125,15,27,31,5,207,8,47,30,10,13,0,107,23,22,25,0,10,0,87,95,31,40,3,15,0,182,252,27,78,3,15,3,374,471,26,167,3,24,0,693,353,6,146,3,15,3,533,150,3,56,0,9,0,216,59,0,18,0,7,0,83,34,0,8,0,0,0,41,9,0,3,0,0,0,13,3,0,3,0,4,0,11,35,80,23,19,161,6,317,1503,639,621,109,494,77,3439
SOSR714,4,38,8,0,44,15,109,0,35,0,6,0,0,44,5,52,3,13,42,0,111,3,26,6,12,28,3,83,10,9,7,32,13,0,76,26,16,11,0,50,3,110,52,6,18,0,20,0,96,133,8,39,0,9,0,192,78,0,15,0,3,0,100,37,0,3,0,3,0,40,7,0,3,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,6,3,23,3,62,362,215,121,67,240,25,1031
SOSR715,51,640,5,63,537,114,1409,0,209,0,8,31,3,252,8,241,11,15,52,4,323,10,187,12,3,41,3,258,9,54,16,0,16,0,92,23,32,20,11,26,0,111,12,11,22,5,10,0,65,27,12,30,0,15,0,78,17,11,12,0,18,0,55,3,0,6,0,3,0,15,3,3,4,0,3,0,10,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,9,0,10,13,121,18,7,148,3,307,173,1533,144,111,899,134,2997
SOSR721,0,524,9,132,416,79,1153,4,134,0,12,196,0,351,0,141,3,18,124,0,282,0,71,0,20,129,0,227,3,14,5,4,22,0,48,3,10,3,3,18,0,42,0,4,5,0,13,0,22,8,4,13,0,17,0,40,6,0,14,0,4,0,31,0,0,3,0,3,0,8,9,0,0,0,0,0,11,3,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0,0,0,4,0,7,0,230,8,25,93,13,368,40,1133,64,212,1040,96,2583
SOSR722,0,600,15,183,174,81,1049,0,194,3,23,7,0,230,0,150,5,31,22,0,209,4,52,16,11,18,0,96,0,13,7,0,3,0,24,8,8,7,3,3,0,28,7,4,19,0,4,0,34,3,4,14,0,3,0,29,4,3,9,0,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,9,29,36,3,209,26,1162,114,291,270,80,1945
SOSR731,0,376,75,267,188,203,1112,0,46,3,20,10,3,84,0,40,26,12,12,0,93,6,19,19,3,31,0,81,3,3,51,17,17,0,92,8,15,61,0,140,0,220,13,0,83,0,17,3,124,36,3,94,0,9,0,147,75,0,98,0,15,0,196,75,0,52,0,8,0,133,57,0,21,0,0,0,70,18,0,10,0,0,0,29,3,0,3,0,0,0,12,4,0,3,0,4,0,12,0,78,27,62,64,8,251,307,578,640,389,512,219,2653
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,44,560,480,57,54,287,1476,6,1285,17,46,10,7,1369,54,2543,153,91,48,19,2917,146,1253,331,126,49,9,1912,146,524,278,42,80,8,1075,596,604,429,62,483,7,2182,3297,547,1282,108,674,10,5912,9494,568,3366,45,412,41,13939,5659,137,2176,8,197,22,8200,2179,21,692,6,71,7,2978,681,10,280,3,30,0,1001,297,4,119,0,11,0,438,154,0,63,0,8,0,224,212,19,92,3,13,0,337,296,482,305,48,97,47,1272,23274,8559,10065,651,2239,463,45254
SOSR822,0,0,0,0,0,3,3,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,3,0,0,3,18
SOSR831,0,0,3,0,0,10,12,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,5,0,4,6,0,3,0,15,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,13,31,3,13,10,69
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,10,3,0,35,5,57,0,7,0,0,10,0,17,0,9,0,0,3,0,10,0,27,7,0,0,0,30,0,4,3,0,0,0,10,0,0,3,0,0,0,10,0,0,10,0,0,0,12,0,0,13,0,0,0,11,0,0,3,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,6,0,10,0,24,7,67,52,0,74,4,205
SOSR921,0,0,7,0,5,7,21,0,0,5,0,3,0,9,7,0,20,0,3,0,27,12,0,17,0,0,0,28,3,0,8,0,0,0,7,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,56,0,11,7,109
SOSR922,0,4,0,3,14,3,30,0,3,0,0,0,0,4,3,3,0,0,0,0,10,3,6,0,0,3,0,10,0,14,0,0,0,0,22,4,0,0,0,0,0,5,0,5,4,0,8,0,19,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,14,36,11,5,42,10,112
SOSR931,0,6,12,13,0,15,47,0,0,3,0,0,0,3,9,0,15,0,0,0,24,3,3,17,0,0,0,16,3,0,0,0,0,0,8,3,0,5,0,0,0,13,8,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,16,29,7,50,21,7,15,133
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
