SOSR_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SOSR322,183,32,4,0,224,9,0,9,235,17,0,247,359,51,7,3,427,6,0,6,429,22,0,459,69,4,11,0,90,0,0,0,90,3,0,96,5,0,4,0,6,0,0,0,6,3,0,9,616,89,31,8,742,15,0,21,761,45,0,810,5,3,0,0,11,19,0,19,30,0,0,29,15,3,0,0,20,3,3,11,25,0,0,26,23,6,0,0,25,23,3,26,59,0,0,59,636,91,31,8,773,43,3,44,817,50,0,869,359,78,17,27,479,44,21,62,543,175,3,713,7,0,0,0,7,0,0,0,6,0,13,20,1005,168,47,35,1256,85,24,113,1365,227,15,1610,338,28,6,3,376,12,3,13,392,26,0,419,517,77,16,9,620,15,0,17,630,39,0,674,31,0,3,0,38,0,0,0,38,0,0,41,3,0,0,9,18,0,0,0,18,3,0,17,890,111,25,21,1043,27,7,31
SOSR331,2335,219,54,15,2613,29,0,34,2647,145,3,2799,4875,502,66,48,5494,53,11,60,5551,145,4,5704,963,101,127,14,1197,9,6,12,1215,30,0,1244,65,3,7,63,143,0,0,0,143,15,0,162,8237,823,256,134,9450,93,17,106,9562,337,12,9904,86,8,3,0,100,26,0,27,123,5,0,136,150,35,11,3,199,34,3,36,237,13,0,249,232,48,15,5,297,63,3,67,361,24,0,383,8475,871,263,139,9751,154,20,173,9917,358,14,10284,4227,561,164,143,5098,226,34,258,5352,651,14,6024,38,3,0,7,51,0,0,0,51,3,35,88,12743,1433,432,291,14895,379,53,432,15324,1010,63,16400,4574,424,67,32,5094,79,15,91,5192,269,0,5459,6981,809,126,78,7997,106,16,119,8115,262,12,8396,275,56,52,3,389,11,0,11,399,20,0,424,93,15,4,106,215,4,0,4,222,14,3,239,11921,1303,244,220,13697,197,30,233
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,5435,944,94,37,6512,175,39,212,6726,509,0,7234,15994,2262,211,100,18566,281,57,336,18896,570,11,19487,4041,550,457,47,5093,60,7,72,5164,112,3,5280,196,49,3,146,396,12,3,11,406,15,17,440,25669,3807,768,328,30563,522,110,635,31195,1216,29,32438,390,99,9,14,513,140,18,161,669,51,4,729,764,159,9,12,947,86,30,119,1068,60,4,1127,1155,256,20,25,1458,234,46,279,1740,111,4,1858,26823,4067,788,351,32027,754,157,911,32934,1323,35,34297,11654,2439,355,290,14736,953,177,1132,15869,2548,41,18462,72,15,3,32,126,0,0,0,129,11,132,275,38547,6523,1147,669,46889,1706,337,2046,48932,3885,207,53029,8156,1314,107,66,9636,283,78,359,9995,644,3,10648,17814,2243,219,118,20395,315,90,408,20799,615,20,21434,727,129,177,9,1045,9,3,13,1064,37,4,1103,134,38,3,164,344,3,3,11,349,20,6,376,26833,3723,494,358,31418,614,174,791
SOSR412,274,25,4,0,303,12,3,12,318,36,0,350,908,94,12,3,1023,8,0,10,1031,42,0,1073,236,26,22,0,282,7,0,7,288,6,0,294,7,3,0,7,16,0,0,0,16,0,0,22,1424,148,44,14,1630,27,4,29,1657,81,0,1744,9,0,3,4,18,4,0,4,16,0,0,25,42,5,0,0,52,0,0,3,48,3,0,54,53,5,3,3,65,3,0,7,70,3,0,75,1479,155,46,17,1694,26,9,32,1729,88,0,1816,831,99,25,23,977,63,10,74,1056,144,0,1197,3,4,0,0,10,3,0,3,8,0,9,20,2316,258,70,40,2680,97,16,115,2788,232,12,3037,535,52,7,4,599,15,0,15,620,40,0,653,1193,113,21,13,1344,14,4,21,1362,32,0,1398,62,6,3,0,73,3,0,3,73,6,0,79,13,0,0,16,27,0,0,0,28,0,0,25,1804,170,32,32,2039,42,4,39
SOSR413,376,56,8,9,450,8,0,9,458,32,0,489,1325,176,21,8,1525,31,3,34,1559,34,0,1595,300,46,42,0,391,3,0,6,393,5,0,397,39,4,0,14,53,0,0,0,53,3,0,57,2045,288,68,25,2423,40,5,43,2469,70,0,2543,28,8,0,0,36,3,0,3,42,3,0,46,59,9,0,3,73,11,3,11,84,8,0,89,88,15,3,3,110,15,3,19,124,10,0,133,2133,298,70,30,2533,57,7,61,2594,84,0,2679,944,219,33,18,1217,96,13,109,1325,149,3,1477,10,9,0,0,17,0,0,0,17,3,17,32,3085,522,102,51,3763,149,19,170,3933,232,22,4191,700,112,12,12,835,27,7,38,872,59,0,930,1644,232,23,13,1921,31,4,32,1956,47,0,2002,71,18,16,0,112,3,0,3,116,9,0,126,15,0,0,16,25,3,0,3,27,0,0,31,2435,363,54,46,2894,68,12,74
SOSR414,56,15,0,0,71,0,0,0,75,3,0,77,286,34,3,3,335,0,0,3,331,12,0,351,58,3,12,0,75,0,0,0,75,3,0,78,3,0,0,3,7,0,0,0,7,0,0,7,412,56,12,9,479,0,0,4,484,23,0,506,0,0,0,0,0,3,0,3,6,3,0,9,14,3,0,0,14,0,0,0,14,4,0,15,16,3,0,0,13,3,0,4,17,3,0,26,424,52,12,9,499,3,4,8,506,28,0,528,249,52,11,12,322,4,0,8,330,31,0,361,0,0,0,0,0,0,0,0,0,0,0,3,672,108,27,22,817,10,3,15,830,56,0,890,143,29,3,0,173,0,4,0,179,15,0,193,382,44,3,3,436,9,0,9,438,15,3,458,19,0,3,0,22,0,0,0,22,5,0,29,0,0,0,0,3,0,0,0,3,0,0,3,546,74,11,4,636,11,4,7
SOSR415,442,81,4,4,533,6,0,11,541,53,0,590,1497,185,19,11,1713,16,0,21,1735,28,3,1769,344,25,60,6,445,3,0,3,448,12,0,454,22,3,3,13,39,0,0,0,39,0,0,48,2308,294,88,38,2726,30,4,34,2764,94,5,2864,17,3,0,0,23,8,0,8,26,3,0,33,53,9,0,0,62,10,4,14,79,3,0,78,76,8,0,0,86,14,4,24,108,9,0,114,2382,303,88,38,2811,43,9,55,2864,98,10,2973,1155,191,46,27,1421,74,13,82,1505,171,3,1685,5,0,0,0,9,0,0,0,9,0,17,21,3541,496,135,64,4239,122,21,140,4383,274,25,4680,721,104,8,4,840,6,3,9,849,57,0,904,1840,228,40,15,2123,25,0,25,2156,68,3,2227,85,6,30,0,123,0,0,0,125,3,0,124,15,3,0,23,39,0,0,0,39,7,0,48,2663,345,82,44,3124,39,3,41
SOSR421,116,15,6,0,134,0,0,0,135,9,0,147,490,62,9,3,570,3,0,5,571,24,0,598,90,9,7,0,109,3,0,3,113,0,0,109,4,7,0,3,12,0,0,0,12,0,0,12,706,94,21,5,827,6,0,6,837,36,0,871,0,0,0,0,0,0,0,0,0,0,0,4,12,5,0,3,16,0,0,0,19,0,0,19,8,5,0,3,17,3,0,3,19,0,0,20,718,97,21,7,846,11,0,12,858,34,0,894,367,71,7,5,453,16,0,15,463,42,0,509,7,0,0,0,7,0,0,0,7,0,0,4,1089,168,32,9,1301,24,3,24,1326,75,3,1403,201,32,0,0,229,3,0,6,237,6,0,243,605,77,14,6,697,10,5,11,708,22,0,730,14,3,7,0,25,0,0,0,25,0,0,25,3,0,0,9,14,0,0,0,14,0,0,14,819,112,16,12,958,9,6,18
SOSR422,50,7,0,0,61,3,0,3,60,21,0,82,190,38,0,3,229,7,0,6,237,15,3,255,49,14,3,0,67,0,0,0,67,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,284,64,7,3,354,6,0,8,365,31,5,406,0,0,0,0,3,13,0,13,17,5,0,20,9,0,0,0,9,5,0,5,13,0,0,13,12,0,0,0,10,13,0,13,28,5,0,27,293,62,7,3,364,24,0,26,389,35,5,431,223,26,9,4,262,6,0,6,269,83,0,349,0,0,0,0,0,0,0,0,0,0,0,3,514,94,16,7,625,31,0,33,663,113,11,785,95,22,0,0,112,5,0,4,120,19,0,135,284,42,0,5,332,4,0,4,338,30,0,367,16,7,3,3,28,0,0,0,28,0,0,28,0,0,0,3,3,0,0,0,8,0,0,6,393,64,8,14,478,12,0,11
SOSR431,552,88,11,6,651,6,3,9,663,34,0,698,2067,185,22,8,2294,11,5,11,2306,48,3,2353,365,35,58,3,466,9,0,6,474,20,0,488,39,3,0,30,78,0,0,0,78,3,0,78,3033,313,93,50,3482,22,9,31,3519,100,6,3619,14,0,0,0,14,4,0,4,19,7,0,29,46,4,0,0,52,5,3,8,64,3,0,62,67,4,0,0,75,5,3,12,86,10,0,96,3092,317,94,50,3559,30,12,43,3596,109,6,3714,1480,182,57,30,1753,42,12,52,1808,169,8,1980,16,0,0,0,17,0,0,0,17,0,28,39,4589,496,156,80,5322,76,21,100,5421,282,38,5738,1247,152,16,16,1426,6,6,18,1439,89,3,1535,2863,348,48,27,3293,15,3,19,3312,78,6,3399,114,20,54,0,184,0,0,0,188,7,0,191,23,6,0,28,56,0,0,0,59,4,0,67,4250,520,124,76,4965,29,13,38
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,9117,1436,173,83,10811,469,90,559,11369,774,17,12159,26272,2963,434,213,29883,554,64,620,30502,604,17,31132,5668,606,666,56,6995,149,19,167,7167,155,13,7331,316,52,15,238,619,22,0,29,644,29,19,690,41373,5060,1286,595,48311,1190,173,1369,49683,1562,62,51311,891,138,21,14,1067,175,18,190,1260,79,4,1335,1980,223,65,43,2312,210,27,236,2548,85,3,2636,2874,366,84,56,3378,380,48,424,3807,165,4,3973,44245,5426,1374,649,51695,1574,220,1792,53486,1728,66,55279,28183,3453,941,659,33232,1751,236,1984,35216,2902,79,38199,103,21,3,66,190,9,4,14,205,34,224,464,72525,8899,2323,1373,85113,3335,458,3792,88910,4665,372,93945,13377,1958,225,113,15670,626,133,764,16430,1069,17,17516,30973,3287,451,244,34951,818,89,905,35853,791,31,36673,1111,152,208,22,1498,38,0,44,1545,47,7,1593,299,44,5,269,615,19,3,21,635,36,23,690,45753,5443,892,643,52735,1504,229,1726
SOSR511,246,48,6,3,297,15,4,14,309,34,0,345,982,89,20,11,1112,28,3,31,1138,20,0,1158,163,13,31,0,211,3,0,8,213,4,0,220,18,0,0,9,31,0,0,0,31,3,3,36,1412,157,54,31,1645,41,6,49,1701,57,3,1763,20,4,0,0,19,13,0,13,31,6,0,35,77,3,0,0,89,7,0,7,93,6,0,105,97,7,0,0,105,18,0,21,127,7,0,143,1509,163,55,33,1758,63,10,71,1829,65,8,1898,1103,119,56,19,1297,67,3,75,1371,90,0,1462,3,0,0,0,4,0,0,0,4,0,7,10,2609,280,117,51,3058,130,12,147,3206,157,12,3372,407,52,20,7,481,23,6,27,509,30,0,539,1240,130,45,21,1429,34,3,38,1466,41,4,1517,44,0,17,0,65,3,0,3,66,3,0,70,6,0,0,11,12,0,0,0,12,0,0,13,1704,183,77,35,1993,53,13,68
SOSR512,501,69,10,3,586,14,3,19,605,39,0,641,1402,145,39,12,1599,28,0,27,1629,35,6,1669,307,26,50,0,379,0,0,0,385,4,0,388,21,0,0,21,41,0,0,0,42,0,0,47,2228,240,98,36,2608,46,3,53,2656,77,4,2735,39,9,0,0,49,4,0,4,53,9,0,55,73,12,3,0,86,10,0,10,100,5,0,106,109,20,3,0,137,16,0,16,150,13,0,162,2340,265,101,36,2741,56,3,64,2804,88,4,2905,1777,212,87,52,2133,85,28,120,2254,182,3,2442,8,0,0,0,11,0,0,3,12,0,9,21,4122,482,193,95,4883,145,40,185,5068,274,22,5361,814,98,14,20,945,27,8,35,979,67,0,1048,2036,215,55,31,2333,47,8,55,2386,55,0,2442,72,14,12,0,98,3,0,3,102,0,0,105,15,3,3,16,37,3,0,3,43,0,0,43,2932,326,81,63,3408,81,18,99
SOSR513,359,41,9,0,420,15,0,17,437,32,0,467,878,56,24,8,969,7,0,7,977,24,0,1001,173,19,37,7,237,3,0,3,238,9,0,242,22,3,0,5,28,3,0,3,34,0,6,37,1425,125,75,29,1656,30,0,29,1682,58,6,1747,29,4,0,0,32,8,0,8,38,3,3,41,55,5,4,3,66,3,0,6,75,0,3,75,83,9,4,3,96,11,0,14,111,4,6,118,1508,131,79,30,1753,39,0,41,1791,65,7,1865,1135,67,63,40,1303,29,3,32,1335,57,4,1394,13,0,0,0,14,0,0,0,14,0,13,28,2663,201,138,66,3066,68,8,72,3139,122,24,3283,586,80,15,3,686,24,3,22,709,31,0,735,1010,68,24,9,1121,11,0,17,1133,29,0,1161,51,0,25,0,78,3,0,3,76,10,0,91,10,0,0,17,25,0,0,0,31,3,0,33,1665,149,63,28,1908,38,3,42
SOSR514,130,29,7,0,167,7,3,9,171,3,0,179,584,64,20,9,674,8,0,9,686,14,0,699,88,10,11,0,111,3,0,3,115,0,0,119,12,5,0,9,25,0,0,0,25,0,0,25,808,115,35,23,979,16,4,22,1003,17,0,1015,3,0,0,0,3,5,0,5,13,3,0,17,27,6,0,0,38,5,0,5,39,0,0,39,32,6,0,0,39,9,0,9,50,3,0,58,841,122,35,23,1019,32,4,33,1055,21,0,1074,512,69,43,20,638,48,3,53,691,66,0,756,0,0,0,0,0,0,0,0,0,0,5,6,1354,188,78,40,1657,80,9,88,1743,87,7,1838,206,42,0,3,254,10,4,12,261,14,0,282,631,90,21,19,761,10,3,14,778,27,0,802,16,0,9,0,25,0,0,0,28,0,0,28,9,6,0,5,17,0,0,0,17,0,0,17,866,139,31,22,1059,15,8,25
SOSR515,380,57,6,3,448,10,0,10,454,52,0,508,1030,118,36,4,1190,22,0,19,1213,42,0,1251,218,20,40,4,280,7,0,4,290,3,0,292,9,4,0,19,36,0,0,0,36,0,0,34,1638,202,84,32,1954,34,0,35,1987,100,0,2089,18,4,3,0,21,7,0,10,30,4,0,38,60,0,0,0,65,6,0,6,71,4,3,73,79,6,3,0,87,13,0,14,104,5,3,109,1711,207,83,33,2040,47,3,49,2083,107,8,2195,1369,134,113,38,1654,111,10,124,1778,159,4,1942,7,0,0,3,16,0,0,0,19,4,13,32,3096,344,196,73,3709,157,14,172,3878,269,24,4175,693,80,16,7,803,25,5,33,834,43,3,880,1356,169,48,14,1593,28,4,26,1625,26,0,1648,47,15,26,0,84,4,0,3,92,5,0,92,18,0,0,24,39,0,0,0,39,0,0,42,2117,268,90,43,2519,51,15,63
SOSR521,133,19,3,0,156,0,0,0,156,21,0,181,388,43,8,7,445,7,0,7,448,11,0,459,89,14,8,3,112,3,0,3,119,3,0,119,5,0,0,3,13,0,0,0,13,0,0,10,617,83,22,9,729,7,0,7,734,34,0,774,15,0,0,0,15,6,0,6,20,3,0,25,20,3,4,0,27,4,4,3,30,5,0,32,32,3,4,0,34,9,4,14,49,7,0,61,645,88,20,9,767,21,4,24,789,42,0,835,648,74,39,24,780,61,6,62,847,149,6,1000,4,0,0,0,5,0,0,0,5,0,12,18,1295,159,66,38,1551,78,12,86,1638,192,18,1854,278,46,4,0,329,3,0,3,331,27,0,360,580,82,25,3,688,15,0,18,704,28,0,736,20,4,9,0,37,0,0,0,37,3,0,40,11,0,0,9,17,0,0,0,17,0,0,18,891,137,43,14,1083,19,0,17
SOSR522,64,17,4,0,85,3,0,3,84,11,0,100,165,23,6,3,194,10,4,11,208,19,0,233,35,3,4,0,44,3,0,3,45,0,0,45,3,0,0,8,9,0,0,0,9,0,0,6,262,44,13,4,325,13,4,21,346,31,0,381,0,0,0,0,0,9,0,9,10,3,0,11,7,0,0,0,8,3,0,7,17,0,0,17,7,0,0,0,8,11,0,13,26,3,0,30,268,47,15,4,337,24,5,33,375,32,0,407,235,45,12,8,297,39,9,47,345,145,6,500,5,0,0,0,5,3,0,3,7,0,18,33,506,94,30,18,646,66,13,83,724,182,31,938,93,24,0,0,112,4,0,4,114,19,0,136,202,40,5,6,255,6,0,10,261,17,0,282,14,0,0,0,21,0,0,0,19,0,0,19,0,0,0,8,8,0,0,0,8,0,0,12,311,62,8,13,393,16,0,17
SOSR531,595,39,9,4,648,13,3,17,663,39,0,709,1882,204,46,17,2152,16,4,23,2173,34,0,2212,235,22,43,0,308,5,0,5,313,8,0,318,27,0,0,17,45,0,0,0,45,0,0,42,2740,274,105,34,3145,33,12,41,3188,84,0,3277,24,3,0,0,28,14,0,15,43,5,0,46,60,7,0,0,72,12,3,18,83,5,0,95,78,11,3,0,99,22,6,31,124,13,0,144,2817,284,103,36,3249,54,19,73,3317,100,0,3421,1748,225,102,30,2107,113,8,119,2228,226,3,2455,16,5,0,3,25,0,0,0,25,3,29,55,4580,517,204,70,5379,165,23,190,5573,324,35,5933,1286,129,16,8,1438,24,7,33,1471,82,0,1555,2817,319,62,39,3240,40,9,49,3285,76,5,3361,62,12,40,0,119,0,0,0,119,0,0,121,45,0,0,41,90,0,0,0,90,0,0,87,4209,464,122,83,4878,63,16,79
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
