SOSR_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOSR322,169,458,1092,1416,1687,1438,291,43,3,6597,204,145,208,202,308,419,198,29,4,1705,21,14,53,68,77,93,34,9,0,363,19,20,33,47,52,44,19,8,0,249,414,642,1389,1734,2127,1989,544,86,9,8923,91,93,124,124,165,160,10,4,0,771,43,36,38,25,28,43,14,8,0,230,134,125,162,148,188,212,22,9,0,1002,549,767,1546,1882,2316,2204,565,88,9,9921,550,186,276,324,552,1146,2432,1134,261,6859,138,108,226,208,301,305,331,143,30,1788,1236,1063,2048,2419,3172,3653,3326,1366,296,18573,73,256,599,739,1031,749,106,12,0,3560,296,228,522,713,828,766,211,20,0,3589,12,17,78,67,81,70,13,3,0,341,11,8,27,35,36,33,11,8,0,161,399,510,1222,1550,1974,1611,339,45,0,7650,46,64,90,92,110,72,4,0,0,482,46,30,51,49,53,51,5,0,0,288,86,92,144,141,163,124,10,3,0,776
SOSR331,2494,5292,12357,16985,21668,16304,4631,995,116,80828,2932,1572,1719,2187,3247,4221,2372,571,91,18914,163,168,444,594,828,940,328,58,19,3550,208,208,347,493,576,465,260,126,26,2712,5791,7242,14859,20260,26321,21935,7588,1756,248,106008,545,686,831,814,1106,1098,81,15,3,5174,568,175,143,157,179,343,98,15,0,1673,1115,858,971,968,1288,1442,175,27,3,6842,6905,8098,15833,21224,27608,23376,7770,1782,255,112853,6038,1483,2411,2861,4342,9140,17022,7466,1640,52396,1006,950,2122,2486,3268,3194,2543,1130,273,16967,13950,10530,20361,26572,35217,35710,27336,10373,2170,182219,1067,3131,5927,8678,12399,7979,1878,324,29,41414,4250,2485,5294,8951,10485,8079,2359,343,33,42289,206,219,937,604,721,774,236,33,11,3740,180,163,234,380,451,328,190,74,19,2017,5706,5999,12389,18617,24068,17151,4665,777,91,89460,360,399,426,484,693,463,18,3,0,2840,611,241,364,467,459,416,38,0,0,2600,975,642,787,947,1149,879,53,3,0,5436
SOSR379,0,3,3,9,4,6,0,0,0,23,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,3,9,8,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,11,5,0,0,0,30,0,0,0,0,3,0,15,9,0,27,0,0,0,0,0,0,3,0,0,8,3,3,4,7,10,7,13,7,0,65,0,0,0,3,3,3,0,0,0,11,0,0,0,0,0,4,0,0,0,11,0,0,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,6,4,4,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,23,125,370,235,207,125,18,4,0,1106,23,79,136,52,66,57,25,0,0,428,3,10,23,18,19,28,6,0,0,107,3,17,36,24,15,6,5,0,0,100,52,223,564,324,310,212,59,3,0,1743,26,69,118,108,90,68,4,0,0,490,14,19,28,27,17,18,4,0,0,120,43,87,151,130,106,89,10,0,0,612,89,315,711,455,417,300,63,6,0,2360,80,136,248,196,280,606,888,187,11,2632,39,113,329,313,273,246,171,36,8,1521,212,559,1288,964,975,1147,1120,225,19,6509,13,133,244,54,96,89,5,0,0,640,30,107,171,63,79,95,14,0,0,552,4,6,15,13,17,25,0,0,0,91,8,4,17,16,5,7,0,0,0,56,50,252,444,147,202,217,24,0,0,1336,22,41,70,44,48,49,3,0,0,270,17,14,19,14,18,17,8,0,0,106,42,53,90,58,58,69,8,0,0,375
SOSR401,2228,12809,47674,48647,47000,31047,4986,336,43,194763,8297,11227,12396,8760,8521,8807,4916,787,82,63795,391,652,1463,1347,1469,1429,462,68,14,7301,257,600,1161,856,791,484,192,49,16,4418,11172,25294,62695,59604,57787,41766,10550,1234,155,270266,1171,2828,4381,3372,3037,2236,116,14,7,17164,2945,1967,1208,658,618,746,193,31,4,8360,4116,4790,5591,4025,3656,2980,308,47,11,25522,15293,30083,68288,63630,61441,44746,10865,1281,164,295793,19389,9758,9475,8054,10581,18662,36806,24270,10164,147157,1250,1875,4127,3599,3671,3205,2663,1898,1060,23354,35928,41723,81894,75281,75689,66615,50334,27452,11384,466302,1028,9110,29861,23540,28715,18418,2169,110,21,112961,11922,14578,22296,26816,25724,19427,5069,410,44,126298,468,898,4070,2329,1587,1721,445,43,6,11570,283,479,835,596,610,410,167,72,31,3484,13700,25059,57060,53286,56640,39980,7854,632,103,254310,680,1481,2398,1775,1605,815,26,7,3,8796,3030,1886,1960,1773,1398,908,96,20,7,11074,3711,3360,4360,3548,3007,1721,127,27,10,19866
SOSR412,235,1023,2774,2749,3156,2116,260,31,4,12353,560,418,441,392,465,497,247,42,3,3059,29,39,91,88,120,130,29,6,3,542,28,24,56,64,63,47,3,3,0,298,851,1509,3365,3290,3805,2802,543,77,11,16248,144,241,281,223,219,173,4,0,0,1288,174,72,57,38,43,50,7,0,0,441,317,318,335,257,261,224,17,0,0,1732,1176,1826,3699,3544,4065,3020,557,78,15,17978,1165,302,392,468,749,1265,2518,1738,609,9211,114,120,259,224,286,265,223,143,84,1722,2457,2247,4354,4241,5101,4554,3299,1957,704,28909,122,597,1340,1295,1800,1042,116,9,0,6331,872,746,1375,1612,1752,1316,235,18,0,7933,36,62,236,116,112,124,26,3,0,716,24,25,38,40,52,29,7,4,0,231,1064,1435,2983,3061,3722,2512,386,36,6,15210,76,118,126,123,127,57,0,0,0,626,190,92,116,99,74,53,0,0,0,635,264,214,242,228,203,115,0,3,0,1262
SOSR413,311,1224,3256,3511,3810,2702,509,42,11,15374,849,662,720,641,784,899,534,78,7,5173,40,58,111,139,178,167,52,8,0,747,32,44,81,72,83,61,22,9,4,398,1230,1986,4165,4362,4853,3830,1108,142,22,21695,146,264,325,286,301,208,17,3,0,1544,186,79,74,40,63,72,13,3,0,527,328,345,399,321,365,280,26,9,0,2071,1560,2324,4566,4686,5218,4107,1137,142,22,23765,1480,502,928,882,987,1969,4538,2834,979,15101,137,150,343,339,399,424,359,259,109,2522,3175,2974,5837,5910,6597,6503,6041,3235,1113,41390,130,741,1665,1692,2286,1520,191,10,3,8235,1119,970,1666,2386,2481,1986,496,46,3,11152,51,83,311,179,153,174,54,0,0,1006,35,34,65,45,59,51,20,15,0,321,1325,1829,3714,4305,4971,3728,764,71,7,20710,78,132,125,148,125,77,6,0,0,693,194,107,130,149,120,93,17,0,0,816,274,232,252,300,252,167,26,0,0,1502
SOSR414,89,269,799,781,814,658,101,12,0,3535,144,100,140,148,164,233,171,21,0,1133,6,16,28,32,35,39,15,3,0,172,8,3,22,14,23,11,3,7,3,86,246,394,984,975,1039,942,294,46,8,4929,13,41,59,39,48,27,3,0,0,224,23,19,11,0,16,25,6,3,0,104,36,58,66,41,63,52,5,6,0,331,285,445,1057,1016,1103,1002,303,45,8,5258,291,69,104,137,163,472,1339,907,327,3807,24,22,66,67,72,70,110,88,52,578,605,534,1224,1217,1336,1543,1750,1042,387,9641,37,144,330,354,466,307,48,0,0,1685,216,170,410,468,519,524,152,13,0,2479,9,22,67,34,45,55,12,3,0,251,3,8,4,4,7,13,5,5,3,52,273,345,809,861,1039,889,218,23,7,4470,12,15,20,26,23,12,0,0,0,102,34,10,29,23,26,26,3,0,0,145,45,30,46,51,44,38,3,0,0,247
SOSR415,391,1391,3608,3891,4225,3193,549,61,21,17323,770,517,640,600,783,992,562,124,10,4997,46,62,154,159,201,252,86,20,3,975,40,64,86,83,81,56,37,16,7,482,1251,2034,4493,4723,5290,4495,1235,219,43,23775,116,191,241,177,253,206,11,0,0,1199,138,61,48,29,45,83,20,3,0,428,254,244,292,213,296,289,34,3,0,1626,1502,2274,4782,4937,5582,4784,1268,227,43,25407,1539,333,469,587,1009,2147,4871,3104,1169,15236,134,157,361,378,465,490,487,340,187,3003,3182,2771,5611,5904,7059,7420,6628,3674,1403,43645,155,774,1677,1827,2428,1564,205,22,5,8658,1095,883,1814,2386,2686,2105,553,49,12,11574,39,93,324,202,176,216,73,14,3,1146,34,27,69,56,62,48,39,7,8,360,1325,1776,3882,4478,5354,3937,878,88,21,21740,68,106,119,130,136,97,5,0,0,663,145,72,136,138,124,83,16,5,0,714,212,182,250,268,260,172,16,6,0,1374
SOSR421,113,374,1054,1125,1367,1109,206,25,7,5380,205,147,195,196,281,353,205,37,6,1617,11,23,32,38,64,93,39,5,0,301,19,15,25,21,41,18,7,15,0,159,345,556,1309,1379,1744,1573,456,78,9,7455,24,52,69,54,86,85,0,0,0,374,35,11,8,11,18,31,3,0,0,127,58,66,78,69,103,118,6,0,0,495,404,619,1392,1449,1851,1689,466,78,9,7956,461,80,123,146,266,732,1568,903,314,4597,52,49,97,102,128,163,159,98,59,911,911,745,1618,1702,2247,2586,2192,1079,383,13459,50,193,458,471,705,527,91,8,0,2517,292,259,542,794,890,722,167,30,4,3700,16,25,87,47,63,80,26,5,0,352,12,5,20,13,21,22,11,5,0,124,364,488,1108,1335,1682,1357,294,48,6,6688,20,21,25,34,33,14,4,0,0,150,44,15,21,27,37,26,3,0,0,172,63,37,45,57,72,44,6,0,0,326
SOSR422,69,231,562,581,782,661,134,11,0,3038,110,76,110,120,159,212,136,26,7,961,3,11,22,34,44,60,19,9,0,193,5,3,11,21,8,17,4,11,0,92,189,323,706,758,993,951,296,54,7,4285,27,45,44,47,70,59,0,0,0,295,22,9,13,15,14,24,4,0,0,89,47,59,54,57,82,83,4,0,0,383,237,381,766,810,1076,1031,304,55,7,4668,289,101,165,217,281,558,1098,593,166,3472,42,28,75,82,130,118,132,56,23,678,565,508,1008,1118,1488,1712,1532,700,195,8818,30,104,234,267,441,327,34,3,3,1449,149,135,286,385,495,428,113,13,0,2001,5,7,65,31,33,42,17,0,0,199,3,3,13,4,11,19,3,7,0,57,190,252,595,685,978,818,167,28,5,3711,17,34,29,25,37,24,0,0,0,170,22,12,18,10,17,25,5,0,0,112,33,45,50,37,55,46,5,0,0,277
SOSR431,712,1816,4014,5691,7834,6441,1733,276,54,28575,949,619,653,783,1361,1735,1133,259,41,7536,57,91,147,202,320,447,159,34,12,1460,71,76,122,138,166,142,71,40,12,833,1792,2602,4938,6814,9679,8756,3096,608,113,38398,113,174,210,191,275,302,21,3,0,1284,128,61,30,48,76,139,32,0,0,514,242,234,245,240,351,438,48,3,0,1798,2033,2837,5179,7052,10031,9195,3147,615,113,40195,2300,460,712,894,1451,2904,5533,2371,566,17192,278,263,488,590,838,901,683,278,82,4391,4608,3554,6383,8533,12316,12995,9364,3263,754,61775,214,799,1644,2387,3914,2824,633,104,21,12532,1371,1024,1913,3352,4253,3591,1092,145,29,16759,69,74,300,266,306,383,119,20,3,1547,67,53,84,114,126,110,57,22,4,641,1728,1948,3946,6116,8595,6908,1901,286,49,31488,69,100,104,115,152,99,4,0,0,646,198,82,86,113,120,118,4,0,0,724,259,181,195,229,277,213,12,0,0,1363
SOSR479,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,4,26,93,51,49,35,8,0,0,266,11,20,47,21,20,21,7,0,0,139,0,4,11,5,6,4,3,0,0,27,0,7,15,6,3,5,0,0,0,27,13,52,160,87,76,62,14,0,0,465,13,35,48,36,32,17,3,0,0,179,6,4,3,4,0,0,0,0,0,26,17,39,48,39,35,21,5,0,0,199,30,88,205,127,113,81,22,0,0,669,54,44,79,73,74,96,126,32,8,587,11,34,66,76,99,56,26,7,0,380,95,161,349,280,282,239,168,43,13,1627,3,14,48,13,25,17,0,0,0,131,3,15,24,18,26,14,3,0,0,107,0,3,9,3,3,0,4,0,0,21,0,0,3,0,0,0,0,0,0,3,9,36,83,37,54,37,3,0,0,263,5,11,17,12,9,10,0,0,0,61,15,8,9,9,3,3,0,0,0,38,15,18,24,17,15,17,0,0,0,106
SOSR501,5125,23711,92638,89410,80999,49662,8624,534,70,350774,14543,17504,18512,11971,11712,12872,8241,1364,120,96837,633,1207,3354,2887,2876,2752,848,114,6,14685,507,1125,2311,1771,1454,877,278,69,16,8415,20813,43547,116825,106040,97042,66169,17985,2087,215,470715,2168,4382,7273,5989,5946,4518,402,33,3,30713,4737,2808,1747,847,727,1069,517,62,3,12512,6904,7188,9018,6835,6672,5588,918,92,5,43225,27715,50729,125841,112874,103715,71758,18906,2178,219,513941,28594,11208,11794,9342,10850,20613,47076,30344,10326,180141,2607,3973,11211,8578,7729,6160,4589,3209,1796,49864,58919,65921,148852,130795,122291,98533,70572,35729,12346,743945,2584,18307,57197,40615,46252,27195,3360,156,28,195679,19684,21618,35898,44031,40085,28943,8000,704,64,199027,744,1310,6004,3638,2591,2555,709,62,6,17624,522,874,1487,1116,1132,696,237,71,28,6155,23536,42104,100582,89393,90057,59390,12305,994,119,418485,1349,2363,4210,3317,3169,1562,80,19,9,16072,4783,2747,3944,3811,2536,1647,239,20,5,19736,6135,5105,8154,7131,5706,3212,316,41,10,35804
SOSR511,323,1038,2849,3108,3113,2016,279,13,3,12732,593,289,437,381,329,450,278,44,3,2794,27,41,129,148,201,160,36,10,0,752,32,32,70,68,61,23,13,3,0,306,973,1397,3488,3703,3701,2650,605,61,6,16584,108,172,264,210,209,164,14,0,0,1149,155,57,38,34,23,51,20,0,0,383,270,225,300,247,237,216,34,0,0,1529,1238,1622,3788,3945,3935,2866,645,66,8,18112,1020,230,384,399,465,922,2117,1221,416,7172,137,127,314,329,365,298,242,146,49,2012,2397,1981,4484,4671,4762,4089,3003,1428,474,27292,165,659,1374,1232,1623,934,79,0,0,6073,859,522,1351,1874,1805,1267,289,22,5,7983,39,43,185,113,109,139,26,0,0,649,26,20,51,36,43,33,6,3,0,224,1086,1247,2957,3256,3584,2374,401,23,5,14932,54,88,130,125,118,61,3,0,0,579,148,62,163,140,99,84,11,0,0,706,197,147,298,260,215,150,11,0,0,1280
SOSR512,621,1786,4608,4828,4834,3266,560,38,6,20545,901,433,683,619,776,899,501,88,7,4903,55,84,209,206,253,253,82,12,0,1142,48,53,126,112,120,64,39,16,3,576,1620,2344,5621,5763,5982,4483,1179,151,22,27166,192,252,340,291,278,257,18,0,0,1643,166,66,66,69,42,77,24,3,0,511,355,319,412,361,327,336,48,3,0,2154,1976,2666,6031,6123,6310,4818,1222,156,22,29322,1621,471,718,658,842,1435,3448,2198,801,12200,261,246,688,605,666,635,412,296,167,3984,3860,3385,7443,7391,7820,6884,5088,2648,987,45506,360,1107,2339,2410,2954,1677,193,16,0,11059,1369,742,1902,2683,2597,2007,487,44,5,11823,48,86,330,201,211,217,61,4,0,1162,35,42,71,76,94,58,20,13,0,413,1810,1972,4643,5370,5856,3962,757,80,3,24450,100,131,171,157,145,103,3,0,0,812,171,76,160,163,119,83,23,3,0,791,269,212,331,323,259,183,20,5,0,1604
SOSR513,238,784,3288,3074,2467,1518,248,22,5,11651,321,170,356,277,284,259,107,24,9,1802,21,40,191,137,147,133,28,6,0,692,22,38,76,66,65,44,14,0,0,327,605,1026,3914,3548,2963,1947,396,55,18,14473,51,103,151,120,135,81,12,0,0,655,51,17,11,18,16,17,7,0,0,129,101,117,162,136,146,100,19,0,0,786,707,1144,4077,3690,3111,2049,413,58,18,15261,687,160,290,284,299,436,677,334,92,3258,145,196,708,606,539,376,190,62,22,2842,1538,1502,5081,4585,3951,2858,1278,449,126,21358,142,644,1951,1483,1425,811,88,9,0,6559,392,292,1044,1159,793,471,111,17,0,4282,18,50,252,133,101,91,28,3,0,674,18,27,44,46,43,20,3,0,0,207,579,1010,3297,2821,2369,1395,233,31,0,11727,34,49,100,90,75,34,6,0,0,389,44,30,88,62,28,23,5,0,0,281,78,72,184,150,109,65,14,0,0,668
SOSR514,129,419,1351,1579,1346,792,144,8,4,5775,209,128,270,259,221,258,135,16,0,1491,11,22,78,89,61,77,14,3,0,361,16,16,48,37,25,17,6,0,0,161,365,590,1749,1961,1659,1147,299,25,3,7792,44,76,119,125,126,75,3,0,0,572,45,17,15,12,23,20,10,3,0,154,92,98,135,138,144,96,13,3,0,724,453,683,1883,2100,1798,1242,319,24,3,8514,453,105,157,186,212,517,1090,582,166,3467,54,70,217,218,198,177,141,108,55,1238,964,862,2261,2506,2206,1935,1545,710,227,13218,64,260,702,633,691,416,43,0,0,2816,299,237,753,950,752,579,154,10,3,3735,28,27,122,79,60,53,15,0,0,381,14,9,28,29,24,13,6,0,0,123,394,533,1603,1691,1522,1067,214,15,9,7059,28,43,47,58,64,25,0,0,0,274,55,22,65,56,40,38,10,0,0,279,86,66,109,107,102,67,7,0,0,554
SOSR515,401,1120,3312,3468,3480,2409,459,47,5,14695,432,274,468,439,534,622,358,79,4,3214,35,73,278,233,231,243,85,11,3,1191,28,60,89,75,82,65,29,4,0,428,891,1525,4146,4209,4329,3339,930,144,18,19521,126,166,235,225,225,176,10,0,0,1161,63,32,37,39,22,54,21,0,0,265,183,202,268,266,250,231,33,0,0,1430,1073,1720,4415,4471,4584,3567,960,148,18,20955,1226,361,396,480,645,1232,2620,1598,467,9013,214,266,745,655,673,608,427,254,94,3927,2512,2347,5550,5605,5899,5413,4003,1990,578,33899,237,782,1748,1678,1994,1301,156,18,4,7923,631,451,1264,1784,1579,1276,369,44,6,7407,33,61,275,178,175,188,54,3,0,973,24,32,67,59,67,40,13,8,0,310,924,1332,3363,3700,3818,2807,587,68,11,16609,70,95,126,142,132,62,0,0,0,632,65,29,116,128,79,69,6,4,0,494,140,122,244,272,213,134,6,4,0,1123
SOSR521,190,477,1386,1556,1807,1362,307,33,0,7120,184,119,195,226,286,342,203,42,3,1603,15,31,81,107,146,135,36,12,0,561,19,35,45,41,46,35,17,11,0,254,411,656,1708,1924,2287,1883,564,90,8,9530,73,125,188,146,156,139,7,0,0,838,31,33,20,16,25,42,12,0,0,188,106,156,208,166,176,185,20,0,0,1024,512,818,1922,2095,2462,2063,588,94,8,10556,637,184,314,307,406,809,1622,865,244,5382,134,111,274,280,322,335,221,141,69,1881,1281,1104,2512,2673,3188,3202,2430,1101,317,17817,93,299,705,748,994,666,100,7,0,3615,231,215,608,758,907,724,216,22,0,3687,14,18,113,68,104,89,25,3,0,437,24,14,20,33,43,36,18,5,0,192,356,553,1442,1607,2051,1519,364,43,0,7931,45,42,70,71,83,51,0,0,0,361,59,31,62,59,60,46,3,0,0,308,100,70,132,128,138,94,3,0,0,668
SOSR522,61,182,642,609,722,610,159,18,3,3007,62,53,128,104,134,165,118,21,4,787,0,11,41,29,39,53,17,8,0,195,8,13,31,21,27,13,6,4,0,123,135,257,837,756,921,851,297,45,6,4109,34,50,95,90,60,64,5,0,0,391,14,12,19,6,16,19,11,0,0,95,49,64,109,94,74,81,14,0,0,491,186,320,953,845,998,924,313,45,6,4597,331,133,226,194,240,386,711,391,101,2712,85,68,197,202,182,189,153,78,18,1173,605,527,1374,1240,1419,1504,1180,509,128,8480,40,140,348,278,435,326,46,7,0,1622,76,106,269,299,338,308,93,12,0,1500,3,18,46,21,38,37,15,4,0,178,14,7,9,19,17,10,4,4,0,93,138,271,672,621,828,685,155,24,0,3390,22,33,45,50,39,23,0,0,0,211,17,12,35,29,20,24,3,0,0,137,36,43,79,77,63,51,3,0,0,350
SOSR531,871,2254,7141,8034,9923,6849,1919,320,44,37355,812,541,690,934,1273,1688,1184,315,34,7483,67,103,395,430,598,599,183,31,4,2418,74,75,134,190,229,186,73,44,8,1008,1822,2980,8359,9590,12023,9319,3365,714,101,48266,153,239,321,308,411,356,43,0,0,1829,167,56,57,50,67,120,35,3,0,563,324,294,375,360,478,478,79,7,0,2390,2147,3270,8737,9944,12499,9796,3439,719,102,50654,2397,818,1813,1581,1510,2719,4993,2151,479,18457,417,566,1958,1803,1840,1442,842,359,76,9309,4957,4662,12506,13329,15848,13957,9278,3230,659,78428,358,1133,2426,2741,4406,3038,652,87,3,14837,1162,802,1914,3408,3960,3293,1072,160,25,15787,52,62,319,253,357,426,124,22,3,1616,43,47,82,114,142,119,60,26,6,646,1615,2049,4737,6517,8862,6874,1903,292,36,32888,79,118,153,186,207,117,6,0,0,863,193,69,134,149,163,124,15,0,0,842,274,189,279,338,363,241,15,0,0,1707
SOSR579,0,13,88,88,67,33,4,0,0,286,0,7,5,6,5,0,0,0,0,20,0,0,0,3,3,3,0,0,0,12,0,0,0,3,0,0,0,0,0,4,0,11,91,97,73,33,4,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,91,101,73,33,4,0,0,322,0,0,0,5,4,3,3,0,0,11,0,3,26,21,21,8,0,0,0,73,0,17,124,120,94,43,8,3,3,408,0,3,0,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
