SOSR_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR413,38,359,4088,19668,8595,1165,187,733,34831,13,438,1371,1616,103,24,24,193,3784,0,8,50,140,49,6,0,3,260,10,450,1422,1750,159,30,24,195,4044,6,166,557,125,7,0,0,33,906,0,3,17,12,0,0,0,0,28,0,0,5,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,170,584,141,7,0,0,36,948,32,89,45,28,15,3,0,13,220,3,10,22,67,25,3,9,9,150,90,1083,6158,21654,8802,1199,223,983,40190
SOSR414,14,104,1324,4974,2086,202,25,158,8887,0,86,260,146,0,3,0,23,520,0,0,13,40,0,0,0,0,52,3,86,271,183,8,3,0,23,576,0,61,88,20,0,0,0,14,188,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,91,20,0,0,0,14,194,10,35,31,10,0,0,0,4,97,0,0,10,8,7,0,0,0,29,28,294,1720,5200,2103,202,31,200,9781
SOSR415,55,519,4836,21303,9675,1150,197,837,38575,7,273,1160,731,33,13,3,112,2335,0,3,13,34,4,3,4,0,66,7,275,1170,768,42,12,7,109,2397,8,262,667,111,9,3,4,77,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,262,669,107,9,3,4,77,1141,46,158,55,67,21,0,6,19,370,0,11,76,95,32,3,9,33,263,114,1231,6816,22334,9778,1175,222,1078,42751
SOSR421,19,242,1724,6340,2896,416,82,253,11966,3,100,172,55,4,3,3,16,354,0,0,7,9,0,0,0,0,15,3,106,181,61,4,3,3,16,370,0,60,54,18,4,0,0,10,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,56,18,4,0,0,10,146,17,86,50,56,12,0,4,22,250,5,15,20,40,14,3,3,10,110,42,505,2036,6514,2932,422,91,311,12851
SOSR422,20,204,1306,4271,1465,200,44,162,7677,0,19,51,10,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,19,51,10,0,0,0,0,87,0,23,19,6,5,0,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,4,5,0,3,0,59,21,31,25,28,19,4,0,12,143,3,6,11,33,6,3,3,7,68,43,284,1413,4358,1495,207,49,183,8031
SOSR431,160,1220,5987,23065,14413,2572,610,839,48863,4,32,68,33,14,4,4,7,163,0,0,5,0,0,0,0,0,5,4,32,73,41,15,4,4,7,174,4,6,12,7,3,4,0,3,37,0,12,12,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,22,23,10,4,4,0,3,64,115,279,151,107,52,11,0,69,784,10,34,58,189,103,31,11,40,478,294,1582,6295,23405,14582,2624,624,954,50362
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,416,3304,26391,183618,248914,33442,5568,8405,510058,165,5253,24869,42687,5229,406,144,2412,81162,73,1714,6630,15155,3969,471,99,578,28687,239,6964,31495,57841,9200,872,242,2987,109846,128,3821,9309,2864,243,27,24,672,17094,124,3223,6308,1372,60,10,9,303,11413,188,4635,8698,2771,130,17,11,388,16833,0,17,7,4,3,3,0,10,49,442,11698,24329,7010,438,53,40,1380,45387,161,651,602,238,172,23,20,136,1986,25,119,256,454,325,40,19,257,1495,1278,22736,83067,249171,259046,34427,5890,13164,668779
SOSR511,12,76,945,7429,11472,1023,157,353,21460,10,250,809,1101,88,3,5,82,2347,0,16,75,249,44,0,0,6,391,12,262,882,1350,129,3,6,86,2734,10,202,361,130,5,0,0,42,744,0,3,54,25,0,0,0,3,82,0,0,20,17,0,0,0,0,37,0,0,0,0,0,0,0,0,0,10,202,431,173,5,0,0,46,866,22,118,83,21,0,0,0,14,256,0,3,6,20,10,0,0,11,58,49,662,2353,9000,11617,1031,166,500,25377
SOSR512,41,298,2589,15238,14309,1584,277,683,35022,25,643,1761,1497,152,8,8,195,4288,3,53,164,257,154,19,3,13,669,28,703,1923,1751,300,35,11,210,4957,7,179,184,89,6,0,0,30,494,0,3,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,7,184,195,90,10,0,0,33,518,49,225,332,109,35,12,3,43,814,7,20,36,50,25,5,0,28,176,129,1429,5088,17249,14684,1628,296,992,41485
SOSR513,33,320,1017,6016,5506,536,86,321,13831,11,209,523,341,55,3,0,58,1199,0,29,140,153,34,5,0,6,376,9,236,661,502,87,11,0,67,1578,16,227,413,191,32,0,3,44,921,0,19,24,12,0,0,0,0,56,0,20,55,22,0,0,0,3,97,0,3,3,0,0,0,0,0,4,19,267,494,217,32,0,3,51,1082,141,217,51,22,12,3,3,42,498,11,43,35,42,15,3,4,22,186,216,1090,2259,6802,5654,552,103,499,17170
SOSR514,11,107,997,4773,4857,462,83,216,11506,0,52,155,145,19,0,0,21,390,0,15,9,53,22,3,0,0,96,3,71,162,193,33,4,0,23,494,0,29,59,11,3,0,4,8,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,59,15,7,0,4,8,111,13,28,21,4,5,0,0,3,77,0,6,11,19,9,5,3,6,60,23,239,1244,5014,4911,472,85,253,12246
SOSR515,39,360,2735,12949,8723,901,153,612,26469,5,357,904,436,58,4,0,116,1878,0,3,50,26,6,3,0,0,88,5,365,945,456,64,7,0,122,1967,0,125,371,134,9,0,9,31,684,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,130,378,136,9,0,9,32,695,138,299,146,62,20,3,5,71,745,3,21,27,47,35,0,5,44,179,190,1167,4240,13657,8845,916,171,872,30056
SOSR521,38,280,1791,6686,4367,620,159,382,14331,0,105,280,150,22,3,0,27,585,0,0,23,3,0,0,0,0,30,0,105,298,152,27,3,4,29,620,0,83,85,40,8,0,0,15,228,0,10,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,90,88,40,8,3,0,14,248,56,127,55,26,20,3,11,32,326,3,12,27,50,26,4,14,19,151,103,619,2258,6956,4443,640,183,479,15673
SOSR522,20,167,971,3191,1683,213,51,195,6482,3,23,75,35,3,0,0,7,145,0,0,3,0,0,0,0,0,3,3,23,73,35,3,0,0,7,151,0,14,32,3,0,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,3,0,0,0,4,52,25,59,33,26,15,8,4,22,182,0,6,13,12,11,3,7,18,75,45,265,1121,3267,1715,219,62,247,6944
SOSR531,178,1209,4963,16163,18211,3898,1047,981,46657,0,26,94,37,18,3,4,11,198,0,0,0,5,13,0,0,0,19,0,31,95,42,31,7,4,10,216,4,25,41,14,9,0,0,15,105,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,12,3,27,47,17,9,0,0,15,121,210,504,234,168,108,29,22,151,1441,13,65,71,165,134,32,30,96,598,410,1834,5413,16555,18494,3970,1106,1260,49039
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,67,700,9078,31473,11470,2482,541,1068,56890,25,766,1492,336,54,15,3,128,2814,10,211,1138,486,95,24,6,46,2021,38,976,2628,815,153,45,11,174,4831,76,1627,2938,648,109,20,13,179,5603,58,234,483,112,10,5,0,22,927,24,172,343,66,0,4,0,20,623,0,28,15,7,8,3,0,0,62,163,2060,3779,838,132,23,12,221,7225,19,61,60,59,15,0,0,13,240,5,33,49,53,15,5,3,26,178,284,3821,15590,33238,11781,2562,577,1509,69360
SOSR611,30,274,3715,13605,4721,854,145,466,23803,7,557,1124,207,24,3,0,94,2028,0,39,277,278,100,21,12,22,747,9,594,1402,482,123,27,14,112,2769,18,612,1399,224,38,11,7,92,2395,0,26,75,9,0,0,0,0,109,19,77,9,3,0,0,0,5,124,0,38,24,5,5,0,0,4,79,42,751,1511,244,38,15,7,103,2704,3,17,35,23,13,3,0,3,91,4,9,36,29,9,0,0,15,97,89,1644,6695,14388,4903,896,165,694,29465
SOSR612,3,96,1142,5024,1269,235,55,178,8010,3,194,556,93,3,0,0,42,893,0,21,84,13,0,0,3,12,129,3,215,637,103,4,0,3,54,1026,0,62,108,7,3,0,0,6,176,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,61,112,7,3,0,0,6,187,3,28,13,8,0,0,0,14,70,0,4,7,9,4,0,0,0,15,13,405,1908,5154,1278,234,57,252,9308
SOSR613,3,142,1670,7024,1812,294,50,267,11259,3,261,632,73,10,0,0,68,1050,3,11,75,16,0,0,0,8,113,12,276,710,81,14,3,0,70,1166,3,52,73,5,0,0,0,9,145,4,25,9,0,0,0,0,0,38,0,12,39,7,0,0,0,0,63,0,0,0,0,0,0,0,0,3,10,91,111,17,3,0,0,10,245,4,58,21,17,3,0,0,3,106,0,4,7,8,3,0,0,10,34,23,566,2522,7150,1832,293,55,361,12810
SOSR614,6,51,732,2490,536,78,22,91,4009,3,130,150,22,0,0,0,18,315,0,10,23,0,0,0,0,0,39,3,141,175,22,0,3,0,18,353,3,25,36,7,6,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,36,7,6,0,0,0,75,3,0,9,7,3,0,0,0,27,0,0,0,0,3,0,0,0,8,16,222,954,2534,550,83,23,110,4479
SOSR615,33,439,4135,12741,3731,501,136,481,22194,5,247,381,60,3,0,3,40,740,0,6,43,52,22,9,0,3,129,5,250,419,106,25,9,4,44,868,3,100,377,70,8,0,0,29,578,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,8,3,100,388,70,8,0,0,29,597,15,79,39,39,8,0,3,10,208,0,8,16,24,9,0,4,7,68,64,874,5001,12984,3785,519,145,573,23936
SOSR621,22,189,1300,3924,1272,218,37,177,7148,0,36,76,18,0,0,0,10,148,0,0,0,3,0,0,0,0,3,0,36,72,18,3,0,0,10,152,4,43,39,12,0,0,0,7,107,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,37,12,0,0,0,7,112,8,27,27,16,3,0,3,7,94,0,3,15,15,3,0,3,0,38,32,308,1452,3994,1284,220,43,207,7537
SOSR622,14,138,862,2449,796,124,28,95,4513,0,14,37,33,7,0,0,0,98,0,0,0,0,0,0,0,0,0,0,14,37,33,7,0,0,0,98,0,21,15,0,0,0,0,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,20,18,0,0,0,0,8,49,3,7,15,5,7,0,0,4,46,0,3,7,19,4,0,0,3,40,20,187,947,2510,810,127,32,112,4748
SOSR631,186,1194,5288,17232,8431,1721,450,678,35178,0,21,20,54,20,3,0,0,118,0,0,3,4,0,0,0,0,8,0,21,23,54,20,3,0,0,123,3,19,19,15,4,0,3,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,19,15,4,3,3,3,63,38,116,67,53,21,3,0,18,309,6,14,56,90,47,14,10,24,253,238,1363,5446,17436,8523,1745,461,727,35932
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,52,209,745,11458,7348,1337,306,548,22004,11,327,1415,706,51,6,3,95,2621,11,91,1054,707,92,3,3,51,2018,19,413,2472,1419,147,10,6,151,4633,25,514,2081,914,66,4,3,182,3797,43,261,1074,316,4,0,3,54,1755,32,554,2180,1516,40,0,8,121,4450,0,6,8,0,0,0,0,0,11,100,1336,5348,2748,117,3,16,352,10017,147,243,81,80,23,3,4,79,660,13,32,46,47,12,6,0,34,188,331,2232,8689,15747,7648,1365,332,1163,37506
SOSR712,9,67,276,2741,1296,210,36,155,4791,15,243,755,368,32,5,3,58,1484,0,50,425,140,9,3,0,11,645,15,299,1189,508,44,5,4,69,2124,26,102,112,31,4,0,0,10,281,3,3,7,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,113,118,31,4,0,0,13,307,45,109,58,115,81,13,4,24,441,7,21,13,5,0,0,0,18,60,107,603,1646,3402,1422,231,48,278,7725
SOSR714,3,18,75,879,259,37,5,42,1320,0,40,81,18,11,0,0,12,163,0,0,5,7,0,0,0,7,22,3,41,87,27,11,0,0,19,182,0,28,63,8,0,0,0,13,105,0,6,6,0,0,0,0,0,12,0,30,27,3,0,0,0,4,61,0,0,0,0,0,0,0,0,0,0,70,89,9,0,0,0,12,185,14,36,5,3,3,0,0,4,68,0,12,12,8,6,0,0,8,38,21,172,262,922,276,40,3,85,1785
SOSR715,5,79,382,1667,456,45,39,115,2793,0,51,284,36,6,3,0,25,407,0,0,3,3,0,0,0,0,7,0,53,288,39,6,3,0,25,415,0,66,68,26,5,0,3,7,186,4,16,53,0,0,0,0,8,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,81,131,31,4,0,3,19,273,7,29,11,6,0,0,0,11,65,0,4,8,7,4,0,0,0,26,17,245,821,1754,467,43,45,174,3577
SOSR721,5,75,322,1280,354,45,10,73,2178,0,94,179,16,0,3,0,10,308,0,0,10,0,0,0,0,0,11,0,94,184,14,0,3,0,10,311,16,271,125,23,19,0,3,25,484,0,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,269,139,23,19,0,3,30,495,24,58,17,15,3,0,0,22,130,0,0,8,5,0,0,0,9,24,47,508,670,1341,378,46,17,139,3141
SOSR722,16,123,470,1228,278,48,10,83,2250,0,26,59,13,0,0,0,5,109,0,0,0,0,0,0,0,0,0,0,26,59,16,0,0,0,5,107,0,17,43,3,0,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,16,45,3,0,0,0,6,73,37,51,11,10,4,0,0,31,134,0,3,4,15,4,0,0,10,31,53,217,588,1264,283,48,13,129,2597
SOSR731,155,621,1461,3013,1683,411,158,271,7767,0,12,25,21,0,0,0,7,67,0,0,0,0,0,0,0,0,0,0,18,25,21,0,0,0,7,66,3,9,5,3,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,6,3,0,4,0,0,23,128,225,105,68,27,3,9,110,671,9,24,37,64,23,6,7,14,193,302,889,1637,3163,1731,427,172,401,8721
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,62,621,3259,40973,39535,7918,1394,1456,95222,24,856,4582,7288,671,47,13,381,13861,42,771,2857,5972,1400,124,27,219,11409,64,1622,7441,13255,2066,174,40,599,25270,39,1365,2256,654,67,5,7,202,4597,61,2307,3994,740,54,0,0,153,7314,47,4039,4172,828,44,3,0,162,9303,3,102,52,26,3,0,0,8,191,148,7815,10474,2254,168,11,9,524,21404,17,54,36,26,24,5,0,22,184,5,75,56,68,34,3,0,25,271,301,10186,21265,56570,41833,8116,1455,2627,142353
SOSR822,0,0,8,24,38,7,7,0,87,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,24,38,7,7,0,99
SOSR831,0,5,24,76,79,14,5,3,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,21,75,83,20,5,3,214
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,9,38,118,23,0,0,7,194,0,3,26,24,0,0,3,0,50,0,0,15,8,0,0,0,3,29,0,3,38,34,0,0,3,3,85,3,10,19,3,0,0,0,3,42,0,0,16,29,4,0,0,3,59,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,13,32,45,5,0,0,6,108,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,10,3,24,113,201,27,0,3,12,399
SOSR921,0,17,90,136,61,4,0,9,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,0,30,90,133,62,4,3,14,333
SOSR922,0,0,8,75,55,16,3,3,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,4,3,3,8,79,55,16,3,7,172
SOSR931,0,21,101,187,93,20,7,17,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,101,194,93,20,7,17,454
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
