SOSR_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,113334,15989,5081,449,209,135063,135098,18144,5217,145,376,158975,32213,17334,13623,114,186,63469,9436,11809,3898,14,55,25213,20924,7681,5654,121,157,34534,1678,2357,1158,9,12,5213,2233,739,669,139,32,3814,1070,476,256,12,11,1828,67558,40396,25253,408,447,134070,2279,3596,1229,9,53,7173,6535,2576,1231,46,167,10552,324804,80704,38014,1057,1254,445836
SOSR412,6904,799,125,49,10,7886,8976,1220,85,19,26,10325,2569,1228,609,3,20,4428,572,1936,342,0,4,2860,1060,389,103,4,15,1561,85,122,11,0,0,226,268,87,42,9,5,415,72,61,14,0,0,153,4627,3827,1118,21,46,9639,234,92,32,0,9,366,450,225,71,5,11,770,21196,6166,1439,90,100,28988
SOSR413,12452,594,85,109,35,13272,12649,381,37,22,53,13139,4404,964,320,9,16,5720,1361,1062,270,0,8,2697,2084,318,96,11,22,2545,172,144,33,0,0,346,327,78,22,42,5,471,153,50,18,4,0,216,8498,2613,760,68,54,11996,410,253,29,5,0,696,826,197,39,16,9,1091,34831,4044,948,220,150,40190
SOSR414,3511,121,27,74,3,3736,2930,39,10,3,11,3004,1084,131,68,7,5,1303,227,41,11,0,0,280,593,47,35,3,3,678,55,61,14,0,0,130,68,5,0,4,0,86,46,6,9,0,0,62,2074,298,139,17,10,2539,160,85,0,0,0,248,209,30,14,5,3,259,8887,576,194,97,29,9781
SOSR415,14085,484,166,223,91,15056,14111,196,30,48,58,14444,4211,508,364,10,22,5112,1110,356,143,0,3,1613,2673,194,105,18,24,3018,191,154,108,0,3,451,771,140,56,35,12,1014,211,31,17,9,7,271,9171,1370,788,78,65,11476,261,225,78,4,18,585,948,116,79,15,33,1192,38575,2397,1141,370,263,42751
SOSR421,4775,89,15,146,42,5057,4635,41,8,31,25,4742,752,36,38,9,7,834,181,78,32,0,0,289,983,23,15,21,13,1058,53,41,20,0,0,116,150,7,0,20,5,191,80,14,5,4,4,100,2187,201,112,52,33,2585,76,25,8,6,0,116,296,19,8,15,6,347,11966,370,146,250,110,12851
SOSR422,3142,9,3,66,24,3242,2652,3,5,30,16,2712,331,15,3,0,5,353,346,23,21,0,0,383,627,4,10,17,8,666,55,18,4,0,0,76,208,9,8,10,7,241,85,6,0,3,0,95,1647,71,42,38,21,1814,51,0,0,8,0,59,187,0,0,12,8,208,7677,87,59,143,68,8031
SOSR431,21552,31,9,449,175,22222,18066,22,14,110,117,18326,1563,20,18,8,12,1613,235,25,3,0,0,263,3651,19,10,34,44,3753,190,13,0,0,0,207,1316,17,4,97,55,1492,691,10,4,12,18,731,7641,106,36,148,135,8063,578,11,3,17,6,614,1027,6,3,66,39,1144,48863,174,64,784,478,50362
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
