SOSR_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,12,3,3,3,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,14,7,11,6,7,8,3,74
SOSR199,14,27,7,18,14,4,10,7,3,100,12,28,19,48,25,14,12,30,6,198,45,38,246,70,38,31,82,93,6,657,4,0,3,8,3,7,7,14,0,46,9,6,5,16,3,13,6,13,0,67,3,8,0,0,3,3,3,5,3,29,3,14,15,16,11,8,9,21,25,117,200,562,348,285,168,119,144,278,58,2162
SOSR201,15571,22061,11183,12469,15375,7543,3657,4453,1162,93480,19770,21664,16909,27244,23623,11932,5218,7017,1648,135012,31128,15146,116411,38065,31280,19904,20969,25545,4324,302771,1506,1082,1489,2828,3699,2446,1215,2102,176,16541,3812,2986,2950,6674,7065,3930,2336,2863,486,33116,2215,4280,1745,1683,2395,1409,995,1213,416,16352,3199,4914,4114,4245,4250,3203,2691,3869,3899,34387,200727,468146,184317,140724,171701,89068,48711,66631,21208,1391235
SOSR203,515,887,382,540,475,210,88,135,31,3261,607,799,595,1134,813,388,146,242,50,4783,1310,642,5761,2438,1495,1108,1025,1525,210,15512,54,54,79,159,134,157,55,148,8,848,129,103,114,277,220,147,110,136,19,1248,41,106,49,54,56,31,23,40,7,409,95,163,179,194,136,125,136,240,151,1419,5276,14077,7823,6412,5040,2962,1840,2930,654,46999
SOSR211,714,1144,436,849,758,273,153,201,50,4580,1030,1277,832,2236,1382,575,232,388,106,8065,2567,1251,10766,4324,3138,2090,2271,2874,376,29652,118,76,148,276,354,321,133,298,20,1746,198,127,196,538,392,283,235,297,34,2298,61,151,87,83,100,61,63,59,17,683,207,248,292,336,254,281,255,376,230,2473,8202,20557,13628,10773,8663,4754,3643,5092,1082,76385
SOSR212,417,829,286,497,417,170,67,133,32,2848,741,894,478,1423,925,375,114,237,58,5239,1839,748,6873,2477,1930,1302,1343,1824,231,18576,79,43,67,178,207,188,67,173,10,1025,127,75,122,359,255,173,111,165,15,1400,50,99,43,56,65,33,22,63,16,445,142,192,197,244,169,187,166,302,173,1767,5273,12343,8501,6355,5083,2831,2020,3238,636,46284
SOSR213,691,1254,462,882,623,264,113,203,47,4533,1009,1289,743,1955,1247,501,174,326,97,7337,2754,1160,10605,3960,2618,1876,2148,2868,389,28370,104,73,127,267,300,240,73,247,24,1449,196,124,189,604,357,266,158,275,30,2193,77,141,80,75,71,52,31,78,19,618,231,272,298,378,214,243,225,433,226,2513,7945,17857,13166,9849,7053,4084,3066,4838,1022,68882
SOSR214,313,612,211,418,297,134,50,93,22,2153,496,540,345,997,601,221,71,187,39,3498,1495,542,5310,1980,1202,911,1063,1601,214,14307,86,47,67,165,159,129,51,144,10,850,111,78,118,313,177,138,79,139,18,1175,36,66,30,35,47,35,23,57,16,347,153,149,203,242,149,160,138,302,123,1612,4103,7937,6647,5016,3375,1993,1553,2811,513,33951
SOSR215,643,988,343,645,539,238,88,187,46,3710,866,974,587,1630,976,375,136,329,63,5929,2586,839,9483,2954,2009,1419,2047,2592,351,24278,102,56,123,218,252,217,86,219,19,1288,223,128,153,462,299,227,127,253,23,1897,56,98,64,57,71,39,34,59,12,502,263,257,363,354,242,274,244,475,243,2707,7176,13023,11751,7767,5779,3348,2867,4531,913,57162
SOSR221,161,289,90,193,121,62,15,49,12,996,213,267,161,448,259,99,33,96,25,1600,804,264,2702,812,540,397,586,768,89,6969,36,16,41,58,84,46,25,58,9,366,47,36,43,113,95,71,44,65,3,529,18,26,21,11,19,7,10,24,8,142,77,83,106,99,72,86,72,137,66,799,1990,3507,3308,2127,1529,889,832,1314,242,15738
SOSR222,119,169,62,135,99,39,15,28,10,684,145,168,83,257,149,64,28,60,15,973,543,164,1649,537,332,222,380,521,48,4399,29,7,29,35,47,30,10,57,0,248,38,24,41,78,54,43,29,42,4,355,13,13,18,15,12,10,11,18,0,106,63,38,74,55,51,32,60,86,35,487,1360,2153,2064,1376,954,513,561,915,150,10047
