SOSR_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SOSR422,62,70,132,1055,1171,2225,0,0,0,130,112,249,0,6,6,1297,1239,2535,19,32,57,30,26,57,22,22,44,7,18,29,580,582,1166,0,0,0,47,31,75,71,95,167,150,134,289,37,30,65,16,16,28,1288,1548,2839,380,426,803,9,15,24,5157,5503,10660,19,8,24,14,9,30,0,0,0,43,42,83,13,7,19,24,50,71,80,95,175,4122,3314,7436,35,13,50,7,26,38,4171,3353,7523,1130,1026,2153,10627,10070,20698
SOSR431,605,695,1305,7652,7914,15571,0,0,0,933,902,1833,15,14,26,9791,9562,19346,180,220,403,780,671,1455,170,210,379,77,88,166,5356,5226,10585,3,3,8,240,186,430,609,650,1260,1013,923,1943,108,143,250,136,117,251,8062,8188,16247,2116,2212,4325,275,271,548,37522,37497,75023,57,45,98,143,111,254,21,25,50,66,63,130,146,126,272,137,239,374,352,429,781,27189,21658,48847,207,159,368,116,173,283,27514,21985,49503,8861,6697,15562,75073,67492,142568
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SOSR499,28,21,48,122,89,209,0,0,0,14,13,27,0,0,0,157,135,295,0,3,3,14,6,23,3,3,5,10,3,14,28,31,57,0,3,3,0,5,8,16,6,22,15,7,23,8,0,5,0,0,0,69,53,121,52,51,101,3,3,5,517,410,927,14,13,27,20,14,31,0,3,3,0,3,5,9,3,12,6,12,19,16,13,31,654,394,1047,5,3,14,9,6,14,674,407,1074,475,249,722,1734,1129,2863
SOSR501,20474,26541,47008,116862,138736,255604,18,11,27,14933,16758,31694,577,591,1169,197386,218661,416052,2108,2778,4884,10750,11419,22170,3321,4309,7632,2362,2720,5084,2466,2978,5442,1314,1302,2613,5618,6419,12034,9787,11421,21207,16275,18039,34318,1319,1797,3115,1867,2407,4270,16126,22083,38206,29446,34224,63669,1240,1406,2651,433788,498054,931843,19378,17177,36552,25143,22060,47206,2495,2643,5131,110,99,211,6293,5115,11410,3494,4572,8063,9896,9786,19680,319276,282124,601403,3355,2478,5832,1330,1952,3275,323957,286558,610511,92069,84566,176636,927190,947382,1874578
SOSR511,278,415,690,5694,6833,12524,0,0,0,684,696,1379,0,0,0,6852,7698,14551,85,136,220,116,130,241,224,301,526,217,227,441,105,142,249,4,7,11,168,167,333,276,348,630,555,622,1175,65,92,161,106,113,222,783,1103,1890,1134,1298,2426,61,76,139,17126,19982,37106,198,156,357,218,219,438,16,26,45,3,3,9,60,53,109,95,154,250,153,211,371,12950,11729,24686,130,96,224,51,63,117,13130,11889,25026,3816,3252,7065,34939,36151,71090
SOSR512,402,686,1085,8472,10084,18561,0,0,0,1176,1258,2431,54,49,99,11147,12232,23377,303,386,687,112,105,224,275,420,697,176,212,387,204,289,494,18,11,31,325,386,711,595,679,1276,1175,1225,2400,136,193,329,257,303,564,1569,2094,3662,2049,2351,4402,58,73,134,28088,32370,60457,336,297,632,491,426,918,22,15,37,11,12,24,83,74,159,155,251,406,250,337,589,20913,18327,39240,192,167,362,78,149,226,21177,18647,39823,6951,6048,13002,57714,58836,116554
SOSR513,295,463,759,3109,3093,6202,0,0,0,397,433,828,6,3,6,5761,5858,11619,66,68,134,84,81,167,139,161,299,93,102,195,120,127,245,10,3,10,112,127,246,245,279,526,355,349,705,35,50,84,109,121,229,587,699,1284,764,813,1582,47,48,92,12039,12425,24458,219,184,407,368,316,686,7,10,16,33,26,50,24,13,44,59,69,126,111,114,222,10318,8737,19058,78,61,139,34,46,85,10434,8845,19276,4463,3764,8230,27934,26123,54065
SOSR514,142,203,342,2775,3167,5946,0,0,0,211,259,468,71,70,144,3075,3303,6377,67,80,147,49,63,116,117,157,280,47,45,89,36,65,101,16,8,22,65,65,128,86,91,179,192,230,429,48,58,112,27,25,53,374,511,881,388,466,857,13,25,42,7666,8705,16372,54,41,94,53,48,103,6,10,15,3,0,5,26,16,45,42,66,110,74,88,163,7171,6610,13789,66,65,130,34,54,84,7274,6726,14004,2054,1885,3938,17317,17712,35029
SOSR515,329,516,843,6484,7224,13707,0,0,0,817,841,1653,8,3,7,7961,8507,16471,136,178,315,113,110,227,232,324,551,98,90,192,144,167,320,0,0,4,413,431,842,272,329,596,678,677,1356,89,123,213,161,191,357,1189,1586,2777,1175,1263,2438,58,63,118,20028,22117,42146,145,129,280,413,302,716,17,21,34,53,40,93,29,20,47,97,184,283,181,246,429,16265,14026,30298,134,93,226,48,88,131,16450,14206,30655,5837,5271,11111,43402,42809,86204
SOSR521,131,199,326,3888,4207,8097,0,0,0,354,381,738,146,134,283,3839,3821,7663,96,136,232,48,40,86,120,148,268,55,56,105,57,74,132,7,6,19,212,231,444,317,358,673,471,472,944,49,52,100,87,112,193,676,888,1565,878,958,1835,26,27,53,11305,12109,23414,35,38,69,40,41,84,10,3,13,28,22,51,8,3,12,59,101,163,95,128,222,7703,6661,14359,55,46,98,34,34,72,7788,6741,14530,2988,2648,5641,22394,21912,44304
SOSR522,57,55,116,1491,1610,3104,0,0,0,181,189,371,0,0,0,2048,2098,4148,76,91,164,16,8,24,56,58,111,14,19,39,66,95,164,5,3,5,278,322,609,70,95,159,176,150,323,8,18,24,216,259,473,307,343,652,385,420,809,11,10,24,5408,5797,11204,10,10,19,15,10,28,0,10,11,91,83,176,0,0,3,18,43,61,115,124,241,3227,2737,5963,24,14,39,14,17,28,3263,2771,6035,1790,1583,3372,10665,10364,21030
SOSR531,800,746,1543,15651,14750,30403,0,0,0,1289,1189,2475,37,36,70,15914,13362,29278,346,347,690,249,200,451,326,363,685,110,139,247,379,381,753,8,0,8,601,537,1140,447,461,913,1646,1382,3028,112,125,243,365,379,745,2840,2773,5616,2767,2734,5500,72,82,152,43155,39241,82400,228,72,300,276,146,423,53,49,108,270,224,493,42,28,69,213,312,527,528,557,1085,31027,22421,53446,271,169,441,131,168,305,31430,22759,54192,16456,8684,25137,92918,72257,165175
SOSR579,12,0,17,40,3,42,0,0,0,6,0,6,0,0,0,81,0,81,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,10,0,8,9,3,11,0,0,0,159,6,172,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,7,141,4,0,4,0,0,0,130,7,146,85,7,92,408,26,434
SOSR599,58,33,88,342,268,611,0,0,0,42,27,62,0,0,0,457,294,747,11,3,18,5,0,8,17,16,31,16,8,26,8,11,21,5,0,5,11,16,34,21,26,42,56,46,106,3,4,9,4,5,7,74,71,145,78,66,144,4,0,4,1155,870,2027,16,18,32,30,16,47,13,9,19,3,0,3,0,0,3,13,12,27,14,14,31,1142,754,1898,20,14,31,7,8,17,1169,784,1949,1087,678,1761,3532,2415,5950
SOSR603,744,1019,1764,15040,18857,33905,0,0,0,625,781,1404,121,116,240,14024,16787,30809,91,133,218,783,783,1566,168,239,405,258,262,521,202,297,497,65,65,134,289,358,650,772,887,1659,1226,1501,2726,185,215,397,127,168,296,1771,2774,4554,1417,1736,3154,108,161,268,37284,46122,83409,819,775,1597,777,728,1507,59,50,112,6,15,18,195,191,382,254,364,620,453,573,1026,36606,34083,70692,386,292,680,126,194,322,37115,34577,71691,8691,8214,16902,85960,92047,178009
SOSR611,376,409,785,6466,8203,14669,0,0,0,594,700,1289,79,100,180,5108,6011,11114,105,130,232,92,91,184,139,210,356,97,138,231,79,96,171,30,24,50,224,255,479,436,525,963,1007,1166,2175,120,191,314,55,52,107,1161,1700,2862,1041,1174,2219,49,64,116,16880,20826,37704,343,293,636,398,310,703,20,34,49,11,3,12,37,35,71,175,190,368,226,225,449,14085,13114,27196,132,116,249,52,65,125,14276,13292,27570,3663,3767,7430,36174,39157,75329
SOSR612,59,123,185,1857,2388,4248,0,0,0,328,353,684,97,84,178,1540,1870,3412,60,58,121,20,28,45,56,67,124,43,59,101,13,18,34,0,0,0,48,68,112,146,208,357,206,251,454,36,75,111,16,11,32,494,736,1231,302,378,675,6,11,21,5284,6665,11951,30,33,62,12,7,20,0,3,9,0,4,6,3,3,4,27,42,64,30,48,75,4257,4165,8422,41,37,73,20,31,52,4319,4231,8552,1091,1105,2196,10829,12217,23046
SOSR613,83,132,207,2556,3269,5828,0,0,0,404,488,891,96,104,205,2213,2630,4846,9,27,36,21,19,41,38,66,103,30,39,66,50,41,99,4,0,4,73,85,161,224,283,504,270,314,581,57,93,148,25,34,65,856,1101,1957,471,524,997,0,4,8,7406,9133,16537,40,41,82,35,31,64,5,0,4,6,0,6,4,4,11,31,57,89,42,63,106,5949,5527,11478,65,45,111,20,25,43,6035,5597,11630,1400,1386,2787,15036,16388,31416
SOSR614,24,30,60,1221,1441,2659,0,0,0,99,131,228,13,9,22,893,1022,1913,0,0,0,14,11,24,33,56,88,12,17,29,14,15,34,0,0,0,9,11,23,34,34,64,51,64,113,28,35,66,16,16,26,217,319,530,95,121,223,0,4,4,2754,3304,6057,3,5,7,6,4,13,0,0,3,0,0,0,0,0,0,6,29,34,6,29,34,1915,1824,3738,8,14,21,6,7,13,1928,1844,3776,517,537,1051,5247,5753,11004
SOSR615,105,194,297,6334,7516,13850,0,0,0,521,639,1163,150,172,323,4309,4807,9116,44,53,98,43,45,95,132,186,320,101,119,214,83,76,157,3,4,6,119,138,259,310,339,650,591,756,1343,83,121,205,67,74,145,1108,1612,2714,814,920,1734,30,43,73,14832,17625,32459,26,30,55,40,39,79,16,13,27,9,6,11,6,5,10,54,105,158,66,115,184,11220,10235,21456,95,83,175,39,48,86,11345,10369,21715,2832,2807,5641,29257,31191,60455
SOSR621,52,64,111,2143,2338,4481,0,0,0,92,98,193,7,0,9,1335,1536,2869,10,14,31,26,18,45,55,61,116,27,21,47,18,35,55,0,0,0,28,31,58,44,61,106,242,248,487,14,12,27,17,23,37,317,401,721,188,227,418,10,16,23,4574,5154,9722,14,14,25,8,13,23,4,7,9,0,0,3,4,4,6,18,39,60,26,43,70,3768,3428,7196,31,17,50,12,25,35,3812,3468,7282,943,915,1863,9434,9672,19103
SOSR622,33,49,82,1396,1453,2853,0,0,0,75,89,166,8,10,21,802,900,1695,18,14,30,3,4,9,20,24,41,8,13,22,22,13,35,0,0,0,13,18,32,37,47,88,139,135,278,10,11,22,13,19,35,265,318,587,143,142,284,17,9,25,2991,3223,6213,9,7,12,3,4,7,0,5,5,0,0,0,0,0,0,16,21,40,16,27,43,2275,1952,4234,20,13,35,4,8,11,2297,1981,4279,661,615,1270,6010,5901,11910
SOSR631,229,314,539,10504,10713,21214,0,0,0,759,788,1543,82,94,170,6692,6872,13561,55,74,133,101,84,186,227,268,492,163,162,322,117,139,257,3,3,4,225,204,432,441,489,937,1005,990,1992,87,140,229,119,143,261,2062,2097,4165,1491,1584,3075,67,72,142,24203,24912,49111,36,41,77,49,28,79,13,15,31,3,6,11,3,0,5,165,212,377,174,219,391,20486,17233,37718,138,103,247,70,110,178,20694,17450,38146,5569,4763,10332,50967,47741,98715
SOSR679,0,0,0,7,3,10,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,22,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,35,0,0,0,0,0,0,22,17,37,4,0,4,49,21,68
SOSR699,10,9,14,63,60,119,0,0,0,3,8,10,0,0,0,45,43,89,0,0,0,0,3,3,0,0,0,0,0,4,0,0,3,0,0,0,3,4,4,3,7,5,5,5,13,0,0,4,0,0,0,13,9,21,11,15,28,0,0,0,155,149,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,204,157,363,4,3,9,7,0,3,211,160,372,137,71,209,524,393,912
SOSR703,1496,1917,3410,4766,4806,9571,0,0,0,766,816,1580,3,3,6,12920,13175,26095,72,65,136,2069,1863,3931,155,207,361,143,146,285,382,450,834,52,53,107,295,358,650,664,766,1432,719,697,1417,75,102,181,166,185,356,1701,1868,3572,1307,1348,2661,39,33,67,26295,26936,53234,1612,1369,2984,1105,865,1972,45,34,76,39,44,83,257,188,440,184,233,411,475,461,940,20635,17319,37950,199,153,350,86,104,184,20917,17572,38485,10089,7265,17350,62041,56416,118456
SOSR712,163,240,404,832,894,1726,0,0,0,292,371,663,3,0,3,2150,2315,4472,9,12,17,35,22,58,14,21,40,113,94,200,468,617,1088,17,23,39,70,80,150,228,268,498,169,167,329,18,28,45,35,56,96,335,454,786,328,363,692,15,20,37,5139,5801,10940,182,164,349,86,77,167,9,10,22,36,40,71,82,84,164,49,69,115,164,188,354,3953,3757,7708,38,33,71,17,24,42,4007,3809,7816,1861,1825,3685,11619,12110,23726
SOSR714,17,41,60,284,300,581,0,0,0,75,100,177,0,0,0,561,542,1100,0,0,0,6,0,10,10,12,24,3,4,12,29,22,51,0,0,7,41,47,94,31,35,67,41,40,82,3,5,10,4,13,15,90,87,173,70,82,152,0,0,3,1257,1300,2556,38,33,70,19,10,34,0,4,8,18,16,33,3,0,4,15,21,38,40,36,73,1026,937,1961,9,4,15,4,4,5,1040,945,1981,809,713,1518,3222,3081,6303
SOSR715,32,55,88,585,574,1154,0,0,0,102,106,208,0,0,0,2066,2205,4275,3,0,4,22,15,42,8,12,18,13,18,27,37,23,67,6,7,11,149,166,316,23,32,48,52,41,91,9,6,11,10,25,38,2087,1975,4061,182,183,361,0,4,8,5350,5379,10733,14,16,31,21,17,34,0,0,6,287,277,567,4,7,10,9,6,12,300,293,592,1796,1625,3420,16,4,20,9,12,23,1819,1640,3461,1534,1345,2872,9074,8741,17812
SOSR721,37,50,85,983,1061,2043,0,0,0,323,380,708,3,3,11,969,1005,1970,8,6,12,9,11,17,3,4,5,3,3,3,276,295,572,0,0,0,182,192,373,82,103,181,40,34,71,8,5,10,3,11,18,814,840,1656,138,152,292,4,5,3,3844,4097,7936,46,29,75,13,11,28,0,0,0,401,360,766,3,3,5,10,7,19,419,369,786,1708,1504,3210,3,3,10,12,7,14,1722,1521,3241,995,1008,1998,7067,7084,14150
SOSR722,21,35,54,213,231,447,0,0,0,544,614,1155,0,0,0,924,1094,2018,0,5,3,3,0,3,5,9,12,13,11,26,792,903,1699,0,0,0,254,278,535,147,183,325,34,24,61,5,3,10,19,29,52,251,267,522,150,162,313,0,3,5,3365,3808,7174,3,3,12,3,3,13,3,0,3,375,374,749,0,0,0,4,11,20,380,387,772,1266,1037,2306,4,0,11,10,4,14,1281,1043,2325,893,884,1776,5946,6170,12119
SOSR731,188,243,437,1758,1697,3456,0,0,0,293,276,571,0,0,0,2866,2633,5498,6,11,15,78,64,146,43,44,88,23,30,51,793,885,1685,0,0,0,226,217,442,106,114,221,239,212,457,32,39,71,27,33,55,1011,1077,2091,345,343,692,6,8,16,7861,7681,15544,22,13,38,36,33,68,4,0,5,426,416,839,3,3,5,36,39,73,465,459,920,5621,4276,9894,53,32,80,15,16,29,5686,4321,10013,3942,2747,6685,18212,15494,33706
SOSR779,3,0,3,4,0,3,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,19,7,24,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,11,0,0,0,0,0,0,11,4,11,8,3,10,61,14,70
SOSR799,10,8,18,133,117,243,0,0,0,20,19,37,0,0,0,215,192,402,0,4,6,3,0,3,0,0,0,3,3,5,6,10,19,0,0,0,10,6,16,10,13,19,18,23,47,3,3,9,3,0,3,53,69,120,21,15,34,0,0,5,501,471,968,5,6,9,8,3,8,0,0,0,0,0,0,0,0,0,4,4,13,4,4,13,383,323,706,7,7,13,4,0,3,390,331,724,411,336,749,1332,1157,2489
SOSR802,4418,5487,9908,19137,23410,42543,12,5,25,1913,2181,4095,22,33,53,41481,46821,88304,131,149,282,2955,3166,6122,277,395,676,391,380,771,960,1291,2252,309,321,625,1118,1180,2300,1870,2145,4008,3370,3969,7342,301,355,654,332,358,687,4127,5456,9579,4127,4783,8912,204,217,419,83026,96621,179644,5179,5023,10201,5195,4667,9861,305,337,643,24,38,66,1109,1031,2139,670,825,1495,1796,1895,3696,75006,68102,143108,1020,802,1829,308,437,748,76332,69344,145679,18630,17535,36164,194879,200914,395790
SOSR822,0,0,0,11,19,34,0,0,0,0,0,0,0,0,0,48,42,92,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,0,0,8,7,11,0,0,0,0,0,0,72,71,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,60,110,0,0,0,0,0,0,54,62,111,7,5,16,135,140,271
SOSR831,0,0,0,55,57,112,0,0,0,0,4,6,0,0,0,82,69,151,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,4,8,0,3,4,4,5,7,7,4,5,0,0,0,0,3,10,11,13,16,0,0,0,169,157,333,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,7,184,147,333,0,0,0,0,0,0,179,147,330,59,51,112,422,368,793
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,4,4,13,30,19,48,0,0,0,3,0,3,0,0,0,45,33,73,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,10,0,0,0,0,0,0,3,7,9,7,4,12,0,0,0,93,82,177,0,3,5,9,11,21,0,0,0,0,0,3,0,0,0,0,3,3,3,5,10,102,93,191,3,0,3,0,0,0,105,94,194,92,35,126,312,228,538
SOSR915,175,150,334,42,24,69,0,0,0,3,6,5,0,0,0,82,81,159,0,0,0,3,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,0,3,3,10,8,0,0,0,5,3,5,11,12,20,29,29,54,0,0,0,176,166,343,0,4,7,186,163,357,3,0,3,0,0,0,0,0,0,8,0,6,8,0,6,175,105,281,0,0,0,0,0,0,176,109,281,157,111,270,888,710,1599
SOSR921,0,3,7,65,94,161,0,0,0,3,4,9,0,0,0,55,64,128,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,9,11,0,6,4,9,8,20,0,0,0,7,11,14,51,46,94,8,10,11,0,0,0,207,254,457,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,102,219,0,0,0,3,4,5,118,111,226,31,35,61,359,404,761
SOSR922,0,0,0,30,31,61,0,0,0,0,0,0,0,0,0,13,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,0,0,0,6,0,7,3,0,3,0,0,0,57,55,110,0,0,0,195,204,401,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,87,70,160,0,0,0,0,0,0,94,70,159,41,23,63,381,350,734
SOSR931,0,3,3,194,205,406,0,0,0,3,0,5,0,0,0,46,53,102,0,0,0,0,3,3,4,4,8,0,0,0,0,0,0,0,0,0,3,6,5,4,5,6,13,20,29,0,0,0,15,15,27,33,40,75,5,7,12,0,0,0,324,358,683,0,0,0,3,5,3,0,0,0,7,18,32,0,0,0,0,3,4,12,22,32,149,140,290,0,3,3,3,3,5,153,144,297,316,87,404,810,624,1429
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,6
SOSR999,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,21,0,0,0,0,0,0,6,13,21,4,3,7,21,28,55
