SOSR_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOSR379,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,3,0,3,22,23,110,20,0,20,22,150
SOSR399,..,9,0,11,0,11,..,0,0,0,0,0,..,16,3,19,0,19,..,9,0,14,0,14,..,8,0,8,0,8,..,4,0,4,0,4,..,18,0,18,0,18,..,59,3,65,0,65,..,68,10,70,3,71,..,11,17,29,3,28,..,14,30,46,0,46,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,20,0,20,0,20,..,9,3,11,0,11,..,11,0,13,0,13,..,0,0,0,0,0,..,13,0,13,0,13,..,16,0,16,0,16,..,16,0,16,0,16,..,10,0,15,0,11,..,55,0,58,0,57,..,57,3,59,0,59,..,6,0,4,0,4,..,7,7,10,0,14,..,0,0,0,0,0,..,15,14,32,0,32,..,218,42,257,10,269,..,1024,247,1275,22,1293,..,29,6,35,2483,2524,8697,1060,255,1312,2504,12510
SOSR401,..,17709,3032,20735,215,20956,..,2080,178,2257,16,2272,..,6527,435,6956,52,7009,..,7435,924,8366,84,8448,..,2272,149,2426,17,2438,..,2444,300,2743,32,2777,..,7832,1953,9786,71,9864,..,28598,3939,32538,267,32801,..,22365,3734,26102,356,26459,..,1659,225,1883,16,1902,..,2560,878,3438,25,3460,..,538,51,591,3,592,..,717,43,764,15,775,..,3522,1016,4537,30,4572,..,4557,685,5242,34,5277,..,2573,473,3045,18,3062,..,113,6,121,3,121,..,3145,820,3966,29,3990,..,2879,79,2956,33,2986,..,1451,190,1635,5,1645,..,4284,143,4426,42,4462,..,1495,75,1569,8,1583,..,10107,481,10588,93,10680,..,4640,528,5160,51,5213,..,2276,230,2506,19,2522,..,1317,311,1625,13,1637,..,469,49,521,3,520,..,12191,5467,17658,108,17768,..,33043,10269,43315,939,44251,..,202003,43522,245520,2696,248220,..,3109,600,3710,53193,56899,860512,205109,44123,249231,55888,1165632
SOSR412,..,178,23,204,4,209,..,30,4,38,0,38,..,89,5,95,0,92,..,45,5,49,0,48,..,38,3,35,0,35,..,46,4,46,0,46,..,26,0,24,0,24,..,268,22,287,3,285,..,405,42,449,3,454,..,31,3,28,0,28,..,6,0,3,0,3,..,6,0,6,0,6,..,9,0,14,0,14,..,26,4,29,0,25,..,72,5,77,0,77,..,30,0,31,0,31,..,0,0,0,0,0,..,25,0,29,0,29,..,157,4,158,3,166,..,35,3,36,0,36,..,199,10,210,3,209,..,21,0,21,0,21,..,412,19,430,8,437,..,85,11,98,3,102,..,41,3,47,0,47,..,31,7,35,0,41,..,0,0,0,0,0,..,45,12,58,0,58,..,707,273,984,19,1000,..,3282,508,3793,42,3840,..,227,23,246,3979,4225,66059,3506,529,4043,4025,74124
SOSR413,..,172,21,187,0,187,..,53,6,56,0,56,..,65,10,70,0,74,..,179,16,196,5,198,..,58,6,63,0,66,..,67,5,77,0,74,..,45,4,49,0,49,..,472,47,513,6,519,..,460,52,518,5,518,..,100,3,102,3,111,..,20,10,31,0,31,..,8,0,9,0,9,..,12,0,12,0,12,..,26,0,31,0,30,..,79,0,79,0,80,..,68,4,66,0,66,..,23,4,25,0,22,..,19,4,22,0,22,..,268,8,275,0,274,..,44,0,46,0,45,..,332,12,348,0,350,..,49,8,56,0,56,..,688,27,721,3,720,..,113,7,122,0,122,..,23,5,32,0,32,..,55,14,70,0,70,..,35,20,56,0,56,..,124,75,194,4,195,..,663,158,822,17,840,..,4761,933,5701,70,5770,..,308,16,327,6825,7154,91603,5075,958,6026,6897,104523
SOSR414,..,13,0,13,0,13,..,0,0,0,0,0,..,14,0,14,0,14,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,24,0,24,0,24,..,49,4,55,0,55,..,19,4,24,0,24,..,15,10,23,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,20,17,39,0,39,..,26,4,24,0,24,..,0,0,0,0,0,..,0,0,0,3,3,..,3,0,3,0,3,..,71,0,73,0,73,..,8,0,8,0,8,..,83,3,86,0,86,..,17,3,18,0,18,..,180,8,181,0,181,..,17,0,14,0,14,..,0,0,0,0,0,..,26,11,32,0,36,..,4,0,4,0,4,..,19,18,41,0,41,..,232,165,402,8,409,..,897,289,1182,20,1202,..,88,6,97,1150,1250,21513,986,296,1277,1170,23967
SOSR415,..,498,116,613,21,632,..,30,0,30,0,30,..,53,5,60,0,60,..,231,53,281,4,284,..,83,3,83,0,85,..,25,0,25,0,25,..,32,3,33,0,33,..,442,61,509,6,513,..,445,63,507,8,515,..,52,9,63,3,62,..,32,8,43,0,43,..,7,0,6,0,6,..,7,0,7,0,9,..,23,17,35,0,35,..,75,3,79,0,79,..,23,4,23,0,23,..,0,0,0,0,0,..,46,4,49,0,52,..,167,7,177,3,177,..,20,3,23,0,23,..,193,10,206,0,207,..,42,0,43,0,40,..,425,21,446,6,452,..,92,8,99,4,102,..,61,11,69,0,69,..,68,10,83,0,85,..,22,8,30,3,32,..,88,67,159,0,155,..,606,228,826,24,853,..,4128,761,4890,97,4987,..,259,31,287,6796,7086,97240,4380,792,5173,6893,109309
SOSR421,..,60,3,63,0,63,..,0,0,0,0,0,..,6,0,11,0,11,..,16,0,20,0,20,..,4,0,4,0,4,..,3,0,3,0,3,..,16,0,18,0,18,..,50,4,54,0,56,..,99,14,109,0,109,..,11,0,11,0,11,..,0,0,3,0,3,..,0,3,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,11,0,11,0,11,..,10,0,13,0,13,..,0,0,0,0,0,..,6,0,6,0,6,..,49,0,46,0,46,..,9,0,11,0,11,..,46,0,41,0,42,..,5,0,5,0,5,..,109,3,109,0,107,..,7,0,7,0,7,..,4,0,4,0,4,..,12,4,20,0,20,..,10,0,10,0,10,..,47,39,92,0,90,..,99,27,127,5,132,..,867,150,1018,16,1035,..,74,4,77,2000,2079,29858,944,157,1095,2013,32967
SOSR422,..,19,0,19,0,19,..,0,0,0,0,0,..,12,0,12,0,12,..,5,3,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,27,3,29,0,29,..,41,0,39,0,40,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,15,3,21,0,21,..,3,0,3,0,3,..,0,0,0,0,0,..,12,3,15,0,15,..,13,0,13,0,13,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,26,0,26,0,26,..,7,0,7,0,7,..,3,0,3,0,3,..,5,5,12,0,10,..,0,0,0,0,0,..,3,0,3,0,3,..,68,8,74,0,77,..,1592,315,1905,21,1926,..,52,8,57,1350,1411,17363,1643,322,1965,1371,20698
SOSR431,..,775,110,889,19,904,..,17,0,14,0,15,..,36,0,36,0,36,..,219,49,270,8,271,..,8,0,6,0,6,..,3,0,3,0,3,..,25,3,30,0,30,..,303,52,355,8,357,..,820,105,919,12,935,..,51,5,54,0,54,..,15,3,23,0,23,..,14,5,16,0,16,..,22,0,25,0,27,..,24,7,27,0,27,..,100,9,106,0,108,..,75,6,78,0,84,..,3,0,3,0,3,..,56,5,57,0,57,..,106,10,114,0,114,..,46,5,51,3,48,..,93,7,100,6,103,..,37,4,41,0,41,..,280,27,301,9,311,..,82,8,89,4,89,..,4,13,19,0,19,..,48,11,58,0,58,..,53,17,70,0,70,..,397,278,680,7,685,..,691,181,872,19,896,..,5671,996,6668,126,6795,..,326,22,345,9974,10325,125443,6000,1014,7019,10101,142568
SOSR479,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,0,4,0,4,0,3
SOSR499,..,13,0,13,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,15,0,15,0,15,..,3,0,3,0,3,..,3,4,8,0,8,..,5,0,5,0,5,..,30,4,39,0,39,..,19,0,19,0,19,..,3,3,3,0,3,..,3,4,9,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,8,3,12,..,0,3,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,3,0,3,0,3,..,17,0,20,0,20,..,4,0,7,0,7,..,4,0,4,0,4,..,0,0,6,0,6,..,0,0,0,0,0,..,14,3,18,0,18,..,50,12,57,3,61,..,256,76,329,14,347,..,37,0,34,547,582,1933,291,76,367,561,2863
SOSR501,..,4031,419,4453,42,4492,..,2798,245,3042,21,3065,..,9434,634,10065,68,10138,..,10428,1194,11617,97,11718,..,4330,251,4578,22,4601,..,4569,468,5037,49,5084,..,10566,936,11498,75,11572,..,42125,3715,45847,334,46173,..,22870,2882,25750,359,26105,..,4470,833,5301,38,5337,..,4473,2093,6558,43,6602,..,4881,665,5548,59,5607,..,330,14,341,3,344,..,5452,1006,6452,29,6487,..,4853,491,5352,55,5400,..,2615,308,2924,20,2938,..,751,45,799,15,811,..,4071,744,4812,56,4865,..,7620,287,7903,76,7982,..,9156,817,9970,68,10035,..,11662,440,12100,120,12218,..,5755,389,6144,55,6202,..,34186,1929,36116,317,36433,..,8569,889,9460,79,9540,..,5846,642,6485,55,6546,..,4435,770,5208,55,5260,..,1337,312,1650,15,1660,..,13253,5809,19061,130,19195,..,60530,12453,72982,1429,74418,..,327612,55270,382880,4013,386895,..,4863,729,5592,110710,116300,1371377,332471,56004,388474,114723,1874578
SOSR511,..,54,5,63,0,61,..,45,5,48,0,48,..,74,4,78,0,78,..,87,18,101,5,112,..,48,3,51,0,51,..,67,7,77,0,80,..,112,11,127,3,128,..,428,51,480,12,490,..,503,59,559,11,571,..,89,11,102,0,102,..,96,71,169,0,170,..,3,0,3,0,3,..,0,0,0,0,0,..,48,6,56,0,55,..,105,8,114,0,118,..,45,15,59,0,60,..,5,0,4,0,4,..,23,0,26,0,26,..,288,5,292,0,297,..,83,13,99,0,101,..,369,7,382,8,386,..,158,11,168,0,170,..,908,36,941,9,949,..,153,4,160,3,162,..,57,0,57,0,57,..,77,11,88,0,88,..,3,0,6,0,6,..,63,25,87,3,91,..,844,117,961,24,989,..,5044,587,5637,82,5719,..,191,20,212,4860,5069,60300,5242,608,5842,4946,71090
SOSR512,..,42,10,44,0,45,..,37,3,39,0,39,..,190,20,206,0,207,..,141,18,162,5,167,..,84,0,86,0,86,..,80,7,85,0,85,..,139,11,151,0,151,..,666,64,732,10,743,..,488,58,543,7,548,..,93,5,96,0,96,..,24,15,43,0,43,..,32,0,32,0,32,..,5,0,5,0,3,..,50,5,59,0,55,..,97,4,104,4,106,..,49,4,60,0,60,..,47,0,47,0,48,..,18,0,18,0,18,..,609,28,644,5,645,..,200,18,211,0,212,..,761,37,801,11,813,..,362,55,417,14,428,..,1937,137,2068,26,2102,..,134,7,134,0,137,..,66,10,76,3,82,..,261,43,302,5,305,..,21,6,25,0,25,..,139,57,202,3,203,..,1537,269,1806,47,1853,..,8112,906,9023,136,9163,..,344,27,369,9105,9475,97917,8457,932,9390,9244,116554
SOSR513,..,39,3,37,0,37,..,54,11,62,0,62,..,117,9,125,3,131,..,54,5,59,0,59,..,82,8,87,3,95,..,59,4,58,0,65,..,134,10,146,7,151,..,493,44,538,14,553,..,113,13,119,3,125,..,47,12,59,3,62,..,50,25,75,0,75,..,36,3,41,0,41,..,9,0,9,0,9,..,15,0,15,0,15,..,25,0,25,0,25,..,25,0,26,0,30,..,12,5,16,0,16,..,18,0,20,0,20,..,397,9,410,8,412,..,151,19,163,0,163,..,540,23,563,5,565,..,296,34,327,3,334,..,1383,83,1463,15,1480,..,96,11,102,0,102,..,57,3,57,0,57,..,230,25,253,5,254,..,15,0,16,0,18,..,59,6,68,0,67,..,751,75,825,21,846,..,4973,449,5424,102,5527,..,167,39,206,6588,6797,41742,5147,487,5634,6688,54065
SOSR514,..,11,3,14,0,14,..,3,0,3,0,3,..,27,0,27,0,27,..,40,4,46,0,46,..,10,0,14,0,14,..,9,0,9,0,9,..,9,0,9,0,9,..,96,8,102,0,102,..,149,13,165,3,167,..,57,4,62,0,62,..,27,25,50,0,50,..,6,0,7,0,7,..,0,0,0,0,0,..,5,0,6,0,6,..,73,0,73,0,76,..,9,0,12,0,12,..,3,0,7,0,7,..,13,0,15,0,15,..,56,3,59,0,59,..,56,4,58,0,58,..,142,3,147,3,150,..,25,0,24,0,24,..,272,17,288,3,288,..,78,5,87,0,87,..,14,0,14,0,14,..,44,7,51,0,49,..,3,0,3,0,3,..,31,22,54,0,54,..,331,51,381,14,391,..,1950,243,2197,32,2222,..,124,5,126,2856,2983,29823,2077,249,2321,2881,35029
SOSR515,..,30,0,29,3,27,..,21,0,26,0,25,..,58,5,60,0,60,..,49,6,51,0,51,..,44,3,44,0,44,..,12,0,12,0,12,..,39,0,44,0,40,..,214,17,232,0,233,..,433,65,504,13,512,..,46,12,63,0,63,..,43,16,55,0,55,..,64,4,66,5,72,..,3,0,3,0,3,..,22,12,38,3,38,..,64,3,63,0,63,..,31,3,36,0,36,..,22,0,22,0,22,..,16,0,18,0,18,..,386,20,399,3,405,..,108,9,114,4,116,..,453,19,471,3,478,..,227,72,300,0,301,..,1163,124,1289,14,1299,..,76,0,82,3,79,..,57,8,62,0,69,..,167,28,193,3,199,..,0,0,0,0,0,..,98,60,157,3,158,..,939,364,1309,40,1343,..,5739,1010,6749,181,6924,..,333,25,361,8665,9026,70251,6074,1035,7108,8843,86204
SOSR521,..,18,0,18,0,18,..,0,0,0,0,0,..,10,3,13,0,13,..,7,0,7,0,7,..,8,0,8,0,8,..,0,0,0,0,0,..,8,4,16,0,16,..,40,8,46,0,46,..,155,21,174,3,180,..,15,7,16,3,24,..,10,9,20,0,20,..,5,0,8,0,8,..,5,0,5,0,5,..,5,0,5,0,5,..,32,3,31,0,31,..,16,0,16,0,16,..,5,0,5,0,5,..,7,0,7,0,7,..,216,10,224,0,224,..,41,3,45,0,45,..,236,3,244,5,250,..,49,3,50,0,50,..,544,24,561,5,568,..,41,0,40,3,46,..,8,0,12,0,12,..,45,6,51,0,47,..,3,0,3,0,3,..,19,7,30,0,30,..,335,46,379,12,393,..,3182,305,3485,123,3610,..,123,25,148,4112,4261,36438,3301,333,3632,4233,44304
SOSR522,..,4,0,4,0,3,..,3,0,3,0,3,..,12,3,13,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,8,0,8,..,5,0,5,0,5,..,35,3,38,0,38,..,54,0,53,0,53,..,3,3,10,0,10,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,4,..,37,0,37,0,40,..,6,0,6,0,6,..,43,3,45,0,45,..,6,0,8,0,8,..,97,4,96,0,97,..,15,0,21,3,23,..,0,0,0,0,0,..,16,0,17,0,17,..,0,0,0,0,0,..,8,3,15,0,15,..,121,19,137,7,152,..,2918,438,3356,123,3475,..,70,10,81,2434,2518,15035,2991,442,3436,2557,21030
SOSR531,..,74,8,74,0,79,..,20,0,20,0,20,..,72,0,72,3,71,..,57,4,66,0,68,..,27,0,30,0,30,..,22,3,28,0,26,..,45,0,51,0,51,..,245,15,261,4,264,..,989,77,1069,19,1087,..,83,13,91,3,94,..,56,18,70,0,70,..,68,4,76,0,80,..,13,0,13,0,14,..,38,0,39,0,39,..,139,5,143,0,143,..,63,4,65,0,65,..,24,0,24,0,24,..,51,5,58,0,58,..,234,12,243,0,246,..,154,11,157,0,157,..,343,8,354,0,357,..,93,0,100,0,100,..,823,32,852,4,859,..,205,11,216,0,216,..,51,0,54,0,54,..,147,23,166,4,173,..,7,0,7,0,7,..,241,178,417,0,419,..,1188,154,1341,44,1382,..,9823,1092,10915,243,11161,..,422,39,457,19532,19991,134030,10242,1125,11367,19776,165175
SOSR579,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,3,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,12,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,56,3,53,0,53,..,0,0,0,72,68,309,55,3,60,72,434
SOSR599,..,4,0,4,0,4,..,0,0,0,0,0,..,12,3,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,9,0,9,0,9,..,30,3,32,0,32,..,25,3,29,3,34,..,9,3,12,0,12,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,0,0,5,0,5,..,0,0,0,0,0,..,4,0,9,0,9,..,14,4,18,0,18,..,11,0,8,0,8,..,10,0,8,0,8,..,33,4,36,0,36,..,20,4,22,0,22,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,5,6,7,0,7,..,101,12,111,4,116,..,484,89,574,12,585,..,23,0,22,1527,1553,3819,503,92,597,1538,5950
SOSR603,..,834,105,939,13,951,..,96,3,96,0,96,..,407,30,431,0,433,..,354,35,390,4,386,..,96,4,95,0,95,..,186,18,209,0,208,..,625,342,961,9,969,..,1753,432,2185,14,2196,..,602,51,660,6,660,..,293,41,336,3,341,..,201,94,299,3,302,..,5,0,5,0,7,..,3,0,3,0,3,..,204,111,307,0,314,..,402,40,446,7,452,..,116,4,124,0,124,..,24,0,24,0,27,..,73,11,91,0,92,..,133,0,133,0,133,..,110,10,120,0,120,..,264,9,267,9,277,..,136,3,139,0,139,..,639,16,654,9,664,..,470,50,515,11,526,..,178,9,187,0,192,..,217,38,257,5,255,..,36,8,50,0,50,..,200,68,267,9,271,..,1841,579,2424,66,2489,..,13200,2420,15624,194,15815,..,481,41,526,10155,10682,151512,13683,2459,16145,10350,178009
SOSR611,..,70,4,76,0,76,..,34,3,39,0,39,..,107,4,111,0,108,..,65,8,69,0,69,..,54,3,59,0,58,..,37,4,38,3,39,..,447,383,829,9,839,..,733,403,1141,11,1148,..,167,14,181,4,181,..,59,11,65,0,66,..,83,18,107,0,107,..,4,0,5,0,5,..,0,0,0,0,0,..,94,167,260,3,262,..,91,8,97,0,97,..,57,6,64,0,64,..,6,0,6,0,6,..,15,0,14,0,14,..,49,0,56,0,56,..,42,5,49,0,50,..,112,8,120,6,123,..,78,0,82,0,82,..,291,19,306,8,315,..,85,4,88,0,90,..,61,3,67,0,68,..,54,11,60,0,65,..,8,0,6,0,6,..,85,15,101,0,101,..,688,301,986,12,1002,..,4025,1184,5213,62,5269,..,207,29,240,4788,5028,65030,4231,1221,5450,4852,75329
SOSR612,..,28,0,28,0,26,..,5,0,5,0,5,..,27,3,30,0,31,..,14,0,14,0,14,..,37,3,39,0,39,..,0,0,0,0,0,..,7,0,7,0,7,..,91,8,94,0,99,..,25,0,20,0,20,..,16,5,17,0,17,..,13,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,13,0,13,0,13,..,9,0,10,0,10,..,4,0,4,0,4,..,5,0,5,0,5,..,20,0,20,0,18,..,11,0,11,0,11,..,38,0,39,0,42,..,3,0,8,0,9,..,67,4,72,3,76,..,32,8,43,0,43,..,11,0,11,0,11,..,17,0,16,0,16,..,0,0,3,0,3,..,3,10,10,0,10,..,63,26,90,4,96,..,565,118,684,18,700,..,62,0,66,1307,1368,20979,625,122,747,1319,23046
