SOSR_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR521,73,145,110,65,71,6,3,476,12,15,11,8,3,0,0,50,5,0,4,3,8,0,0,15,128,274,222,158,151,15,5,961,9,29,25,15,5,0,0,83,14,38,17,10,14,0,0,87,16,63,39,19,17,0,0,163,151,343,260,184,169,20,5,1127,308,327,176,102,53,3,0,968,15,8,5,8,3,0,0,44,470,678,448,294,231,20,8,2141
SOSR522,28,57,53,42,31,4,0,219,0,3,3,0,0,0,0,9,3,3,0,4,0,0,0,12,54,131,113,82,59,11,3,455,11,22,7,10,11,0,0,60,5,13,8,5,5,0,0,38,12,32,21,14,16,0,0,99,69,160,131,101,75,9,3,557,202,182,104,59,43,3,0,593,9,5,9,3,3,0,0,29,279,356,244,163,127,16,6,1180
SOSR531,106,279,198,130,165,27,9,916,20,19,18,12,17,0,0,89,10,5,9,7,6,0,0,38,208,504,417,293,393,54,27,1896,20,69,42,31,22,8,0,189,34,60,24,18,17,3,0,162,55,131,70,51,41,6,0,357,265,632,493,341,430,59,27,2248,409,384,245,142,157,20,10,1367,22,25,18,11,6,0,0,79,696,1046,761,495,596,78,33,3698
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,410,813,486,357,492,153,52,2758,52,45,27,29,25,8,5,186,14,22,11,6,20,8,3,89,643,1329,936,737,1107,386,155,5291,36,83,42,33,40,14,3,247,62,131,57,35,30,12,5,323,95,207,101,68,72,19,3,573,740,1542,1036,809,1178,403,160,5865,1188,1092,559,356,391,132,59,3770,26,20,16,9,3,0,0,76,1961,2649,1607,1169,1566,538,214,9715
SOSR611,172,321,230,150,224,68,16,1183,31,19,18,7,12,7,0,93,9,13,4,7,12,3,0,45,276,532,383,295,493,144,51,2178,11,42,22,14,23,11,0,123,31,57,20,21,27,0,0,155,41,101,46,34,43,13,0,278,318,636,430,328,540,154,54,2464,550,500,222,135,141,34,13,1607,9,16,8,4,3,3,0,46,880,1152,660,474,682,199,72,4117
SOSR612,59,105,68,46,73,19,0,373,7,14,4,3,0,3,0,32,0,4,0,0,4,3,0,15,84,169,112,82,140,41,3,627,5,17,17,3,10,0,0,57,12,26,17,3,9,0,0,68,19,48,29,7,12,0,0,119,103,220,140,88,156,44,3,747,272,275,100,57,87,12,4,812,0,6,3,3,0,0,0,16,379,494,240,152,245,56,9,1579
SOSR613,70,149,92,63,98,20,3,485,8,3,8,7,7,0,0,34,6,4,3,0,4,0,0,17,109,228,176,126,220,45,8,914,8,25,13,4,12,3,0,70,14,21,20,10,19,0,0,82,22,53,30,15,26,5,0,150,128,273,211,143,252,48,8,1066,251,244,119,98,97,15,3,830,5,8,0,0,0,0,0,12,387,525,335,236,351,69,14,1911
SOSR614,38,67,33,22,31,13,3,200,4,6,0,3,4,0,0,19,0,0,0,0,0,0,0,5,57,102,53,52,62,12,5,334,8,4,3,3,8,0,0,30,10,10,5,3,3,0,0,38,16,18,6,11,11,0,0,67,72,120,59,58,71,12,5,399,111,97,34,26,39,6,0,312,0,0,0,0,0,0,0,3,182,224,93,91,113,18,5,722
SOSR615,123,304,211,126,157,33,7,954,20,16,9,13,9,3,0,74,3,9,6,3,9,0,0,30,189,452,361,241,307,63,22,1632,12,40,30,18,6,4,0,110,19,55,25,19,11,0,0,133,29,99,56,31,22,4,0,245,219,551,410,273,332,70,23,1872,433,363,192,147,131,19,0,1285,6,8,7,3,0,0,0,26,663,919,609,419,457,92,19,3183
SOSR621,29,94,49,33,36,8,3,246,7,4,0,0,0,0,0,13,3,0,0,0,0,0,0,9,43,131,74,60,78,15,5,408,3,0,3,3,0,0,0,11,0,9,6,3,4,0,0,26,4,10,10,9,4,0,0,40,50,142,90,70,84,18,5,446,107,97,56,31,38,7,0,330,3,8,0,3,0,0,0,14,162,244,142,101,123,20,6,791
SOSR622,20,31,21,30,31,3,0,139,8,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,32,47,43,44,60,14,0,242,3,8,0,3,7,0,0,19,0,0,0,0,0,0,0,8,3,13,0,5,7,0,0,27,35,60,45,47,62,11,0,272,66,71,22,15,9,0,0,196,0,0,0,3,0,0,0,3,103,134,70,63,80,15,3,469
SOSR631,118,216,175,108,159,30,7,819,8,17,14,5,5,3,3,57,3,6,8,3,6,3,3,38,185,392,328,237,304,81,25,1560,14,21,21,11,9,4,0,86,13,36,28,17,18,3,0,122,25,64,44,33,30,9,0,205,207,457,370,277,335,89,25,1763,278,319,196,116,126,19,9,1070,5,3,3,3,0,0,0,17,491,776,575,392,464,109,33,2848
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,152,221,136,109,123,19,8,760,23,23,8,14,16,0,0,85,8,19,6,12,11,0,0,60,414,759,497,372,527,91,43,2709,32,42,36,14,23,3,0,153,26,43,18,15,7,3,0,108,53,82,54,32,35,3,0,260,467,850,551,405,558,93,43,2974,483,404,204,145,117,21,7,1390,32,19,15,8,5,0,0,85,988,1272,770,562,686,118,55,4447
SOSR712,32,72,50,22,24,0,0,194,9,7,10,3,7,0,0,29,3,6,3,3,3,0,0,24,111,210,158,96,120,12,0,708,12,13,3,3,5,0,0,32,5,6,0,7,0,0,0,24,16,17,3,10,8,0,0,58,125,233,164,103,123,12,0,762,110,133,54,20,26,7,0,354,4,9,3,8,0,0,0,31,245,372,218,133,148,17,0,1141
SOSR714,12,9,9,4,0,0,0,31,0,3,3,0,0,0,0,5,0,0,0,3,0,0,0,7,32,40,35,17,29,0,0,157,0,3,3,0,3,0,0,12,0,3,4,0,0,0,0,9,0,9,7,3,0,0,0,18,32,46,41,26,29,0,0,175,61,48,30,16,6,3,0,161,0,0,0,0,0,0,0,4,92,95,66,39,38,3,0,344
SOSR715,28,44,48,31,21,0,3,169,8,3,0,0,0,0,0,13,15,13,7,5,0,0,0,31,75,115,91,58,48,4,7,404,28,31,14,7,10,0,0,84,4,7,4,0,3,0,0,17,32,38,12,7,9,0,0,101,105,157,106,70,60,4,6,506,220,232,115,90,55,3,0,723,12,20,12,6,0,0,0,48,341,413,228,163,115,9,5,1275
SOSR721,31,42,19,18,15,0,0,123,12,9,9,0,0,0,0,33,8,4,10,3,3,0,0,24,70,114,80,45,31,0,0,337,6,18,5,9,5,0,0,41,9,14,3,10,0,0,0,42,19,28,11,16,11,0,0,80,93,144,86,62,35,0,0,422,140,151,113,85,26,0,3,524,19,21,7,8,3,0,0,63,250,314,209,156,69,5,3,1003
SOSR722,20,45,17,18,11,3,0,119,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,41,110,57,36,22,3,0,271,31,30,29,17,15,0,0,119,12,9,3,3,0,0,0,26,37,42,33,22,14,0,0,145,77,153,86,52,36,3,0,415,162,187,76,41,26,0,0,497,14,13,13,3,0,0,0,39,251,356,177,96,64,3,3,951
SOSR731,19,49,38,25,22,0,0,158,9,6,6,0,8,0,0,25,4,7,8,6,5,0,0,33,87,167,122,95,104,5,0,579,17,28,26,7,0,0,0,80,16,21,7,7,0,0,0,43,25,49,29,11,3,0,0,123,114,211,151,107,107,7,0,702,135,148,94,62,31,3,3,487,32,12,14,10,0,0,0,70,281,383,259,176,144,10,5,1251
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,574,942,632,405,503,160,69,3295,111,50,38,28,54,27,14,324,12,33,16,11,24,16,6,115,1238,2270,1743,1227,1905,757,354,9498,46,92,57,39,65,21,13,329,59,105,59,29,50,16,3,322,101,195,122,66,115,32,17,653,1339,2465,1863,1302,2021,788,368,10148,1088,1029,578,324,409,190,91,3714,27,18,11,10,3,3,0,71,2458,3514,2455,1630,2441,984,460,13933
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR831,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,6,3,5,0,3,0,0,19,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,7,7,5,3,3,0,0,27
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,4,10,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,10,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,10,3,0,27
SOSR921,0,3,5,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,6,0,8,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,0,8,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,0,8,0,0,33
SOSR922,3,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,13,8,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,10,3,3,3,3,0,0,24
SOSR931,3,0,3,0,0,0,0,9,0,3,3,0,3,0,0,5,0,0,0,0,0,0,0,0,3,6,8,5,10,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,12,12,8,8,0,0,43,0,8,3,4,0,0,0,16,0,4,3,0,0,0,0,8,8,23,14,13,13,0,0,62
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
