SOSR_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR422,5,0,5,35,18,52,0,0,0,0,0,0,3,0,3,2834,2225,5058,156,168,325,102,0,104,18,3,23,36,10,43,52,14,64,336,394,734,3582,2832,6415,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,19,12,30,0,3,4,0,0,0,21,18,36,29,13,40,53,32,84,0,0,0,0,0,0,4,0,4,3,0,3,158,221,376,421,582,1010,57,40,101,4285,3711,7992
SOSR431,51,46,98,349,166,515,11,3,19,3,5,8,13,13,23,23143,18917,42056,1025,1221,2249,906,36,935,264,34,298,115,34,152,728,184,910,2238,1207,3443,28843,21868,50714,10,7,14,0,0,0,0,0,0,49,51,102,5,4,13,0,3,3,64,66,127,0,0,0,0,0,0,90,132,223,20,20,37,3,8,17,118,154,273,308,116,427,488,343,826,11,17,26,14,3,17,54,11,61,70,32,102,5565,4403,9970,2906,4411,7315,523,433,954,38398,31488,69883
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SOSR499,3,3,4,22,12,34,0,0,0,0,0,0,3,0,3,251,102,355,37,49,85,6,0,9,5,0,6,3,3,6,11,3,21,26,24,50,372,200,577,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,3,0,3,3,0,4,8,3,17,0,0,0,0,0,0,0,0,0,0,4,4,14,11,18,64,47,112,8,0,10,465,263,734
SOSR501,12269,13156,25432,19137,14447,33583,143,60,208,81,53,139,1128,534,1663,310294,260431,570723,18209,22793,40997,5356,154,5509,3798,419,4218,7234,2056,9295,8517,2172,10689,9093,8991,18078,395270,325262,720531,7302,6797,14100,7,5,11,7,7,10,4378,4671,9046,607,985,1589,572,192,768,12870,12658,25525,25,14,41,9,4,9,708,806,1522,442,815,1257,401,166,563,1588,1800,3391,3721,1663,5379,18175,16118,34298,2073,2458,4528,262,132,393,177,56,234,2516,2646,5162,12880,20271,33153,37041,50636,87675,4834,3550,8380,470715,418485,889202
SOSR511,9,3,14,556,135,697,0,0,3,0,0,0,7,19,29,11522,10568,22094,1106,973,2079,161,5,165,112,17,134,190,65,256,243,52,300,294,318,612,14209,12160,26377,3,4,6,0,0,0,0,0,0,8,14,22,3,3,4,3,0,3,17,23,38,0,0,0,0,0,0,55,9,62,7,18,27,22,7,29,82,35,114,190,62,253,289,116,404,0,0,4,14,4,19,5,3,8,20,10,33,248,574,820,1624,1927,3549,193,143,334,16584,14932,31516
SOSR512,10,5,11,824,170,997,4,0,9,0,3,6,82,94,171,18872,17091,35967,1706,1691,3399,370,15,387,275,61,337,429,175,606,373,108,473,674,774,1442,23615,20192,43810,0,3,4,0,0,0,0,0,0,13,8,15,0,0,0,3,0,3,13,9,24,0,0,0,0,0,0,58,13,73,16,9,26,18,3,20,90,26,116,236,110,342,339,147,483,0,0,0,12,5,18,10,9,20,18,10,32,475,1002,1476,2363,2840,5207,342,257,602,27166,24450,51617
SOSR513,11,7,19,393,90,486,7,0,5,3,0,4,36,39,70,9700,7734,17438,963,856,1817,177,8,185,304,119,419,285,147,437,175,73,251,481,552,1032,12530,9624,22151,0,0,3,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,8,13,0,0,0,0,0,0,7,5,11,8,13,19,13,0,13,26,19,41,90,65,154,121,88,205,0,0,0,6,0,3,9,6,14,10,8,23,204,451,654,1352,1397,2744,254,167,421,14473,11727,26200
SOSR514,25,34,59,276,45,329,6,0,6,0,3,3,4,0,5,5015,4479,9493,418,403,827,130,0,133,28,4,36,94,47,143,172,42,214,228,242,466,6405,5305,11706,26,21,42,0,0,0,0,0,0,35,39,73,0,4,7,3,0,3,66,68,129,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,11,0,11,62,24,87,136,92,235,22,13,35,4,0,7,0,3,6,27,24,44,216,481,692,901,1066,1962,110,98,211,7792,7059,14850
SOSR515,12,9,18,1083,223,1305,3,0,5,0,0,0,24,9,31,11925,10431,22353,1168,1100,2264,325,12,338,166,49,219,330,206,536,344,104,448,932,1191,2119,16307,13329,29644,8,7,10,0,0,0,0,0,0,19,18,35,0,3,0,0,0,0,22,26,51,0,0,0,0,0,0,51,15,62,12,3,19,10,3,15,76,24,102,126,60,185,225,109,340,7,5,12,10,3,13,9,7,14,20,16,36,407,694,1102,2201,2212,4418,352,240,600,19521,16609,36136
SOSR521,13,21,36,450,105,557,8,5,6,0,0,0,3,3,7,5644,4687,10328,476,440,915,266,12,277,34,6,43,86,54,137,214,59,270,685,805,1488,7879,6182,14060,3,5,3,0,0,0,0,0,0,20,37,52,0,3,3,0,0,0,27,40,68,0,0,0,0,0,0,16,14,31,6,3,12,5,0,12,35,14,50,71,26,96,132,82,214,3,5,5,3,0,4,5,0,5,8,4,19,272,441,714,1064,1074,2139,176,138,321,9530,7931,17460
SOSR522,3,4,5,146,44,187,0,0,4,0,0,0,3,4,7,2218,1745,3956,229,179,409,108,10,111,21,3,24,59,44,101,87,26,117,559,635,1189,3429,2686,6114,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,7,10,16,0,0,0,0,0,0,4,3,5,3,0,3,6,0,3,11,3,16,44,15,55,65,23,89,3,0,3,6,0,9,4,0,6,11,3,12,121,178,304,399,423,828,80,68,151,4109,3390,7494
SOSR531,112,138,247,5748,660,6406,14,0,14,4,0,5,36,14,49,22216,17854,40069,1976,1341,3317,1320,52,1369,257,60,318,129,75,201,2198,545,2740,3199,1978,5174,37193,22719,59913,16,17,29,0,0,0,0,0,0,157,162,319,11,13,22,3,0,3,187,191,378,0,0,0,0,0,0,35,16,49,16,9,20,54,3,52,99,27,129,307,109,409,590,332,920,37,35,75,49,13,60,44,6,47,135,56,188,5266,5109,10379,3848,4099,7944,1234,579,1814,48266,32888,81157
SOSR579,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,0,13,3,0,3,0,0,0,0,0,0,0,0,0,218,11,226,55,5,56,296,11,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,6,14,0,14,316,17,334
SOSR599,11,14,24,175,34,207,3,0,3,0,0,0,3,0,3,398,200,603,91,53,138,28,6,32,7,3,9,11,7,12,72,25,97,113,130,244,899,472,1371,9,8,21,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,12,30,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,4,5,5,15,28,20,48,3,0,3,0,3,3,0,0,0,5,3,8,16,33,48,135,99,229,46,17,69,1128,648,1773
SOSR603,15,7,23,1733,2255,3987,5,3,10,5,12,13,170,110,282,25293,22258,47545,1921,3318,5235,373,8,385,504,67,565,826,257,1079,288,135,427,2480,2602,5084,33611,31026,64636,3,0,4,0,0,0,0,0,4,12,7,16,0,0,0,4,0,3,22,12,29,0,0,3,0,0,0,68,190,262,66,146,216,26,40,66,165,374,541,334,228,566,516,620,1138,8,0,13,25,34,61,18,11,29,52,47,95,1316,1633,2950,3231,5785,9014,354,327,682,39080,39433,78514
SOSR611,3,0,5,201,233,434,8,3,11,0,4,4,84,71,156,11575,10425,22002,818,1140,1965,125,3,132,166,22,193,194,55,256,116,51,168,807,820,1627,14108,12833,26941,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,12,20,29,13,26,40,3,12,17,31,58,90,152,96,245,181,155,342,0,3,3,6,6,7,9,3,9,11,13,23,399,559,956,1349,2318,3672,132,132,261,16182,16012,32194
SOSR612,3,0,4,24,19,46,3,0,3,0,0,3,8,18,30,3231,2996,6232,234,323,554,52,0,47,42,5,45,41,4,40,46,18,63,175,180,357,3856,3566,7428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,28,15,42,32,17,51,0,0,0,0,4,4,3,0,3,3,4,4,105,127,229,408,614,1024,45,37,86,4454,4368,8822
SOSR613,0,0,3,56,40,97,0,0,0,0,0,3,8,28,38,4544,4195,8744,343,419,759,69,0,75,45,3,46,43,13,54,47,18,70,212,198,409,5375,4924,10296,0,0,0,0,0,0,0,0,0,6,3,4,0,3,3,0,0,0,6,4,11,0,0,0,0,0,0,7,3,8,3,4,6,3,3,4,10,7,22,36,17,51,55,31,81,0,0,0,0,0,0,0,0,3,0,0,0,119,194,311,590,908,1494,53,62,118,6189,6122,12309
SOSR614,0,0,0,25,31,59,0,0,0,0,0,0,3,3,9,1410,1260,2669,129,117,244,45,0,45,11,0,11,3,3,4,14,5,15,51,74,123,1690,1500,3187,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,6,0,5,3,0,0,0,3,4,12,16,7,19,19,13,30,0,0,0,0,0,0,0,0,0,0,0,0,37,60,98,170,315,490,45,22,68,1960,1914,3870
SOSR615,3,3,5,103,99,205,3,0,4,3,3,3,15,13,28,8999,7893,16886,578,637,1216,213,5,213,79,8,85,53,12,59,106,43,158,356,404,760,10514,9102,19623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,12,31,36,3,5,12,0,0,0,9,39,53,82,58,141,100,94,194,0,0,0,3,0,4,5,0,7,7,4,11,333,478,810,1057,1663,2715,136,129,262,12144,11476,23622
SOSR621,0,0,3,29,36,66,0,0,0,0,0,0,0,0,0,2785,2312,5097,229,243,473,74,4,75,20,0,20,27,13,41,43,18,60,179,193,377,3392,2810,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,3,8,7,0,0,0,10,12,17,35,15,52,40,29,70,0,0,0,0,3,4,3,0,3,3,3,6,165,225,395,386,612,996,47,49,101,4041,3729,7766
SOSR622,0,0,0,23,16,38,0,0,0,0,0,0,4,0,7,1699,1418,3117,101,119,217,54,0,54,9,3,9,9,4,8,28,12,38,100,95,189,2029,1661,3691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,6,0,0,0,7,9,11,15,3,20,19,8,26,0,0,0,0,0,0,3,3,9,0,8,6,116,127,249,229,365,594,30,19,49,2428,2192,4621
SOSR631,5,3,7,147,140,281,5,3,12,3,6,11,20,17,31,15782,13195,28976,776,1076,1857,646,18,666,255,52,316,70,29,103,301,94,400,914,585,1498,18925,15230,34148,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,37,45,81,22,31,48,4,5,12,56,76,139,194,86,275,254,164,421,0,0,6,3,10,15,13,3,16,24,15,36,2178,1964,4140,2090,3129,5216,364,257,621,23827,20753,44577
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,7,0,7,33,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,38,9,47
SOSR699,0,0,0,9,8,10,0,0,0,0,0,0,0,0,0,72,43,113,16,8,23,0,0,0,4,0,4,4,0,8,3,0,10,9,11,18,120,72,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,45,3,0,3,152,98,247
SOSR703,19,12,35,2650,1209,3863,10,3,11,7,6,12,92,83,175,21448,18261,39707,1632,2316,3950,217,9,228,802,166,961,906,567,1469,453,149,602,1376,1268,2646,29605,24048,53651,0,0,3,0,0,0,0,0,0,7,3,15,0,0,0,0,0,0,16,7,19,0,0,0,0,0,0,614,109,722,65,97,164,119,23,140,801,226,1027,320,179,506,1138,416,1555,4,4,3,37,27,61,23,16,35,63,38,101,461,832,1290,2132,2527,4659,395,296,690,33793,28155,61953
SOSR712,3,0,3,236,74,314,0,0,3,0,0,0,28,31,64,3811,3861,7673,324,511,837,70,7,69,140,52,188,346,276,620,64,39,101,327,369,693,5349,5217,10569,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,16,6,19,4,0,4,6,0,5,19,7,31,55,55,114,84,65,145,0,0,0,4,0,6,6,7,7,7,8,16,91,156,252,420,525,947,54,66,121,6010,6038,12045
SOSR714,0,0,0,7,6,12,0,0,0,0,0,0,6,8,16,899,823,1718,98,117,211,13,4,11,28,5,38,46,23,69,14,8,23,85,99,186,1201,1085,2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,16,17,7,20,0,0,0,0,0,0,0,0,0,0,0,0,30,46,78,89,114,206,17,7,26,1352,1266,2620
SOSR715,0,0,0,71,60,129,0,0,3,0,0,0,4,3,12,1061,903,1969,279,288,570,15,0,11,35,11,49,62,60,125,16,15,35,560,692,1250,2114,2040,4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,29,18,41,33,17,52,0,0,0,0,0,0,0,4,4,0,3,3,19,34,53,157,163,318,65,97,159,2384,2350,4731
SOSR721,0,0,0,79,49,132,0,0,0,0,0,0,0,0,0,991,745,1736,160,171,334,24,3,22,24,8,35,56,37,98,33,10,44,613,747,1362,1975,1778,3755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,5,7,9,0,3,4,23,6,28,17,20,40,42,30,69,0,0,0,0,0,4,5,0,3,7,3,5,22,31,53,145,165,314,75,52,129,2256,2061,4320
SOSR722,0,0,0,12,13,28,9,3,12,0,0,0,0,4,4,475,316,795,113,127,236,8,0,11,3,0,6,16,11,27,28,20,45,497,628,1125,1169,1121,2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,3,3,0,0,0,0,0,0,3,5,7,41,45,88,40,55,94,0,0,0,4,3,7,9,8,16,8,18,24,38,25,63,76,75,150,43,32,78,1381,1323,2708
SOSR731,0,0,5,251,88,342,10,0,10,0,0,0,4,8,16,4377,3777,8151,395,380,770,182,3,182,86,26,110,93,41,135,209,74,281,683,596,1275,6283,4990,11272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,167,31,197,12,10,20,13,0,16,190,44,230,68,25,96,262,68,333,3,0,0,3,0,3,3,0,9,14,3,12,396,454,851,487,525,1010,151,108,259,7587,6148,13740
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,21,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,22,4,28
SOSR799,0,0,0,57,12,64,0,0,0,0,0,0,0,0,0,79,48,127,19,21,42,6,0,6,6,0,6,4,6,15,19,21,39,66,78,142,259,193,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,4,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,5,9,14,26,40,41,75,8,3,9,320,252,574
SOSR802,97,51,147,5925,6276,12205,23,12,41,25,24,50,192,126,315,69206,61130,130329,4106,8177,12283,948,20,963,1770,207,1970,3726,1632,5358,729,324,1054,4958,4278,9242,91698,82264,173962,17,9,23,0,0,0,3,0,4,47,26,72,0,3,8,11,0,9,78,43,119,0,3,3,3,0,4,401,461,861,254,422,683,159,130,290,822,1012,1839,942,653,1600,1843,1709,3550,24,19,44,91,80,173,61,25,83,173,125,300,2702,3557,6261,7263,12338,19596,637,568,1200,104319,100550,204869
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,46,82,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,48,48,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,9,8,18,0,0,0,63,66,130
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,110,256,8,10,17,9,0,9,0,0,0,0,0,0,5,0,5,25,15,41,189,139,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,0,0,3,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,21,17,32,22,29,53,0,0,0,231,193,424
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,8,14,19,0,0,0,0,0,0,0,0,0,51,49,104,3,11,16,3,0,3,0,0,0,4,5,10,0,0,3,10,9,18,89,87,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,19,0,3,0,102,101,202
SOSR915,0,0,0,28,21,51,0,0,0,0,0,0,0,0,3,357,189,540,38,37,68,3,0,3,5,0,7,3,0,3,7,3,7,12,17,30,455,273,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,31,33,63,7,0,10,502,321,820
SOSR921,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,124,156,278,7,19,25,25,6,28,4,7,10,0,0,0,3,0,4,18,17,34,180,202,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,19,9,19,25,3,4,11,200,236,436
SOSR922,3,0,3,0,0,0,28,13,37,0,0,0,0,0,0,33,24,59,4,3,4,0,0,0,27,7,32,4,5,15,5,3,7,50,22,72,151,81,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,21,0,0,0,0,0,0,0,0,0,0,0,0,9,15,20,6,3,12,18,17,36,0,0,0,6,3,4,5,0,5,7,3,15,9,4,11,4,13,21,6,3,9,196,124,321
SOSR931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,219,387,5,15,15,40,3,46,3,4,5,0,0,0,0,0,4,12,12,20,232,253,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,24,40,17,23,34,10,4,14,276,300,573
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,8,11
