UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL321022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,107,217,4,5,13,6,0,6,0,0,0,0,0,0,3,0,3,0,3,3,125,122,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,11,19,26,0,4,3,138,153,291
UCL321023,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,103,119,218,9,4,13,6,0,12,4,0,4,0,0,0,0,0,0,0,0,4,131,126,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,18,17,39,3,0,3,163,148,315
UCL321024,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,104,98,203,4,8,10,10,0,10,0,0,0,0,0,0,3,0,3,0,0,0,127,109,228,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,6,16,18,9,24,29,0,4,4,145,155,294
UCL321025,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,132,109,243,10,10,20,6,0,6,0,0,0,4,0,4,3,0,3,5,3,8,167,126,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,14,16,29,4,4,6,178,156,337
UCL321026,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,87,78,159,3,11,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,88,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,9,25,3,3,9,119,110,226
UCL321027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,114,236,3,10,16,5,0,5,5,0,5,0,0,0,0,0,0,12,12,17,152,130,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,15,19,16,14,37,3,0,3,176,160,343
UCL321028,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,179,113,291,6,15,15,10,0,10,0,0,0,3,0,3,0,4,4,20,19,35,232,147,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,8,30,38,16,19,30,6,5,9,266,204,466
UCL321029,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,38,42,81,0,4,6,0,0,0,3,0,3,0,3,3,0,3,5,0,9,10,52,53,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,29,38,67,33,45,73,0,0,0,0,8,8,3,0,4,3,5,11,7,13,15,13,13,32,4,0,4,120,134,254
UCL321030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,55,133,7,8,12,5,0,5,0,0,0,0,0,0,0,0,0,0,3,5,92,67,158,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,18,23,4,0,4,111,87,198
UCL321031,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,134,136,271,10,0,15,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,154,142,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16,11,32,40,3,0,7,179,182,362
UCL321032,0,0,3,7,3,8,0,0,0,0,0,0,0,0,0,300,287,582,21,17,36,15,0,15,3,0,3,4,0,4,9,0,9,3,8,15,359,319,671,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,6,3,0,5,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,17,40,62,39,45,87,3,8,11,429,415,843
UCL321033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,94,186,6,10,13,0,0,3,3,0,3,0,0,0,3,0,3,3,8,5,106,111,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,13,18,27,3,0,3,125,131,253
UCL321034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,138,250,11,12,21,3,0,3,0,0,4,0,3,4,4,7,9,20,21,43,156,178,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,14,23,34,3,3,6,181,211,386
UCL321035,0,0,0,4,3,13,0,0,0,0,0,0,0,0,0,186,147,331,8,12,24,3,0,10,6,0,6,0,0,0,0,0,0,0,0,0,209,164,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,32,24,59,3,7,10,254,203,462
UCL321036,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,150,139,283,13,7,22,5,0,5,0,0,6,0,0,0,0,0,0,0,0,0,166,149,318,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,4,12,0,0,0,0,0,0,0,0,0,0,0,3,5,13,19,24,30,50,0,0,3,202,200,404
UCL321037,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,131,118,252,8,11,16,9,3,15,6,0,6,0,0,0,0,0,3,3,0,4,166,133,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,20,27,51,3,0,8,197,172,373
UCL321038,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,75,76,158,13,3,17,0,0,0,0,0,0,3,3,6,0,0,3,30,21,53,129,119,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,23,9,16,25,0,0,0,0,0,0,0,0,0,3,0,4,7,7,21,14,26,38,0,3,3,169,164,337
UCL321039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,204,3,9,12,3,0,3,4,0,4,0,0,0,0,0,0,0,3,6,115,112,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,11,16,18,18,32,7,3,5,144,145,292
UCL321040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,101,100,207,3,10,18,3,0,3,4,0,4,3,0,8,0,0,3,14,16,27,136,138,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,10,23,26,29,54,0,0,0,176,184,353
UCL321041,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,137,144,284,3,11,10,6,0,6,0,0,0,0,0,0,0,0,0,14,12,20,166,161,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,24,27,53,17,26,43,0,3,0,215,219,430
UCL321042,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,112,123,235,5,9,13,3,0,3,7,0,7,0,0,0,0,0,0,7,3,15,132,140,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,21,36,20,18,35,3,3,8,168,184,353
UCL321043,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,100,104,204,13,8,18,4,0,4,3,0,3,3,0,3,4,0,7,3,0,5,131,108,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,15,22,14,11,23,0,0,0,153,143,294
UCL321044,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,71,74,142,4,7,17,4,0,4,0,0,0,0,0,0,0,0,3,13,21,27,91,104,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,21,11,12,25,3,3,7,115,134,250
UCL321045,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,114,117,231,7,4,6,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,121,127,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,9,16,23,0,0,0,136,150,282
UCL321046,0,0,0,19,0,14,0,0,0,0,0,0,0,0,0,113,71,184,21,3,23,3,0,3,0,3,3,3,3,3,3,0,3,3,10,14,157,97,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,28,11,41,0,4,4,191,112,309
UCL321047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,70,152,8,13,19,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,102,82,187,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,12,11,24,3,0,4,127,104,226
UCL321048,0,0,0,11,3,11,0,0,0,0,0,0,0,0,0,320,278,595,22,18,43,20,0,19,3,0,3,3,0,0,6,0,6,6,8,15,386,307,700,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,11,0,9,0,0,0,0,0,0,0,0,0,0,0,3,26,42,74,51,64,118,13,8,19,488,426,917
UCL321049,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,106,71,176,5,8,15,3,0,3,4,0,4,0,0,0,4,0,4,0,0,0,126,77,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,18,26,44,0,3,3,145,116,261
UCL321050,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,174,170,341,3,7,16,10,0,10,0,0,0,0,0,0,3,0,3,0,0,0,204,178,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,19,28,56,0,3,7,229,225,454
UCL321051,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,103,88,190,9,15,21,0,0,0,3,0,3,0,0,0,0,0,0,0,3,6,120,111,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,11,20,0,0,0,134,125,255
UCL321052,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,89,94,183,6,7,15,6,0,6,0,0,0,0,0,0,3,0,3,11,10,18,118,110,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,17,13,26,0,6,3,137,134,269
UCL321053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,55,90,4,0,5,3,0,8,0,0,0,0,0,0,0,0,3,3,5,5,56,63,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,6,6,13,0,3,3,60,77,139
UCL321054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,63,153,4,3,9,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,100,71,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,9,15,26,0,0,0,117,94,212
UCL321055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,91,201,11,3,17,7,0,7,0,0,0,0,0,0,0,0,0,5,3,10,133,102,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,7,12,20,0,0,0,146,124,266
UCL321056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,98,190,9,6,18,3,0,3,0,0,0,0,0,0,3,0,0,15,14,26,122,115,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,18,17,34,3,0,4,144,144,286
UCL321057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,57,116,28,13,38,0,0,0,0,0,0,0,0,0,6,0,7,20,12,40,113,85,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,120,89,208
UCL321058,0,0,0,0,0,3,10,9,15,0,0,0,0,0,0,33,14,45,3,8,12,0,0,0,0,0,0,0,0,0,15,11,28,20,30,57,77,74,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,8,9,5,5,15,6,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,4,9,6,4,7,103,101,200
UCL321059,0,0,0,4,3,5,3,4,10,0,0,0,0,0,0,59,52,114,4,11,11,0,0,0,5,0,5,11,0,11,4,0,4,8,9,15,100,71,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,18,8,13,18,0,0,0,0,4,3,5,3,8,3,8,11,9,17,26,12,18,36,4,0,7,140,131,270
UCL321060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,137,317,9,14,20,7,0,7,0,3,4,4,0,3,3,3,7,34,28,61,241,185,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,34,13,18,32,3,8,12,281,229,511
UCL321061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,88,190,10,14,25,3,0,3,0,0,0,0,0,0,0,0,3,16,19,40,141,122,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,15,9,24,3,3,4,162,142,305
UCL321062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,47,11,13,25,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,48,44,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,3,4,6,0,3,5,51,52,104
UCL321063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,114,241,10,5,14,11,0,11,0,0,0,0,0,0,8,3,6,27,10,39,181,135,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,27,83,14,35,45,7,4,11,251,204,456
UCL321064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,107,207,4,3,11,3,0,3,0,0,0,0,0,0,0,0,0,11,11,17,129,119,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,10,26,36,0,0,0,147,153,301
UCL321065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,55,112,3,8,11,5,0,5,3,0,3,5,3,7,13,3,19,30,27,58,111,100,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,22,7,4,9,0,3,6,131,122,255
UCL321066,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,175,165,340,12,11,21,5,0,10,0,0,3,0,0,0,4,0,5,0,0,0,204,173,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,8,8,4,11,0,0,0,4,0,4,0,0,0,5,0,5,16,30,45,16,26,49,0,3,5,249,243,492
UCL321067,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,80,80,161,16,3,20,7,0,7,3,0,3,0,0,0,0,0,0,18,16,30,130,99,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,14,21,0,0,0,142,114,260
UCL321068,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,59,65,126,7,7,10,5,0,5,0,0,3,0,0,0,0,0,0,6,4,7,80,77,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,15,18,12,29,3,3,10,110,93,204
UCL321069,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,52,20,77,9,10,14,3,0,3,0,0,0,0,0,0,3,0,6,46,73,116,113,106,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,0,0,0,118,113,227
UCL321070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,139,288,4,12,16,6,0,6,3,0,3,0,0,0,0,0,0,3,3,7,170,152,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,15,14,32,16,30,40,7,3,7,213,208,415
UCL321071,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,81,71,153,6,7,14,0,0,0,0,0,0,3,0,3,0,0,0,3,13,19,104,85,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,15,11,26,3,0,3,123,106,232
UCL321072,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,167,150,316,4,14,21,11,0,11,0,0,0,0,0,0,0,0,0,3,4,3,193,167,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,14,19,25,20,32,48,3,7,7,226,215,445
UCL321073,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,37,23,63,15,7,21,0,0,0,0,0,0,0,0,0,0,0,0,39,46,84,91,76,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,6,96,83,186
UCL321074,4,0,3,3,0,3,0,0,0,0,0,0,0,0,0,160,134,300,7,5,16,3,0,3,3,0,3,0,0,0,0,0,3,0,0,0,183,143,329,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,19,29,16,28,48,0,3,5,223,198,425
UCL321075,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,93,90,185,0,11,13,0,0,0,4,0,4,0,0,0,0,0,3,10,7,19,124,105,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,35,21,29,53,0,0,0,157,160,314
UCL321076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,88,195,3,5,15,3,0,6,0,0,0,0,0,0,0,0,0,3,3,11,128,103,228,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,25,31,4,0,7,146,133,277
