UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL515007,115,231,0,0,14,70,0,11,185,697,209,777,9,25,6,14,10,31,20,70,227,848,0,0,3,13,0,0,30,63,32,78,0,0,6,10,10,24,14,33,47,111,5,4,393,1192
UCL515008,86,164,3,20,10,52,7,20,121,487,144,583,3,15,13,36,14,49,26,95,172,682,0,0,0,3,0,0,3,20,7,20,0,0,3,7,7,18,8,23,17,42,0,0,275,888
UCL515009,311,594,0,3,27,120,4,19,137,528,166,668,3,20,14,41,26,69,44,129,210,800,3,4,9,41,4,12,53,124,66,189,5,13,15,33,24,45,40,88,112,279,5,8,631,1681
UCL515010,258,498,4,42,25,116,8,58,201,825,240,1030,7,17,5,16,30,93,43,124,277,1154,5,22,8,53,17,80,75,239,112,391,0,3,8,16,50,117,55,137,166,531,42,100,744,2282
UCL515011,303,582,3,19,22,90,10,43,155,638,190,783,7,27,13,38,30,95,49,160,237,948,0,4,4,12,10,31,34,96,48,140,0,6,6,17,21,39,34,66,81,208,5,13,628,1745
UCL515012,222,419,3,13,33,148,3,21,182,691,221,863,12,37,21,54,21,66,47,154,268,1016,0,0,13,38,3,11,30,108,47,155,3,8,8,11,20,36,23,49,70,207,0,9,564,1645
UCL515013,277,523,3,18,24,97,9,28,186,701,219,839,7,35,13,35,31,83,45,155,264,992,0,0,5,24,0,8,38,103,48,129,0,3,4,13,15,33,24,50,70,177,7,14,617,1716
UCL515014,65,123,4,16,3,11,11,48,51,206,63,277,0,8,0,0,8,36,10,45,72,321,4,17,0,6,8,34,36,109,47,164,3,4,0,3,15,42,19,52,66,215,15,32,213,692
UCL515015,297,585,3,19,28,130,7,45,153,609,195,802,12,46,13,43,56,174,80,261,275,1061,0,3,7,27,6,19,44,114,57,166,0,13,12,22,42,94,54,123,113,288,10,23,700,1961
UCL515016,192,373,7,17,7,20,0,0,81,301,91,346,4,7,9,17,24,62,31,86,123,434,0,3,5,18,0,0,27,73,32,89,0,7,3,8,16,26,19,42,54,132,4,3,374,943
UCL515017,199,374,0,0,11,52,3,6,53,206,75,270,4,11,7,21,21,57,29,92,105,362,0,0,5,13,0,5,21,48,22,72,0,4,0,3,12,32,20,30,45,104,7,8,348,852
UCL515018,160,296,5,37,19,98,11,53,142,543,178,736,4,17,18,57,23,71,46,136,226,875,0,0,3,13,3,12,44,135,53,151,0,3,4,8,15,41,22,47,72,200,0,6,455,1382
UCL515019,378,752,7,43,29,156,15,68,172,683,221,952,8,52,15,38,71,224,93,313,317,1266,4,19,11,38,6,35,66,201,83,288,4,18,7,16,42,77,55,112,136,396,19,39,853,2455
UCL515020,380,734,3,17,21,94,22,106,268,1031,317,1248,4,21,16,45,40,115,57,186,377,1431,3,16,19,55,20,91,112,353,149,521,3,6,3,6,39,100,49,110,196,630,16,38,971,2832
UCL515021,219,428,3,21,17,66,9,37,121,468,143,592,8,23,17,62,33,111,57,193,204,788,0,0,0,8,0,7,22,52,26,72,0,3,9,18,17,38,27,59,51,129,4,3,483,1354
UCL515022,475,939,10,65,41,188,15,60,240,955,302,1264,9,50,29,97,60,198,102,345,408,1609,8,29,7,35,9,35,91,238,111,339,7,24,20,46,62,124,86,197,203,533,19,41,1100,3114
UCL515023,292,569,8,64,22,89,6,30,146,570,182,754,12,42,12,34,35,102,52,177,235,932,3,11,6,34,7,36,42,123,60,200,0,3,11,21,26,56,34,81,99,276,9,22,634,1799
UCL515024,149,289,3,10,9,59,10,53,83,322,108,443,6,28,11,31,27,89,44,144,148,581,0,5,0,10,3,13,37,106,45,133,0,0,3,4,24,54,28,59,72,192,8,9,375,1077
UCL515025,200,391,0,3,16,90,3,24,100,404,124,519,5,25,6,22,27,86,39,129,168,650,0,0,9,33,3,11,46,126,57,172,3,6,14,22,28,58,43,87,95,263,10,18,475,1316
UCL515026,402,785,9,34,36,165,17,65,230,921,287,1190,18,79,17,48,70,216,104,345,391,1532,0,9,12,35,3,26,105,312,129,380,3,9,21,39,64,132,87,185,210,562,14,35,1023,2913
UCL515027,313,618,5,29,44,203,14,59,423,1699,482,1985,9,44,27,73,41,118,71,233,555,2220,0,3,0,11,0,3,40,100,39,122,0,4,10,14,21,48,32,67,72,190,5,13,950,3033
UCL515028,76,142,4,12,13,75,3,12,151,611,172,713,3,13,9,18,7,23,18,54,190,773,0,0,0,4,5,8,12,31,18,49,0,4,0,0,9,14,7,23,28,70,0,0,293,978
UCL515029,404,798,8,56,34,184,12,46,214,853,272,1139,22,90,26,87,89,271,139,444,410,1582,0,6,18,61,10,29,74,216,98,318,9,28,17,32,63,132,89,193,188,509,3,15,1006,2907
UCL515030,432,818,11,43,33,139,6,18,141,514,182,710,4,19,14,42,43,129,64,188,244,896,0,5,4,25,0,4,53,143,64,181,5,13,8,12,18,42,33,65,92,247,10,18,776,1986
UCL515031,201,397,0,18,34,140,10,37,332,1323,372,1523,6,37,5,25,19,50,32,110,412,1638,0,0,3,12,3,3,29,82,36,101,0,3,6,10,14,29,17,42,59,137,7,12,676,2185
UCL515032,250,488,5,35,19,88,12,54,136,504,172,680,3,14,14,49,44,132,60,194,236,870,0,3,4,24,9,22,48,136,58,186,3,6,12,23,25,47,32,77,97,263,3,3,582,1626
UCL515033,189,365,0,6,10,54,3,23,46,197,66,285,5,24,8,17,13,37,25,74,96,362,0,0,4,8,3,8,33,81,35,99,0,0,0,4,21,45,30,52,64,156,4,5,351,882
UCL515034,263,507,9,37,11,67,7,30,135,506,159,641,10,27,12,37,51,149,69,215,231,858,0,0,10,32,3,14,46,122,61,173,3,8,9,22,39,86,53,116,114,287,11,17,609,1663
UCL515035,128,259,3,14,21,83,6,38,120,453,147,593,5,19,7,33,21,79,42,131,190,725,0,0,4,18,7,20,25,76,37,112,0,0,0,0,7,22,12,20,45,136,9,12,369,1125
UCL515036,337,646,0,14,20,83,10,48,115,471,151,613,3,20,10,28,39,103,53,157,199,769,0,7,9,44,0,8,52,146,69,199,3,7,9,21,34,69,44,96,111,295,3,8,652,1720
UCL521001,66,122,0,3,10,44,3,22,43,157,52,233,0,10,0,3,13,34,20,50,73,282,0,0,3,8,3,20,9,14,10,44,0,3,0,0,0,3,4,5,13,48,0,3,152,453
UCL521002,125,249,3,14,6,29,5,21,33,123,44,186,3,10,0,8,15,51,17,67,63,255,0,6,3,7,0,6,13,26,18,49,0,0,0,3,14,29,13,33,31,81,0,3,221,580
UCL521003,131,248,0,7,3,17,0,8,41,141,42,172,0,3,5,8,12,36,16,53,61,222,0,4,4,12,0,4,14,43,20,65,0,0,0,6,8,19,11,22,31,89,4,13,222,574
UCL521004,28,58,3,28,4,20,6,41,44,195,57,281,0,4,0,0,3,29,4,37,65,320,3,13,3,10,5,20,26,84,35,128,0,0,0,3,9,25,13,29,46,156,11,31,149,562
UCL521005,108,212,3,11,11,37,0,3,98,363,106,418,4,12,9,13,27,72,34,99,140,519,0,0,3,13,0,0,30,73,31,84,0,3,0,3,20,38,22,43,53,132,0,5,308,869
UCL521006,104,204,0,0,6,17,5,13,51,212,61,243,3,18,3,19,30,85,37,121,99,358,0,0,3,12,0,0,13,36,14,51,0,0,3,6,12,20,11,28,32,77,3,6,237,646
UCL521007,64,127,0,0,0,11,3,17,15,73,24,98,0,3,7,15,3,6,7,21,30,122,0,0,3,4,0,0,13,42,14,53,0,3,4,3,6,8,5,15,23,64,0,0,115,316
UCL521008,63,125,0,4,0,3,0,7,29,116,36,129,4,8,5,5,8,18,9,33,47,166,0,0,0,0,4,16,10,36,17,44,0,0,0,3,9,23,10,26,22,74,3,5,136,365
UCL521009,74,139,0,0,3,14,4,13,26,100,29,129,0,0,3,5,5,11,8,19,40,151,0,0,0,3,0,0,10,25,14,33,0,0,0,0,6,15,6,15,20,45,0,0,133,331
UCL521010,87,181,3,12,8,45,3,12,36,136,48,203,5,22,7,16,17,41,25,73,71,278,0,7,7,17,0,0,20,48,25,73,0,6,3,8,21,36,19,46,46,121,0,3,210,582
UCL521011,59,110,4,30,8,41,0,5,62,232,77,309,0,0,6,21,9,23,17,47,88,355,0,7,0,0,0,4,6,24,9,34,0,0,0,0,7,7,7,7,13,41,0,0,162,512
UCL521012,81,151,0,4,3,15,0,5,25,79,30,106,0,5,3,5,13,37,13,43,48,153,0,0,0,0,0,0,10,24,10,24,0,0,0,0,4,8,4,8,15,36,0,0,139,338
UCL521013,57,107,4,35,12,57,0,4,39,175,59,280,6,29,9,31,21,78,42,144,98,421,0,0,0,4,3,3,4,8,7,13,0,0,0,3,6,11,7,13,12,24,3,6,165,560
UCL521014,87,162,0,0,0,0,6,18,23,88,29,106,0,0,0,6,6,14,10,25,40,129,0,0,0,0,0,0,5,11,5,11,0,0,0,3,8,13,10,11,11,22,0,3,134,323
UCL521015,82,162,0,4,13,53,6,30,58,225,78,310,7,34,4,12,10,35,25,82,104,395,0,7,5,23,0,4,12,33,23,66,3,6,0,0,13,33,16,47,41,108,0,3,220,664
UCL521016,80,157,0,3,7,31,4,19,41,150,52,199,4,12,0,4,15,39,14,54,66,250,0,0,0,3,0,8,25,76,30,83,0,0,0,0,16,36,16,36,49,115,4,8,194,530
UCL521017,102,199,0,0,3,17,4,7,37,145,41,171,0,7,5,9,3,9,6,22,51,192,0,0,3,15,0,4,18,52,19,71,0,0,3,6,3,12,9,18,28,88,3,3,179,480
UCL521018,85,170,0,4,6,39,0,7,44,176,52,228,0,4,4,8,16,60,22,72,72,293,0,3,3,12,0,0,16,43,15,52,3,10,0,0,9,19,12,28,26,83,3,5,196,551
UCL521019,67,137,5,18,5,21,3,19,58,227,71,287,3,19,0,0,15,53,20,77,91,364,0,0,0,0,0,0,3,4,3,4,0,0,0,0,5,16,5,16,12,21,3,10,180,531
UCL521020,106,199,0,0,4,13,3,7,42,175,49,198,0,6,0,0,9,28,11,30,57,222,0,0,0,0,0,0,4,20,5,24,0,0,0,3,8,7,4,12,14,37,3,7,183,467
UCL521021,112,219,0,0,5,18,3,12,35,148,41,175,3,11,4,14,21,60,33,88,71,260,3,8,0,4,0,6,5,17,15,33,0,0,0,3,5,5,4,13,17,43,0,0,202,526
UCL521022,101,198,0,0,9,46,0,3,59,242,70,295,4,9,6,18,11,36,19,65,91,359,0,5,3,13,0,3,21,58,28,81,0,0,0,3,3,11,7,10,27,85,0,3,228,643
UCL521023,58,106,0,10,9,39,4,10,50,195,64,254,7,20,8,26,8,24,24,68,86,323,0,0,3,9,0,0,9,29,16,37,0,4,4,7,0,3,7,12,24,52,0,0,166,481
UCL521024,60,112,4,16,7,20,0,6,42,166,49,200,5,12,0,0,13,29,13,42,60,248,0,0,0,0,0,3,12,32,7,37,0,0,0,0,10,23,10,23,22,62,4,10,145,425
UCL521025,65,126,0,0,0,3,0,0,23,106,30,107,0,6,4,7,3,11,6,24,33,132,0,0,0,3,0,3,12,21,9,32,0,0,0,3,3,12,3,16,16,46,0,3,116,307
UCL521026,68,138,3,16,3,15,11,43,67,290,78,366,0,3,0,4,13,35,12,49,95,410,0,6,7,25,26,114,61,202,90,342,0,0,3,3,22,54,21,58,115,400,16,31,292,988
UCL521027,58,114,0,10,14,54,3,11,65,241,79,323,4,17,3,15,23,74,29,108,109,428,0,0,0,0,0,0,3,6,3,6,0,0,0,7,10,15,7,16,14,27,0,0,180,568
UCL521028,77,150,0,0,3,9,3,9,36,139,37,157,0,0,0,7,3,9,10,17,46,176,0,4,0,0,0,0,3,13,9,19,0,0,0,0,5,8,5,8,11,30,0,0,136,356
UCL521029,80,156,3,8,7,35,3,21,54,220,68,291,11,39,4,7,16,48,27,93,104,388,0,0,0,3,3,11,12,26,15,35,3,4,4,6,11,18,13,34,32,71,4,8,216,618
UCL521030,56,105,0,4,9,42,6,27,49,189,65,258,3,9,0,6,15,38,19,52,82,308,0,0,0,4,0,0,13,34,10,37,0,5,0,6,4,8,9,20,24,55,0,3,160,474
UCL521031,99,201,0,0,5,37,7,30,38,159,53,230,4,10,5,12,10,31,18,49,70,280,0,0,7,26,3,13,22,62,32,99,0,3,3,7,11,29,13,34,48,130,6,8,222,616
UCL521032,129,260,0,7,7,35,3,28,64,258,83,327,3,10,4,9,16,65,25,85,109,407,0,0,0,3,3,4,29,89,30,102,0,0,0,4,9,25,13,27,49,130,3,5,285,800
UCL521033,54,103,0,0,0,3,0,9,33,125,36,140,0,4,3,10,6,14,13,28,45,164,0,6,0,0,0,0,12,29,14,34,0,0,0,0,4,10,4,10,16,51,0,3,112,316
UCL521034,95,180,0,0,0,12,0,8,33,109,37,132,0,6,3,11,4,17,14,32,48,168,0,0,0,0,0,6,4,16,4,15,0,0,0,3,13,24,15,29,22,47,3,7,164,396
UCL521035,44,84,0,4,0,3,0,17,17,73,23,109,0,3,0,4,7,18,5,27,34,128,0,4,0,0,3,18,16,45,20,62,0,0,0,0,7,15,7,15,25,78,0,3,102,295
UCL521036,9,32,0,0,7,26,3,19,43,185,47,225,0,6,0,3,6,19,9,29,60,258,0,8,0,8,8,32,29,75,33,122,0,0,0,0,10,23,6,31,41,150,13,37,126,478
UCL521037,68,134,3,12,14,49,0,11,35,137,52,206,6,23,11,37,19,53,36,110,85,311,0,0,0,0,0,3,6,29,9,27,0,4,0,3,0,4,7,11,12,43,0,0,167,487
UCL521038,45,83,0,4,0,8,5,20,22,71,26,105,0,0,0,0,3,5,3,5,25,117,0,0,3,12,4,13,18,66,26,82,0,0,0,0,5,17,5,17,35,98,0,5,103,308
UCL521039,47,89,4,18,5,28,0,6,17,76,31,126,0,8,3,7,4,14,8,26,34,157,0,0,0,0,0,0,18,47,18,47,0,3,0,0,8,9,4,14,27,62,5,6,112,315
UCL521040,84,168,4,16,17,69,6,38,43,155,69,276,12,41,3,12,19,64,33,121,106,400,0,4,0,3,0,4,6,13,12,31,0,0,0,3,12,21,8,22,18,50,0,0,211,611
UCL521041,161,315,4,31,18,70,7,45,90,369,121,515,12,47,16,53,49,145,79,245,195,765,0,3,0,0,3,12,12,28,15,43,3,12,3,8,30,54,37,75,53,116,0,0,406,1196
UCL521042,66,132,0,0,9,30,3,9,25,86,29,131,0,5,0,3,14,47,19,53,52,186,0,0,0,4,0,3,11,38,18,39,0,0,0,3,10,23,13,24,27,62,3,9,140,383
UCL521043,62,119,0,0,0,5,0,0,26,108,26,112,0,3,0,0,11,21,12,26,34,140,0,0,0,7,4,12,20,41,25,60,0,0,0,0,8,18,10,22,32,82,4,3,138,347
UCL521044,113,219,3,20,5,21,0,9,55,205,66,249,3,13,0,10,12,34,17,55,79,305,0,0,3,18,3,14,29,83,32,111,0,0,6,10,20,44,31,63,66,171,0,3,258,704
UCL521045,120,222,0,0,5,36,3,16,34,135,41,191,0,0,4,5,15,49,17,54,64,243,0,0,0,0,0,5,5,15,9,22,0,0,0,3,9,27,16,27,21,53,5,7,203,529
UCL521046,92,187,0,4,14,51,0,3,52,178,66,240,0,0,12,30,21,58,31,90,97,329,0,0,3,5,0,0,13,29,15,41,0,9,5,10,5,16,20,37,30,75,0,0,223,594
UCL521047,101,202,0,0,3,19,7,18,46,177,55,214,0,8,0,3,5,27,8,30,67,242,0,0,0,3,3,3,7,24,10,35,0,0,0,4,11,30,12,34,25,70,9,17,195,532
UCL521048,65,114,0,4,3,7,0,5,72,305,82,326,0,3,0,4,5,16,7,27,93,348,0,0,0,0,0,0,10,26,10,26,0,0,0,0,0,3,3,3,12,30,0,0,164,501
UCL521049,77,151,0,4,10,64,0,5,39,143,52,218,0,6,9,19,10,25,12,55,66,267,0,0,3,9,0,6,15,33,14,43,0,0,4,4,11,22,13,26,34,74,3,8,179,507
UCL521050,99,190,0,0,0,4,4,16,36,138,36,165,0,5,4,13,12,35,20,55,56,215,0,0,0,4,5,25,16,60,24,83,0,0,3,6,17,30,19,33,40,123,3,5,201,539
UCL521051,85,168,0,4,3,13,0,3,16,68,22,89,0,4,0,0,11,20,7,25,30,111,0,0,0,0,0,3,16,49,18,47,0,0,0,0,11,18,11,18,29,72,4,7,146,363
UCL521052,29,57,4,28,0,15,3,19,26,108,40,169,0,13,4,9,14,46,18,64,53,238,0,3,4,20,4,19,23,70,30,109,0,0,0,0,12,30,12,30,41,143,7,21,135,459
UCL521053,143,281,8,35,28,124,15,57,88,338,130,558,7,19,12,39,26,87,48,144,180,698,0,0,0,0,3,9,13,40,16,50,0,0,3,4,13,38,19,40,41,91,3,5,364,1076
UCL521054,75,138,0,0,0,4,0,5,38,153,38,168,0,3,0,10,7,31,13,41,53,202,0,5,0,8,0,0,16,37,16,42,0,0,3,7,13,30,22,35,37,82,0,3,159,425
UCL521055,144,283,0,11,3,26,0,10,37,148,48,193,0,0,5,6,17,46,18,63,65,249,0,3,3,15,3,6,26,60,34,93,0,0,3,3,14,34,19,39,48,124,3,11,264,671
UCL521056,41,92,0,0,3,10,6,42,50,200,61,245,0,0,3,3,5,22,5,26,67,274,0,0,0,0,4,17,18,43,24,68,0,0,3,4,12,26,9,29,31,99,7,21,147,483
UCL521057,76,154,0,8,3,19,3,5,53,206,65,240,0,0,3,3,8,27,10,30,72,268,0,5,0,0,0,0,19,52,15,60,3,8,3,6,4,14,11,24,30,86,4,9,180,511
UCL521058,84,164,3,14,8,47,3,6,40,148,53,207,6,10,3,16,13,39,21,70,70,283,0,0,4,11,0,0,12,27,10,34,0,0,0,3,4,3,3,9,14,43,3,3,175,494
UCL521059,82,171,10,39,6,38,7,46,41,154,63,285,3,16,7,13,23,64,25,95,90,378,0,0,9,24,0,3,24,57,28,82,4,8,0,3,24,54,25,65,56,153,0,3,235,702
UCL521060,38,69,0,0,0,6,5,16,30,129,35,146,0,0,0,0,7,32,7,32,45,180,0,0,0,9,3,11,24,82,31,104,0,3,0,0,6,20,12,23,42,128,3,5,128,384
UCL522001,19,45,0,0,0,0,0,16,9,51,13,70,0,0,0,0,3,8,3,8,13,76,0,0,3,14,0,8,0,6,5,25,0,0,0,0,3,6,3,6,5,27,3,13,43,158
UCL522002,47,94,0,0,0,4,0,0,11,34,11,38,3,10,0,3,0,3,3,15,16,57,0,0,3,8,0,0,8,12,5,20,0,0,0,5,5,11,5,14,14,29,0,0,73,182
UCL522003,7,21,4,29,3,17,4,18,19,93,27,150,0,0,0,0,5,8,5,8,32,155,0,3,3,9,3,8,18,76,28,95,0,0,0,0,6,16,6,16,31,104,3,3,74,286
UCL522004,15,31,0,12,3,23,3,24,21,85,29,142,0,6,0,0,0,11,4,11,33,156,0,0,5,17,4,19,17,45,22,72,0,0,0,3,9,18,5,16,30,93,4,17,80,290
UCL522005,9,18,0,0,0,0,3,13,25,121,25,132,0,0,0,0,0,0,0,0,25,132,0,5,3,10,5,17,22,55,25,90,0,0,0,0,3,13,3,13,31,102,6,9,69,266
UCL522006,48,98,0,9,7,33,3,12,14,68,31,124,8,34,11,42,10,25,26,96,55,226,0,0,3,4,0,0,3,3,4,7,0,9,0,3,7,10,10,17,10,28,0,4,118,353
UCL522007,33,72,0,0,0,8,0,0,6,29,12,33,0,0,0,3,0,3,3,5,14,40,0,0,0,0,0,0,0,3,0,3,0,0,3,4,0,0,3,4,0,6,0,0,47,112
UCL522008,20,42,3,10,0,0,0,0,9,41,13,52,0,9,0,0,4,17,9,25,22,80,0,0,0,7,0,0,9,23,8,27,0,0,0,0,7,8,7,8,17,38,0,0,59,160
UCL522009,30,55,0,0,3,12,4,15,22,72,28,103,0,3,8,23,16,35,19,64,45,164,0,3,0,0,0,0,7,22,9,27,4,10,0,3,3,14,13,25,21,55,0,0,94,281
UCL522010,24,48,0,7,3,19,0,3,24,111,29,137,4,13,5,14,8,32,16,57,48,196,0,0,3,13,0,3,4,9,4,27,0,0,0,0,0,5,3,7,10,34,0,3,85,280
UCL522011,42,80,0,0,3,13,0,0,12,57,16,65,0,3,3,6,3,10,4,20,19,84,0,0,0,0,0,0,6,13,8,14,0,0,0,0,0,3,0,3,6,17,0,0,66,181
UCL522012,33,73,0,3,3,12,3,12,23,89,33,123,3,12,3,8,12,30,14,50,44,166,0,0,0,5,0,0,3,4,5,12,0,0,0,3,4,8,5,9,7,19,0,0,91,265
UCL522013,16,37,0,0,4,17,0,5,13,38,18,61,6,7,0,0,11,27,8,37,24,101,0,0,5,21,0,0,3,9,6,24,0,0,3,3,3,10,4,11,11,37,0,0,55,168
UCL522014,5,14,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17
UCL522015,35,74,0,0,0,8,0,3,17,76,19,93,0,0,0,3,6,9,3,14,28,106,0,0,0,0,0,0,4,16,4,16,0,0,0,3,3,3,4,5,10,22,3,5,77,204
UCL522016,60,121,0,0,3,3,0,0,17,75,19,81,0,6,0,8,4,20,10,24,34,109,0,0,0,7,0,0,4,10,3,15,0,0,0,4,0,3,3,4,5,18,3,3,100,252
UCL522017,22,40,0,0,0,4,0,7,3,7,5,14,0,0,0,0,0,8,0,8,7,23,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,5,0,5,5,16,0,0,32,79
UCL522018,45,82,0,0,5,33,3,15,29,125,44,180,4,16,0,3,10,31,15,55,57,229,0,0,3,3,0,0,6,19,9,21,0,0,3,7,8,12,11,18,22,46,6,6,124,367
UCL522019,29,62,0,0,0,5,0,0,11,52,11,59,0,0,0,0,0,4,0,4,11,60,0,0,0,3,0,0,10,25,9,25,0,0,0,0,0,0,0,0,10,28,0,0,51,155
UCL522020,15,29,0,0,3,19,4,32,22,109,35,161,0,6,0,0,6,23,8,30,40,191,0,0,0,0,3,13,10,38,13,50,0,0,0,3,9,11,9,15,21,64,4,12,77,299
UCL522021,46,97,0,3,0,0,0,0,26,108,28,117,0,3,0,0,3,6,3,11,39,129,0,9,0,0,0,4,10,21,11,30,0,3,0,3,3,9,4,11,16,42,3,0,106,273
UCL522022,35,69,0,0,0,0,0,0,11,50,11,50,0,0,0,3,3,8,5,11,20,58,0,0,0,0,0,0,3,4,3,4,0,0,0,0,3,3,0,7,3,13,0,0,59,135
UCL522023,37,75,0,0,0,5,3,10,21,97,29,113,4,3,0,3,4,20,7,26,37,142,0,0,0,3,0,3,3,10,8,12,0,4,3,5,8,7,10,20,15,34,0,3,89,252
UCL522024,67,124,0,3,0,0,0,0,11,44,13,49,0,0,0,0,0,7,0,7,16,60,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,11,0,4,82,195
UCL522025,46,90,0,0,0,10,0,8,17,72,23,91,0,0,3,5,3,11,8,16,23,108,0,0,3,14,0,5,8,15,11,34,4,8,3,7,4,16,11,31,20,57,0,7,92,261
UCL522026,25,53,0,0,0,0,0,0,4,19,4,19,0,0,0,0,0,8,0,8,3,20,0,0,0,0,0,0,5,16,5,16,0,0,0,6,0,3,0,7,9,17,0,0,37,94
UCL522027,47,93,0,3,3,22,3,13,21,96,34,133,4,7,0,0,13,38,16,49,48,180,0,0,0,0,0,0,8,21,8,21,0,0,0,0,10,22,10,22,21,41,0,0,106,317
UCL522028,34,64,0,0,0,5,0,0,19,77,20,80,0,0,0,0,3,15,3,15,27,97,0,0,0,6,0,3,3,12,8,25,0,0,0,4,3,6,4,18,18,36,0,0,71,199
UCL522029,14,28,3,23,0,8,4,14,19,96,27,139,0,3,0,0,4,13,3,13,33,150,0,0,0,6,3,20,10,54,16,81,0,8,0,3,4,5,6,11,25,94,0,3,73,282
UCL522030,12,24,0,17,4,23,3,15,27,121,36,175,0,6,0,0,3,8,4,10,39,182,3,17,0,4,3,31,14,52,24,113,0,3,0,0,7,23,8,29,34,142,4,15,92,362
UCL522031,63,125,0,0,0,4,3,4,7,33,12,49,0,4,3,7,6,29,12,40,20,84,0,0,0,0,0,0,16,43,17,38,0,0,3,4,4,15,11,22,24,62,3,5,116,274
UCL522032,14,27,0,7,0,8,3,20,8,33,13,65,0,0,0,0,4,14,4,14,14,75,0,0,0,6,3,14,13,30,15,51,0,0,0,0,3,4,3,4,16,55,0,0,41,157
UCL522033,19,42,0,3,3,9,0,5,10,47,20,62,0,3,0,3,3,5,4,9,20,71,0,3,0,0,0,6,9,22,11,33,0,0,0,0,3,7,3,7,11,34,0,3,56,146
UCL522034,33,64,0,0,0,6,0,3,21,71,21,80,0,3,3,7,0,0,3,11,27,89,0,0,0,0,0,4,4,14,8,14,0,0,0,3,3,12,4,14,11,29,0,0,76,183
UCL522035,36,72,0,0,0,3,0,0,22,92,23,98,0,4,0,0,0,4,0,5,27,100,0,0,0,0,0,0,3,9,3,9,0,0,0,0,3,5,7,11,11,20,0,0,69,195
UCL522036,33,67,0,4,3,11,3,9,8,45,18,61,0,0,0,0,5,8,5,7,17,72,0,0,0,6,0,0,11,27,10,35,0,0,0,3,3,4,4,6,13,40,0,0,65,180
UCL522037,51,93,0,0,4,11,0,6,16,63,16,77,3,10,0,0,0,10,5,19,23,101,0,0,0,0,0,0,6,13,6,13,0,5,0,0,6,11,7,20,11,34,0,0,84,224
UCL522038,27,54,0,0,3,8,0,0,23,86,28,95,0,0,0,0,0,3,0,3,30,99,0,0,0,0,0,0,3,4,6,9,0,0,0,0,4,10,4,10,6,15,0,0,66,165
UCL522039,9,22,0,0,0,0,3,12,11,38,15,44,0,4,0,0,3,10,5,12,13,62,0,0,0,0,0,3,6,15,3,18,0,0,0,0,3,3,3,3,4,26,3,8,37,110
UCL522040,4,3,0,0,0,4,4,20,4,25,11,49,0,0,0,0,0,0,0,0,11,49,0,0,0,0,0,3,3,8,4,7,0,0,0,0,0,3,0,3,3,13,0,0,19,67
UCL522041,40,79,0,0,0,0,0,0,12,58,12,58,0,4,3,6,3,16,11,27,21,81,0,0,0,6,0,7,0,3,3,16,0,4,0,0,4,6,9,14,13,32,0,4,77,194
UCL522042,37,75,0,0,6,27,4,18,18,70,22,111,0,0,0,4,3,14,6,14,27,126,0,0,0,4,0,7,8,22,11,35,0,0,0,0,3,6,3,6,13,40,3,3,80,246
