UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL114007,10,20,32,7,13,25,10,59,70,18,89,110,54,247,305,63,88,151,229,86,317,138,80,224,157,53,208,142,20,165,89,13,100,73,18,90,145,10,157,69,0,71,33,0,33,26,7,38,33,0,33,135,11,151,40,44,85,1478,876,2352
UCL114008,9,13,28,12,3,9,12,46,56,17,67,80,65,169,235,54,76,128,172,63,233,121,67,191,133,50,180,136,52,193,97,25,119,83,10,95,156,12,170,94,4,100,46,0,46,18,3,20,29,0,29,123,10,131,46,70,116,1425,753,2177
UCL114009,8,26,32,9,20,31,27,76,109,25,152,175,79,287,367,90,119,209,270,118,384,198,95,292,238,66,304,216,41,258,119,28,147,130,23,153,201,20,221,90,3,97,61,0,61,28,4,39,50,0,50,172,7,177,43,97,138,2065,1173,3242
UCL114010,15,26,39,16,15,28,20,57,74,23,115,138,70,210,282,66,87,157,158,97,257,114,93,209,183,70,250,168,40,209,124,36,164,89,16,108,187,29,218,95,4,99,53,3,54,34,17,52,64,3,68,160,14,180,45,85,130,1675,1018,2700
UCL114011,10,15,24,10,18,21,21,59,77,14,103,116,76,208,281,63,104,162,193,88,283,152,81,237,191,63,255,153,47,204,97,32,126,105,22,124,177,28,212,98,3,102,64,3,63,31,13,41,51,0,51,156,11,170,55,73,133,1713,957,2675
UCL114012,13,14,24,14,11,19,19,53,69,20,106,128,74,241,309,60,90,152,184,73,251,125,57,184,134,45,177,133,23,159,88,22,110,64,11,71,84,16,93,59,0,55,20,0,16,13,6,18,11,0,11,109,8,120,35,61,95,1228,835,2064
UCL114013,11,20,33,5,11,14,12,69,87,13,117,130,75,219,294,69,103,174,195,72,263,137,90,220,164,71,240,167,48,213,119,47,159,137,39,173,230,54,286,156,3,161,89,0,95,75,27,96,112,6,119,168,12,183,51,83,137,1992,1078,3075
UCL114014,8,8,17,0,0,0,6,7,12,6,23,30,19,55,79,20,19,39,64,34,96,46,28,74,82,18,102,106,15,116,98,13,113,107,19,122,263,18,282,220,8,220,158,0,158,99,9,105,169,0,170,168,3,175,21,15,41,1665,292,1958
UCL114015,17,21,40,10,7,23,32,94,123,46,147,190,106,305,415,127,128,260,320,133,451,216,128,350,244,79,330,245,58,298,159,31,195,143,29,173,222,25,248,104,9,111,45,4,49,34,14,45,42,0,42,212,12,223,55,117,174,2398,1342,3739
UCL114016,15,8,24,13,6,21,10,52,64,18,80,101,67,156,219,55,76,131,155,69,225,133,78,213,151,73,230,152,50,201,120,35,151,126,25,150,230,26,252,127,3,127,64,7,67,38,6,51,51,8,57,146,7,155,39,72,110,1704,851,2556
